upstream_stage	upstream_status	downstream_stage	action	downstream_evidence_status_if_suppressed	reason_code	scientific_effect	normative_source
FIT	INDUCTION_CAP	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_FIT_INDUCTION_CAP	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	INDUCTION_CAP	COMPLEXITY	NOT_REACHED	NOT_REACHED	SUPPRESS_COMPLEXITY_AFTER_FIT_INDUCTION_CAP	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	PROTOCOL_VETO	PREDICTIVE	NOT_REACHED	NOT_REACHED	SUPPRESS_PREDICTIVE_AFTER_FIT_PROTOCOL_VETO	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	PROTOCOL_VETO	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_FIT_PROTOCOL_VETO	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	PROTOCOL_VETO	COMPLEXITY	NOT_REACHED	NOT_REACHED	SUPPRESS_COMPLEXITY_AFTER_FIT_PROTOCOL_VETO	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	PASS	GENERATION	RUN	N/A	ALLOW_GENERATION_AFTER_PREDICTIVE_PASS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	PASS	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_PREDICTIVE_PASS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	FAIL	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_PREDICTIVE_FAIL	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	FAIL	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_PREDICTIVE_FAIL	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NOT_ASSESSABLE	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_PREDICTIVE_NOT_ASSESSABLE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NOT_ASSESSABLE	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_PREDICTIVE_NOT_ASSESSABLE	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NUMERICAL_FAILURE	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_PREDICTIVE_NUMERICAL_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NUMERICAL_FAILURE	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_PREDICTIVE_NUMERICAL_FAILURE	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	PROTOCOL_VETO	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_PREDICTIVE_PROTOCOL_VETO	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	PROTOCOL_VETO	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_PREDICTIVE_PROTOCOL_VETO	downstream aggregation runs only to propagate PROTOCOL_INVALID; no ordinary scientific verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NOT_REACHED	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_PREDICTIVE_NOT_REACHED	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NOT_REACHED	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_PREDICTIVE_NOT_REACHED	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	GENERATION_SUCCESS	F2_METRIC	RUN	N/A	ALLOW_F2_METRIC_AFTER_GENERATION_GENERATION_SUCCESS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	GENERATION_FAILURE	F2_METRIC	NOT_REACHED	NOT_REACHED	SUPPRESS_F2_METRIC_AFTER_GENERATION_GENERATION_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	NUMERICAL_FAILURE	F2_METRIC	NOT_REACHED	NOT_REACHED	SUPPRESS_F2_METRIC_AFTER_GENERATION_NUMERICAL_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	PROTOCOL_VETO	F2_METRIC	NOT_REACHED	NOT_REACHED	SUPPRESS_F2_METRIC_AFTER_GENERATION_PROTOCOL_VETO	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	NOT_REACHED	F2_METRIC	NOT_REACHED	NOT_REACHED	SUPPRESS_F2_METRIC_AFTER_GENERATION_NOT_REACHED	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	PASS	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_F2_METRIC_PASS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	FAIL	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_F2_METRIC_FAIL	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	NOT_ASSESSABLE	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_F2_METRIC_NOT_ASSESSABLE	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	NUMERICAL_FAILURE	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_F2_METRIC_NUMERICAL_FAILURE	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	PROTOCOL_VETO	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_F2_METRIC_PROTOCOL_VETO	downstream aggregation runs only to propagate PROTOCOL_INVALID; no ordinary scientific verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	NOT_REACHED	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_F2_METRIC_NOT_REACHED	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	COMPLEXITY_SUCCESS	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_COMPLEXITY_COMPLEXITY_SUCCESS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	NUMERICAL_FAILURE	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_COMPLEXITY_NUMERICAL_FAILURE	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	PROTOCOL_VETO	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_COMPLEXITY_PROTOCOL_VETO	downstream aggregation runs only to propagate PROTOCOL_INVALID; no ordinary scientific verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	NOT_REACHED	CANDIDATE_AGGREGATION	RUN	N/A	ALLOW_CANDIDATE_AGGREGATION_AFTER_COMPLEXITY_NOT_REACHED	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	AGGREGATION_SUCCESS	CONTROL_AGGREGATION	RUN	N/A	ALLOW_CONTROL_AGGREGATION_AFTER_CANDIDATE_AGGREGATION_AGGREGATION_SUCCESS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	NUMERICAL_FAILURE	CONTROL_AGGREGATION	RUN	N/A	ALLOW_CONTROL_AGGREGATION_AFTER_CANDIDATE_AGGREGATION_NUMERICAL_FAILURE	aggregation consumes explicit unresolved state; never negative evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	PROTOCOL_VETO	CONTROL_AGGREGATION	RUN	N/A	ALLOW_CONTROL_AGGREGATION_AFTER_CANDIDATE_AGGREGATION_PROTOCOL_VETO	downstream aggregation runs only to propagate PROTOCOL_INVALID; no ordinary scientific verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
