stage	status	allowed	producer_type	scientific_category	negative_evidence	normative_reason	source
PREDICTIVE	COMPLEXITY_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	AGGREGATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	FIT_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NUMERICAL_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	INDUCTION_CAP	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	GENERATION_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	PROTOCOL_VETO	YES	stage handler	PROTOCOL_INVALIDITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NOT_REACHED	YES	DAG materializer	DAG_SUPPRESSION	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	PASS	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	FAIL	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	NOT_ASSESSABLE	NO	N/A	ASSESSABILITY	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	FIT_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	GENERATION_SUCCESS	YES	stage handler	PROCEDURE_SUCCESS	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	COMPLEXITY_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	AGGREGATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	FIT_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	NUMERICAL_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	INDUCTION_CAP	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	GENERATION_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	PROTOCOL_VETO	YES	stage handler	PROTOCOL_INVALIDITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
GENERATION	NOT_REACHED	YES	DAG materializer	DAG_SUPPRESSION	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	PASS	YES	stage handler	GATE_VERDICT	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	FAIL	YES	stage handler	GATE_VERDICT	YES	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	NOT_ASSESSABLE	YES	stage handler	ASSESSABILITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	FIT_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	GENERATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	COMPLEXITY_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	AGGREGATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	FIT_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	NUMERICAL_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	INDUCTION_CAP	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	GENERATION_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	PROTOCOL_VETO	YES	stage handler	PROTOCOL_INVALIDITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
F2_METRIC	NOT_REACHED	YES	DAG materializer	DAG_SUPPRESSION	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	PASS	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	FAIL	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	NOT_ASSESSABLE	NO	N/A	ASSESSABILITY	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	FIT_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	GENERATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	COMPLEXITY_SUCCESS	YES	stage handler	PROCEDURE_SUCCESS	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	AGGREGATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	FIT_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	NUMERICAL_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	INDUCTION_CAP	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	GENERATION_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	PROTOCOL_VETO	YES	stage handler	PROTOCOL_INVALIDITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
COMPLEXITY	NOT_REACHED	YES	DAG materializer	DAG_SUPPRESSION	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	PASS	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	FAIL	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	NOT_ASSESSABLE	NO	N/A	ASSESSABILITY	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	FIT_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	GENERATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	COMPLEXITY_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	AGGREGATION_SUCCESS	YES	stage handler	PROCEDURE_SUCCESS	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	FIT_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	NUMERICAL_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	INDUCTION_CAP	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	GENERATION_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	PROTOCOL_VETO	YES	stage handler	PROTOCOL_INVALIDITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CANDIDATE_AGGREGATION	NOT_REACHED	NO	N/A	DAG_SUPPRESSION	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	PASS	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	FAIL	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	NOT_ASSESSABLE	NO	N/A	ASSESSABILITY	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	FIT_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	GENERATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	COMPLEXITY_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	AGGREGATION_SUCCESS	YES	stage handler	PROCEDURE_SUCCESS	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	FIT_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	NUMERICAL_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	INDUCTION_CAP	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	GENERATION_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	PROTOCOL_VETO	YES	stage handler	PROTOCOL_INVALIDITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
CONTROL_AGGREGATION	NOT_REACHED	NO	N/A	DAG_SUPPRESSION	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
