scale	metric_id	classification	delta	both_available
koeln-edd-c-119-07.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true
koeln-edd-c-119-07.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true
koeln-edd-c-119-07.xml	EF1_ISOLATE_SHARE	SUPPORTING	-0.0454953	true
koeln-edd-c-119-07.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.119985	true
koeln-edd-c-119-07.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.0395616	true
koeln-edd-c-119-07.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0885468	true
koeln-edd-c-119-07.xml	cs2/prev-family-current-family	SUPPORTING		false
koeln-edd-c-119-07.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
koeln-edd-c-119-07.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true
koeln-edd-c-119-07.xml	cs1/family-line-position	SUPPORTING		false
koeln-edd-c-119-07.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true
koeln-edd-c-119-07.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	-0.0219752	true
koeln-edd-c-119-11.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0452294	true
koeln-edd-c-119-11.xml	EF2_GLOBAL_CLUSTERING	CORE	0.0451505	true
koeln-edd-c-119-11.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.0703754	true
koeln-edd-c-119-11.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true
koeln-edd-c-119-11.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true
koeln-edd-c-119-11.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true
koeln-edd-c-119-11.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true
koeln-edd-c-119-11.xml	EF1_ISOLATE_SHARE	SUPPORTING	-0.0213326	true
koeln-edd-c-119-11.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.0698543	true
koeln-edd-c-119-11.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.0221171	true
koeln-edd-c-119-11.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0783568	true
koeln-edd-c-119-11.xml	cs2/prev-family-current-family	SUPPORTING		false
koeln-edd-c-119-11.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
koeln-edd-c-119-11.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true
koeln-edd-c-119-11.xml	cs1/family-line-position	SUPPORTING		false
koeln-edd-c-119-11.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true
koeln-edd-c-119-11.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0176883	true
koeln-edd-c-119-12.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0394262	true
koeln-edd-c-119-12.xml	EF2_GLOBAL_CLUSTERING	CORE	0.0930272	true
koeln-edd-c-119-12.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.145789	true
koeln-edd-c-119-12.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true
koeln-edd-c-119-12.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true
koeln-edd-c-119-12.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true
koeln-edd-c-119-12.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true
koeln-edd-c-119-12.xml	EF1_ISOLATE_SHARE	SUPPORTING	-0.0609172	true
koeln-edd-c-119-12.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.0720081	true
koeln-edd-c-119-12.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.0312	true
koeln-edd-c-119-12.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0832913	true
koeln-edd-c-119-12.xml	cs2/prev-family-current-family	SUPPORTING		false
koeln-edd-c-119-12.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
koeln-edd-c-119-12.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true
koeln-edd-c-119-12.xml	cs1/family-line-position	SUPPORTING		false
koeln-edd-c-119-12.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true
koeln-edd-c-119-12.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.018441	true
koeln-edd-c-119-13.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0193505	true
koeln-edd-c-119-13.xml	EF2_GLOBAL_CLUSTERING	CORE	0.221295	true
koeln-edd-c-119-13.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.129015	true
koeln-edd-c-119-13.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true
koeln-edd-c-119-13.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true
koeln-edd-c-119-13.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true
koeln-edd-c-119-13.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true
koeln-edd-c-119-13.xml	EF1_ISOLATE_SHARE	SUPPORTING	-0.0484702	true
koeln-edd-c-119-13.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.065258	true
koeln-edd-c-119-13.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.0269403	true
koeln-edd-c-119-13.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0838729	true
koeln-edd-c-119-13.xml	cs2/prev-family-current-family	SUPPORTING		false
koeln-edd-c-119-13.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
koeln-edd-c-119-13.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true
koeln-edd-c-119-13.xml	cs1/family-line-position	SUPPORTING		false
koeln-edd-c-119-13.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true
koeln-edd-c-119-13.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0525798	true
