job_id	kind	corpus_id	operator_id	null_class	shorthand_variant	shorthand_scale	ax3_entropy	ax4_ttr	ax5_nmi_max	ax5_best_period	ax6_line_persistence	n
operator_output__Doyle__FIXED_OFFSET_WITHIN_GROUP_1	operator_output	Doyle	FIXED_OFFSET_WITHIN_GROUP_1				8.84306	0.19501	0.0768465	7	37.5645	13348
null_random__Astafiev__PERIODIC_TOKEN_3__seed2	operator_null_random	Astafiev	PERIODIC_TOKEN_3	RANDOM_SUBSEQUENCE_MATCHED			9.58053	0.137545	0.052306	7	36.498	28427
null_stratified__Longfellow__LAST_GLYPH_OF_TOKEN__seed3	operator_null_stratified	Longfellow	LAST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM			4.08195	0.000786045	0.00074822	7	2.58015	33077
shorthand__koeln-edd-c-119-12.xml__NULL_FREQUENCY_MATCHED_DELETION__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_FREQUENCY_MATCHED_DELETION	koeln-edd-c-119-12.xml	8.78097	0.669894	0.229593	7	4.02326	1033
shorthand__koeln-edd-c-119-12.xml__NULL_POSITION_MATCHED__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_POSITION_MATCHED	koeln-edd-c-119-12.xml	8.80467	0.68635	0.234277	7	5.49612	1033
null_random__Longfellow__NTH_GLYPH_OF_TOKEN_2__seed2	operator_null_random	Longfellow	NTH_GLYPH_OF_TOKEN_2	RANDOM_SUBSEQUENCE_MATCHED			4.1439	0.000803759	0.000893879	7	2.13271	32348
shorthand__koeln-edd-c-119-07.xml__NULL_FREQUENCY_MATCHED_DELETION__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_FREQUENCY_MATCHED_DELETION	koeln-edd-c-119-07.xml	9.05175	0.803357	0.260969	7	2.41297	834
null_periodic__Astafiev__PERIODIC_GLYPH_3__phase2	operator_null_periodic	Astafiev	PERIODIC_GLYPH_3	PERIODIC_PHASE			4.62305	0.000410423	0.000405428	7	2.90718	148627
null_random__Doyle__PERIODIC_TOKEN_2__seed3	operator_null_random	Doyle	PERIODIC_TOKEN_2	RANDOM_SUBSEQUENCE_MATCHED			9.0451	0.165988	0.0634097	7	36.3204	21857
null_random__Longfellow__PERIODIC_GLYPH_7__seed3	operator_null_random	Longfellow	PERIODIC_GLYPH_7	RANDOM_SUBSEQUENCE_MATCHED			4.15365	0.00121877	0.00119801	7	1.92832	21333
null_stratified__Astafiev__NTH_TOKEN_OF_LINE_3__seed1	operator_null_stratified	Astafiev	NTH_TOKEN_OF_LINE_3	POSITION_STRATIFIED_RANDOM			8.90725	0.345672	0.131758	7	6.9155	3350
null_stratified__Astafiev__FIXED_OFFSET_WITHIN_GROUP_1__seed2	operator_null_stratified	Astafiev	FIXED_OFFSET_WITHIN_GROUP_1	POSITION_STRATIFIED_RANDOM			9.53559	0.137751	0.0524696	7	33.5921	27223
operator_output__Astafiev__FIRST_GLYPH_OF_LINE	operator_output	Astafiev	FIRST_GLYPH_OF_LINE				4.416	0.0099723	0.00856819	7	3.21197	3610
null_stratified__Astafiev__FIRST_GLYPH_OF_LINE__seed1	operator_null_stratified	Astafiev	FIRST_GLYPH_OF_LINE	POSITION_STRATIFIED_RANDOM			4.65711	0.0119114	0.00958025	7	2.1923	3610
null_stratified__Astafiev__LAST_TOKEN_OF_LINE__seed2	operator_null_stratified	Astafiev	LAST_TOKEN_OF_LINE	POSITION_STRATIFIED_RANDOM			9.21808	0.372299	0.137094	7	9.31006	3610
null_stratified__Longfellow__NTH_TOKEN_OF_LINE_2__seed2	operator_null_stratified	Longfellow	NTH_TOKEN_OF_LINE_2	POSITION_STRATIFIED_RANDOM			9.07087	0.337728	0.123413	7	59.1126	5765
null_periodic__Astafiev__PERIODIC_GLYPH_5__phase1	operator_null_periodic	Astafiev	PERIODIC_GLYPH_5	PERIODIC_PHASE			4.62372	0.000661606	0.000597708	7	3.00804	89177
null_random__Doyle__LAST_GLYPH_OF_LINE__seed2	operator_null_random	Doyle	LAST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.19099	0.00735695	0.00619847	7	1.70765	3670
null_stratified__Doyle__FIXED_OFFSET_WITHIN_GROUP_2__seed3	operator_null_stratified	Doyle	FIXED_OFFSET_WITHIN_GROUP_2	POSITION_STRATIFIED_RANDOM			8.92464	0.201378	0.0781301	7	26.6214	13348
shorthand__koeln-edd-c-119-11.xml__NULL_POSITION_MATCHED__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_POSITION_MATCHED	koeln-edd-c-119-11.xml	10.1688	0.681234	0.201199	7	3.40742	2723
operator_output__Astafiev__PERIODIC_TOKEN_5	operator_output	Astafiev	PERIODIC_TOKEN_5				9.46654	0.176712	0.0668344	7	28.2705	17056
null_stratified__Astafiev__FIRST_GLYPH_OF_LINE__seed3	operator_null_stratified	Astafiev	FIRST_GLYPH_OF_LINE	POSITION_STRATIFIED_RANDOM			4.64458	0.0124654	0.0119073	7	2.25686	3610
null_random__Doyle__PERIODIC_GLYPH_7__seed1	operator_null_random	Doyle	PERIODIC_GLYPH_7	RANDOM_SUBSEQUENCE_MATCHED			4.18868	0.00125801	0.000958935	5	1.88183	25437
operator_output__Astafiev__FIRST_GLYPH_OF_TOKEN	operator_output	Astafiev	FIRST_GLYPH_OF_TOKEN				4.39184	0.000527674	0.00056918	7	4.01496	85280
null_random__Astafiev__LAST_TOKEN_OF_LINE__seed1	operator_null_random	Astafiev	LAST_TOKEN_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			8.99844	0.338781	0.129081	7	8.54326	3610
null_stratified__Doyle__LAST_GLYPH_OF_LINE__seed1	operator_null_stratified	Doyle	LAST_GLYPH_OF_LINE	POSITION_STRATIFIED_RANDOM			4.17986	0.00735695	0.00673223	7	1.74407	3670
null_stratified__Doyle__LAST_GLYPH_OF_TOKEN__seed2	operator_null_stratified	Doyle	LAST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM			4.1087	0.000777801	0.000747155	7	2.41864	43713
null_periodic__Doyle__PERIODIC_TOKEN_5__phase4	operator_null_periodic	Doyle	PERIODIC_TOKEN_5	PERIODIC_PHASE			8.80938	0.237817	0.0901883	7	31.1879	8742
shorthand__koeln-edd-c-119-12.xml__NULL_FREQUENCY_MATCHED_DELETION__seed3	shorthand_variant	BDD_koeln-edd-c-119			NULL_FREQUENCY_MATCHED_DELETION	koeln-edd-c-119-12.xml	8.82937	0.687318	0.231367	7	2.06395	1033
shorthand__koeln-edd-c-119-06.xml__ABBREVIATED	shorthand_variant	BDD_koeln-edd-c-119			ABBREVIATED	koeln-edd-c-119-06.xml	9.11599	0.527858	0.185149	7	4.75345	1741
null_random__Astafiev__FIRST_GLYPH_OF_LINE__seed1	operator_null_random	Astafiev	FIRST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.62016	0.0121884	0.0105839	7	2.23064	3610
null_random__Doyle__PERIODIC_GLYPH_3__seed1	operator_null_random	Doyle	PERIODIC_GLYPH_3	RANDOM_SUBSEQUENCE_MATCHED			4.18127	0.000623399	0.000626394	7	2.27895	59352
shorthand__combined__NULL_FREQUENCY_MATCHED_DELETION__seed3	shorthand_variant	BDD_koeln-edd-c-119			NULL_FREQUENCY_MATCHED_DELETION	combined	11.0166	0.614907	0.169265	7	11.07	6762
null_random__Astafiev__PERIODIC_GLYPH_7__seed1	operator_null_random	Astafiev	PERIODIC_GLYPH_7	RANDOM_SUBSEQUENCE_MATCHED			4.62164	0.000941945	0.000783703	7	3.07562	63698
null_periodic__Astafiev__PERIODIC_TOKEN_7__phase4	operator_null_periodic	Astafiev	PERIODIC_TOKEN_7	PERIODIC_PHASE			9.35559	0.196667	0.0767204	7	14.7757	12183
operator_output__Longfellow__FIRST_GLYPH_OF_LINE	operator_output	Longfellow	FIRST_GLYPH_OF_LINE				3.95729	0.00416305	0.00361058	7	4.55517	5765
null_stratified__Astafiev__NTH_GLYPH_OF_TOKEN_2__seed1	operator_null_stratified	Astafiev	NTH_GLYPH_OF_TOKEN_2	POSITION_STRATIFIED_RANDOM			4.65658	0.000671094	0.000618353	7	1.82211	71525
null_stratified__Doyle__NTH_GLYPH_OF_TOKEN_3__seed1	operator_null_stratified	Doyle	NTH_GLYPH_OF_TOKEN_3	POSITION_STRATIFIED_RANDOM			4.1626	0.00106461	0.00120234	7	2.48498	32876
null_random__Astafiev__PERIODIC_TOKEN_7__seed2	operator_null_random	Astafiev	PERIODIC_TOKEN_7	RANDOM_SUBSEQUENCE_MATCHED			9.39013	0.202413	0.077828	7	11.9917	12183
null_periodic__Astafiev__PERIODIC_TOKEN_5__phase2	operator_null_periodic	Astafiev	PERIODIC_TOKEN_5	PERIODIC_PHASE			9.47559	0.174719	0.0670383	7	30.0275	17056
null_stratified__Doyle__FIRST_GLYPH_OF_TOKEN__seed2	operator_null_stratified	Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM			4.1087	0.000777801	0.000747155	7	2.41864	43713
null_random__Astafiev__PERIODIC_TOKEN_3__seed1	operator_null_random	Astafiev	PERIODIC_TOKEN_3	RANDOM_SUBSEQUENCE_MATCHED			9.54632	0.13642	0.0528599	7	49.2073	28427
null_periodic__Astafiev__PERIODIC_TOKEN_7__phase2	operator_null_periodic	Astafiev	PERIODIC_TOKEN_7	PERIODIC_PHASE			9.42181	0.204465	0.0772896	7	16.7987	12183
null_random__Astafiev__FIXED_OFFSET_WITHIN_GROUP_2__seed1	operator_null_random	Astafiev	FIXED_OFFSET_WITHIN_GROUP_2	RANDOM_SUBSEQUENCE_MATCHED			9.53797	0.139478	0.0534337	7	44.969	27223
operator_output__Astafiev__NTH_TOKEN_OF_LINE_3	operator_output	Astafiev	NTH_TOKEN_OF_LINE_3				8.94968	0.328955	0.128268	7	23.6918	3350
shorthand__koeln-edd-c-119-06.xml__NULL_RANDOM_DELETION_MATCHED__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_RANDOM_DELETION_MATCHED	koeln-edd-c-119-06.xml	9.85965	0.747154	0.2263	7	2.99041	1669
null_stratified__Doyle__NTH_TOKEN_OF_LINE_2__seed2	operator_null_stratified	Doyle	NTH_TOKEN_OF_LINE_2	POSITION_STRATIFIED_RANDOM			8.57121	0.323587	0.126531	7	12.9471	3591
null_random__Astafiev__LAST_TOKEN_OF_LINE__seed3	operator_null_random	Astafiev	LAST_TOKEN_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			9.06877	0.345429	0.130874	7	6.07634	3610
null_periodic__Longfellow__PERIODIC_TOKEN_7__phase3	operator_null_periodic	Longfellow	PERIODIC_TOKEN_7	PERIODIC_PHASE			8.96118	0.355767	0.132323	7	60.828	4725
null_periodic__Doyle__PERIODIC_GLYPH_7__phase4	operator_null_periodic	Doyle	PERIODIC_GLYPH_7	PERIODIC_PHASE			4.17607	0.00125806	0.00120393	7	2.07018	25436
null_random__Doyle__FIXED_OFFSET_WITHIN_GROUP_2__seed2	operator_null_random	Doyle	FIXED_OFFSET_WITHIN_GROUP_2	RANDOM_SUBSEQUENCE_MATCHED			8.95307	0.202727	0.0780484	7	30.8113	13348
null_periodic__Longfellow__PERIODIC_GLYPH_7__phase5	operator_null_periodic	Longfellow	PERIODIC_GLYPH_7	PERIODIC_PHASE			4.15509	0.00121883	0.00131206	7	2.15614	21332
null_periodic__Astafiev__PERIODIC_TOKEN_5__phase3	operator_null_periodic	Astafiev	PERIODIC_TOKEN_5	PERIODIC_PHASE			9.46998	0.17425	0.0668896	7	26.904	17056
operator_output__Doyle__PERIODIC_TOKEN_3	operator_output	Doyle	PERIODIC_TOKEN_3				8.96614	0.194016	0.0754778	7	33.0092	14571
null_stratified__Doyle__NTH_GLYPH_OF_TOKEN_3__seed2	operator_null_stratified	Doyle	NTH_GLYPH_OF_TOKEN_3	POSITION_STRATIFIED_RANDOM			4.15485	0.000973354	0.00115329	7	1.89623	32876
null_random__Astafiev__PERIODIC_TOKEN_5__seed2	operator_null_random	Astafiev	PERIODIC_TOKEN_5	RANDOM_SUBSEQUENCE_MATCHED			9.48591	0.175539	0.0667892	7	23.3299	17056
shorthand__koeln-edd-c-119-13.xml__NULL_POSITION_MATCHED__seed2	shorthand_variant	BDD_koeln-edd-c-119			NULL_POSITION_MATCHED	koeln-edd-c-119-13.xml	8.3164	0.777336	0.279012	7	0.778884	503
null_periodic__Astafiev__PERIODIC_GLYPH_2__phase1	operator_null_periodic	Astafiev	PERIODIC_GLYPH_2	PERIODIC_PHASE			4.61988	0.0002781	0.00031603	7	3.62483	222941
null_random__Doyle__FIXED_OFFSET_WITHIN_GROUP_2__seed3	operator_null_random	Doyle	FIXED_OFFSET_WITHIN_GROUP_2	RANDOM_SUBSEQUENCE_MATCHED			8.94662	0.201753	0.0770789	7	30.0506	13348
null_random__Doyle__NTH_TOKEN_OF_LINE_2__seed3	operator_null_random	Doyle	NTH_TOKEN_OF_LINE_2	RANDOM_SUBSEQUENCE_MATCHED			8.47351	0.309106	0.121205	7	13.2764	3591
null_random__Astafiev__FIRST_GLYPH_OF_LINE__seed3	operator_null_random	Astafiev	FIRST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.63991	0.0116343	0.0104059	7	1.45882	3610
null_random__Astafiev__FIXED_OFFSET_WITHIN_GROUP_1__seed3	operator_null_random	Astafiev	FIXED_OFFSET_WITHIN_GROUP_1	RANDOM_SUBSEQUENCE_MATCHED			9.56003	0.140176	0.0533212	7	32.048	27223
null_periodic__Doyle__PERIODIC_TOKEN_3__phase2	operator_null_periodic	Doyle	PERIODIC_TOKEN_3	PERIODIC_PHASE			8.93378	0.197447	0.0755596	7	35.1633	14571
operator_output__Astafiev__LAST_TOKEN_OF_LINE	operator_output	Astafiev	LAST_TOKEN_OF_LINE				8.34657	0.293906	0.120762	7	17.6392	3610
null_stratified__Astafiev__FIRST_TOKEN_OF_LINE__seed3	operator_null_stratified	Astafiev	FIRST_TOKEN_OF_LINE	POSITION_STRATIFIED_RANDOM			9.14438	0.362881	0.136423	7	6.17068	3610
null_random__Astafiev__LAST_GLYPH_OF_LINE__seed2	operator_null_random	Astafiev	LAST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.63644	0.0113573	0.0109101	7	1.88427	3610
operator_output__Doyle__PERIODIC_GLYPH_7	operator_output	Doyle	PERIODIC_GLYPH_7				4.17273	0.00117938	0.00113052	7	1.92992	25437
null_random__Longfellow__PERIODIC_TOKEN_7__seed1	operator_null_random	Longfellow	PERIODIC_TOKEN_7	RANDOM_SUBSEQUENCE_MATCHED			9.04129	0.361405	0.133309	7	42.93	4726
null_stratified__Doyle__NTH_TOKEN_OF_LINE_2__seed1	operator_null_stratified	Doyle	NTH_TOKEN_OF_LINE_2	POSITION_STRATIFIED_RANDOM			8.70455	0.338067	0.129182	7	13.1883	3591
shorthand__koeln-edd-c-119-07.xml__NULL_RANDOM_DELETION_MATCHED__seed3	shorthand_variant	BDD_koeln-edd-c-119			NULL_RANDOM_DELETION_MATCHED	koeln-edd-c-119-07.xml	9.06637	0.798561	0.26087	7	0	834
null_random__Astafiev__PERIODIC_GLYPH_2__seed3	operator_null_random	Astafiev	PERIODIC_GLYPH_2	RANDOM_SUBSEQUENCE_MATCHED			4.62303	0.000282586	0.000239762	7	3.63092	222941
null_random__Astafiev__NTH_TOKEN_OF_LINE_3__seed2	operator_null_random	Astafiev	NTH_TOKEN_OF_LINE_3	RANDOM_SUBSEQUENCE_MATCHED			8.99716	0.352239	0.13348	7	10.4137	3350
null_random__Doyle__PERIODIC_TOKEN_2__seed1	operator_null_random	Doyle	PERIODIC_TOKEN_2	RANDOM_SUBSEQUENCE_MATCHED			9.06412	0.167315	0.0651058	7	40.792	21857
null_periodic__Doyle__PERIODIC_GLYPH_5__phase3	operator_null_periodic	Doyle	PERIODIC_GLYPH_5	PERIODIC_PHASE			4.17196	0.000954761	0.000909235	7	2.26729	35611
shorthand__koeln-edd-c-119-13.xml__NULL_RANDOM_DELETION_MATCHED__seed3	shorthand_variant	BDD_koeln-edd-c-119			NULL_RANDOM_DELETION_MATCHED	koeln-edd-c-119-13.xml	8.35446	0.793241	0.279081	7	0.794821	503
null_periodic__Doyle__PERIODIC_GLYPH_3__phase1	operator_null_periodic	Doyle	PERIODIC_GLYPH_3	PERIODIC_PHASE			4.18267	0.000589702	0.000648322	7	2.2036	59352
null_random__Astafiev__LAST_GLYPH_OF_LINE__seed3	operator_null_random	Astafiev	LAST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.63991	0.0116343	0.0104059	7	1.45882	3610
null_random__Astafiev__FIXED_OFFSET_WITHIN_GROUP_1__seed1	operator_null_random	Astafiev	FIXED_OFFSET_WITHIN_GROUP_1	RANDOM_SUBSEQUENCE_MATCHED			9.53797	0.139478	0.0534337	7	44.969	27223
null_random__Astafiev__FIXED_OFFSET_WITHIN_GROUP_2__seed3	operator_null_random	Astafiev	FIXED_OFFSET_WITHIN_GROUP_2	RANDOM_SUBSEQUENCE_MATCHED			9.56003	0.140176	0.0533212	7	32.048	27223
null_random__Longfellow__PERIODIC_GLYPH_7__seed1	operator_null_random	Longfellow	PERIODIC_GLYPH_7	RANDOM_SUBSEQUENCE_MATCHED			4.15307	0.00121877	0.00147088	7	1.99289	21333
null_random__Doyle__NTH_TOKEN_OF_LINE_2__seed1	operator_null_random	Doyle	NTH_TOKEN_OF_LINE_2	RANDOM_SUBSEQUENCE_MATCHED			8.51429	0.323587	0.123738	7	14.904	3591
shorthand__koeln-edd-c-119-07.xml__NULL_RANDOM_DELETION_MATCHED__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_RANDOM_DELETION_MATCHED	koeln-edd-c-119-07.xml	9.11126	0.810552	0.261888	7	1.62305	834
operator_output__Astafiev__PERIODIC_GLYPH_5	operator_output	Astafiev	PERIODIC_GLYPH_5				4.62283	0.000650392	0.000616944	7	2.71674	89177
null_random__Longfellow__FIRST_TOKEN_OF_LINE__seed2	operator_null_random	Longfellow	FIRST_TOKEN_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			8.98041	0.329228	0.121241	7	57.3791	5765
null_random__Doyle__PERIODIC_TOKEN_7__seed3	operator_null_random	Doyle	PERIODIC_TOKEN_7	RANDOM_SUBSEQUENCE_MATCHED			8.69924	0.26213	0.100961	7	22.4547	6245
operator_output__Astafiev__PERIODIC_GLYPH_3	operator_output	Astafiev	PERIODIC_GLYPH_3				4.62117	0.000396964	0.000370203	7	2.97534	148628
null_stratified__Doyle__FIXED_OFFSET_WITHIN_GROUP_1__seed2	operator_null_stratified	Doyle	FIXED_OFFSET_WITHIN_GROUP_1	POSITION_STRATIFIED_RANDOM			8.90754	0.20033	0.0776258	7	29.5093	13348
shorthand__koeln-edd-c-119-13.xml__NULL_FREQUENCY_MATCHED_DELETION__seed3	shorthand_variant	BDD_koeln-edd-c-119			NULL_FREQUENCY_MATCHED_DELETION	koeln-edd-c-119-13.xml	8.30644	0.781312	0.279554	7	0.782869	503
null_random__Doyle__FIRST_GLYPH_OF_TOKEN__seed2	operator_null_random	Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED			4.18836	0.000777801	0.000860467	7	1.83027	43713
null_stratified__Longfellow__FIRST_GLYPH_OF_LINE__seed3	operator_null_stratified	Longfellow	FIRST_GLYPH_OF_LINE	POSITION_STRATIFIED_RANDOM			4.15694	0.00450997	0.00517937	7	1.7186	5765
null_random__Longfellow__PERIODIC_GLYPH_7__seed2	operator_null_random	Longfellow	PERIODIC_GLYPH_7	RANDOM_SUBSEQUENCE_MATCHED			4.14185	0.00121877	0.00111552	7	2.00886	21333
operator_output__Doyle__PERIODIC_TOKEN_5	operator_output	Doyle	PERIODIC_TOKEN_5				8.85834	0.239963	0.0914701	7	29.0647	8743
null_periodic__Doyle__PERIODIC_TOKEN_7__phase3	operator_null_periodic	Doyle	PERIODIC_TOKEN_7	PERIODIC_PHASE			8.70752	0.265012	0.101897	7	19.9856	6245
null_random__Longfellow__LAST_TOKEN_OF_LINE__seed2	operator_null_random	Longfellow	LAST_TOKEN_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			8.98041	0.329228	0.121241	7	57.3791	5765
null_random__Doyle__PERIODIC_GLYPH_7__seed2	operator_null_random	Doyle	PERIODIC_GLYPH_7	RANDOM_SUBSEQUENCE_MATCHED			4.19119	0.00125801	0.00129032	7	1.8349	25437
null_random__Astafiev__NTH_GLYPH_OF_TOKEN_2__seed1	operator_null_random	Astafiev	NTH_GLYPH_OF_TOKEN_2	RANDOM_SUBSEQUENCE_MATCHED			4.62126	0.000838868	0.000734998	7	2.97549	71525
null_stratified__Longfellow__FIXED_OFFSET_WITHIN_GROUP_1__seed3	operator_null_stratified	Longfellow	FIXED_OFFSET_WITHIN_GROUP_1	POSITION_STRATIFIED_RANDOM			9.05655	0.263739	0.100668	7	111.695	9335
null_random__Doyle__PERIODIC_TOKEN_5__seed3	operator_null_random	Doyle	PERIODIC_TOKEN_5	RANDOM_SUBSEQUENCE_MATCHED			8.80795	0.232529	0.0894038	7	27.8748	8743
null_random__Longfellow__FIRST_GLYPH_OF_LINE__seed2	operator_null_random	Longfellow	FIRST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.12744	0.00433651	0.00486808	7	1.59995	5765
shorthand__combined__NULL_POSITION_MATCHED__seed3	shorthand_variant	BDD_koeln-edd-c-119			NULL_POSITION_MATCHED	combined	11.0312	0.619048	0.169716	7	9.28709	6762
operator_output__Astafiev__PERIODIC_GLYPH_2	operator_output	Astafiev	PERIODIC_GLYPH_2				4.62489	0.000282586	0.000301821	7	3.80549	222941
null_stratified__Astafiev__LAST_GLYPH_OF_TOKEN__seed1	operator_null_stratified	Astafiev	LAST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM			4.72867	0.00059803	0.000469783	7	1.86534	85280
null_periodic__Longfellow__PERIODIC_GLYPH_3__phase1	operator_null_periodic	Longfellow	PERIODIC_GLYPH_3	PERIODIC_PHASE			4.14378	0.00052234	0.000508866	7	2.70645	49776
null_periodic__Doyle__PERIODIC_TOKEN_2__phase1	operator_null_periodic	Doyle	PERIODIC_TOKEN_2	PERIODIC_PHASE			9.03041	0.164303	0.0634677	7	35.5936	21856
shorthand__combined__NULL_FREQUENCY_MATCHED_DELETION__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_FREQUENCY_MATCHED_DELETION	combined	11.0233	0.613724	0.168875	7	11.0487	6762
shorthand__koeln-edd-c-119-11.xml__ABBREVIATED	shorthand_variant	BDD_koeln-edd-c-119			ABBREVIATED	koeln-edd-c-119-11.xml	9.41869	0.470219	0.160329	7	4.70383	2871
shorthand__koeln-edd-c-119-12.xml__NULL_POSITION_MATCHED__seed2	shorthand_variant	BDD_koeln-edd-c-119			NULL_POSITION_MATCHED	koeln-edd-c-119-12.xml	8.84457	0.689255	0.231322	7	4.82946	1033
null_random__Astafiev__LAST_GLYPH_OF_TOKEN__seed1	operator_null_random	Astafiev	LAST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED			4.62275	0.000703565	0.000595691	7	2.82274	85280
null_random__Longfellow__FIRST_GLYPH_OF_LINE__seed1	operator_null_random	Longfellow	FIRST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.15487	0.00433651	0.00519167	7	1.6767	5765
null_periodic__Doyle__PERIODIC_TOKEN_7__phase2	operator_null_periodic	Doyle	PERIODIC_TOKEN_7	PERIODIC_PHASE			8.7504	0.268215	0.101921	7	18.7608	6245
operator_output__Doyle__FIRST_GLYPH_OF_TOKEN	operator_output	Doyle	FIRST_GLYPH_OF_TOKEN				4.08803	0.000709171	0.000696812	7	2.40801	43713
null_stratified__Astafiev__NTH_TOKEN_OF_LINE_3__seed3	operator_null_stratified	Astafiev	NTH_TOKEN_OF_LINE_3	POSITION_STRATIFIED_RANDOM			8.86836	0.346866	0.134513	7	8.67423	3350
null_random__Longfellow__FIRST_GLYPH_OF_LINE__seed3	operator_null_random	Longfellow	FIRST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.15503	0.00433651	0.00418898	7	1.89839	5765
shorthand__combined__NULL_RANDOM_DELETION_MATCHED__seed2	shorthand_variant	BDD_koeln-edd-c-119			NULL_RANDOM_DELETION_MATCHED	combined	11.0606	0.625407	0.170706	7	8.75699	6762
null_stratified__Astafiev__FIXED_OFFSET_WITHIN_GROUP_1__seed3	operator_null_stratified	Astafiev	FIXED_OFFSET_WITHIN_GROUP_1	POSITION_STRATIFIED_RANDOM			9.52194	0.13878	0.0533266	7	53.0206	27223
