abbr_text	expan_text	count	class	uses_mark	mark_combining	ambiguous_expan	info_class
epⰇi	episcopi	18	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
ⰂcⰏⰂ	ecclesiae	18	CONTRACTION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
iⰆ	in	17	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
stⰇ	sunt	17	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
duⰆ	dum	16	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
epⰇoⰗ	episcoporum	16	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
ieiuniuⰆ	ieiunium	16	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
ⰓptⰇ	propter	16	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
CuⰆ	Cum	15	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
scⰇoⰗ	sanctorum	15	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
scⰇⰂ	sanctⰂ	15	CONTRACTION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
suuⰆ	suum	15	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
ⰂccⰏⰂ	ⰂcclesiⰂ	15	CONTRACTION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
absqⰛ	absque	14	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
diebⰛ	diebus	14	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
dsⰇ	deus	14	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
poenitⰇ	poeniteat	14	SUSPENSION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
scⰇi	sancti	14	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
suⰑ	super	14	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
Ⱉ	quia	14	SPECIAL_SIGN_WHOLE_WORD	true	false	false	CONVENTION_DEPENDENT
dmⰇ	deum	13	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
homicidiuⰆ	homicidium	13	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
poenitentiaⰆ	poenitentiam	13	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
scⰇa	sancta	13	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
suaⰆ	suam	13	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
unuⰆ	unum	13	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
uxoreⰆ	uxorem	12	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
apⰏs	apostolus	11	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
coⰆmunione	communione	11	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
mⰉ	modo	11	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
nomⰇ	nomen	11	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
scriptuⰆ	scriptum	11	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
tantuⰆ	tantum	11	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
taⰆ	tam	11	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
xpⰇi	christi	11	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
	quia	11	CONTRACTION	false	false	false	CONVENTION_DEPENDENT
aliⰕd	aliquid	10	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
dnⰇm	dominum	10	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
fideliuⰆ	fidelium	10	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
gⰉ	ergo	10	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
nrⰇi	nostri	10	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰇibⰛ	omnibus	10	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
pⰊ	post	10	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
qⰈa	quia	10	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
IteⰆ	Item	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
coⰆponat	componat	9	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
eaⰆ	eam	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
homineⰆ	hominem	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
iaⰆ	iam	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
illuⰆ	illum	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
maluⰆ	malum	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
morteⰆ	mortem	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
noⰄ	nobis	9	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
nrⰇa	nostra	9	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰇi	omni	9	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰇis	omnis	9	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
qⰈbⰛ	quibus	9	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
soluⰆ	solum	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
soⰏ	solidos	9	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
sⰇ	sunt	9	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
ęccⰏę	ęcclesię	9	CONTRACTION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
aliqⰉ	aliquo	8	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
coⰆmunicauerit	communicauerit	8	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
coⰆmunioneⰆ	communionem	8	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
excoⰆmunicato	excommunicato	8	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
eⰆ	est	8	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
furtuⰆ	furtum	8	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
patruⰆ	patrum	8	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
qⰉ	quo	8	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
scⰇm	sanctum	8	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
sententiaⰆ	sententiam	8	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
ⰑiuriuⰆ	periurium	8	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
QⰁsi	Quodsi	7	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
aliqueⰆ	aliquem	7	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
apⰏica	apostolica	7	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
causaⰆ	causam	7	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
dicⰇ	dicit	7	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
ecⰏⰂ	ecclesiae	7	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
eoruⰆ	eorum	7	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
excoⰆmunicationis	excommunicationis	7	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
iudiciuⰆ	iudicium	7	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
iⰁ	id est	7	SUSPENSION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
mⰇbra	membra	7	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰆino	omnino	7	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
patⰇ	pater	7	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
pⰆsumat	praesumat	7	CONTRACTION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
qⰋ	qua	7	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
rapinaⰆ	rapinam	7	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
supⰋ	supra	7	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
ⰂcⰏa	Ⰲcclesia	7	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
animaⰆ	animam	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
canonuⰆ	canonum	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
ecⰏa	ecclesia	6	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
emⰇdationeⰆ	emendationem	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
excoⰆmunicatⰊ	excommunicatus	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
factuⰆ	factum	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
gⰈ	igitur	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
iuramⰇto	iuramento	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
missaⰆ	missam	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
nuⰆquaⰆ	numquam	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰆibⰊ	omnibus	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰇia	omnia	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
queⰆ	quem	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
scⰇs	sanctus	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
sicⰇ	sicut	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
similitⰇ	similiter	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
spⰇs	spiritus	6	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
taleⰆ	talem	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
uanuⰆ	uanum	6	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
uoⰄ	uobis	6	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
NaⰆ	Nam	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
aliqⰈs	aliquis	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
annuⰆ	annum	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
archiepⰇs	archiepiscopus	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
bannuⰆ	bannum	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
coraⰆ	coram	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
coⰆmunicet	communicet	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇiugii	coniugii	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇsilio	consilio	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
daⰆnuⰆ	damnum	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
dictuⰆ	dictum	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
dignaⰆ	dignam	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
dnⰇe	domine	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
eⰀⰀe	esse	5	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
fideⰆ	fidem	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
frⰇis	fratris	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
frⰇs	fratres	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
generationeⰆ	generationem	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
inuiceⰆ	inuicem	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
iustuⰆ	iustum	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
naⰆqⰛ	namque	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰆibⰛ	omnibus	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
omⰇa	omnia	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
penitentiaⰆ	penitentiam	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
publicaⰆ	publicam	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
pⰄr	presbiter	5	SUSPENSION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
pⰄri	presbiteri	5	CONTRACTION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
quicⰕd	quicquid	5	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
qⰇ	quae	5	SUSPENSION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
sacerdotibⰛ	sacerdotibus	5	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
sacramⰇtuⰆ	sacramentum	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
scⰇę	sanctę	5	CONTRACTION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
separentⰜ	separentur	5	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
septeⰆ	septem	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
septimaⰆ	septimam	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
seruuⰆ	seruum	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
seⰆⰑ	semper	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
soluatⰜ	soluatur	5	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
teⰆpore	tempore	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
tuaⰆ	tuam	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
unaⰆ	unam	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
utruⰆ	utrum	5	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
xpⰇianis	christianis	5	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
Ⱅd	quid	5	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
EpⰇs	Episcopus	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
QuibⰊ	Quibus	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
altⰇ	alter	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
angloruⰆ	anglorum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
apⰏm	apostolum	4	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
apⰏoⰗ	apostolorum	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
aqⰋ	aqua	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
auctoritateⰆ	auctoritatem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
capilluⰆ	capillum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
carneⰆ	carnem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
cibuⰆ	cibum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
coⰆmissuⰆ	commissum	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
culpaⰆ	culpam	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
cⰇsortio	consortio	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇtentiones	contentiones	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇtinentⰜ	continentur	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
decretuⰆ	decretum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
deponatⰜ	deponatur	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
dieruⰆ	dierum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
dieⰆ	diem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
dignuⰆ	dignum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
epⰇm	episcopum	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
feriaⰆ	feriam	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
habeatⰜ	habeatur	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
illoruⰆ	illorum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
iniquitateⰆ	iniquitatem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
inuenitⰜ	inuenitur	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
iuramⰇta	iuramenta	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
iⰁ	id     est	4	SUSPENSION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
legeⰆ	legem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
mⰇte	mente	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
nrⰇ	noster	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
nrⰇis	nostris	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
nrⰇm	nostrum	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
nrⰇo	nostro	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
nulluⰆ	nullum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
paceⰆ	pacem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
paritⰇ	pariter	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
poe nitentiaⰆ 	poenitentiam	4	OTHER_SUBSTITUTION	true	true	false	SELF_SUFFICIENT
poeni tentiaⰆ 	poenitentiam	4	OTHER_SUBSTITUTION	true	true	false	SELF_SUFFICIENT
potestateⰆ	potestatem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
poteⰆ	potest	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
pⰂnitentiaⰆ	pⰂnitentiam	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
pⰄro	presbitero	4	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
pⰆceptuⰆ	praeceptum	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
queⰆlibet	quemlibet	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
quideⰆ	quidem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
quoⰗ	quorum	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
qⰉlibet	quolibet	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
qⰉmⰉ	quomodo	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
qⰉusqⰛ	quousque	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
regnuⰆ	regnum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
reruⰆ	rerum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
sacramⰇto	sacramento	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
sacrilegiuⰆ	sacrilegium	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
satisfactioneⰆ	satisfactionem	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
scⰁo	secundo	4	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
scⰇis	sanctis	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
scⰇo	sancto	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
scⰏi	seculi	4	CONTRACTION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
separetⰜ	separetur	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
statuimⰊ	statuimus	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
taⰆquaⰆ	tamquam	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
triplicibⰊ	triplicibus	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
tuuⰆ	tuum	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
tⰇcio	tercio	4	CONTRACTION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
ueniaⰆ	ueniam	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
uidetⰜ	uidetur	4	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
uindictaⰆ	uindictam	4	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
xpⰇiano	christiano	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
xpⰇianoⰗ	christianorum	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
xpⰇianus	christianus	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
xpⰇo	Christo	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
ⰂccⰏam	Ⰲcclesiam	4	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
ⰂcⰏam	ecclesiam	4	CONTRACTION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
ⰂcⰏaruⰆ	ecclesiarum	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
Ⱁiurio	periurio	4	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
ⰓpⰈa	propria	4	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
QuicuⰆqⰛ	Quicumque	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
QuoⰗ	Quorum	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
SintqⰛ	Sintque	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
SⰛ	Sed	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
adulteriuⰆ	adulterium	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
aduⰇsus	aduersus	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
alitⰇ	aliter	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
alteraⰆ	alteram	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
annoruⰆ	annorum	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
apⰏis	apostolis	3	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
aquaⰆ	aquam	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
auruⰆ	aurum	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
auteⰆ	autem	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
baptismuⰆ	baptismum	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
bonuⰆ	bonum	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
canonicaⰆ	canonicam	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
coactⰊ	coactus	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
conuersationeⰆ	conuersationem	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
coⰆmiserit	commiserit	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
coⰆmissis	commissis	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
coⰆmunionem	communionem	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
coⰆpositione	compositione	3	CONTRACTION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
coⰆpositioneⰆ	compositionem	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
crimⰇ	crimen	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
crudelitⰇ	crudeliter	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
cupiditateⰆ	cupiditatem	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
cⰇfessioneⰆ	confessionem	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇiugio	coniugio	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇsanguinitas	consanguinitas	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇsecrata	consecrata	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇsobrini	consobrini	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
decernimⰊ	decernimus	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
depⰆdationes	depraedationes	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
diiudicetⰜ	diiudicetur	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
diligentⰇ	diligenter	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
diuⰇsa	diuersa	3	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
dominuⰆ	dominum	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
domuⰆ	domum	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
duoⰗ	duorum	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
duplicantⰜ	duplicantur	3	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
ebdomadaⰆ	ebdomadam	3	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
eccⰏam	ecclesiam	3	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
ecⰏam	ecclesiam	3	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
