scope	sx_id	value	note
koeln-edd-c-119-11.xml	SX4_POSITIONAL_ABBREVIATION_PREFERENCE	0.0563919	line-initial minus non-initial mean contraction rate (n_initial=1098, n_non_initial=1785)
koeln-edd-c-119-11.xml	SX5_CONTEXT_DEPENDENCE	0.00688705	fraction of abbreviated-form types with >=2 observed distinct expansions
koeln-edd-c-119-11.xml	SX6_MANY_TO_ONE_MAPPING	1.12821	distinct abbreviated-form types / distinct expansion types
koeln-edd-c-119-11.xml	SX7_ABBREVIATION_GRAPH_DENSITY	0.000782352	bipartite (abbr type, expan type) edge density
koeln-edd-c-119-12.xml	SX1_CONTRACTION_RATE	0.39952	mean fraction of expanded letters removed by the real abbreviation, alignment heuristic in shorthandnull.go
koeln-edd-c-119-12.xml	SX2_EXPANSION_AMBIGUITY	1	mean number of distinct expansions per distinct abbreviated surface form
koeln-edd-c-119-12.xml	SX3_ABBREVIATION_FAMILY_REUSE	0.421776	Gini coefficient of (abbr,expan) pair occurrence counts; higher = a few forms dominate reuse
koeln-edd-c-119-12.xml	SX4_POSITIONAL_ABBREVIATION_PREFERENCE	0.0395892	line-initial minus non-initial mean contraction rate (n_initial=424, n_non_initial=667)
koeln-edd-c-119-12.xml	SX5_CONTEXT_DEPENDENCE	0	fraction of abbreviated-form types with >=2 observed distinct expansions
koeln-edd-c-119-12.xml	SX6_MANY_TO_ONE_MAPPING	1.09962	distinct abbreviated-form types / distinct expansion types
koeln-edd-c-119-12.xml	SX7_ABBREVIATION_GRAPH_DENSITY	0.0018797	bipartite (abbr type, expan type) edge density
koeln-edd-c-119-13.xml	SX1_CONTRACTION_RATE	0.391382	mean fraction of expanded letters removed by the real abbreviation, alignment heuristic in shorthandnull.go
koeln-edd-c-119-13.xml	SX2_EXPANSION_AMBIGUITY	1	mean number of distinct expansions per distinct abbreviated surface form
koeln-edd-c-119-13.xml	SX3_ABBREVIATION_FAMILY_REUSE	0.324455	Gini coefficient of (abbr,expan) pair occurrence counts; higher = a few forms dominate reuse
koeln-edd-c-119-13.xml	SX4_POSITIONAL_ABBREVIATION_PREFERENCE	0.0690881	line-initial minus non-initial mean contraction rate (n_initial=261, n_non_initial=287)
koeln-edd-c-119-13.xml	SX5_CONTEXT_DEPENDENCE	0	fraction of abbreviated-form types with >=2 observed distinct expansions
koeln-edd-c-119-13.xml	SX6_MANY_TO_ONE_MAPPING	1.08308	distinct abbreviated-form types / distinct expansion types
koeln-edd-c-119-13.xml	SX7_ABBREVIATION_GRAPH_DENSITY	0.00307692	bipartite (abbr type, expan type) edge density
