scale	metric_id	classification	f2_expanded	expanded_available	f2_abbreviated	abbreviated_available	tokens_expanded	tokens_abbreviated
koeln-edd-c-119-07.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.593547	true	0.633109	true	885	885
koeln-edd-c-119-07.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.471022	true	0.559569	true	885	885
koeln-edd-c-119-07.xml	cs2/prev-family-current-family	SUPPORTING		false		false	885	885
koeln-edd-c-119-07.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true	0	true	885	885
koeln-edd-c-119-07.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true	0	true	885	885
koeln-edd-c-119-07.xml	cs1/family-line-position	SUPPORTING		false		false	885	885
koeln-edd-c-119-07.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	885	885
koeln-edd-c-119-07.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0605284	true	0.0385533	true	885	885
koeln-edd-c-119-11.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0318076	true	0.077037	true	2883	2871
koeln-edd-c-119-11.xml	EF2_GLOBAL_CLUSTERING	CORE	0.346154	true	0.391304	true	2883	2871
koeln-edd-c-119-11.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.296761	true	0.367136	true	2883	2871
koeln-edd-c-119-11.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true	0	true	2883	2871
koeln-edd-c-119-11.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true	0	true	2883	2871
koeln-edd-c-119-11.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true	0	true	2883	2871
koeln-edd-c-119-11.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true	0	true	2883	2871
koeln-edd-c-119-11.xml	EF1_ISOLATE_SHARE	SUPPORTING	0.652444	true	0.631111	true	2883	2871
koeln-edd-c-119-11.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.523652	true	0.453797	true	2883	2871
koeln-edd-c-119-11.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.540803	true	0.56292	true	2883	2871
koeln-edd-c-119-11.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.402576	true	0.480933	true	2883	2871
koeln-edd-c-119-11.xml	cs2/prev-family-current-family	SUPPORTING		false		false	2883	2871
koeln-edd-c-119-11.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true	0	true	2883	2871
koeln-edd-c-119-11.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true	0	true	2883	2871
koeln-edd-c-119-11.xml	cs1/family-line-position	SUPPORTING		false		false	2883	2871
koeln-edd-c-119-11.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	2883	2871
koeln-edd-c-119-11.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.00383922	true	0.0215276	true	2883	2871
koeln-edd-c-119-12.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0526316	true	0.0920578	true	1091	1091
koeln-edd-c-119-12.xml	EF2_GLOBAL_CLUSTERING	CORE	0.461538	true	0.554566	true	1091	1091
koeln-edd-c-119-12.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.225054	true	0.370843	true	1091	1091
koeln-edd-c-119-12.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true	0	true	1091	1091
koeln-edd-c-119-12.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true	0	true	1091	1091
koeln-edd-c-119-12.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true	0	true	1091	1091
koeln-edd-c-119-12.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true	0	true	1091	1091
koeln-edd-c-119-12.xml	EF1_ISOLATE_SHARE	SUPPORTING	0.761278	true	0.700361	true	1091	1091
koeln-edd-c-119-12.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.299476	true	0.227468	true	1091	1091
koeln-edd-c-119-12.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.586554	true	0.617754	true	1091	1091
koeln-edd-c-119-12.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.455044	true	0.538335	true	1091	1091
koeln-edd-c-119-12.xml	cs2/prev-family-current-family	SUPPORTING		false		false	1091	1091
koeln-edd-c-119-12.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true	0	true	1091	1091
koeln-edd-c-119-12.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true	0	true	1091	1091
koeln-edd-c-119-12.xml	cs1/family-line-position	SUPPORTING		false		false	1091	1091
koeln-edd-c-119-12.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	1091	1091
koeln-edd-c-119-12.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.00870897	true	0.02715	true	1091	1091
koeln-edd-c-119-13.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0154321	true	0.0347826	true	548	548
koeln-edd-c-119-13.xml	EF2_GLOBAL_CLUSTERING	CORE	0.387097	true	0.608392	true	548	548
koeln-edd-c-119-13.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.174114	true	0.303129	true	548	548
koeln-edd-c-119-13.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true	0	true	548	548
koeln-edd-c-119-13.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true	0	true	548	548
koeln-edd-c-119-13.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true	0	true	548	548
koeln-edd-c-119-13.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true	0	true	548	548
koeln-edd-c-119-13.xml	EF1_ISOLATE_SHARE	SUPPORTING	0.796296	true	0.747826	true	548	548
koeln-edd-c-119-13.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.221228	true	0.15597	true	548	548
koeln-edd-c-119-13.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.626422	true	0.653362	true	548	548
koeln-edd-c-119-13.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.477308	true	0.561181	true	548	548
koeln-edd-c-119-13.xml	cs2/prev-family-current-family	SUPPORTING		false		false	548	548
koeln-edd-c-119-13.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true	0	true	548	548
koeln-edd-c-119-13.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true	0	true	548	548
koeln-edd-c-119-13.xml	cs1/family-line-position	SUPPORTING		false		false	548	548
koeln-edd-c-119-13.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	548	548
koeln-edd-c-119-13.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.00713517	true	0.059715	true	548	548
