abbr_text	n_observed_expansions	expansions	ambiguous	info_class
RogationuⰆ	1	Rogationum	false	SELF_SUFFICIENT
SacramⰇtouⰆ	1	Sacramentoum	false	SELF_SUFFICIENT
SacramⰇtuⰆ	1	Sacramentum	false	SELF_SUFFICIENT
SaluuⰆ	1	Saluum	false	SELF_SUFFICIENT
SanctⰊ	1	Sanctus	false	SELF_SUFFICIENT
ScimⰊ	1	Scimus	false	SELF_SUFFICIENT
Scrip tuⰆ 	1	Scriptum	false	SELF_SUFFICIENT
ScriptuⰆ	1	Scriptum	false	SELF_SUFFICIENT
ScⰁm	1	Secundum	false	SELF_SUFFICIENT
ScⰁⰂ	1	Secundae	false	SELF_SUFFICIENT
Se cⰁm 	1	Secundum	false	SELF_SUFFICIENT
Si qⰈs	1	quis	false	SELF_SUFFICIENT
SicⰖ	1	Sicque	false	SELF_SUFFICIENT
SimilitⰇ	1	Similiter	false	SELF_SUFFICIENT
SintqⰛ	1	Sintque	false	SELF_SUFFICIENT
SiqⰈs	1	quis	false	SELF_SUFFICIENT
StⰇ	1	Sunt	false	SELF_SUFFICIENT
SuⰆmopere	1	Summopere	false	SELF_SUFFICIENT
SⰛ	1	Sed	false	SELF_SUFFICIENT
TaliuⰆ	1	Talium	false	SELF_SUFFICIENT
TantuⰆ	1	Tantum	false	SELF_SUFFICIENT
Ter ciaⰆ 	1	Terciam	false	SELF_SUFFICIENT
TeⰆpⰊ	1	Tempus	false	SELF_SUFFICIENT
TranquillitateⰆ	1	Tranquillitatem	false	SELF_SUFFICIENT
Tri matⰇtera 	1	Trimatertera	false	SELF_SUFFICIENT
TuⰆ	1	Tum	false	SELF_SUFFICIENT
VeritateⰆ	1	Veritatem	false	SELF_SUFFICIENT
VeruⰆ	1	Verum	false	SELF_SUFFICIENT
VinuⰆ	1	Vinum	false	SELF_SUFFICIENT
VnaⰆ	1	Vnam	false	SELF_SUFFICIENT
VnusquisqⰛ	1	Vnusquisque	false	SELF_SUFFICIENT
VxoreⰆ	1	Vxorem	false	SELF_SUFFICIENT
abauiⰖ	1	abauique	false	SELF_SUFFICIENT
abauuⰊ	1	abauus	false	SELF_SUFFICIENT
abiciuntⰜ	1	abiciuntur	false	SELF_SUFFICIENT
ablatuⰆ	1	ablatum	false	SELF_SUFFICIENT
abmatⰇtęra	1	abmatertⰂra	false	SELF_SUFFICIENT
abominantⰜ	1	abominantur	false	SELF_SUFFICIENT
abqⰛ	1	abque	false	SELF_SUFFICIENT
abscidamⰊ	1	abscidamus	false	SELF_SUFFICIENT
absolutioneⰆ	1	absolutionem	false	SELF_SUFFICIENT
absqⰛ	1	absque	false	SELF_SUFFICIENT
abstinenduⰆ	1	abstinendum	false	SELF_SUFFICIENT
abusioneⰆ	1	abusionem	false	SELF_SUFFICIENT
ac tuⰆ 	1	actum	false	SELF_SUFFICIENT
accedenduⰆ	1	accedendum	false	SELF_SUFFICIENT
accepimⰊ	1	accepimus	false	SELF_SUFFICIENT
acceptaⰆ	1	acceptam	false	SELF_SUFFICIENT
accipiun tⰜ 	1	accipiuntur	false	SELF_SUFFICIENT
accipiuntⰜ	1	accipiuntur	false	SELF_SUFFICIENT
accoⰆmodare	1	accommodare	false	SELF_SUFFICIENT
acritⰇ	1	acriter	false	SELF_SUFFICIENT
actionibⰊ	1	actionibus	false	SELF_SUFFICIENT
actuⰆ	1	actum	false	SELF_SUFFICIENT
acutⰊ	1	acutus	false	SELF_SUFFICIENT
adeeⰇ	1	adesse	false	SELF_SUFFICIENT
adiecimⰊ	1	adiecimus	false	SELF_SUFFICIENT
adimpleantⰜ	1	adimpleantur	false	SELF_SUFFICIENT
adimpletⰜ	1	adimpletur	false	SELF_SUFFICIENT
adituⰆ	1	aditum	false	SELF_SUFFICIENT
aditⰊ	1	aditus	false	SELF_SUFFICIENT
adiunxerimⰊ	1	adiunxerimus	false	SELF_SUFFICIENT
administrauerⰇ	1	administrauerunt	false	SELF_SUFFICIENT
admis soⰗ 	1	admissorum	false	SELF_SUFFICIENT
admittantⰜ	1	admittantur	false	SELF_SUFFICIENT
admittatⰜ	1	admittatur	false	SELF_SUFFICIENT
admonicionibⰛ	1	admonicionibus	false	SELF_SUFFICIENT
admonitⰊ	1	admonitus	false	SELF_SUFFICIENT
adnumeratⰊ	1	adnumeratus	false	SELF_SUFFICIENT
adsuⰆpserit	1	adsumpserit	false	SELF_SUFFICIENT
adulteriuⰆ	1	adulterium	false	SELF_SUFFICIENT
adultⰇ	1	adulter	false	SELF_SUFFICIENT
aduⰇsus	1	aduersus	false	SELF_SUFFICIENT
adⰓbationeⰆ	1	adprobationem	false	SELF_SUFFICIENT
aeccⰏam	1	aecclesiam	false	SELF_SUFFICIENT
aequuⰆ	1	aequum	false	SELF_SUFFICIENT
affectibⰛ	1	affectibus	false	SELF_SUFFICIENT
affectuⰆ	1	affectum	false	SELF_SUFFICIENT
affligimⰜ	1	affligimur	false	SELF_SUFFICIENT
agaⰆ	1	agam	false	SELF_SUFFICIENT
agenduⰆ	1	agendum	false	SELF_SUFFICIENT
agentibⰛ	1	agentibus	false	SELF_SUFFICIENT
albuⰆ	1	album	false	SELF_SUFFICIENT
alexandrinuⰆ	1	alexandrinum	false	SELF_SUFFICIENT
ali quantuⰆ 	1	aliquantum	false	SELF_SUFFICIENT
ali Ⱅd 	1	aliquid	false	SELF_SUFFICIENT
aliaⰆ	1	aliam	false	SELF_SUFFICIENT
aliaⰆqⰛ	1	aliamque	false	SELF_SUFFICIENT
alicuiⰊ	1	alicuius	false	SELF_SUFFICIENT
alienaⰆ	1	alienam	false	SELF_SUFFICIENT
aliisqⰛ	1	aliisque	false	SELF_SUFFICIENT
aliisⰖ	1	aliisque	false	SELF_SUFFICIENT
alioruⰆ	1	aliorum	false	SELF_SUFFICIENT
alioⰗ	1	aliorum	false	SELF_SUFFICIENT
aliquaⰆ	1	aliquam	false	SELF_SUFFICIENT
aliqueⰆ	1	aliquem	false	SELF_SUFFICIENT
aliqⰁ	1	aliquod	false	SELF_SUFFICIENT
aliqⰈ	1	aliqui	false	SELF_SUFFICIENT
aliqⰈbⰛ	1	aliquibus	false	SELF_SUFFICIENT
aliqⰈs	1	aliquis	false	SELF_SUFFICIENT
aliqⰉ	1	aliquo	false	SELF_SUFFICIENT
aliqⰋ	1	aliqua	false	SELF_SUFFICIENT
aliqⰋn do 	1	aliquando	false	SELF_SUFFICIENT
alitⰇ	1	aliter	false	SELF_SUFFICIENT
aliuⰆ	1	alium	false	SELF_SUFFICIENT
aliⰕd	1	aliquid	false	SELF_SUFFICIENT
alloqⰈ	1	alloqui	false	SELF_SUFFICIENT
almoruⰆ	1	almorum	false	SELF_SUFFICIENT
altaribⰛ	1	altaribus	false	SELF_SUFFICIENT
alteraⰆ	1	alteram	false	SELF_SUFFICIENT
alteruⰆ	1	alterum	false	SELF_SUFFICIENT
altⰇ	1	alter	false	SELF_SUFFICIENT
aluⰆno	1	alumno	false	SELF_SUFFICIENT
amicabilitⰇ	1	amicabiliter	false	SELF_SUFFICIENT
amicuⰆ	1	amicum	false	SELF_SUFFICIENT
ammonicioneⰆ	1	ammonicionem	false	SELF_SUFFICIENT
amoreⰆ	1	amorem	false	SELF_SUFFICIENT
amplectabamⰜ	1	amplectabamur	false	SELF_SUFFICIENT
amⰇ	1	amen	false	SELF_SUFFICIENT
amⰉ	1	amodo	false	SELF_SUFFICIENT
an cillaⰆ 	1	ancillam	false	SELF_SUFFICIENT
ana thematizatuⰆ 	1	anathematizatum	false	SELF_SUFFICIENT
anathe matizetⰜ 	1	anathematizetur	false	SELF_SUFFICIENT
anathematizatⰊ	1	anathematizatus	false	SELF_SUFFICIENT
anathematizentⰜⰞ	1	anathematizenturⰞ	false	SELF_SUFFICIENT
anathematizetⰜ	1	anathematizetur	false	SELF_SUFFICIENT
ancillaⰆ	1	ancillam	false	SELF_SUFFICIENT
angloruⰆ	1	anglorum	false	SELF_SUFFICIENT
angloⰗ	1	anglorum	false	SELF_SUFFICIENT
ani maruⰆ 	1	animarum	false	SELF_SUFFICIENT
animaⰆ	1	animam	false	SELF_SUFFICIENT
annaniaⰆ	1	annaniam	false	SELF_SUFFICIENT
annoruⰆ	1	annorum	false	SELF_SUFFICIENT
annoⰗ	1	annorum	false	SELF_SUFFICIENT
annuntietⰜ	1	annuntietur	false	SELF_SUFFICIENT
annuⰆ	1	annum	false	SELF_SUFFICIENT
antequaⰆ	1	antequam	false	SELF_SUFFICIENT
antiocenvⰆ	1	antiocenvm	false	SELF_SUFFICIENT
antiqⰈoribⰊ	1	antiquioribus	false	SELF_SUFFICIENT
apellatⰜ	1	apellatur	false	SELF_SUFFICIENT
apostasiaⰆ	1	apostasiam	false	SELF_SUFFICIENT
appel lantⰜ 	1	appellantur	false	SELF_SUFFICIENT
appellantⰜ	1	appellantur	false	SELF_SUFFICIENT
appⰆhensa	1	apprehensa	false	SELF_SUFFICIENT
apⰁ	1	apud	false	SELF_SUFFICIENT
apⰇtiosi	1	apretiosi	false	SELF_SUFFICIENT
apⰏi	1	apostoli	false	SELF_SUFFICIENT
apⰏi cis 	1	apostolicis	false	SELF_SUFFICIENT
apⰏica	1	apostolica	false	SELF_SUFFICIENT
apⰏicaⰆ	1	apostolicam	false	SELF_SUFFICIENT
apⰏicis	1	apostolicis	false	SELF_SUFFICIENT
apⰏicⰂ	1	apostolicⰂ	false	SELF_SUFFICIENT
apⰏis	1	apostolis	false	SELF_SUFFICIENT
apⰏm	1	apostolum	false	SELF_SUFFICIENT
apⰏoruⰆ	1	apostolorum	false	SELF_SUFFICIENT
apⰏoⰗ	1	apostolorum	false	SELF_SUFFICIENT
apⰏoⰗqⰛ	1	apostolorumque	false	SELF_SUFFICIENT
apⰏs	1	apostolus	false	SELF_SUFFICIENT
apⰓbataⰆ	1	approbatam	false	SELF_SUFFICIENT
apⰓpinquante	1	appropinquante	false	SELF_SUFFICIENT
aquaⰆ	1	aquam	false	SELF_SUFFICIENT
aqⰋ	1	aqua	false	SELF_SUFFICIENT
arboreⰆ	1	arborem	false	SELF_SUFFICIENT
archi epⰇs 	1	archiepiscopus	false	SELF_SUFFICIENT
archiepⰇi	1	archiepiscopi	false	SELF_SUFFICIENT
archiepⰇs	1	archiepiscopus	false	SELF_SUFFICIENT
arduaⰆ	1	arduam	false	SELF_SUFFICIENT
arguebamⰜ	1	arguebamur	false	SELF_SUFFICIENT
arguebantⰜ	1	arguebantur	false	SELF_SUFFICIENT
arguitⰜ	1	arguitur	false	SELF_SUFFICIENT
arripiantⰜ	1	arripiantur	false	SELF_SUFFICIENT
assensuⰆ	1	assensum	false	SELF_SUFFICIENT
assuⰆpserit	1	assumpserit	false	SELF_SUFFICIENT
astrictⰊ	1	astrictus	false	SELF_SUFFICIENT
asⰑsi	1	aspersi	false	SELF_SUFFICIENT
atqⰛ	1	atque	false	SELF_SUFFICIENT
atqⰟ	1	atque	false	SELF_SUFFICIENT
attenditⰜ	1	attenditur	false	SELF_SUFFICIENT
au  diuimⰊ 	1	au diuimus	false	SELF_SUFFICIENT
auariciaⰆ	1	auariciam	false	SELF_SUFFICIENT
auctorita teⰆ 	1	auctoritatem	false	SELF_SUFFICIENT
auctoritateⰆ	1	auctoritatem	false	SELF_SUFFICIENT
audiatⰜ	1	audiatur	false	SELF_SUFFICIENT
audientiaⰆ	1	audientiam	false	SELF_SUFFICIENT
audientibⰊ	1	audientibus	false	SELF_SUFFICIENT
audituⰆ	1	auditum	false	SELF_SUFFICIENT
auferatⰜ	1	auferatur	false	SELF_SUFFICIENT
auferⰇ	1	auferunt	false	SELF_SUFFICIENT
augustinⰊ	1	augustinus	false	SELF_SUFFICIENT
aureⰆ	1	aurem	false	SELF_SUFFICIENT
auribⰊ	1	auribus	false	SELF_SUFFICIENT
auribⰛ	1	auribus	false	SELF_SUFFICIENT
auruⰆ	1	aurum	false	SELF_SUFFICIENT
austeraⰆ	1	austeram	false	SELF_SUFFICIENT
auteⰆ	1	autem	false	SELF_SUFFICIENT
autⰇ	1	autem	false	SELF_SUFFICIENT
auunculuⰊ	1	auunculus	false	SELF_SUFFICIENT
auxilivⰆ	1	auxilivm	false	SELF_SUFFICIENT
auⰆ	1	autem	false	SELF_SUFFICIENT
auⰇ	1	autem	false	SELF_SUFFICIENT
aⰆpⰏius	1	amplius	false	SELF_SUFFICIENT
aⰑta	1	aperta	false	SELF_SUFFICIENT
bachantivⰆ	1	bachantivm	false	SELF_SUFFICIENT
bannuⰆ	1	bannum	false	SELF_SUFFICIENT
baptismuⰆ	1	baptismum	false	SELF_SUFFICIENT
beatⰊ	1	beatus	false	SELF_SUFFICIENT
bene ficiuⰆ 	1	beneficium	false	SELF_SUFFICIENT
beneficiuⰆ	1	beneficium	false	SELF_SUFFICIENT
beneuolentiaⰆ	1	beneuolentiam	false	SELF_SUFFICIENT
bonaⰆ	1	bonam	false	SELF_SUFFICIENT
bonoruⰆ	1	bonorum	false	SELF_SUFFICIENT
bonoⰗ	1	bonorum	false	SELF_SUFFICIENT
bonuⰆ	1	bonum	false	SELF_SUFFICIENT
ca nonuⰆ 	1	canonum	false	SELF_SUFFICIENT
caelebrantⰜ	1	caelebrantur	false	SELF_SUFFICIENT
cal tiamⰇta 	1	caltiamenta	false	SELF_SUFFICIENT
calumniatⰊ	1	calumniatus	false	SELF_SUFFICIENT
caluⰆmiis	1	calummiis	false	SELF_SUFFICIENT
caluⰆnia	1	calumnia	false	SELF_SUFFICIENT
caluⰆniatus	1	calumniatus	false	SELF_SUFFICIENT
caluⰆniatⰊ	1	calumniatus	false	SELF_SUFFICIENT
cano nuⰆ 	1	canonum	false	SELF_SUFFICIENT
canonibⰊ	1	canonibus	false	SELF_SUFFICIENT
canonibⰛ	1	canonibus	false	SELF_SUFFICIENT
canonicaⰆ	1	canonicam	false	SELF_SUFFICIENT
canonicuⰆ	1	canonicum	false	SELF_SUFFICIENT
canonuⰆ	1	canonum	false	SELF_SUFFICIENT
capi taleⰆ 	1	capitalem	false	SELF_SUFFICIENT
capilluⰆ	1	capillum	false	SELF_SUFFICIENT
capitaleⰆ	1	capitalem	false	SELF_SUFFICIENT
capitulariuⰆ	1	capitularium	false	SELF_SUFFICIENT
captiuoⰅ	1	captiuos	false	SELF_SUFFICIENT
captⰊ	1	captus	false	SELF_SUFFICIENT
capⰇ	1	capitulo	false	SELF_SUFFICIENT
carduuⰆ	1	carduum	false	SELF_SUFFICIENT
caritateⰆ	1	caritatem	false	SELF_SUFFICIENT
carneⰆ	1	carnem	false	SELF_SUFFICIENT
carnibⰛ	1	carnibus	false	SELF_SUFFICIENT
carniuⰆ	1	carnium	false	SELF_SUFFICIENT
cartaⰆ	1	cartam	false	SELF_SUFFICIENT
cas suⰆ 	1	cassum	false	SELF_SUFFICIENT
castigetⰜ	1	castigetur	false	SELF_SUFFICIENT
cate cuminⰊ 	1	catecuminus	false	SELF_SUFFICIENT
catecuminoruⰆ	1	catecuminorum	false	SELF_SUFFICIENT
catⰇ	1	catio	false	SELF_SUFFICIENT
cauenduⰆ	1	cauendum	false	SELF_SUFFICIENT
causantⰜ	1	causantur	false	SELF_SUFFICIENT
causaⰆ	1	causam	false	SELF_SUFFICIENT
cautelaⰆ	1	cautelam	false	SELF_SUFFICIENT
cautuⰆ	1	cautum	false	SELF_SUFFICIENT
ce lebrarentⰜ 	1	celebrarentur	false	SELF_SUFFICIENT
ce lebrentⰜ 	1	celebrentur	false	SELF_SUFFICIENT
cele ritⰇ 	1	celeriter	false	SELF_SUFFICIENT
celebrantⰜ	1	celebrantur	false	SELF_SUFFICIENT
celelebretⰜ	1	celelebretur	false	SELF_SUFFICIENT
cenaⰆ	1	cenam	false	SELF_SUFFICIENT
censemⰊ	1	censemus	false	SELF_SUFFICIENT
censuimⰊ	1	censuimus	false	SELF_SUFFICIENT
ceperimⰊ	1	ceperimus	false	SELF_SUFFICIENT
ceruisaⰆ	1	ceruisam	false	SELF_SUFFICIENT
ceteroruⰆ	1	ceterorum	false	SELF_SUFFICIENT
ceteruⰆqⰛ	1	ceterumque	false	SELF_SUFFICIENT
cetⰇ	1	cetera	false	SELF_SUFFICIENT
ciboruⰆ	1	ciborum	false	SELF_SUFFICIENT
ciboⰗ	1	ciborum	false	SELF_SUFFICIENT
cibuⰆ	1	cibum	false	SELF_SUFFICIENT
cibvⰆ	1	cibvm	false	SELF_SUFFICIENT
cidiuⰆ	1	cidium	false	SELF_SUFFICIENT
cinguluⰆ	1	cingulum	false	SELF_SUFFICIENT
circuluⰆ	1	circulum	false	SELF_SUFFICIENT
circuⰆmanentes	1	circummanentes	false	SELF_SUFFICIENT
circuⰆscriptione	1	circumscriptione	false	SELF_SUFFICIENT
circuⰆstare	1	circumstare	false	SELF_SUFFICIENT
ciui litⰇ 	1	ciuiliter	false	SELF_SUFFICIENT
ciuibⰛ	1	ciuibus	false	SELF_SUFFICIENT
clamoreⰆ	1	clamorem	false	SELF_SUFFICIENT
clauditⰜ	1	clauditur	false	SELF_SUFFICIENT
clementiaⰆ	1	clementiam	false	SELF_SUFFICIENT
clemⰇtis	1	clementis	false	SELF_SUFFICIENT
clericoruⰆ	1	clericorum	false	SELF_SUFFICIENT
clericoⰗ	1	clericorum	false	SELF_SUFFICIENT
clericuⰆ	1	clericum	false	SELF_SUFFICIENT
clⰂruⰆ	1	clⰂrum	false	SELF_SUFFICIENT
co gnoscitⰜ 	1	cognoscitur	false	SELF_SUFFICIENT
coactⰊ	1	coactus	false	SELF_SUFFICIENT
coepⰇi	1	coepiscopi	false	SELF_SUFFICIENT
coepⰇis	1	coepiscopis	false	SELF_SUFFICIENT
coepⰇm	1	coepiscopum	false	SELF_SUFFICIENT
coepⰇo	1	coepiscopo	false	SELF_SUFFICIENT
coepⰇoⰗ	1	coepiscoporum	false	SELF_SUFFICIENT
cogantⰜ	1	cogantur	false	SELF_SUFFICIENT
cogatⰜ	1	cogatur	false	SELF_SUFFICIENT
cognouerimⰊ	1	cognouerimus	false	SELF_SUFFICIENT
cognouimⰊ	1	cognouimus	false	SELF_SUFFICIENT
coher ceatⰜ 	1	coherceatur	false	SELF_SUFFICIENT
colloqⰋmini	1	colloquamini	false	SELF_SUFFICIENT
colonoⰗ	1	colonorum	false	SELF_SUFFICIENT
com munioneⰆ 	1	communionem	false	SELF_SUFFICIENT
commenitⰊ	1	commenitus	false	SELF_SUFFICIENT
commissaⰆ	1	commissam	false	SELF_SUFFICIENT
communioneⰆ	1	communionem	false	SELF_SUFFICIENT
comⰆune	1	commune	false	SELF_SUFFICIENT
con fessioneⰆ 	1	confessionem	false	SELF_SUFFICIENT
con spicitⰜ 	1	conspicitur	false	SELF_SUFFICIENT
con suetudineⰆ 	1	consuetudinem	false	SELF_SUFFICIENT
con teⰆpserit 	1	contempserit	false	SELF_SUFFICIENT
conatⰜ	1	conatur	false	SELF_SUFFICIENT
concedatⰜ	1	concedatur	false	SELF_SUFFICIENT
concedimⰊ	1	concedimus	false	SELF_SUFFICIENT
concessaⰆ	1	concessam	false	SELF_SUFFICIENT
conclamatuⰆ	1	conclamatum	false	SELF_SUFFICIENT
concubinaⰆ	1	concubinam	false	SELF_SUFFICIENT
condemnetⰜ	1	condemnetur	false	SELF_SUFFICIENT
condeⰆnari	1	condemnari	false	SELF_SUFFICIENT
confessioneⰆ	1	confessionem	false	SELF_SUFFICIENT
confidimⰊ	1	confidimus	false	SELF_SUFFICIENT
coniugiuⰆ	1	coniugium	false	SELF_SUFFICIENT
conlaudatuⰆ	1	conlaudatum	false	SELF_SUFFICIENT
conlaudetⰜ	1	conlaudetur	false	SELF_SUFFICIENT
conpensantⰜ	1	conpensantur	false	SELF_SUFFICIENT
conscientiaⰆ	1	conscientiam	false	SELF_SUFFICIENT
consecratⰊ	1	consecratus	false	SELF_SUFFICIENT
consequantⰜ	1	consequantur	false	SELF_SUFFICIENT
consiliuⰆ	1	consilium	false	SELF_SUFFICIENT
consobrinaⰆ	1	consobrinam	false	SELF_SUFFICIENT
conteⰆpnat	1	contempnat	false	SELF_SUFFICIENT
conteⰆpnentes	1	contempnentes	false	SELF_SUFFICIENT
conteⰆpnunt	1	contempnunt	false	SELF_SUFFICIENT
conteⰆpserⰇ	1	contempserunt	false	SELF_SUFFICIENT
conti nentⰜ 	1	continentur	false	SELF_SUFFICIENT
continentiaⰆ	1	continentiam	false	SELF_SUFFICIENT
conubiuⰆ	1	conubium	false	SELF_SUFFICIENT
conuersationeⰆ	1	conuersationem	false	SELF_SUFFICIENT
copulaⰆ	1	copulam	false	SELF_SUFFICIENT
copuletⰜ	1	copuletur	false	SELF_SUFFICIENT
coquuntⰜ	1	coquuntur	false	SELF_SUFFICIENT
