sequence	n	canonical_occurrences	physical_blocks	joint_classes	max_block_fraction	shuffle_block_fdr_q
dar ol	2	8	3	2	0.5714285714285714	0.48373132244099987
dy daiin	2	9	4	2	0.375	0.5932467532467532
l chedy	2	11	3	2	0.5714285714285714	0.04889228418640183
l s	2	9	3	3	0.4	0.025974025974025976
o aiin	2	7	3	2	0.5	0.13057213057213057
o l	2	26	6	5	0.4166666666666667	0.006493506493506494
o r	2	7	3	3	0.3333333333333333	0.03801076971808679
okaiin otaiin	2	7	3	2	0.3333333333333333	0.032809295967190705
okar ar	2	12	5	4	0.3333333333333333	0.021645021645021644
ol aiin	2	14	5	4	0.4444444444444444	0.2
ol chey	2	9	4	3	0.42857142857142855	0.10222036028487641
ol daiin	2	9	3	2	0.5	0.8661338661338662
ol kaiin	2	10	3	3	0.42857142857142855	0.04779220779220779
ol or	2	7	4	4	0.5714285714285714	0.4822134387351778
ol s	2	9	6	4	0.375	0.021645021645021644
ol s aiin	3	5	4	3	0.4	0.006493506493506494
ol sheey	2	11	4	4	0.6	0.023976023976023976
or aiiin	2	9	5	4	0.375	0.006493506493506494
or aiin	2	57	15	8	0.21428571428571427	0.006493506493506494
or ain	2	12	6	4	0.3	0.006493506493506494
or air	2	7	6	3	0.16666666666666666	0.006493506493506494
or al	2	8	4	3	0.25	0.04545454545454546
or ar	2	9	6	3	0.16666666666666666	0.06307977736549165
or cheey	2	8	5	5	0.3333333333333333	0.006493506493506494
or chey	2	7	4	3	0.4	0.11630160883892227
or chol	2	7	3	2	0.5	0.29377519032691446
or ol	2	10	4	3	0.42857142857142855	0.5119047619047619
or or aiin	3	4	4	3	0.25	0.006493506493506494
otar ar	2	12	4	3	0.25	0.04014167650531287
qokaiin ol	2	8	4	3	0.5	0.1202226345083488
qokedy otedy	2	7	3	2	0.6666666666666666	0.10389610389610389
qokeedy qokedy	2	12	4	3	0.6	0.021645021645021644
qokeedy qokeey	2	9	3	3	0.5	0.06561859193438141
qokeey daiin	2	10	3	3	0.6	0.3081861958266453
qoky daiin	2	11	3	3	0.5555555555555556	0.20394420394420396
r aiin	2	25	5	4	0.36363636363636365	0.006493506493506494
s aiin	2	59	17	8	0.14285714285714285	0.006493506493506494
s aiin chey	3	4	3	3	0.5	0.006493506493506494
s al	2	8	3	3	0.4	0.04545454545454546
s ar	2	20	9	4	0.16666666666666666	0.006493506493506494
s chol	2	8	6	2	0.2857142857142857	0.04291360813099943
s or	2	12	7	5	0.2222222222222222	0.021645021645021644
s y	2	10	3	2	0.5714285714285714	0.18411967779056387
sar aiin	2	7	4	3	0.25	0.006493506493506494
sar al	2	7	5	4	0.3333333333333333	0.006493506493506494
shedy qokal	2	9	4	3	0.5	0.024242424242424242
shey qokaiin	2	8	4	3	0.375	0.02077922077922078
shol daiin	2	9	5	2	0.5555555555555556	0.1824841824841825
y cheey	2	7	3	3	0.3333333333333333	0.033766233766233764
y daiin	2	8	4	3	0.4	0.48521691074882567
