control	replicate	seed	max_score	max_train_coverage	mapping_size	rule
PSEUDODICTIONARY	19	17259349429133031135	0.160000	0.400000	15	HEAD;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	20	6026655626358203998	0.170000	0.450000	17	TAIL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	21	8224926508542021702	0.150000	0.450000	19	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	22	16150110087924438969	0.125000	0.450000	19	HEAD;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	23	4422715649832185113	0.175000	0.450000	17	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	24	13697572191361218300	0.115000	0.400000	17	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	25	2505633617461565290	0.120000	0.450000	18	HEAD;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	26	8828582861732706284	0.180000	0.500000	18	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	27	10142785234753124795	0.140000	0.450000	16	TAIL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	28	2559614511066574562	0.120000	0.450000	18	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	29	6790583452304674196	0.150000	0.450000	19	HEAD;KEEP;IDENTITY;DELETE_FINAL;SUSPEND_1
PSEUDODICTIONARY	30	5345400617687192594	0.165000	0.500000	18	TAIL;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	31	10282808406892351114	0.120000	0.400000	17	TAIL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	32	10089745166929199756	0.185000	0.500000	19	HEAD;KEEP;IJ_UV;KEEP;PREFIX_3
PSEUDODICTIONARY	33	10262213853358855800	0.135000	0.400000	17	FULL_JOIN;KEEP;VELAR_COLLAPSE;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	34	2691486204344584488	0.155000	0.450000	17	TAIL;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	35	16962662065170976658	0.120000	0.400000	15	HEAD;KEEP;IDENTITY;KEEP;SUSPEND_1
PSEUDODICTIONARY	36	7629483111133557009	0.140000	0.400000	16	HEAD;STRIP_LATIN;IDENTITY;DELETE_FINAL;SUSPEND_1
PSEUDODICTIONARY	37	3461491586204791908	0.125000	0.450000	19	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	38	16036880120387014700	0.135000	0.400000	15	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	39	6628379929449256276	0.125000	0.450000	16	TAIL;KEEP;IDENTITY;KEEP;SUSPEND_2
PSEUDODICTIONARY	40	17342045698437290170	0.165000	0.450000	18	TAIL;KEEP;IJ_UV;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	41	10081157666304803267	0.175000	0.450000	18	TAIL;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	42	16801009698301960274	0.140000	0.400000	16	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	43	15458081377715817859	0.154750	0.450000	16	HEAD;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	44	11232947806905633415	0.155000	0.450000	18	HEAD;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	45	14300458024244019486	0.170000	0.450000	16	FULL_JOIN;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	46	13002874476697593754	0.120000	0.450000	18	TAIL;STRIP_LATIN;IDENTITY;DELETE_FINAL;SUSPEND_2
PSEUDODICTIONARY	47	12907672444605155906	0.175000	0.500000	18	TAIL;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	48	11920815623441635672	0.155000	0.450000	20	DROP_AL;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_4
PSEUDODICTIONARY	49	1010376386062136129	0.115000	0.450000	17	TAIL;KEEP;ARABIC_LATIN;KEEP;PREFIX_3
PSEUDODICTIONARY	50	10686433838745654720	0.165000	0.450000	20	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	51	8223567138856336751	0.130000	0.400000	18	FULL_JOIN;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	52	16276208656197094428	0.170000	0.450000	16	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_4
PSEUDODICTIONARY	53	1158691710143429962	0.160000	0.450000	16	TAIL;KEEP;IDENTITY;DELETE_FINAL;SUSPEND_2
PSEUDODICTIONARY	54	10786056793715631693	0.180000	0.500000	20	FULL_JOIN;KEEP;IJ_UV;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	55	6677694118136184443	0.140000	0.400000	12	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	56	17098093274411533354	0.174750	0.450000	16	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
PSEUDODICTIONARY	57	1822471964488682397	0.130000	0.350000	14	HEAD;KEEP;IDENTITY;DELETE_FINAL;PREFIX_4
PSEUDODICTIONARY	58	10660253200032559237	0.150000	0.400000	16	HEAD;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	59	15497032856611413103	0.140000	0.450000	21	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	60	5462147899513178760	0.125000	0.450000	21	FULL_JOIN;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	61	4893347692021443529	0.144750	0.450000	15	HEAD;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	62	16327197973770633123	0.180000	0.500000	18	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	63	6073050644384488570	0.170000	0.450000	18	DROP_AL;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	64	436094412951278908	0.120000	0.400000	18	FULL_JOIN;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	65	10220033647210455396	0.165000	0.500000	18	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	66	3773842019777560405	0.140000	0.450000	18	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;PREFIX_4
PSEUDODICTIONARY	67	15814125638700258084	0.155000	0.450000	17	HEAD;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
PSEUDODICTIONARY	68	9150462918523582811	0.170000	0.450000	15	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	69	13857020653276339413	0.124750	0.450000	16	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	70	3948664325420929343	0.120000	0.450000	16	TAIL;KEEP;IDENTITY;DELETE_FINAL;SUSPEND_1
PSEUDODICTIONARY	71	4636960873991992909	0.150000	0.450000	14	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	72	2207114577466590311	0.120000	0.450000	19	FULL_JOIN;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	73	10012099861205749012	0.189750	0.450000	15	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
PSEUDODICTIONARY	74	786634388364492986	0.125000	0.400000	16	TAIL;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;SUSPEND_1
PSEUDODICTIONARY	75	2664135355623338208	0.130000	0.450000	18	HEAD;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	76	16402913975077419068	0.165000	0.450000	18	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	77	11571154326098285212	0.175000	0.500000	19	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	78	14683772120136284121	0.125000	0.450000	22	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
PSEUDODICTIONARY	79	203087494745054806	0.130000	0.400000	14	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	80	14547912358235839237	0.135000	0.450000	17	FULL_JOIN;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	81	14906805090728699065	0.155000	0.400000	11	HEAD;KEEP;VELAR_COLLAPSE;COLLAPSE_A;SUSPEND_1
PSEUDODICTIONARY	82	17769971671600382647	0.120000	0.400000	15	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;PREFIX_4
PSEUDODICTIONARY	83	7841748768942985275	0.155000	0.450000	19	HEAD;KEEP;ARABIC_LATIN;KEEP;SUSPEND_2
PSEUDODICTIONARY	84	4306643208235679273	0.145000	0.450000	21	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	85	3832087860765422618	0.160000	0.450000	16	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
PSEUDODICTIONARY	86	5574850524938933646	0.160000	0.500000	18	TAIL;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	87	4650548594842362165	0.155000	0.450000	20	HEAD;KEEP;IDENTITY;KEEP;SUSPEND_1
PSEUDODICTIONARY	88	16867975944526500158	0.130000	0.400000	14	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	89	8593789075381208654	0.145000	0.450000	18	FULL_JOIN;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	90	3409617196791147837	0.175000	0.500000	19	TAIL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	91	16178110307760465102	0.150000	0.400000	16	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	92	1457900066292468985	0.180000	0.500000	19	HEAD;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	93	12475917049668313569	0.150000	0.450000	16	HEAD;STRIP_LATIN;IDENTITY;KEEP;PREFIX_4
PSEUDODICTIONARY	94	9379640960986635266	0.120000	0.400000	13	HEAD;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	95	14802473715972283134	0.160000	0.500000	17	FULL_JOIN;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	96	8511760591112374107	0.135000	0.450000	16	TAIL;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	97	4874397993430883346	0.140000	0.450000	19	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
PSEUDODICTIONARY	98	12746232586317004489	0.154750	0.450000	19	HEAD;KEEP;IDENTITY;DELETE_FINAL;SUSPEND_1
PSEUDODICTIONARY	99	6478573818262804251	0.160000	0.500000	15	HEAD;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;PREFIX_3
RANDOM_VOYNICH_SET	0	9552703853185494145	0.120000	0.400000	17	DROP_AL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	1	3750170774570364997	0.124750	0.450000	17	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	2	12446578132698088631	0.134750	0.450000	17	TAIL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	3	15233593355581998207	0.130000	0.450000	16	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	4	5876534781314736570	0.125000	0.450000	19	DROP_AL;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;PREFIX_4
RANDOM_VOYNICH_SET	5	10200261683785300814	0.120000	0.400000	20	TAIL;STRIP_LATIN;IDENTITY;KEEP;NONE
RANDOM_VOYNICH_SET	6	12929125603323851565	0.140000	0.450000	15	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	7	9482287658774581598	0.135000	0.400000	15	FULL_JOIN;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	8	7859635640969176265	0.134750	0.450000	18	TAIL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	9	761305617442271479	0.150000	0.450000	19	DROP_AL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	10	1509317199468081509	0.155000	0.450000	12	FULL_JOIN;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	11	9100583263617131804	0.130000	0.450000	17	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	12	6383911725672467285	0.134750	0.400000	18	TAIL;KEEP;IDENTITY;DELETE_FINAL;SUSPEND_1
RANDOM_VOYNICH_SET	13	2991217801298997309	0.115000	0.450000	18	TAIL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;PREFIX_3
RANDOM_VOYNICH_SET	14	1963907580950694736	0.130000	0.450000	13	DROP_AL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	15	10484427484637438386	0.140000	0.450000	15	DROP_AL;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	16	14148480919381567898	0.125000	0.400000	16	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	17	11354537733145537269	0.135000	0.400000	16	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	18	7949418664029074682	0.169500	0.450000	15	FULL_JOIN;KEEP;ARABIC_LATIN;KEEP;PREFIX_3
RANDOM_VOYNICH_SET	19	2936416995615324217	0.135000	0.450000	17	TAIL;KEEP;IDENTITY;KEEP;PREFIX_3
RANDOM_VOYNICH_SET	20	744837629022575324	0.150000	0.450000	17	FULL_JOIN;KEEP;IDENTITY;KEEP;PREFIX_3
RANDOM_VOYNICH_SET	21	3339331500591898929	0.115000	0.450000	18	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	22	9379646105120325997	0.140000	0.500000	17	DROP_AL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
RANDOM_VOYNICH_SET	23	4591779211891550018	0.115000	0.450000	16	DROP_AL;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	24	6204041994536563923	0.135000	0.400000	14	FULL_JOIN;KEEP;VELAR_COLLAPSE;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	25	17071952552897020906	0.150000	0.450000	13	FULL_JOIN;KEEP;VELAR_COLLAPSE;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	26	15634059302456323580	0.140000	0.450000	16	DROP_AL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	27	1981856873508925284	0.169750	0.450000	17	TAIL;KEEP;IDENTITY;DELETE_FINAL;SUSPEND_1
RANDOM_VOYNICH_SET	28	441747033239341138	0.145000	0.450000	17	DROP_AL;KEEP;IDENTITY;KEEP;PREFIX_3
RANDOM_VOYNICH_SET	29	11849362642434503096	0.164500	0.450000	15	FULL_JOIN;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	30	715805585234857570	0.160000	0.450000	17	TAIL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	31	5464177115079200923	0.135000	0.400000	18	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	32	13707055017368715693	0.134500	0.400000	16	TAIL;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	33	7029450816289572096	0.135000	0.450000	14	DROP_AL;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	34	9603988377824038232	0.100000	0.350000	15	DROP_AL;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	35	7189659065690317020	0.140000	0.400000	17	FULL_JOIN;KEEP;ARABIC_LATIN;KEEP;PREFIX_3
RANDOM_VOYNICH_SET	36	8908181405162553921	0.150000	0.450000	18	DROP_AL;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	37	15445100191350909669	0.145000	0.500000	20	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;PREFIX_3
RANDOM_VOYNICH_SET	38	8603756838993246547	0.160000	0.450000	19	FULL_JOIN;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	39	4911951778786340056	0.130000	0.450000	15	FULL_JOIN;KEEP;VELAR_COLLAPSE;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	40	14088674479705641597	0.120000	0.400000	17	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	41	10440466570641311255	0.129750	0.450000	21	TAIL;STRIP_LATIN;IDENTITY;KEEP;SUSPEND_2
RANDOM_VOYNICH_SET	42	2507608832094492693	0.144500	0.400000	14	FULL_JOIN;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	43	10330102394670677842	0.110000	0.400000	16	HEAD;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	44	10132017455496756265	0.115000	0.400000	16	FULL_JOIN;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	45	15827361957184965292	0.110000	0.450000	15	DROP_AL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	46	8793077284418742392	0.130000	0.400000	13	DROP_AL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	47	15110748513421785589	0.130000	0.400000	18	TAIL;KEEP;IDENTITY;KEEP;SUSPEND_2
RANDOM_VOYNICH_SET	48	5670730372265203677	0.119750	0.450000	15	FULL_JOIN;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	49	14152692645251390853	0.130000	0.400000	15	DROP_AL;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	50	4157766353969163808	0.125000	0.400000	16	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	51	5916890904276851844	0.149500	0.450000	17	FULL_JOIN;KEEP;ARABIC_LATIN;KEEP;PREFIX_3
RANDOM_VOYNICH_SET	52	6427053945640493306	0.130000	0.400000	17	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	53	13393929690735282264	0.115000	0.400000	15	DROP_AL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	54	14396589492592401289	0.125000	0.400000	17	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	55	16968182109350211427	0.140000	0.400000	16	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	56	13507854137163822054	0.125000	0.400000	15	FULL_JOIN;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	57	10052456185187378660	0.185000	0.450000	16	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	58	6659633999682203083	0.140000	0.450000	16	DROP_AL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	59	15146890552746117781	0.120000	0.400000	17	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	60	11196759138209456413	0.149750	0.500000	12	TAIL;KEEP;IDENTITY;COLLAPSE_A;PREFIX_3
RANDOM_VOYNICH_SET	61	17926158348997975613	0.110000	0.400000	15	FULL_JOIN;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	62	17251203115061177185	0.134750	0.450000	18	FULL_JOIN;KEEP;IDENTITY;KEEP;PREFIX_3
RANDOM_VOYNICH_SET	63	3057009450062778753	0.119500	0.400000	12	FULL_JOIN;KEEP;VELAR_COLLAPSE;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	64	13006783055479747631	0.120000	0.400000	15	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	65	13769596638616157107	0.129500	0.450000	19	DROP_AL;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	66	17417312840409161537	0.115000	0.400000	16	TAIL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	67	11230474513457081321	0.115000	0.400000	15	DROP_AL;KEEP;IJ_UV;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	68	10829267896721687037	0.120000	0.400000	16	DROP_AL;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	69	3336431198675983601	0.135000	0.400000	16	DROP_AL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	70	8481410593818608709	0.140000	0.450000	16	FULL_JOIN;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	71	10531401810926397984	0.155000	0.450000	15	DROP_AL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	72	15899689287634287195	0.130000	0.450000	15	DROP_AL;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	73	11222771650200753203	0.170000	0.450000	17	DROP_AL;STRIP_LATIN;ARABIC_LATIN;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	74	14462343114612630591	0.125000	0.400000	12	FULL_JOIN;KEEP;ARABIC_LATIN;CONTRACT_INTERNAL;SUSPEND_2
RANDOM_VOYNICH_SET	75	16355730228919036720	0.145000	0.500000	16	FULL_JOIN;STRIP_LATIN;IJ_UV;CONTRACT_INTERNAL;SUSPEND_1
RANDOM_VOYNICH_SET	76	2593269854468530807	0.119500	0.400000	16	TAIL;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
RANDOM_VOYNICH_SET	77	6967128039966084701	0.130000	0.450000	19	DROP_AL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;NONE
