model_id	label	object_class	page	token	prediction	canonical_object_id	candidate_object_count
M1_008	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_008	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_008	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_009	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_009	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_009	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_009	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_009	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_009	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_010	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_010	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_010	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_010	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_010	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_010	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_011	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_011	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_011	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_011	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_011	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_011	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_012	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_012	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_012	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_012	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_012	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_012	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_013	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_013	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_013	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_013	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_013	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_013	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_014	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_014	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_014	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_014	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_014	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_014	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_015	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_015	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_015	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_015	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_015	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_015	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_016	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_016	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_016	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_016	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_016	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_016	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_017	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_017	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_017	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_017	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_017	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_017	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_018	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_018	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_018	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_018	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_018	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_018	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_019	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_019	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_019	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_019	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_019	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_019	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_020	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_020	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_020	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_020	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_020	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_020	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_021	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_021	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_021	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_021	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_021	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_021	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_022	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_022	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_022	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_022	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_022	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_022	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_023	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_023	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_023	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_023	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_023	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_023	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_024	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_024	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_024	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_024	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_024	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_024	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_025	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_025	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_025	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_025	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_025	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_025	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
