page_id	descriptor_id	pass1	pass2	final_value	adjudication_rule	reviewer_note
f1v	COMP_CENTRAL_ILLUSTRATION	PRESENT	PRESENT	PRESENT	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	OBJ_PLANT_LIKE	1	1	1	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	OBJ_HUMAN_LIKE	0	0	0	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	OBJ_CONTAINER_LIKE	0	0	0	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	OBJ_STAR_LIKE	0	0	0	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	OBJ_CIRCULAR_UNITS	0	0	0	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	GEO_RADIAL	ABSENT	ABSENT	ABSENT	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	GEO_CONCENTRIC	ABSENT	ABSENT	ABSENT	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	GEO_BRANCHING	PRESENT	PRESENT	PRESENT	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	FIG_RELATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	FIG_ENCLOSED	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	TXT_RADIAL	ABSENT	ABSENT	ABSENT	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	VIS_DENSITY	MEDIUM	MEDIUM	MEDIUM	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f1v	VIS_COMPLEXITY	MEDIUM	MEDIUM	MEDIUM	INDEPENDENT_AUDIT_FINAL	Independent clean-room audit value
f2r	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2r	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f2v	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3r	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f3v	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4r	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f4v	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5r	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f5v	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	OBJ_HUMAN_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	OBJ_CONTAINER_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	OBJ_STAR_LIKE	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	OBJ_CIRCULAR_UNITS	0	NOT_AUDITED	0	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	GEO_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	GEO_CONCENTRIC	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	GEO_BRANCHING	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	FIG_RELATION	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	FIG_ENCLOSED	NOT_APPLICABLE	NOT_AUDITED	NOT_APPLICABLE	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	TXT_RADIAL	ABSENT	NOT_AUDITED	ABSENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	VIS_DENSITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6r	VIS_COMPLEXITY	MEDIUM	NOT_AUDITED	MEDIUM	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6v	COMP_ILLUSTRATION_REGIONS	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6v	COMP_CENTRAL_ILLUSTRATION	PRESENT	NOT_AUDITED	PRESENT	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
f6v	OBJ_PLANT_LIKE	1	NOT_AUDITED	1	SINGLE_FULL_PASS_PREDECLARED_AUDIT	Full visual pass; outside predeclared audit sample
