page_id	COMP_ILLUSTRATED_AREA	COMP_ILLUSTRATION_REGIONS	COMP_DOMINANT_LAYOUT	COMP_IMAGE_INTERLEAVED	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	GEO_CONNECTED_NETWORK	GEO_REPEATED_MODULES	FIG_RELATION	FIG_ENCLOSED	TXT_SURROUNDS_IMAGE	TXT_EMBEDDED_IMAGE	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY	VIS_MOTIF_REPETITION
f78v	MEDIUM	2-3	MIXED	PRESENT	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	PRESENT	HIGH	INTERACTING	PRESENT	ABSENT	ABSENT	ABSENT	HIGH	HIGH	HIGH
f81r	MEDIUM	2-3	MIXED	PRESENT	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	PRESENT	HIGH	INTERACTING	PRESENT	ABSENT	ABSENT	ABSENT	HIGH	HIGH	HIGH
f84v	MEDIUM	2-3	MIXED	PRESENT	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	PRESENT	HIGH	INTERACTING	PRESENT	ABSENT	ABSENT	ABSENT	HIGH	HIGH	HIGH
f87r	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	NONE
f88r	HIGH	4+	MULTI_REGION	PRESENT	ABSENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	HIGH	HIGH	HIGH
f96v	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	NONE
f99r	HIGH	4+	MULTI_REGION	PRESENT	ABSENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	HIGH	HIGH	HIGH
f103r	LOW	4+	MIXED	PRESENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f106v	LOW	4+	MIXED	PRESENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f111r	LOW	4+	MIXED	PRESENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f115v	LOW	4+	MIXED	PRESENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f116v	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	NONE
