page_id	physical_leaf_id	image_source_id	schema_version	annotation_status	COMP_ILLUSTRATION_REGIONS	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	FIG_RELATION	FIG_ENCLOSED	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f6r	f6	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f6v	f6	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f7r	f7	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f7v	f7	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f8r	f8	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f8v	f8	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f9r	f9	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f9v	f9	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f10r	f10	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f10v	f10	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f11r	f11	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f11v	f11	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f13r	f13	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f13v	f13	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f14r	f14	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f14v	f14	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f15r	f15	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f15v	f15	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f16r	f16	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f16v	f16	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f17r	f17	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f17v	f17	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f18r	f18	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f18v	f18	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f19r	f19	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f19v	f19	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f20r	f20	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f20v	f20	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f21r	f21	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f21v	f21	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f22r	f22	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f22v	f22	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f23r	f23	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f23v	f23	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	0	0	0	0	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	HIGH	HIGH
f24r	f24	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f24v	f24	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f25r	f25	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f25v	f25	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f26r	f26	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f26v	f26	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f27r	f27	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f27v	f27	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f28r	f28	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f28v	f28	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f29r	f29	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f29v	f29	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f30r	f30	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f30v	f30	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f31r	f31	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f31v	f31	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f32r	f32	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f32v	f32	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f33r	f33	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f33v	f33	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f34r	f34	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f34v	f34	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f35r	f35	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f35v	f35	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f36r	f36	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f36v	f36	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f37r	f37	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f37v	f37	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f38r	f38	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f38v	f38	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f39r	f39	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	4+	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f39v	f39	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f40r	f40	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f40v	f40	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f41r	f41	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f41v	f41	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f42r	f42	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f42v	f42	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f43r	f43	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f43v	f43	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f44r	f44	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f44v	f44	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f45r	f45	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f45v	f45	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f46r	f46	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f46v	f46	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f47r	f47	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f47v	f47	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f48r	f48	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f48v	f48	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	MULTIPLE	PRESENT	4+	0	1	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	MEDIUM
f49r	f49	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f49v	f49	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f50r	f50	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f50v	f50	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f51r	f51	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f51v	f51	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f52r	f52	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f52v	f52	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f53r	f53	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f53v	f53	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f54r	f54	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f54v	f54	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f55r	f55	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f55v	f55	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f56r	f56	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f56v	f56	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f57r	f57	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
