page_id	physical_leaf_id	image_source_id	schema_version	annotation_status	COMP_ILLUSTRATION_REGIONS	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	FIG_RELATION	FIG_ENCLOSED	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f11v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f13r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f13v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f14r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f14v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f15r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f15v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f16r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f16v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f17r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f17v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f18r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f18v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f19r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f19v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f20r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f20v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f21r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f21v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f22r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f22v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f23r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f23v	1	PRESENT	0	0	0	0	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	HIGH	HIGH
f24r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f24v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f25r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f25v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f26r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f26v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f27r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f27v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f28r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f28v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f29r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f29v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f30r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f30v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f31r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f31v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f32r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f32v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f33r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f33v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f34r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f34v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f35r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f35v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f36r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f36v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f37r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f37v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f38r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f38v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f39r	1	PRESENT	4+	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f39v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f40r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f40v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f41r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f41v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f42r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f42v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f43r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f43v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f44r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f44v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f45r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f45v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f46r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f46v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f47r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f47v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f48r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f48v	MULTIPLE	PRESENT	4+	0	1	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	MEDIUM
f49r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f49v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f50r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f50v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f51r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f51v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f52r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f52v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f53r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f53v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f54r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f54v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f55r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f55v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f56r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f56v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f57r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f57v	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	HIGH	HIGH
f58r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f58v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f65r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f65v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f66r	0	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f66v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f67r1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f67r2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f67v2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f67v1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f68r1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f68r2	MULTIPLE	PRESENT	0	0	0	1+	2-3	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f68r3	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f68v3	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f68v2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f68v1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f69r	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	MEDIUM	HIGH
f69v	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	MEDIUM	HIGH
f70r1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f70r2	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	MEDIUM	HIGH
f70v2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f70v1	1	PRESENT	0	4+	1	1+	1	PRESENT	PRESENT	ABSENT	INTERACTING	PRESENT	PRESENT	MEDIUM	HIGH
f71r	1	PRESENT	0	4+	0	1+	1	PRESENT	PRESENT	ABSENT	ISOLATED	ABSENT	PRESENT	HIGH	HIGH
f71v	1	PRESENT	0	4+	0	1+	1	PRESENT	PRESENT	ABSENT	ISOLATED	ABSENT	PRESENT	HIGH	HIGH
f72r1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f72r2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f72r3	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f72v3	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f72v2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f72v1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f73r	1	PRESENT	0	4+	0	1+	1	PRESENT	PRESENT	ABSENT	ISOLATED	ABSENT	PRESENT	HIGH	HIGH
f73v	1	PRESENT	0	4+	0	1+	1	PRESENT	PRESENT	ABSENT	ISOLATED	ABSENT	PRESENT	HIGH	HIGH
