page_id	COMP_ILLUSTRATED_AREA	COMP_ILLUSTRATION_REGIONS	COMP_DOMINANT_LAYOUT	COMP_IMAGE_INTERLEAVED	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	GEO_CONNECTED_NETWORK	GEO_REPEATED_MODULES	FIG_RELATION	FIG_ENCLOSED	TXT_SURROUNDS_IMAGE	TXT_EMBEDDED_IMAGE	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY	VIS_MOTIF_REPETITION
f71r	MEDIUM	1	DIAGRAM_CENTRIC	ABSENT	PRESENT	0	4+	0	4+	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	INTERACTING	PRESENT	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH	HIGH
f20r	LOW	1	RUNNING_TEXT	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	MEDIUM	HIGH
f1r	LOW	4+	MIXED	PRESENT	PRESENT	4+	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	ABSENT	LOW	MEDIUM	HIGH
f115v	LOW	4+	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f111r	LOW	4+	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f87r	MEDIUM	2-3	MIXED	PRESENT	PRESENT	2-3	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f78v	LOW	1	MIXED	PRESENT	PRESENT	0	4+	1	0	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	INTERACTING	PRESENT	ABSENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f116v	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	NONE
f57v	MEDIUM	1	DIAGRAM_CENTRIC	ABSENT	PRESENT	0	0	0	1	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH	HIGH
f2r	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f69r	MEDIUM	1	DIAGRAM_CENTRIC	ABSENT	PRESENT	0	0	0	1	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH	HIGH
f88r	MEDIUM	4+	MULTI_REGION	PRESENT	PRESENT	4+	0	4+	4+	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	HIGH	MEDIUM	HIGH
f99r	MEDIUM	4+	MULTI_REGION	PRESENT	PRESENT	4+	0	4+	4+	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	HIGH	MEDIUM	HIGH
f66r	LOW	1	RUNNING_TEXT	ABSENT	ABSENT	1	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	NONE
