page_id	COMP_ILLUSTRATED_AREA	COMP_ILLUSTRATION_REGIONS	COMP_DOMINANT_LAYOUT	COMP_IMAGE_INTERLEAVED	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	GEO_CONNECTED_NETWORK	GEO_REPEATED_MODULES	FIG_RELATION	FIG_ENCLOSED	TXT_EMBEDDED_IMAGE	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f99r	HIGH	MULTIPLE	MULTI_REGION	PRESENT	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	HIGH	MEDIUM
f10v	LOW	1	CENTRAL_VISUAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f30v	LOW	1	CENTRAL_VISUAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f57v	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	MEDIUM	HIGH
f116v	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f1r	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f76r	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f96v	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f78v	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	0	4+	1	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM
f81r	LOW	1	MIXED	PRESENT	PRESENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	ABSENT	ABSENT	HIGH	MEDIUM
f71r	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	0	4+	4+	1+	1	PRESENT	PRESENT	ABSENT	PRESENT	PRESENT	INTERACTING	PRESENT	PRESENT	PRESENT	HIGH	HIGH
f87r	LOW	1	CENTRAL_VISUAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f88r	HIGH	MULTIPLE	MULTI_REGION	PRESENT	PRESENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	HIGH	MEDIUM
