folio_id	currier	section	stratum	partition	zl3b_page_ids	zl3b_line_count	zl3b_token_count	it2a_page_ids	it2a_line_count	it2a_token_count
f38	A	Herbal	A/Herbal	DEVELOPMENT	f38r;f38v	14	112	f38r;f38v	14	106
f39	B	Herbal	B/Herbal	HELDOUT	f39r;f39v	30	305	f39r;f39v	30	296
f40	B	Herbal	B/Herbal	DEVELOPMENT	f40r;f40v	30	210	f40r;f40v	30	203
f41	B	Herbal	B/Herbal	DEVELOPMENT	f41r;f41v	19	163	f41r;f41v	19	166
f42	A	Herbal	A/Herbal	DEVELOPMENT	f42r;f42v	39	267	f42r;f42v	39	254
f43	B	Herbal	B/Herbal	DEVELOPMENT	f43r;f43v	30	305	f43r;f43v	30	308
f44	A	Herbal	A/Herbal	VALIDATION	f44r;f44v	24	175	f44r;f44v	24	171
f45	A	Herbal	A/Herbal	HELDOUT	f45r;f45v	22	176	f45r;f45v	22	173
f46	B	Herbal	B/Herbal	VALIDATION	f46r;f46v	28	276	f46r;f46v	28	268
f47	A	Herbal	A/Herbal	DEVELOPMENT	f47r;f47v	25	165	f47r;f47v	25	164
f48	B	Herbal	B/Herbal	HELDOUT	f48r;f48v	20	219	f48r;f48v	20	215
f49	A	Herbal	A/Herbal	DEVELOPMENT	f49r;f49v	73	290	f49r;f49v	67	276
f50	B	Herbal	B/Herbal	DEVELOPMENT	f50r;f50v	21	194	f50r;f50v	21	187
f51	A	Herbal	A/Herbal	DEVELOPMENT	f51r;f51v	28	171	f51r;f51v	28	167
f52	A	Herbal	A/Herbal	VALIDATION	f52r;f52v	22	148	f52r;f52v	22	143
f53	A	Herbal	A/Herbal	HELDOUT	f53r;f53v	22	134	f53r;f53v	22	131
f54	A	Herbal	A/Herbal	DEVELOPMENT	f54r;f54v	28	204	f54r;f54v	28	201
f55	B	Herbal	B/Herbal	DEVELOPMENT	f55r;f55v	25	234	f55r;f55v	25	230
f56	A	Herbal	A/Herbal	DEVELOPMENT	f56r;f56v	35	198	f56r;f56v	35	186
f57	UNKNOWN	Cosmological	UNKNOWN/Cosmological	DEVELOPMENT	f57r;f57v	24	290	f57r;f57v	24	262
f58	A	Stars	A/Stars	DEVELOPMENT	f58r;f58v	80	763	f58r;f58v	80	732
f65	UNKNOWN	Herbal	UNKNOWN/Herbal	DEVELOPMENT	f65r;f65v	7	48	f65r;f65v	7	48
f66	B	Text	B/Text	DEVELOPMENT	f66r;f66v	95	463	f66r;f66v	93	460
f67	UNKNOWN	Astronomical	UNKNOWN/Astronomical	DEVELOPMENT	f67r1;f67r2;f67v1;f67v2	144	495	f67r1;f67r2;f67v1;f67v2	142	466
f68	UNKNOWN	Astronomical	UNKNOWN/Astronomical	DEVELOPMENT	f68r1;f68r2;f68r3;f68v1;f68v2;f68v3	137	641	f68r1;f68r2;f68r3;f68v1;f68v2;f68v3	137	608
f69	UNKNOWN	Cosmological	UNKNOWN/Cosmological	DEVELOPMENT	f69r;f69v	80	306	f69r;f69v	80	301
f70	UNKNOWN	Cosmological	UNKNOWN/Cosmological	DEVELOPMENT	f70r1;f70r2;f70v1;f70v2	88	581	f70r1;f70r2;f70v1;f70v2	88	591
f71	UNKNOWN	Zodiac	UNKNOWN/Zodiac	DEVELOPMENT	f71r;f71v	36	190	f71r;f71v	36	191
f72	UNKNOWN	Zodiac	UNKNOWN/Zodiac	DEVELOPMENT	f72r1;f72r2;f72r3;f72v1;f72v2;f72v3	183	728	f72r1;f72r2;f72r3;f72v1;f72v2;f72v3	183	733
f73	UNKNOWN	Zodiac	UNKNOWN/Zodiac	DEVELOPMENT	f73r;f73v	66	195	f73r;f73v	66	194
f75	B	Biological	B/Biological	DEVELOPMENT	f75r;f75v	123	777	f75r;f75v	123	780
f76	B	Text	B/Text	DEVELOPMENT	f76r;f76v	97	971	f76r;f76v	97	956
f77	B	Biological	B/Biological	DEVELOPMENT	f77r;f77v	95	665	f77r;f77v	95	660
f78	B	Biological	B/Biological	DEVELOPMENT	f78r;f78v	79	602	f78r;f78v	79	586
f79	B	Biological	B/Biological	VALIDATION	f79r;f79v	86	740	f79r;f79v	86	745
f80	B	Biological	B/Biological	HELDOUT	f80r;f80v	97	828	f80r;f80v	97	819
f81	B	Biological	B/Biological	DEVELOPMENT	f81r;f81v	59	467	f81r;f81v	59	465
f82	B	Biological	B/Biological	DEVELOPMENT	f82r;f82v	93	615	f82r;f82v	93	603
f83	B	Biological	B/Biological	DEVELOPMENT	f83r;f83v	90	611	f83r;f83v	90	603
f84	B	Biological	B/Biological	VALIDATION	f84r;f84v	98	714	f84r;f84v	98	700
f85	B	Text	B/Text	DEVELOPMENT	f85r1;f85r2	59	506	f85r1;f85r2	59	491
f86	B	Text	B/Text	VALIDATION	f86v3;f86v4;f86v5;f86v6	129	1368	f86v3;f86v4;f86v5;f86v6	129	1330
f87	A	Herbal	A/Herbal	DEVELOPMENT	f87r;f87v	32	196	f87r;f87v	32	187
f88	A	Pharmaceutical	A/Pharmaceutical	DEVELOPMENT	f88r;f88v	61	296	f88r;f88v	61	296
f89	A	Pharmaceutical	A/Pharmaceutical	DEVELOPMENT	f89r1;f89r2;f89v1;f89v2	112	714	f89r1;f89r2;f89v1;f89v2	113	723
f90	A	Herbal	A/Herbal	VALIDATION	f90r1;f90r2;f90v1;f90v2	34	287	f90r1;f90r2;f90v1;f90v2	34	284
f93	A	Herbal	A/Herbal	HELDOUT	f93r;f93v	42	243	f93r;f93v	42	241
f94	B	Herbal	B/Herbal	DEVELOPMENT	f94r;f94v	21	176	f94r;f94v	21	183
f95	B	Herbal	B/Herbal	VALIDATION	f95r1;f95r2;f95v1;f95v2	40	364	f95r1;f95r2;f95v1;f95v2	40	363
f96	A	Herbal	A/Herbal	DEVELOPMENT	f96r;f96v	26	140	f96r;f96v	26	147
f99	A	Pharmaceutical	A/Pharmaceutical	DEVELOPMENT	f99r;f99v	96	374	f99r;f99v	96	372
f100	A	Pharmaceutical	A/Pharmaceutical	VALIDATION	f100r;f100v	49	212	f100r;f100v	49	202
f101	A	Pharmaceutical	A/Pharmaceutical	HELDOUT	f101r;f101v	38	454	f101r;f101v	38	424
f102	A	Pharmaceutical	A/Pharmaceutical	DEVELOPMENT	f102r1;f102r2;f102v1;f102v2	102	578	f102r1;f102r2;f102v1;f102v2	99	560
f103	B	Stars	B/Stars	DEVELOPMENT	f103r;f103v	100	989	f103r;f103v	100	974
f104	B	Stars	B/Stars	DEVELOPMENT	f104r;f104v	89	929	f104r;f104v	89	896
f105	B	Stars	B/Stars	DEVELOPMENT	f105r;f105v	75	782	f105r;f105v	75	760
f106	B	Stars	B/Stars	VALIDATION	f106r;f106v	94	878	f106r;f106v	93	870
f107	B	Stars	B/Stars	HELDOUT	f107r;f107v	100	950	f107r;f107v	100	943
f108	B	Stars	B/Stars	DEVELOPMENT	f108r;f108v	103	1079	f108r;f108v	103	1061
f111	B	Stars	B/Stars	DEVELOPMENT	f111r;f111v	105	1194	f111r;f111v	105	1176
f112	B	Stars	B/Stars	DEVELOPMENT	f112r;f112v	92	824	f112r;f112v	92	813
f113	B	Stars	B/Stars	VALIDATION	f113r;f113v	100	1038	f113r;f113v	100	1000
f114	B	Stars	B/Stars	HELDOUT	f114r;f114v	86	841	f114r;f114v	86	809
f115	B	Stars	B/Stars	DEVELOPMENT	f115r;f115v	90	875	f115r;f115v	90	843
f116	B	Stars	B/Stars	DEVELOPMENT	f116r;f116v	51	562	f116r	50	539
