model	profile	experiment	condition	trial	input	observed	exact	symbol_accuracy	normalized_edit_distance	compatible_interpretations	state_json	notes
F08_SERPENS	R0	knowledge_ablation	start_direction_unknown	S02	FONTANA	FONTANA	true	1.000000	0.000000	12	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	boundary_unknown	S02	FONTANA	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	one candidate per length 1..capacity; empty holes do not historically certify a terminator
F08_SERPENS	R0	knowledge_ablation	association_unknown	S02	FONTANA	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	no formal enumeration: arbitrary semantic association is outside literal decoder
F08_SERPENS	R0	knowledge_ablation	element_order_unknown	S02	FONTANA	<set>	false	0.000000	NOT_APPLICABLE	5040	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	upper bound L!; repeated symbols can lower the distinct count
F08_SERPENS	R0	knowledge_ablation	marker_meaning_unknown	S02	FONTANA	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	literal glyphs remain visible but their association is unspecified
F08_SERPENS	R0	knowledge_ablation	transition_rule_unknown	S02	FONTANA	<set>	false	0.000000	NOT_APPLICABLE	5040	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	L! upper bound when the next-hole rule is unavailable
F08_SERPENS	R0	knowledge_ablation	stop_rule_unknown	S02	FONTANA	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	equivalent to boundary ablation in finite R0; no terminator inferred
F08_SERPENS	R0	state_corruption	single_substitution	S02	FONTANA	FOXTANA	false	0.857143	0.142857	1	{"holes":["F","O","X","T","A","N","A",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	missing_insertion	S02	FONTANA	FO?TANA	false	0.857143	0.142857	1	{"holes":["F","O",null,"T","A","N","A",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	adjacent_swap	S02	FONTANA	FOTNANA	false	0.714286	0.285714	1	{"holes":["F","O","T","N","A","N","A",null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	frame_collapse	S02	FONTANA	FOTANA?	false	0.285714	0.285714	1	{"holes":["F","O","T","A","N","A",null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	duplicate_insertion	S02	FONTANA	FOOTANA	false	0.857143	0.142857	1	{"holes":["F","O","O","T","A","N","A",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	start_shift	S02	FONTANA	ONTANA?	false	0.000000	0.285714	1	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	synchronization/global ambiguity
F08_SERPENS	R0	state_corruption	direction_reversal	S02	FONTANA	ANATNOF	false	0.142857	0.857143	1	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	global order error
F08_SERPENS	R0	state_corruption	local_geometry_order_preserved	S02	FONTANA	FONTANA	true	1.000000	0.000000	1	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	geometry changed, topological traversal order preserved
F08_SERPENS	R0	combined_degradation	start_unknown_plus_missing	S02	FONTANA	FO?TANA	false	0.857143	0.142857	6	{"holes":["F","O",null,"T","A","N","A",null,null,null,null,null]}	no candidate selected by message similarity
F08_SERPENS	R0	baseline	full_K_intact	S03	SERPENS	SERPENS	true	1.000000	0.000000	1	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	literal positional reading
F08_SERPENS	R0	knowledge_ablation	start_unknown	S03	SERPENS	SERPENS	true	1.000000	0.000000	6	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	direction_unknown	S03	SERPENS	SERPENS	true	1.000000	0.000000	2	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	start_direction_unknown	S03	SERPENS	SERPENS	true	1.000000	0.000000	12	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	boundary_unknown	S03	SERPENS	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	one candidate per length 1..capacity; empty holes do not historically certify a terminator
F08_SERPENS	R0	knowledge_ablation	association_unknown	S03	SERPENS	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	no formal enumeration: arbitrary semantic association is outside literal decoder
F08_SERPENS	R0	knowledge_ablation	element_order_unknown	S03	SERPENS	<set>	false	0.000000	NOT_APPLICABLE	5040	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	upper bound L!; repeated symbols can lower the distinct count
F08_SERPENS	R0	knowledge_ablation	marker_meaning_unknown	S03	SERPENS	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	literal glyphs remain visible but their association is unspecified
F08_SERPENS	R0	knowledge_ablation	transition_rule_unknown	S03	SERPENS	<set>	false	0.000000	NOT_APPLICABLE	5040	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	L! upper bound when the next-hole rule is unavailable
F08_SERPENS	R0	knowledge_ablation	stop_rule_unknown	S03	SERPENS	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	equivalent to boundary ablation in finite R0; no terminator inferred
F08_SERPENS	R0	state_corruption	single_substitution	S03	SERPENS	SEXPENS	false	0.857143	0.142857	1	{"holes":["S","E","X","P","E","N","S",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	missing_insertion	S03	SERPENS	SE?PENS	false	0.857143	0.142857	1	{"holes":["S","E",null,"P","E","N","S",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	adjacent_swap	S03	SERPENS	SEPRENS	false	0.714286	0.285714	1	{"holes":["S","E","P","R","E","N","S",null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	frame_collapse	S03	SERPENS	SEPENS?	false	0.285714	0.285714	1	{"holes":["S","E","P","E","N","S",null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	duplicate_insertion	S03	SERPENS	SEEPENS	false	0.857143	0.142857	1	{"holes":["S","E","E","P","E","N","S",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	start_shift	S03	SERPENS	ERPENS?	false	0.000000	0.285714	1	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	synchronization/global ambiguity
F08_SERPENS	R0	state_corruption	direction_reversal	S03	SERPENS	SNEPRES	false	0.428571	0.571429	1	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	global order error
F08_SERPENS	R0	state_corruption	local_geometry_order_preserved	S03	SERPENS	SERPENS	true	1.000000	0.000000	1	{"holes":["S","E","R","P","E","N","S",null,null,null,null,null]}	geometry changed, topological traversal order preserved
F08_SERPENS	R0	combined_degradation	start_unknown_plus_missing	S03	SERPENS	SE?PENS	false	0.857143	0.142857	6	{"holes":["S","E",null,"P","E","N","S",null,null,null,null,null]}	no candidate selected by message similarity
F08_SERPENS	R0	baseline	full_K_intact	S04	ORDO	ORDO	true	1.000000	0.000000	1	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	literal positional reading
F08_SERPENS	R0	knowledge_ablation	start_unknown	S04	ORDO	ORDO	true	1.000000	0.000000	5	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	direction_unknown	S04	ORDO	ORDO	true	1.000000	0.000000	2	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	start_direction_unknown	S04	ORDO	ORDO	true	1.000000	0.000000	9	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	boundary_unknown	S04	ORDO	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	one candidate per length 1..capacity; empty holes do not historically certify a terminator
F08_SERPENS	R0	knowledge_ablation	association_unknown	S04	ORDO	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	no formal enumeration: arbitrary semantic association is outside literal decoder
F08_SERPENS	R0	knowledge_ablation	element_order_unknown	S04	ORDO	<set>	false	0.000000	NOT_APPLICABLE	24	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	upper bound L!; repeated symbols can lower the distinct count
F08_SERPENS	R0	knowledge_ablation	marker_meaning_unknown	S04	ORDO	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	literal glyphs remain visible but their association is unspecified
F08_SERPENS	R0	knowledge_ablation	transition_rule_unknown	S04	ORDO	<set>	false	0.000000	NOT_APPLICABLE	24	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	L! upper bound when the next-hole rule is unavailable
F08_SERPENS	R0	knowledge_ablation	stop_rule_unknown	S04	ORDO	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	equivalent to boundary ablation in finite R0; no terminator inferred
F08_SERPENS	R0	state_corruption	single_substitution	S04	ORDO	ORXO	false	0.750000	0.250000	1	{"holes":["O","R","X","O",null,null,null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	missing_insertion	S04	ORDO	OR?O	false	0.750000	0.250000	1	{"holes":["O","R",null,"O",null,null,null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	adjacent_swap	S04	ORDO	OROD	false	0.500000	0.500000	1	{"holes":["O","R","O","D",null,null,null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	frame_collapse	S04	ORDO	ORO?	false	0.500000	0.500000	1	{"holes":["O","R","O",null,null,null,null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	duplicate_insertion	S04	ORDO	ORRO	false	0.750000	0.250000	1	{"holes":["O","R","R","O",null,null,null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	start_shift	S04	ORDO	RDO?	false	0.000000	0.500000	1	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	synchronization/global ambiguity
F08_SERPENS	R0	state_corruption	direction_reversal	S04	ORDO	ODRO	false	0.500000	0.500000	1	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	global order error
F08_SERPENS	R0	state_corruption	local_geometry_order_preserved	S04	ORDO	ORDO	true	1.000000	0.000000	1	{"holes":["O","R","D","O",null,null,null,null,null,null,null,null]}	geometry changed, topological traversal order preserved
F08_SERPENS	R0	combined_degradation	start_unknown_plus_missing	S04	ORDO	OR?O	false	0.750000	0.250000	5	{"holes":["O","R",null,"O",null,null,null,null,null,null,null,null]}	no candidate selected by message similarity
F08_SERPENS	R0	baseline	full_K_intact	S05	LVMEN	LVMEN	true	1.000000	0.000000	1	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	literal positional reading
F08_SERPENS	R0	knowledge_ablation	start_unknown	S05	LVMEN	LVMEN	true	1.000000	0.000000	6	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	direction_unknown	S05	LVMEN	LVMEN	true	1.000000	0.000000	2	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	start_direction_unknown	S05	LVMEN	LVMEN	true	1.000000	0.000000	11	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	boundary_unknown	S05	LVMEN	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	one candidate per length 1..capacity; empty holes do not historically certify a terminator
F08_SERPENS	R0	knowledge_ablation	association_unknown	S05	LVMEN	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	no formal enumeration: arbitrary semantic association is outside literal decoder
F08_SERPENS	R0	knowledge_ablation	element_order_unknown	S05	LVMEN	<set>	false	0.000000	NOT_APPLICABLE	120	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	upper bound L!; repeated symbols can lower the distinct count
F08_SERPENS	R0	knowledge_ablation	marker_meaning_unknown	S05	LVMEN	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	literal glyphs remain visible but their association is unspecified
F08_SERPENS	R0	knowledge_ablation	transition_rule_unknown	S05	LVMEN	<set>	false	0.000000	NOT_APPLICABLE	120	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	L! upper bound when the next-hole rule is unavailable
F08_SERPENS	R0	knowledge_ablation	stop_rule_unknown	S05	LVMEN	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	equivalent to boundary ablation in finite R0; no terminator inferred
F08_SERPENS	R0	state_corruption	single_substitution	S05	LVMEN	LVXEN	false	0.800000	0.200000	1	{"holes":["L","V","X","E","N",null,null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	missing_insertion	S05	LVMEN	LV?EN	false	0.800000	0.200000	1	{"holes":["L","V",null,"E","N",null,null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	adjacent_swap	S05	LVMEN	LVEMN	false	0.600000	0.400000	1	{"holes":["L","V","E","M","N",null,null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	frame_collapse	S05	LVMEN	LVEN?	false	0.400000	0.400000	1	{"holes":["L","V","E","N",null,null,null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	duplicate_insertion	S05	LVMEN	LVVEN	false	0.800000	0.200000	1	{"holes":["L","V","V","E","N",null,null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	start_shift	S05	LVMEN	VMEN?	false	0.000000	0.400000	1	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	synchronization/global ambiguity
F08_SERPENS	R0	state_corruption	direction_reversal	S05	LVMEN	NEMVL	false	0.200000	0.800000	1	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	global order error
F08_SERPENS	R0	state_corruption	local_geometry_order_preserved	S05	LVMEN	LVMEN	true	1.000000	0.000000	1	{"holes":["L","V","M","E","N",null,null,null,null,null,null,null]}	geometry changed, topological traversal order preserved
F08_SERPENS	R0	combined_degradation	start_unknown_plus_missing	S05	LVMEN	LV?EN	false	0.800000	0.200000	6	{"holes":["L","V",null,"E","N",null,null,null,null,null,null,null]}	no candidate selected by message similarity
F08_SERPENS	R0	baseline	full_K_intact	S06	TEMPVS	TEMPVS	true	1.000000	0.000000	1	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	literal positional reading
F08_SERPENS	R0	knowledge_ablation	start_unknown	S06	TEMPVS	TEMPVS	true	1.000000	0.000000	7	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	direction_unknown	S06	TEMPVS	TEMPVS	true	1.000000	0.000000	2	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	start_direction_unknown	S06	TEMPVS	TEMPVS	true	1.000000	0.000000	13	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	boundary_unknown	S06	TEMPVS	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	one candidate per length 1..capacity; empty holes do not historically certify a terminator
F08_SERPENS	R0	knowledge_ablation	association_unknown	S06	TEMPVS	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	no formal enumeration: arbitrary semantic association is outside literal decoder
F08_SERPENS	R0	knowledge_ablation	element_order_unknown	S06	TEMPVS	<set>	false	0.000000	NOT_APPLICABLE	720	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	upper bound L!; repeated symbols can lower the distinct count
F08_SERPENS	R0	knowledge_ablation	marker_meaning_unknown	S06	TEMPVS	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	literal glyphs remain visible but their association is unspecified
F08_SERPENS	R0	knowledge_ablation	transition_rule_unknown	S06	TEMPVS	<set>	false	0.000000	NOT_APPLICABLE	720	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	L! upper bound when the next-hole rule is unavailable
F08_SERPENS	R0	knowledge_ablation	stop_rule_unknown	S06	TEMPVS	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	equivalent to boundary ablation in finite R0; no terminator inferred
F08_SERPENS	R0	state_corruption	single_substitution	S06	TEMPVS	TEXPVS	false	0.833333	0.166667	1	{"holes":["T","E","X","P","V","S",null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	missing_insertion	S06	TEMPVS	TE?PVS	false	0.833333	0.166667	1	{"holes":["T","E",null,"P","V","S",null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	adjacent_swap	S06	TEMPVS	TEPMVS	false	0.666667	0.333333	1	{"holes":["T","E","P","M","V","S",null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	frame_collapse	S06	TEMPVS	TEPVS?	false	0.333333	0.333333	1	{"holes":["T","E","P","V","S",null,null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	duplicate_insertion	S06	TEMPVS	TEEPVS	false	0.833333	0.166667	1	{"holes":["T","E","E","P","V","S",null,null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	start_shift	S06	TEMPVS	EMPVS?	false	0.000000	0.333333	1	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	synchronization/global ambiguity
F08_SERPENS	R0	state_corruption	direction_reversal	S06	TEMPVS	SVPMET	false	0.000000	1.000000	1	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	global order error
F08_SERPENS	R0	state_corruption	local_geometry_order_preserved	S06	TEMPVS	TEMPVS	true	1.000000	0.000000	1	{"holes":["T","E","M","P","V","S",null,null,null,null,null,null]}	geometry changed, topological traversal order preserved
F08_SERPENS	R0	combined_degradation	start_unknown_plus_missing	S06	TEMPVS	TE?PVS	false	0.833333	0.166667	7	{"holes":["T","E",null,"P","V","S",null,null,null,null,null,null]}	no candidate selected by message similarity
F07_ROTA	R0	baseline	known_zero_step	R01	A	A	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":0}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R02	B	B	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":1}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R03	C	C	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":2}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R04	D	D	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":3}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R05	E	E	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":4}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R06	F	F	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":5}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R07	G	G	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":6}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R08	H	H	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":7}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R09	I	I	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":8}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R10	K	K	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":9}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R11	L	L	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":10}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R12	M	M	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":11}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R13	N	N	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":12}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R14	O	O	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":13}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R15	P	P	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":14}	selector observation
F07_ROTA	R0	baseline	known_zero_step	R16	Q	Q	true	1.000000	0.000000	1	{"Alphabet":[65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,86,88,89,90],"offset":15}	selector observation
