sequence	context	token	count	probability
s aiin chey	B	alkchdy	1	0.0035087719298245615
s aiin chey	B	aloal	1	0.0035087719298245615
s aiin chey	B	alol	1	0.0035087719298245615
s aiin chey	B	aly	1	0.0035087719298245615
s aiin chey	B	ar	2	0.007017543859649123
s aiin chey	B	arody	1	0.0035087719298245615
s aiin chey	B	arol	1	0.0035087719298245615
s aiin chey	B	atam	1	0.0035087719298245615
s aiin chey	B	cfheey	1	0.0035087719298245615
s aiin chey	B	chaiin	1	0.0035087719298245615
s aiin chey	B	char	3	0.010526315789473684
s aiin chey	B	chckhodu	1	0.0035087719298245615
s aiin chey	B	chckhy	1	0.0035087719298245615
s aiin chey	B	chcphdy	1	0.0035087719298245615
s aiin chey	B	chcthedy	1	0.0035087719298245615
s aiin chey	B	chcthhy	1	0.0035087719298245615
s aiin chey	B	chcthy	2	0.007017543859649123
s aiin chey	B	chdy	1	0.0035087719298245615
s aiin chey	B	chean	1	0.0035087719298245615
s aiin chey	B	chear	1	0.0035087719298245615
s aiin chey	B	chedain	1	0.0035087719298245615
s aiin chey	B	chedor	1	0.0035087719298245615
s aiin chey	B	chedy	2	0.007017543859649123
s aiin chey	B	cheedy	2	0.007017543859649123
s aiin chey	B	cheekaiin	1	0.0035087719298245615
s aiin chey	B	cheeos	1	0.0035087719298245615
s aiin chey	B	chees	1	0.0035087719298245615
s aiin chey	B	cheitaiin	1	0.0035087719298245615
s aiin chey	B	chekain	1	0.0035087719298245615
s aiin chey	B	chekal	1	0.0035087719298245615
s aiin chey	B	chekody	1	0.0035087719298245615
s aiin chey	B	cheky	1	0.0035087719298245615
s aiin chey	B	cheo	1	0.0035087719298245615
s aiin chey	B	cheody	1	0.0035087719298245615
s aiin chey	B	cheog	1	0.0035087719298245615
s aiin chey	B	cheokal	1	0.0035087719298245615
s aiin chey	B	cheokey	1	0.0035087719298245615
s aiin chey	B	cheol	1	0.0035087719298245615
s aiin chey	B	chep	1	0.0035087719298245615
s aiin chey	B	ches	1	0.0035087719298245615
s aiin chey	B	chey	7	0.02456140350877193
s aiin chey	B	chky	1	0.0035087719298245615
s aiin chey	B	chodaiin	1	0.0035087719298245615
s aiin chey	B	chody	3	0.010526315789473684
s aiin chey	B	chokar	1	0.0035087719298245615
s aiin chey	B	chokchol	1	0.0035087719298245615
s aiin chey	B	chokey	1	0.0035087719298245615
s aiin chey	B	chol	2	0.007017543859649123
s aiin chey	B	chor	2	0.007017543859649123
s aiin chey	B	chorol	1	0.0035087719298245615
s aiin chey	B	chosals	1	0.0035087719298245615
s aiin chey	B	chotal	1	0.0035087719298245615
s aiin chey	B	chpchs	1	0.0035087719298245615
s aiin chey	B	chtchor	1	0.0035087719298245615
s aiin chey	B	ckheda	1	0.0035087719298245615
s aiin chey	B	coy	1	0.0035087719298245615
s aiin chey	B	cpheor	1	0.0035087719298245615
s aiin chey	B	cphey	1	0.0035087719298245615
s aiin chey	B	cphor	1	0.0035087719298245615
s aiin chey	B	cs	1	0.0035087719298245615
s aiin chey	B	cthar	1	0.0035087719298245615
s aiin chey	B	cthy	1	0.0035087719298245615
s aiin chey	B	d	4	0.014035087719298246
s aiin chey	B	da?	1	0.0035087719298245615
s aiin chey	B	daiin	5	0.017543859649122806
s aiin chey	B	daiinopal	1	0.0035087719298245615
s aiin chey	B	dair	1	0.0035087719298245615
s aiin chey	B	dal	4	0.014035087719298246
s aiin chey	B	dar	2	0.007017543859649123
s aiin chey	B	dl	1	0.0035087719298245615
s aiin chey	B	dlshedy	1	0.0035087719298245615
s aiin chey	B	doal	1	0.0035087719298245615
s aiin chey	B	dolky	1	0.0035087719298245615
s aiin chey	B	dor	1	0.0035087719298245615
s aiin chey	B	dy	1	0.0035087719298245615
s aiin chey	B	kodaiin	1	0.0035087719298245615
s aiin chey	B	lkar	1	0.0035087719298245615
s aiin chey	B	o	3	0.010526315789473684
s aiin chey	B	ockhy	1	0.0035087719298245615
s aiin chey	B	octhy	1	0.0035087719298245615
s aiin chey	B	odaiin	1	0.0035087719298245615
s aiin chey	B	odain	2	0.007017543859649123
s aiin chey	B	odal	2	0.007017543859649123
s aiin chey	B	ody	3	0.010526315789473684
s aiin chey	B	oeey	1	0.0035087719298245615
s aiin chey	B	ofcheefar	1	0.0035087719298245615
s aiin chey	B	ofy	1	0.0035087719298245615
s aiin chey	B	og	1	0.0035087719298245615
s aiin chey	B	okaiin	5	0.017543859649122806
s aiin chey	B	okain	4	0.014035087719298246
s aiin chey	B	okal	6	0.021052631578947368
s aiin chey	B	okalal	1	0.0035087719298245615
s aiin chey	B	okar	2	0.007017543859649123
s aiin chey	B	okary	1	0.0035087719298245615
s aiin chey	B	okch'eey	1	0.0035087719298245615
s aiin chey	B	okchdam	1	0.0035087719298245615
s aiin chey	B	okeam	1	0.0035087719298245615
s aiin chey	B	okedal	1	0.0035087719298245615
s aiin chey	B	okeedy	3	0.010526315789473684
s aiin chey	B	okees	1	0.0035087719298245615
s aiin chey	B	okeey	1	0.0035087719298245615
s aiin chey	B	okeody	1	0.0035087719298245615
s aiin chey	B	okeol	1	0.0035087719298245615
s aiin chey	B	okey	2	0.007017543859649123
s aiin chey	B	okody	1	0.0035087719298245615
s aiin chey	B	okol	2	0.007017543859649123
s aiin chey	B	okor	2	0.007017543859649123
s aiin chey	B	okshd	1	0.0035087719298245615
s aiin chey	B	okshey	1	0.0035087719298245615
s aiin chey	B	oky	2	0.007017543859649123
s aiin chey	B	ol	7	0.02456140350877193
s aiin chey	B	olan	1	0.0035087719298245615
s aiin chey	B	oldal	1	0.0035087719298245615
s aiin chey	B	oldam	1	0.0035087719298245615
s aiin chey	B	olkaiin	1	0.0035087719298245615
s aiin chey	B	olkal	1	0.0035087719298245615
s aiin chey	B	olkeedy	1	0.0035087719298245615
s aiin chey	B	oloaiin	1	0.0035087719298245615
s aiin chey	B	olor	1	0.0035087719298245615
s aiin chey	B	oly	2	0.007017543859649123
s aiin chey	B	opakam	1	0.0035087719298245615
s aiin chey	B	opchdy	1	0.0035087719298245615
s aiin chey	B	opchedy	2	0.007017543859649123
s aiin chey	B	opy	1	0.0035087719298245615
s aiin chey	B	or	1	0.0035087719298245615
s aiin chey	B	otaiin	3	0.010526315789473684
s aiin chey	B	otain	1	0.0035087719298245615
s aiin chey	B	otam	1	0.0035087719298245615
s aiin chey	B	otar	6	0.021052631578947368
s aiin chey	B	otchdy	1	0.0035087719298245615
s aiin chey	B	otchey	1	0.0035087719298245615
s aiin chey	B	otedy	2	0.007017543859649123
s aiin chey	B	oteedy	2	0.007017543859649123
s aiin chey	B	oteey	1	0.0035087719298245615
s aiin chey	B	otey	1	0.0035087719298245615
s aiin chey	B	otleey	1	0.0035087719298245615
s aiin chey	B	otody	1	0.0035087719298245615
s aiin chey	B	oty	2	0.007017543859649123
s aiin chey	B	pcheeody	1	0.0035087719298245615
s aiin chey	B	polaiin	1	0.0035087719298245615
s aiin chey	B	polchedy	1	0.0035087719298245615
s aiin chey	B	qchor	1	0.0035087719298245615
s aiin chey	B	qokaiin	1	0.0035087719298245615
s aiin chey	B	qokee@149;	1	0.0035087719298245615
s aiin chey	B	qokeeey	1	0.0035087719298245615
s aiin chey	B	qokeey	4	0.014035087719298246
s aiin chey	B	qokol	1	0.0035087719298245615
s aiin chey	B	qopcheedy	1	0.0035087719298245615
s aiin chey	B	qotcho	1	0.0035087719298245615
s aiin chey	B	qotchy	2	0.007017543859649123
s aiin chey	B	qoteeeo	1	0.0035087719298245615
s aiin chey	B	s	3	0.010526315789473684
s aiin chey	B	sain	1	0.0035087719298245615
s aiin chey	B	sarar	1	0.0035087719298245615
s aiin chey	B	sha	1	0.0035087719298245615
s aiin chey	B	sheckhy	1	0.0035087719298245615
s aiin chey	B	shedaiin	1	0.0035087719298245615
s aiin chey	B	shedy	2	0.007017543859649123
s aiin chey	B	shee	1	0.0035087719298245615
s aiin chey	B	shee'	1	0.0035087719298245615
s aiin chey	B	sheekchy	1	0.0035087719298245615
s aiin chey	B	sheeor	1	0.0035087719298245615
s aiin chey	B	sheey	2	0.007017543859649123
s aiin chey	B	shekaiin	1	0.0035087719298245615
s aiin chey	B	shekeey	1	0.0035087719298245615
s aiin chey	B	shekey	1	0.0035087719298245615
s aiin chey	B	sheor	1	0.0035087719298245615
s aiin chey	B	sheos	1	0.0035087719298245615
s aiin chey	B	shky	1	0.0035087719298245615
s aiin chey	B	shodain	1	0.0035087719298245615
s aiin chey	B	shol	2	0.007017543859649123
s aiin chey	B	shtchy	1	0.0035087719298245615
s aiin chey	B	shy	2	0.007017543859649123
s aiin chey	B	skal	1	0.0035087719298245615
s aiin chey	B	sol	2	0.007017543859649123
s aiin chey	B	sy	2	0.007017543859649123
s aiin chey	B	teeos	1	0.0035087719298245615
s aiin chey	B	tolchdaiin	1	0.0035087719298245615
s aiin chey	B	y	4	0.014035087719298246
s aiin chey	B	ychey	1	0.0035087719298245615
s aiin chey	B	yefaiin	1	0.0035087719298245615
s aiin chey	B	ykain	1	0.0035087719298245615
s aiin chey	B	ykam	1	0.0035087719298245615
s aiin chey	B	ykeeedy	1	0.0035087719298245615
s aiin chey	B	yky	1	0.0035087719298245615
s aiin chey	B	ylkaiin	1	0.0035087719298245615
s aiin chey	B	ytaiiil	1	0.0035087719298245615
s aiin chey	B	ytair	1	0.0035087719298245615
s aiin chey	B	ytaly	1	0.0035087719298245615
s aiin chey	B	yteeey	1	0.0035087719298245615
s aiin chey	B	yteeody	1	0.0035087719298245615
s aiin chey	B	yteey	2	0.007017543859649123
s aiin chey	B	yteody	1	0.0035087719298245615
s aiin chey	AB	al	1	0.023809523809523808
s aiin chey	AB	char	1	0.023809523809523808
s aiin chey	AB	chcphdy	1	0.023809523809523808
s aiin chey	AB	cheeos	1	0.023809523809523808
s aiin chey	AB	cheky	1	0.023809523809523808
s aiin chey	AB	chey	4	0.09523809523809523
s aiin chey	AB	chky	1	0.023809523809523808
s aiin chey	AB	chody	1	0.023809523809523808
s aiin chey	AB	chokchol	1	0.023809523809523808
s aiin chey	AB	chokey	1	0.023809523809523808
s aiin chey	AB	chor	1	0.023809523809523808
s aiin chey	AB	da?	1	0.023809523809523808
s aiin chey	AB	daiin	3	0.07142857142857142
s aiin chey	AB	dal	1	0.023809523809523808
s aiin chey	AB	doal	1	0.023809523809523808
s aiin chey	AB	ody	1	0.023809523809523808
s aiin chey	AB	okaiin	1	0.023809523809523808
s aiin chey	AB	okain	1	0.023809523809523808
s aiin chey	AB	okeam	1	0.023809523809523808
s aiin chey	AB	okey	1	0.023809523809523808
s aiin chey	AB	okol	1	0.023809523809523808
s aiin chey	AB	oky	1	0.023809523809523808
s aiin chey	AB	ol	1	0.023809523809523808
s aiin chey	AB	olor	1	0.023809523809523808
s aiin chey	AB	oly	1	0.023809523809523808
s aiin chey	AB	otain	1	0.023809523809523808
s aiin chey	AB	qokee@149;	1	0.023809523809523808
s aiin chey	AB	qokeey	1	0.023809523809523808
s aiin chey	AB	qotchy	1	0.023809523809523808
s aiin chey	AB	s	1	0.023809523809523808
s aiin chey	AB	sha	1	0.023809523809523808
s aiin chey	AB	shee	1	0.023809523809523808
s aiin chey	AB	shee'	1	0.023809523809523808
s aiin chey	AB	sheekchy	1	0.023809523809523808
s aiin chey	AB	shekeey	1	0.023809523809523808
s aiin chey	AB	shekey	1	0.023809523809523808
s aiin chey	AB	sy	1	0.023809523809523808
