job_id	ground_truth	generator_variant	scale	replicate	latent_recovery	basis
j-0c2bd3ac6fd4c8a48fd1	M0	1	VOYNICH_SCALE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-0ce23a21213fc21a27a1	M3	3	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-0cf4e353f2a4c35957fd	M1	2	MEDIUM	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-0d1861caae203af0281c	M0	1	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-0e009aee65b7df65a093	M3	1	LARGE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-0e1b7bed1556831857a1	M4	2	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-0e75d5d93a19c2b2e0ff	M4	3	LARGE	6	NOT_SUPPORTED	training/model-evidence failure
j-0ebbfc3c19fbc3caf94d	M3	1	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-0ef0fb48de66695c67c7	M1	1	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-0f2f3b2b113c38d4496d	M2	1	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-0f3a30697ae18120944a	M4	2	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-0f625a99d7876369009d	M4	3	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-0fb45e82e6bab79b0344	M0	3	LARGE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-101ec08614c8f5aea62e	M0	1	VOYNICH_SCALE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-10414afa3a77f83ffbdf	M4	2	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-1095c7af719732215f20	M3	3	SMALL	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-1161efd4bb6c8511a16d	M3	3	LARGE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-118fd6af115b1844723b	M3	1	LARGE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-14beabc72c9a6006b0ab	M5	1	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-14c2ffb8a08cb8c7f0c5	M5	1	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-15a1b5c0586438bf990f	M2	1	VOYNICH_SCALE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-15a6862c774abd881eda	M3	3	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-15e3150b99df73255eed	M0	2	LARGE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-1673f036ac934c295d16	M5	1	VOYNICH_SCALE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-172859a7e42a51c617e2	M5	2	LARGE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-177a237aea822635e857	M3	3	SMALL	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-1831a59bf19c3a9b0137	M3	2	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-1849b643b4f4d7682ce8	M4	3	VOYNICH_SCALE	2	NOT_SUPPORTED	training/model-evidence failure
j-186309562bfa31a81a1e	M5	2	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-188c14f3f50ffc8ea84a	M4	3	VOYNICH_SCALE	7	NOT_SUPPORTED	training/model-evidence failure
j-190251d17a59d30b1413	M2	3	SMALL	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-1a444cda7dddf0a7f2b5	M1	2	MEDIUM	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-1a877503f51a77aa8700	M5	3	VOYNICH_SCALE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-1aafa6e8ebb14722e644	M2	3	SMALL	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-1b61f9320db2a0e07796	M4	3	SMALL	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-1bdf0ff4d2ddc0f1e8ac	M3	2	LARGE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-1c87ab8c74886875d7d7	M2	1	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-1d4810417eaf51c0d942	M3	3	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-1d6ce8449cab26976807	M5	1	LARGE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-1e10c8b2346c864eb8dd	M5	2	VOYNICH_SCALE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-1e915492bf3615f97d73	M4	2	SMALL	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-1f386e7e4904dc2caeb1	M2	2	SMALL	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-1fb81e572c3a610893a3	M5	1	LARGE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-1fb876c6b276b06d2dc8	M4	1	LARGE	3	NOT_SUPPORTED	training/model-evidence failure
j-1fc4680893139304f71e	M2	1	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-2032fe6d78199bc90ead	M1	3	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-203827a034238164f7ae	M3	1	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-2039356f9913541c0c9e	M1	3	LARGE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-2050574439d4a4222fa5	M2	2	LARGE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-20b213701867d1c17b99	M0	1	VOYNICH_SCALE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-20b99775cce10c33fe6a	M5	1	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-2101c3e6dc8bec7de2db	M2	3	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-21344cc8e13655a9275b	M0	2	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-21a5ebb8d5df2a43386f	M2	2	LARGE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-21d3de0c8b60d58d952f	M0	2	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-21d8b346d05e77001a83	M3	2	VOYNICH_SCALE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-22533c0fe9d40784e459	M3	3	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-225d03ddb5c0cb9fd73a	M2	1	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-2282d99dba79cf892d65	M5	2	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-22cce824b8856e021c90	M4	1	VOYNICH_SCALE	6	NOT_SUPPORTED	training/model-evidence failure
j-230bdcbf9e78e28c302c	M0	3	MEDIUM	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-230be3a545a53e241762	M4	2	LARGE	1	NOT_SUPPORTED	training/model-evidence failure
j-2376d268bfe2c6f07e59	M1	2	VOYNICH_SCALE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-243d8d5c00ea4fb46cf6	M0	3	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-247b0451c5df0e08863e	M3	1	VOYNICH_SCALE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-24be577e6b95ee65dc14	M4	2	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-2547b41d47d329e4455c	M4	3	LARGE	3	NOT_SUPPORTED	training/model-evidence failure
j-25b175a405791c9b8c51	M0	3	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-25dcd918737348286263	M2	1	MEDIUM	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-2645ce0b0e2072af57f5	M2	1	MEDIUM	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-26825f13c94507e13214	M1	2	LARGE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-26bfc51381f969befea5	M0	1	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-26f959c99601c14decb7	M2	3	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-26ff36293d82e5f7b78e	M5	2	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-2822164dafb0ea8d2475	M0	1	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-28630f3039768e370367	M5	1	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-286ee2b2374537a5d2d9	M0	3	VOYNICH_SCALE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-2884f147ce10dad8564d	M4	3	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-294c307d59c384441ff4	M5	3	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-2986e409d6507d8943a5	M0	3	VOYNICH_SCALE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-299275127bacfb971e44	M2	2	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-2a984a0bc20406a1e3b6	M2	3	VOYNICH_SCALE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-2a9ad64190c9e6d60257	M0	1	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-2b0e2bf628841aa461d7	M4	1	SMALL	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-2bca9082c6bb2ffa97af	M3	3	LARGE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-2c3935db43e5850a3a63	M5	3	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-2c3eac694c0e4b789b92	M5	3	LARGE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-2c7d9d727be6258accaf	M2	1	LARGE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-2c9d5f63c26de4548549	M0	2	LARGE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-2cb76a27b6dd56464fab	M4	1	MEDIUM	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-2d341a2a0f835e2760eb	M5	1	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-2db246976358d300a15e	M1	1	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-2e01b6936ee6a40c15e1	M3	2	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-2e203c85b031a66560ce	M5	2	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-2ee7e12c83e0340c170d	M3	1	LARGE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-2feaff114b54b9db5a28	M5	2	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-2ffd1c6934d385fd71cc	M2	3	LARGE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-30dfd1f6e8c74a2b7388	M5	2	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-31e43d2aa816fb3e2cbf	M3	1	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-31f3b8a8c3836d6ef711	M3	3	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-3225bf40cef76593c8fe	M2	2	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-32ab4f7fc69e65788f65	M2	3	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-33334320ccd84ef17870	M2	3	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-3419bf85df0e37e2770e	M4	2	LARGE	6	NOT_SUPPORTED	training/model-evidence failure
j-3472f27e263817225242	M5	2	VOYNICH_SCALE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-353dc5763f5f6ca40dec	M1	3	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-356c5e8b07a59c4588f9	M3	2	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-35cf484ed5c57b33e42f	M0	3	LARGE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-377b78b20fb758cbe48c	M0	3	LARGE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-37ead7e0c45f4c649867	M5	3	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-37ef6d94987d6254ff0b	M1	3	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-3856cfafc158c87c5db2	M3	2	LARGE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-3909b9ef5ccce483e0e4	M2	2	VOYNICH_SCALE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-390f112883382575341f	M5	2	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-3910335b094ecbc14c84	M4	3	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-39f32ed11106badbe427	M4	1	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-3a41a1c816da7f2bc84c	M1	1	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-3a484727d8ab487af30a	M4	3	LARGE	4	NOT_SUPPORTED	training/model-evidence failure
j-3ab4fe80c5312add105a	M2	3	VOYNICH_SCALE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-3bbddd9ce4da90a0fbe7	M5	3	SMALL	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-3bbe95c91a91bd12b742	M5	1	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-3c184f3556e7375493a1	M2	2	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-3d040ab4d14d99ceb316	M0	1	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-3d1040aa4be2ff541a25	M2	3	VOYNICH_SCALE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-3d19652e58e9dbdd6e5d	M3	1	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-3d468282d1353f4306ef	M2	3	VOYNICH_SCALE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-3d76f9a8064fdaff6ecf	M1	1	LARGE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-3dc23786c38ef893c1f7	M2	2	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-3e064b74fa331fce03ff	M0	2	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-3e3059b7d25720d12bd2	M4	3	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-3e404677d7d54295c8cc	M4	1	LARGE	1	NOT_SUPPORTED	training/model-evidence failure
j-3e5d086b8fcab11e20cf	M1	2	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-3e5d2ce2170726ed711f	M1	2	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-3e8004fa89384e0e2445	M0	1	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-3fc91ad2a3581c34ee2b	M1	2	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-3febd2d18143cc8375aa	M5	1	VOYNICH_SCALE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-40169445b41ab06c28ef	M0	3	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-409e6c55c20191f6e489	M1	1	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-4114221262b2431ed299	M5	3	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-419befd72a07be6960d5	M2	1	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-42b8d034b1760956f84f	M2	3	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-43bea08aeae399ec0e26	M1	3	LARGE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-4440c6c86b8fee793bfc	M2	3	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-44cb5ddb03188ee7c955	M4	1	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-44d5d36bfbfe873af397	M0	3	VOYNICH_SCALE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-450c87dbee44b0c0a425	M2	1	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-4558e100e0c43c303ebe	M4	3	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-4623e68334942e217507	M1	3	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-465bb738ead9db2948a6	M0	1	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-469bb6409943722c16a8	M1	3	MEDIUM	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-46b5d97eb009bedf0af8	M0	2	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-47449a6fd0ba35cd96b7	M3	2	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-4763d8f10aec982bcd60	M0	2	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-483c7238f6f51e699236	M5	3	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-486b9372eb7d20317627	M4	2	LARGE	0	NOT_SUPPORTED	training/model-evidence failure
j-4984401b246ad3742555	M3	3	MEDIUM	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-49d278704757be000ac0	M0	2	SMALL	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-4b26ee4913d75e3ed7e0	M5	2	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-4b2a5841f23af8976e9e	M2	1	VOYNICH_SCALE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-4b4c61f58a38b12c58a6	M1	1	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-4c69fcb20eedb0049144	M0	1	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-4e2d89b62c29141cc716	M1	1	MEDIUM	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-4f67e87a970337566a91	M3	1	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-5005ac4508a4a34446f3	M1	1	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-508abfc02b805ee3889e	M1	1	SMALL	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-509957c1c8d1c24d1fa3	M2	2	MEDIUM	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-529ef4d39fcfc672361e	M3	1	LARGE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-5331bba817933eaf574e	M4	2	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-53cffb49c78d58e330b5	M5	2	MEDIUM	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-5493577643defdb185c8	M3	3	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-54bd917efc23457a1afc	M0	3	MEDIUM	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-5513ab4290a78e398c8e	M3	2	VOYNICH_SCALE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-552921c49814746f4e2f	M3	3	VOYNICH_SCALE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-5534ced650a7ce697523	M4	1	LARGE	4	NOT_SUPPORTED	training/model-evidence failure
j-553cd83366d9d76d0553	M2	3	VOYNICH_SCALE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-5573357441bde16e3063	M4	2	LARGE	5	NOT_SUPPORTED	training/model-evidence failure
j-557391ad82e8c3c20493	M3	3	MEDIUM	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-562520f0787dcfd5f9c3	M3	1	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-56d5c10a78ab8db83923	M5	1	SMALL	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-56e594ef49f4c9063645	M5	2	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-573c325455fedd2fdf88	M4	1	LARGE	0	NOT_SUPPORTED	training/model-evidence failure
j-58091c4b0e74a9e53c11	M3	3	VOYNICH_SCALE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-58643a2d7c41d2c81b61	M2	3	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-58fdc8d727641cd95615	M1	1	VOYNICH_SCALE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-5931a1865775ce2171b2	M1	2	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-594c370d50f3e175596e	M2	1	LARGE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-5952ba76463c2064ee3a	M0	3	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-59563c7d9de9a3fde769	M3	3	SMALL	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-5acb28e4e42ddf1c76e4	M0	1	LARGE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-5ae51281aa0b9b691f91	M0	2	VOYNICH_SCALE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-5b2a19b511d94176660f	M3	1	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-5c8868dbcb7609854045	M0	1	LARGE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-5c9b9034fea463779f63	M2	2	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-5cab6ae0efa7b30deaa0	M3	2	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-5cac7c8bfece6af2e61b	M3	2	VOYNICH_SCALE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-5cce3c2094769fa19b33	M4	2	LARGE	3	NOT_SUPPORTED	training/model-evidence failure
j-5d0aafa757c83a2897f3	M1	2	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-5d16e6362664320cc8a3	M2	2	VOYNICH_SCALE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-5d5cc933c268f3dc05e7	M1	2	VOYNICH_SCALE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-5db58907325166dbcf17	M1	1	LARGE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-5de26f11e39701b8efdf	M3	1	VOYNICH_SCALE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-5e90c5da6f20c754d732	M1	2	SMALL	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-5ef61961f1c37d76ec51	M4	1	LARGE	6	NOT_SUPPORTED	training/model-evidence failure
j-5efb751d07c840df1f0f	M4	2	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-60bc190b5565b5421fbc	M5	2	LARGE	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-6148ebd766dc07dab3ac	M2	3	VOYNICH_SCALE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-6153045364a12302bede	M0	1	SMALL	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-61f2fb41ccb12cdffcce	M3	2	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-6216a53bf722e65f1cbb	M3	3	VOYNICH_SCALE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-62fd619dd4423d045258	M2	2	LARGE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-63a212b445469e9c7c19	M2	1	LARGE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-64068f887942de228659	M0	2	VOYNICH_SCALE	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-64af86caccb919c56fb1	M4	1	VOYNICH_SCALE	2	NOT_SUPPORTED	training/model-evidence failure
j-64fd00a631b1abc7f97d	M2	1	SMALL	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-651e06697d1141f935fe	M3	1	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-65824e63d426458c9f87	M2	1	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-65afe7b0fb91703fd4e3	M3	1	SMALL	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-661eef365d27500c2524	M0	2	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-66bccc8c90689e07300f	M4	2	LARGE	2	NOT_SUPPORTED	training/model-evidence failure
j-677c63dff3090a8e0c38	M3	3	LARGE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-68834fc90c1b8f7232c7	M4	3	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-688365450865cddd583d	M3	1	MEDIUM	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-68cea9c8a0c79b654d2d	M1	3	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-68f17a39630f7d958924	M3	1	MEDIUM	6	NOT_ASSESSABLE	individual predictive gates not recorded
