branch	corpus_label	generator_variant	scale	model	replicates	modal_first_failure	modal_count	agreement_rate	distribution
NATURAL	Latin	0	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	MEDIUM	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Latin	0	MEDIUM	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Latin	0	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	SMALL	M3	8	TRAINING	6	0.750000	PREDICTIVE_GATE:2;TRAINING:6
NATURAL	Latin	0	SMALL	M4	8	TRAINING	6	0.750000	PREDICTIVE_GATE:2;TRAINING:6
NATURAL	Latin	0	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	VOYNICH_SCALE	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Latin	0	VOYNICH_SCALE	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Latin	0	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	LARGE	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Sanskrit	0	LARGE	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Sanskrit	0	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	MEDIUM	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Sanskrit	0	MEDIUM	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Sanskrit	0	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	SMALL	M3	8	TRAINING	7	0.875000	PREDICTIVE_GATE:1;TRAINING:7
NATURAL	Sanskrit	0	SMALL	M4	8	TRAINING	7	0.875000	PREDICTIVE_GATE:1;TRAINING:7
NATURAL	Sanskrit	0	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Sanskrit	0	VOYNICH_SCALE	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Sanskrit	0	VOYNICH_SCALE	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Sanskrit	0	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	LARGE	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	LARGE	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	MEDIUM	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	MEDIUM	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	SMALL	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	SMALL	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	VOYNICH_SCALE	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	VOYNICH_SCALE	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	1	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	LARGE	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	LARGE	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	MEDIUM	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	MEDIUM	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	SMALL	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	SMALL	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	VOYNICH_SCALE	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	VOYNICH_SCALE	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	2	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	LARGE	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	LARGE	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	MEDIUM	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	MEDIUM	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	SMALL	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	SMALL	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	VOYNICH_SCALE	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	VOYNICH_SCALE	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M0	3	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	LARGE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	1	LARGE	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	1	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	MEDIUM	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	1	MEDIUM	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	1	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	SMALL	M3	8	PREDICTIVE_GATE	6	0.750000	PREDICTIVE_GATE:6;TRAINING:2
SYNTHETIC	M1	1	SMALL	M4	8	PREDICTIVE_GATE	6	0.750000	PREDICTIVE_GATE:6;TRAINING:2
SYNTHETIC	M1	1	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	1	VOYNICH_SCALE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	1	VOYNICH_SCALE	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	1	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	LARGE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	LARGE	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	MEDIUM	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	MEDIUM	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	SMALL	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	SMALL	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	2	VOYNICH_SCALE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	VOYNICH_SCALE	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	2	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	LARGE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	LARGE	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	MEDIUM	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	MEDIUM	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	SMALL	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	SMALL	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M1	3	VOYNICH_SCALE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	VOYNICH_SCALE	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M1	3	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	LARGE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M2	1	LARGE	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M2	1	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	MEDIUM	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M2	1	MEDIUM	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M2	1	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	SMALL	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M2	1	SMALL	M4	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M2	1	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
SYNTHETIC	M2	1	VOYNICH_SCALE	M3	8	TRAINING	8	1.000000	TRAINING:8
SYNTHETIC	M2	1	VOYNICH_SCALE	M4	8	TRAINING	8	1.000000	TRAINING:8
