model_id	split	stolfi_coordinate	object_class	panel	stolfi_group	zl3b_locus	absolute_token_position	voynich_token	prediction	matched_object_id	source_form_evidence	system_applicable_without_assignment
M0001	TRAIN	f68r2.S.15	STAR	f68r2	S	f68r2.22	12482	otoeeo	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r2.S.16	STAR	f68r2	S	f68r2.23	12483	ofcheody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r2.S.18	STAR	f68r2	S	f68r2.25	12485	odair	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r2.S.20	STAR	f68r2	S	f68r2.26	12487	opocphor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r2.S.21	STAR	f68r2	S	f68r2.27	12488	otoshol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r2.S.8	STAR	f68r2	S	f68r2.15	12475	okchor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r3.X.11	STAR	f68r3	X	f68r3.21	12606	okchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	L	f67r2.22	12077	okal	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	L	f67r2.31	12097	opcholdy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	L	f67r2.37	12113	ytoaiin	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	L	f67r2.47	12139	yfain	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f67v1.X.10	STAR	f67v1	X	f67v1.7	12285	ykeodar	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r1.S.1	STAR	f68r1	S	f68r1.12	12384	chocfhy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r1.S.19	STAR	f68r1	S	f68r1.35	12410	otochedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r1.S.21	STAR	f68r1	S	f68r1.25	12397	otol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r1.S.22	STAR	f68r1	S	f68r1.26	12398	otor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r1.S.24	STAR	f68r1	S	f68r1.15	12387	otydy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r1.S.26	STAR	f68r1	S	f68r1.19	12391	otys	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r1.S.9	STAR	f68r1	S	f68r1.22	12394	ofcheor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r2.S.1	STAR	f68r2	S	f68r2.8	12468	cheorol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r2.S.15	STAR	f68r2	S	f68r2.22	12482	otoeeo	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r2.S.16	STAR	f68r2	S	f68r2.23	12483	ofcheody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r2.S.18	STAR	f68r2	S	f68r2.25	12485	odair	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r2.S.20	STAR	f68r2	S	f68r2.26	12487	opocphor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r2.S.21	STAR	f68r2	S	f68r2.27	12488	otoshol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r2.S.8	STAR	f68r2	S	f68r2.15	12475	okchor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	TRAIN	f68r3.X.11	STAR	f68r3	X	f68r3.21	12606	okchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0002	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	L	f67r2.22	12077	okal	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	L	f67r2.31	12097	opcholdy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	L	f67r2.37	12113	ytoaiin	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	L	f67r2.47	12139	yfain	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f67v1.X.10	STAR	f67v1	X	f67v1.7	12285	ykeodar	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r1.S.1	STAR	f68r1	S	f68r1.12	12384	chocfhy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r1.S.19	STAR	f68r1	S	f68r1.35	12410	otochedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r1.S.21	STAR	f68r1	S	f68r1.25	12397	otol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r1.S.22	STAR	f68r1	S	f68r1.26	12398	otor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r1.S.24	STAR	f68r1	S	f68r1.15	12387	otydy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r1.S.26	STAR	f68r1	S	f68r1.19	12391	otys	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r1.S.9	STAR	f68r1	S	f68r1.22	12394	ofcheor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r2.S.1	STAR	f68r2	S	f68r2.8	12468	cheorol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r2.S.15	STAR	f68r2	S	f68r2.22	12482	otoeeo	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r2.S.16	STAR	f68r2	S	f68r2.23	12483	ofcheody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r2.S.18	STAR	f68r2	S	f68r2.25	12485	odair	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r2.S.20	STAR	f68r2	S	f68r2.26	12487	opocphor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r2.S.21	STAR	f68r2	S	f68r2.27	12488	otoshol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r2.S.8	STAR	f68r2	S	f68r2.15	12475	okchor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	TRAIN	f68r3.X.11	STAR	f68r3	X	f68r3.21	12606	okchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0003	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	L	f67r2.22	12077	okal	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	L	f67r2.31	12097	opcholdy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	L	f67r2.37	12113	ytoaiin	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	L	f67r2.47	12139	yfain	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f67v1.X.10	STAR	f67v1	X	f67v1.7	12285	ykeodar	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r1.S.1	STAR	f68r1	S	f68r1.12	12384	chocfhy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r1.S.19	STAR	f68r1	S	f68r1.35	12410	otochedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r1.S.21	STAR	f68r1	S	f68r1.25	12397	otol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r1.S.22	STAR	f68r1	S	f68r1.26	12398	otor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r1.S.24	STAR	f68r1	S	f68r1.15	12387	otydy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r1.S.26	STAR	f68r1	S	f68r1.19	12391	otys	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r1.S.9	STAR	f68r1	S	f68r1.22	12394	ofcheor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r2.S.1	STAR	f68r2	S	f68r2.8	12468	cheorol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r2.S.15	STAR	f68r2	S	f68r2.22	12482	otoeeo	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r2.S.16	STAR	f68r2	S	f68r2.23	12483	ofcheody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r2.S.18	STAR	f68r2	S	f68r2.25	12485	odair	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r2.S.20	STAR	f68r2	S	f68r2.26	12487	opocphor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r2.S.21	STAR	f68r2	S	f68r2.27	12488	otoshol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r2.S.8	STAR	f68r2	S	f68r2.15	12475	okchor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	TRAIN	f68r3.X.11	STAR	f68r3	X	f68r3.21	12606	okchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0006	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	L	f67r2.22	12077	okal	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	L	f67r2.31	12097	opcholdy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	L	f67r2.37	12113	ytoaiin	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	L	f67r2.47	12139	yfain	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f67v1.X.10	STAR	f67v1	X	f67v1.7	12285	ykeodar	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r1.S.1	STAR	f68r1	S	f68r1.12	12384	chocfhy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r1.S.19	STAR	f68r1	S	f68r1.35	12410	otochedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r1.S.21	STAR	f68r1	S	f68r1.25	12397	otol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r1.S.22	STAR	f68r1	S	f68r1.26	12398	otor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r1.S.24	STAR	f68r1	S	f68r1.15	12387	otydy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r1.S.26	STAR	f68r1	S	f68r1.19	12391	otys	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r1.S.9	STAR	f68r1	S	f68r1.22	12394	ofcheor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r2.S.1	STAR	f68r2	S	f68r2.8	12468	cheorol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r2.S.15	STAR	f68r2	S	f68r2.22	12482	otoeeo	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r2.S.16	STAR	f68r2	S	f68r2.23	12483	ofcheody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r2.S.18	STAR	f68r2	S	f68r2.25	12485	odair	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r2.S.20	STAR	f68r2	S	f68r2.26	12487	opocphor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r2.S.21	STAR	f68r2	S	f68r2.27	12488	otoshol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r2.S.8	STAR	f68r2	S	f68r2.15	12475	okchor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	TRAIN	f68r3.X.11	STAR	f68r3	X	f68r3.21	12606	okchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0011	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	L	f67r2.22	12077	okal	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	L	f67r2.31	12097	opcholdy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	L	f67r2.37	12113	ytoaiin	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	L	f67r2.47	12139	yfain	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f67v1.X.10	STAR	f67v1	X	f67v1.7	12285	ykeodar	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r1.S.1	STAR	f68r1	S	f68r1.12	12384	chocfhy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r1.S.19	STAR	f68r1	S	f68r1.35	12410	otochedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r1.S.21	STAR	f68r1	S	f68r1.25	12397	otol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r1.S.22	STAR	f68r1	S	f68r1.26	12398	otor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r1.S.24	STAR	f68r1	S	f68r1.15	12387	otydy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r1.S.26	STAR	f68r1	S	f68r1.19	12391	otys	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r1.S.9	STAR	f68r1	S	f68r1.22	12394	ofcheor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r2.S.1	STAR	f68r2	S	f68r2.8	12468	cheorol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r2.S.15	STAR	f68r2	S	f68r2.22	12482	otoeeo	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r2.S.16	STAR	f68r2	S	f68r2.23	12483	ofcheody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r2.S.18	STAR	f68r2	S	f68r2.25	12485	odair	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r2.S.20	STAR	f68r2	S	f68r2.26	12487	opocphor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r2.S.21	STAR	f68r2	S	f68r2.27	12488	otoshol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r2.S.8	STAR	f68r2	S	f68r2.15	12475	okchor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	TRAIN	f68r3.X.11	STAR	f68r3	X	f68r3.21	12606	okchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0016	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	L	f67r2.22	12077	okal	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	L	f67r2.31	12097	opcholdy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	L	f67r2.37	12113	ytoaiin	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	L	f67r2.47	12139	yfain	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f67v1.X.10	STAR	f67v1	X	f67v1.7	12285	ykeodar	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r1.S.1	STAR	f68r1	S	f68r1.12	12384	chocfhy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r1.S.19	STAR	f68r1	S	f68r1.35	12410	otochedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r1.S.21	STAR	f68r1	S	f68r1.25	12397	otol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r1.S.22	STAR	f68r1	S	f68r1.26	12398	otor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r1.S.24	STAR	f68r1	S	f68r1.15	12387	otydy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r1.S.26	STAR	f68r1	S	f68r1.19	12391	otys	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r1.S.9	STAR	f68r1	S	f68r1.22	12394	ofcheor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r2.S.1	STAR	f68r2	S	f68r2.8	12468	cheorol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r2.S.15	STAR	f68r2	S	f68r2.22	12482	otoeeo	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r2.S.16	STAR	f68r2	S	f68r2.23	12483	ofcheody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r2.S.18	STAR	f68r2	S	f68r2.25	12485	odair	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r2.S.20	STAR	f68r2	S	f68r2.26	12487	opocphor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r2.S.21	STAR	f68r2	S	f68r2.27	12488	otoshol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r2.S.8	STAR	f68r2	S	f68r2.15	12475	okchor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	TRAIN	f68r3.X.11	STAR	f68r3	X	f68r3.21	12606	okchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0021	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
