page_id	physical_leaf_id	broad_section	visual_annotation_status	visual_descriptor_complete_count	textual_fingerprint_available	metadata_complete	primary_multivariate_eligible	confounder_model_eligible	exclusion_stage	exclusion_reason
f115v	f115	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f116r	f116	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f116v	f116	Text	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f11r	f11	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f11v	f11	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f13r	f13	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f13v	f13	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f14r	f14	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f14v	f14	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f15r	f15	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f15v	f15	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f16r	f16	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f16v	f16	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f17r	f17	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f17v	f17	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f18r	f18	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f18v	f18	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f19r	f19	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f19v	f19	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f1r	f1	Text	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f1v	f1	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f20r	f20	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f20v	f20	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f21r	f21	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f21v	f21	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f22r	f22	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f22v	f22	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f23r	f23	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f23v	f23	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f24r	f24	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f24v	f24	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f25r	f25	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f25v	f25	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f26r	f26	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f26v	f26	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f27r	f27	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f27v	f27	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f28r	f28	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f28v	f28	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f29r	f29	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f29v	f29	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f2r	f2	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f2v	f2	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f30r	f30	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f30v	f30	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f31r	f31	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f31v	f31	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f32r	f32	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f32v	f32	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f33r	f33	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f33v	f33	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f34r	f34	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f34v	f34	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f35r	f35	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f35v	f35	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f36r	f36	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f36v	f36	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f37r	f37	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f37v	f37	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f38r	f38	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f38v	f38	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f39r	f39	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f39v	f39	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f3r	f3	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f3v	f3	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f40r	f40	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f40v	f40	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f41r	f41	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f41v	f41	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f42r	f42	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f42v	f42	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f43r	f43	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f43v	f43	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f44r	f44	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f44v	f44	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f45r	f45	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f45v	f45	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f46r	f46	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f46v	f46	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f47r	f47	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f47v	f47	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f48r	f48	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f48v	f48	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f49r	f49	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f49v	f49	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f4r	f4	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f4v	f4	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f50r	f50	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f50v	f50	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f51r	f51	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f51v	f51	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f52r	f52	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f52v	f52	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f53r	f53	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f53v	f53	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f54r	f54	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f54v	f54	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f55r	f55	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f55v	f55	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f56r	f56	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f56v	f56	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f57r	f57	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f57v	f57	Cosmological	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f58r	f58	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f58v	f58	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f5r	f5	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f5v	f5	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f65r	f65	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f65v	f65	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f66r	f66	Text	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f66v	f66	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f67r1	f67	Astronomical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f67r2	f67	Astronomical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f67v1	f67	Astronomical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f67v2	f67	Cosmological	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f68r1	f68	Astronomical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f68r2	f68	Astronomical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f68r3	f68	Astronomical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f68v1	f68	Astronomical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f68v2	f68	Astronomical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f68v3	f68	Cosmological	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f69r	f69	Cosmological	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f69v	f69	Cosmological	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f6r	f6	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f6v	f6	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f70r1	f70	Cosmological	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f70r2	f70	Cosmological	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f70v1	f70	Zodiac	FULLY_ANNOTATED	15	true	true	true	true	included	
f70v2	f70	Zodiac	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f71r	f71	Zodiac	FULLY_ANNOTATED	15	true	true	true	true	included	
f71v	f71	Zodiac	FULLY_ANNOTATED	15	true	true	true	true	included	
f72r1	f72	Zodiac	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f72r2	f72	Zodiac	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f72r3	f72	Zodiac	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f72v1	f72	Zodiac	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f72v2	f72	Zodiac	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f72v3	f72	Zodiac	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f73r	f73	Zodiac	FULLY_ANNOTATED	15	true	true	true	true	included	
f73v	f73	Zodiac	FULLY_ANNOTATED	15	true	true	true	true	included	
f75r	f75	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f75v	f75	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f76r	f76	Text	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f76v	f76	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f77r	f77	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f77v	f77	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f78r	f78	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f78v	f78	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f79r	f79	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f79v	f79	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f7r	f7	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f7v	f7	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f80r	f80	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f80v	f80	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f81r	f81	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f81v	f81	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f82r	f82	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f82v	f82	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f83r	f83	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f83v	f83	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f84r	f84	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f84v	f84	Biological	FULLY_ANNOTATED	15	true	true	true	true	included	
f85r1	f85	Text	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f85r2	f85	Cosmological	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f86v3	f86	Cosmological	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f86v4	f86	Cosmological	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f86v5	f86	Text	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f86v6	f86	Text	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f87r	f87	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f87v	f87	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f88r	f88	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f88v	f88	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f89r1	f89	Pharmaceutical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f89r2	f89	Pharmaceutical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f89v1	f89	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f89v2	f89	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f8r	f8	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f8v	f8	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f90r1	f90	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f90r2	f90	Herbal	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f90v1	f90	Herbal	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f90v2	f90	Herbal	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f93r	f93	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f93v	f93	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f94r	f94	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f94v	f94	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f95r1	f95	Herbal	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f95r2	f95	Herbal	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f95v1	f95	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f95v2	f95	Herbal	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f96r	f96	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f96v	f96	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f99r	f99	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f99v	f99	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f9r	f9	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f9v	f9	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
fRos	f85-f86-foldout	Cosmological	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
