analysis	group	n	value	note
FOLIO	f23r	110	3.90208835	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f23v	95	3.92975359	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f24r	112	3.70104436	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f24v	86	4.3212338	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f25r	47	4.91433311	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f25v	60	4.34116399	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f26r	90	4.41620454	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f26v	95	4.49493156	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f27r	95	3.57214493	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f27v	61	4.29150104	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f28r	68	4.70720279	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f28v	68	4.06984552	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f29r	65	4.31376131	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f29v	94	4.15354139	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f2r	109	3.86162707	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f2v	61	4.19692796	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f30r	99	4.45075317	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f30v	65	4.74870676	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f31r	103	4.6438832	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f31v	110	4.42189716	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f32r	76	4.27653415	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f32v	89	3.7862251	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f33r	74	4.48327495	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f33v	114	3.45107546	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f34r	150	4.04277319	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f34v	118	4.57858166	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f35r	96	4.24949672	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f35v	91	4.18774537	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f36r	65	3.92840788	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f36v	76	4.16914896	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f37r	79	4.42087329	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f37v	90	4.69961028	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f38r	44	4.0699215	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f38v	67	3.54367625	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f39r	159	4.36318947	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f39v	146	3.85421883	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f3r	114	4.59440771	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f3v	85	4.16890795	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f40r	104	3.74540537	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f40v	105	4.45505479	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f41r	97	5.20685095	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f41v	66	5.06772786	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f42r	145	4.30299589	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f42v	117	3.96885451	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f43r	153	4.60900567	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f43v	152	4.60742909	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f44r	74	4.66001145	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f44v	100	4.24986487	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f45r	89	4.18761065	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f45v	85	3.94182206	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f46r	163	4.48269401	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f46v	112	4.49389195	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f47r	77	4.06101259	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f47v	85	4.1367749	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f48r	90	4.91783842	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f48v	128	4.22698545	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f49r	120	4.23007559	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f49v	163	4.2825235	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f4r	64	4.65586436	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f4v	84	4.62922906	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f50r	93	4.71525625	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f50v	101	4.68058706	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f51r	89	5.01594866	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f51v	82	4.87777247	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f52r	70	4.35216138	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f52v	78	4.52425886	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f53r	61	4.07462233	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f53v	73	5.08300546	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f54r	110	3.75643667	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f54v	93	4.13025675	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f55r	125	4.02558507	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f55v	106	4.00092186	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f56r	105	4.23156046	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f56v	91	4.42259849	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f57r	87	5.16294291	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f57v	183	2.20000331	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f58r	379	4.62299998	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f58v	380	4.36774838	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f5r	55	4.49938999	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f5v	50	4.2485357	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f65r	3	3.30842942	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f65v	45	4.46153502	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f66r	346	4.53260629	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f66v	114	4.80888651	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f67r1	167	4.38316129	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f67r2	191	4.30766461	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f67v1	73	5.32592299	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f67v2	64	4.42088947	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f68r1	67	5.5530701	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f68r2	83	5.33785162	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f68r3	109	4.95730843	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f68v1	98	4.37801187	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f68v2	103	5.05801303	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f68v3	171	4.55240811	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f69r	159	3.99145052	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f69v	142	3.95721527	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f6r	86	4.17755617	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f6v	117	4.01565854	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f70r1	112	4.53616619	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f70r2	247	4.11318007	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f70v1	87	5.00349765	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f70v2	133	4.64870079	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f71r	90	5.03020066	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f71v	100	4.47807176	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f72r1	106	4.62186131	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f72r2	114	4.49887231	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f72r3	167	4.87389944	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f72v1	108	4.75143057	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f72v2	110	5.04704639	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f72v3	120	5.32706279	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f73r	96	5.06876211	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f73v	99	4.8412356	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f75r	418	4.50588985	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f75v	359	4.41908475	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f76r	569	4.44108074	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f76v	400	4.97491036	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f77r	332	5.02779166	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f77v	333	4.83303041	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f78r	300	4.47817811	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f78v	297	4.28940264	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f79r	384	4.60161874	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f79v	356	4.81268587	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f7r	66	4.82682784	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f7v	78	4.24339832	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f80r	449	4.72523965	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f80v	376	4.60504899	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f81r	210	4.41927993	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f81v	257	4.48246272	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f82r	292	5.11127462	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f82v	322	4.8690113	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f83r	348	5.06835041	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f83v	262	5.01922495	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f84r	369	4.57344081	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f84v	344	4.48634192	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f85r1	348	4.8347311	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f85r2	157	4.71286458	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f86v3	286	4.94777581	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f86v4	192	4.47288999	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f86v5	390	4.3333555	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f86v6	494	4.56523151	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f87r	103	5.0015668	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f87v	92	4.68012936	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f88r	150	4.41571602	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f88v	146	5.18703326	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f89r1	141	4.64667169	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f89r2	235	4.63293156	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f89v1	154	4.72512459	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f89v2	183	4.20929215	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f8r	153	4.16215538	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f8v	120	4.25741123	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f90r1	69	4.93330866	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f90r2	47	4.24276026	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f90v1	98	4.75994385	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f90v2	70	4.53322969	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f93r	153	4.61343974	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f93v	90	4.87974812	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f94r	79	4.66858702	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f94v	97	4.68800304	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f95r1	103	4.64176976	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f95r2	79	4.51807519	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f95v1	120	4.80222941	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f95v2	60	4.79884645	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f96r	84	4.97388666	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f96v	56	5.39345634	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f99r	194	4.59931077	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f99v	178	4.88814081	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f9r	86	4.29366071	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f9v	86	4.16361619	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	fRos	548	4.46242589	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	A	891	4.76880893	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	B	6408	4.70341105	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	C	2261	4.26526249	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	H	11650	4.34947421	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	P	2614	4.60605147	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	S	11683	4.82623831	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	T	2368	4.49015897	mean log_B(N+1); 2D-LITE IVTFF metadata
SECTION	Z	1330	4.84533632	mean log_B(N+1); 2D-LITE IVTFF metadata
LOCUS_TYPE	C	2396	4.33288776	mean log_B(N+1); 2D-LITE IVTFF metadata
LOCUS_TYPE	L	1211	4.87547962	mean log_B(N+1); 2D-LITE IVTFF metadata
LOCUS_TYPE	P	35239	4.60327501	mean log_B(N+1); 2D-LITE IVTFF metadata
LOCUS_TYPE	R	359	4.74969723	mean log_B(N+1); 2D-LITE IVTFF metadata
LINE_POSITION_TERTILE	END	10921	4.26354635	mean log_B(N+1); 2D-LITE IVTFF metadata
LINE_POSITION_TERTILE	MIDDLE	18507	4.64587033	mean log_B(N+1); 2D-LITE IVTFF metadata
LINE_POSITION_TERTILE	START	9777	4.87495574	mean log_B(N+1); 2D-LITE IVTFF metadata
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_1	1556	0.0396888152	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_2	2591	0.0660885091	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_3	3636	0.0927432725	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_4	6994	0.178395613	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_5	9576	0.244254559	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_6	7527	0.191990817	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_7	4460	0.113761	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_8	1861	0.0474684351	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_9	696	0.0177528376	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_10	209	0.00533095268	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_11	63	0.00160693789	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_12	26	0.000663180717	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_13	9	0.000229562556	exact token character length
N1_DIGIT_LENGTH_DISTRIBUTION	BIN_14	1	2.55069506e-05	exact token character length
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_0	2338	0.0596352506	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_1	2115	0.0539472006	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_2	4030	0.102793011	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_3	6470	0.165029971	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_4	9516	0.242724142	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_5	7465	0.190409387	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_6	4422	0.112791736	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_7	1852	0.0472388726	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_8	694	0.0177018237	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_9	205	0.00522892488	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_10	63	0.00160693789	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_11	25	0.000637673766	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_12	9	0.000229562556	unit-width floor(log_B(N+1)) bin
N1_LOG_B_N_PLUS_1_DISTRIBUTION	BIN_13	1	2.55069506e-05	unit-width floor(log_B(N+1)) bin
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_0	6299	0.186201188	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_1	10802	0.319311833	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_2	7579	0.224038547	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_3	4722	0.13958438	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_4	2548	0.0753199917	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_5	1159	0.0342605457	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_6	469	0.0138638446	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_7	165	0.00487747199	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_8	65	0.00192142836	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_9	17	0.000502527417	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_10	2	5.91208726e-05	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_11	1	2.95604363e-05	absolute adjacent digit-length difference
N1_ADJACENT_LENGTH_DIFF_DISTRIBUTION	BIN_12	1	2.95604363e-05	absolute adjacent digit-length difference
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_0	2340	0.069171421	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_1	1062	0.0313931834	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_2	462	0.0136569216	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_3	145	0.00428626327	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_4	174	0.00514351592	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_5	1077	0.0318365899	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_6	1088	0.0321617547	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_7	1641	0.048508676	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_8	1100	0.0325164799	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
N2_NORMALIZED_ABS_DELTA_DISTRIBUTION	BIN_9	24740	0.731325194	ten fixed bins over |delta|/(|N_i|+|N_j|+1)
MOD_2	RESIDUE_0	19329	0.493023849	frozen modulus; value is residue frequency
MOD_2	RESIDUE_1	19876	0.506976151	frozen modulus; value is residue frequency
MOD_2_TRANSITIONS	SAME_RESIDUE	33829	0.504389725	adjacent within-line residue transition concentration
MOD_2_LINE_POSITION_START	RESIDUE_0	4916	0.502812724	residue dependence on frozen line-position class
