corpus	control	replicate	seed	mapping_kind	score	zero_glyph	leading_zero_tokens	leading_zero_fraction	colliding_token_types	collision_classes	collision_fraction	mapping
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	10	20360838	OPTIMIZED	0.317687332	a	3291	0.0839433746	478	236	0.020252521	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	11	20360839	OPTIMIZED	0.316841939	a	3186	0.0812651448	460	227	0.0194799695	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	12	20360840	OPTIMIZED	0.316909305	a	3226	0.0822854228	483	240	0.0204444444	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	13	20360841	OPTIMIZED	0.317036793	a	3207	0.0818007907	468	231	0.019781892	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	14	20360842	OPTIMIZED	0.316584922	l	2622	0.0668792246	797	393	0.0338242159	a=3;b=16;c=5;d=4;e=18;f=7;g=24;h=2;i=1;j=21;k=14;l=0;m=12;n=10;o=9;p=15;q=19;r=22;s=23;t=13;u=6;v=20;x=8;y=11;z=17
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	15	20360843	OPTIMIZED	0.317461235	a	3302	0.084223951	464	231	0.0197077812	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	16	20360844	OPTIMIZED	0.319487791	j	4	0.000102027803	0	0	0	a=5;b=13;c=2;d=19;e=9;f=22;g=18;h=3;i=1;j=0;k=17;l=8;m=7;n=4;o=12;p=24;q=21;r=23;s=15;t=11;u=10;v=14;x=16;y=6;z=20
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	17	20360845	OPTIMIZED	0.317121429	a	3254	0.0829996174	516	256	0.0218644068	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	18	20360846	OPTIMIZED	0.317380443	n	1148	0.0292819793	68	34	0.00288282177	a=1;b=22;c=7;d=15;e=24;f=16;g=14;h=10;i=5;j=2;k=6;l=8;m=4;n=0;o=20;p=19;q=9;r=17;s=11;t=12;u=18;v=13;x=23;y=3;z=21
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	19	20360847	OPTIMIZED	0.318207957	n	1163	0.0296645836	74	37	0.00313612477	a=3;b=12;c=5;d=15;e=1;f=10;g=13;h=16;i=2;j=22;k=14;l=8;m=20;n=0;o=19;p=4;q=24;r=18;s=6;t=11;u=17;v=9;x=21;y=7;z=23
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	20	20360848	OPTIMIZED	0.317274349	a	3181	0.08113761	491	243	0.0208306818	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	21	20360849	OPTIMIZED	0.318326046	f	85	0.0021680908	52	26	0.00220310977	a=7;b=16;c=3;d=2;e=12;f=0;g=20;h=10;i=5;j=6;k=9;l=21;m=18;n=4;o=17;p=11;q=19;r=1;s=13;t=22;u=15;v=23;x=8;y=24;z=14
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	22	20360850	OPTIMIZED	0.317408021	a	3254	0.0829996174	473	234	0.0200220115	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	23	20360851	OPTIMIZED	0.318822391	a	3179	0.0810865961	480	238	0.020367463	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	24	20360852	OPTIMIZED	0.317019598	m	272	0.00693789058	98	49	0.00415148691	a=13;b=16;c=9;d=8;e=17;f=20;g=4;h=7;i=1;j=14;k=5;l=22;m=0;n=2;o=11;p=10;q=24;r=15;s=19;t=12;u=3;v=23;x=21;y=18;z=6
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	25	20360853	OPTIMIZED	0.318348703	a	3128	0.0797857416	512	252	0.0217105542	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	26	20360854	OPTIMIZED	0.316993981	a	3297	0.0840964163	476	235	0.020183175	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	27	20360855	OPTIMIZED	0.318694169	a	3233	0.0824639714	507	251	0.0215314053	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	28	20360856	OPTIMIZED	0.317633834	x	19	0.000484632062	12	6	0.000508776393	a=5;b=17;c=10;d=20;e=7;f=22;g=12;h=16;i=14;j=8;k=9;l=13;m=2;n=1;o=24;p=19;q=23;r=6;s=21;t=18;u=15;v=3;x=0;y=11;z=4
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	29	20360857	OPTIMIZED	0.316273979	a	3174	0.0809590613	457	227	0.0193742581	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	30	20360858	OPTIMIZED	0.317463924	v	13	0.000331590358	2	1	8.47206337e-05	a=2;b=12;c=22;d=24;e=8;f=16;g=17;h=13;i=1;j=15;k=19;l=4;m=10;n=6;o=14;p=20;q=23;r=7;s=3;t=9;u=5;v=0;x=11;y=18;z=21
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	31	20360859	OPTIMIZED	0.317428558	x	16	0.00040811121	6	3	0.000253871541	a=8;b=1;c=4;d=5;e=10;f=15;g=6;h=13;i=14;j=20;k=16;l=7;m=3;n=2;o=19;p=18;q=24;r=9;s=12;t=11;u=21;v=17;x=0;y=22;z=23
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	32	20360860	OPTIMIZED	0.317425086	a	3274	0.0835097564	445	220	0.0188855409	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	33	20360861	OPTIMIZED	0.317475094	a	3250	0.0828975896	477	236	0.0202195753	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	34	20360862	OPTIMIZED	0.317253547	a	3202	0.081673256	462	229	0.0195820794	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	35	20360863	OPTIMIZED	0.31849276	i	2116	0.0539727076	670	317	0.0284054776	a=9;b=7;c=12;d=16;e=22;f=19;g=14;h=3;i=0;j=24;k=6;l=20;m=15;n=1;o=13;p=11;q=18;r=17;s=23;t=10;u=2;v=4;x=5;y=8;z=21
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	36	20360864	OPTIMIZED	0.316823026	t	1415	0.0360923352	558	279	0.0236230473	a=2;b=20;c=6;d=19;e=15;f=3;g=14;h=4;i=8;j=21;k=9;l=10;m=23;n=7;o=22;p=12;q=16;r=24;s=17;t=0;u=5;v=1;x=18;y=13;z=11
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	37	20360865	OPTIMIZED	0.317951935	a	3117	0.0795051652	449	222	0.0190431758	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	38	20360866	OPTIMIZED	0.318093508	a	3233	0.0824639714	450	224	0.0190645653	a=0;b=7;c=4;d=10;e=1;f=5;g=8;h=16;i=2;j=9;k=17;l=12;m=13;n=11;o=23;p=15;q=6;r=3;s=21;t=22;u=20;v=19;x=24;y=14;z=18
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	39	20360867	OPTIMIZED	0.316223604	a	3236	0.0825404923	474	233	0.0200626429	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	40	20360868	OPTIMIZED	0.316899316	a	3206	0.0817752838	478	237	0.020289486	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	1	20460829	OPTIMIZED	0.271463346	b	0	0	0	0	0	a=4;b=0;c=10;d=22;e=19;f=17;g=23;h=20;i=15;j=3;k=11;l=14;m=5;n=13;o=9;p=12;q=18;r=24;s=21;t=6;u=1;v=16;x=2;y=8;z=7
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	2	20460830	OPTIMIZED	0.271761673	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	3	20460831	OPTIMIZED	0.271044043	a	2179	0.0555796455	284	142	0.034812454	a=0;b=22;c=10;d=23;e=14;f=2;g=6;h=4;i=1;j=7;k=13;l=20;m=18;n=8;o=11;p=15;q=24;r=12;s=17;t=3;u=21;v=16;x=19;y=5;z=9
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	4	20460832	OPTIMIZED	0.273666257	c	7063	0.180155592	96	48	0.0117675901	a=1;b=3;c=0;d=5;e=2;f=14;g=21;h=12;i=18;j=23;k=6;l=15;m=11;n=8;o=16;p=24;q=20;r=10;s=19;t=9;u=4;v=22;x=17;y=7;z=13
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	5	20460833	OPTIMIZED	0.26860808	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	6	20460834	OPTIMIZED	0.272507609	e	172	0.00438719551	153	69	0.0187545967	a=10;b=7;c=21;d=17;e=0;f=20;g=16;h=3;i=19;j=23;k=8;l=18;m=1;n=2;o=11;p=22;q=24;r=14;s=15;t=5;u=13;v=6;x=9;y=12;z=4
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	7	20460835	OPTIMIZED	0.269542524	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	8	20460836	OPTIMIZED	0.268831078	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	9	20460837	OPTIMIZED	0.269567939	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	10	20460838	OPTIMIZED	0.274209872	y	2021	0.0515495473	718	359	0.0880117676	a=2;b=9;c=8;d=18;e=23;f=12;g=14;h=17;i=16;j=7;k=1;l=20;m=5;n=11;o=3;p=24;q=15;r=22;s=19;t=6;u=13;v=4;x=10;y=0;z=21
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	11	20460839	OPTIMIZED	0.273245307	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	12	20460840	OPTIMIZED	0.269843044	y	2021	0.0515495473	718	359	0.0880117676	a=15;b=8;c=10;d=7;e=23;f=20;g=16;h=12;i=5;j=19;k=9;l=22;m=14;n=18;o=17;p=1;q=13;r=24;s=11;t=21;u=3;v=4;x=2;y=0;z=6
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	13	20460841	OPTIMIZED	0.273120857	j	2	5.10139013e-05	2	1	0.000245158127	a=15;b=17;c=5;d=7;e=8;f=12;g=22;h=10;i=23;j=0;k=3;l=18;m=6;n=24;o=9;p=19;q=16;r=20;s=21;t=13;u=14;v=2;x=11;y=4;z=1
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	14	20460842	OPTIMIZED	0.271702553	i	27	0.000688687667	20	9	0.00245158127	a=10;b=16;c=3;d=11;e=9;f=18;g=22;h=21;i=0;j=23;k=2;l=20;m=5;n=8;o=12;p=4;q=7;r=19;s=24;t=17;u=15;v=14;x=6;y=1;z=13
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	15	20460843	OPTIMIZED	0.271617166	t	1033	0.02634868	454	227	0.0556508948	a=7;b=17;c=15;d=6;e=3;f=13;g=4;h=2;i=20;j=14;k=11;l=23;m=16;n=8;o=12;p=19;q=22;r=18;s=24;t=0;u=21;v=1;x=9;y=5;z=10
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	16	20460844	OPTIMIZED	0.272320876	d	3678	0.0938145645	737	366	0.0903407698	a=10;b=21;c=8;d=0;e=2;f=5;g=11;h=19;i=15;j=1;k=7;l=23;m=22;n=4;o=17;p=18;q=20;r=13;s=16;t=9;u=6;v=14;x=12;y=3;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	17	20460845	OPTIMIZED	0.268982593	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	18	20460846	OPTIMIZED	0.272858977	d	3678	0.0938145645	737	366	0.0903407698	a=18;b=20;c=6;d=0;e=2;f=1;g=9;h=4;i=14;j=23;k=13;l=19;m=17;n=16;o=12;p=24;q=10;r=3;s=22;t=8;u=11;v=5;x=15;y=7;z=21
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	19	20460847	OPTIMIZED	0.271960933	v	15	0.00038260426	6	3	0.000735474381	a=16;b=5;c=7;d=17;e=14;f=10;g=23;h=15;i=11;j=8;k=1;l=4;m=21;n=2;o=13;p=19;q=24;r=22;s=18;t=12;u=6;v=0;x=20;y=9;z=3
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	20	20460848	OPTIMIZED	0.271323444	y	2021	0.0515495473	718	359	0.0880117676	a=10;b=21;c=12;d=9;e=14;f=7;g=3;h=2;i=16;j=13;k=15;l=6;m=8;n=23;o=18;p=20;q=11;r=22;s=24;t=17;u=1;v=5;x=19;y=0;z=4
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	21	20460849	OPTIMIZED	0.267996328	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	22	20460850	OPTIMIZED	0.272228305	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	23	20460851	OPTIMIZED	0.270162312	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	24	20460852	OPTIMIZED	0.276242207	y	2021	0.0515495473	718	359	0.0880117676	a=13;b=21;c=3;d=8;e=4;f=16;g=10;h=17;i=9;j=22;k=1;l=14;m=23;n=2;o=5;p=19;q=7;r=12;s=24;t=18;u=11;v=6;x=15;y=0;z=20
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	25	20460853	OPTIMIZED	0.271881063	d	3678	0.0938145645	737	366	0.0903407698	a=4;b=21;c=7;d=0;e=10;f=18;g=12;h=17;i=8;j=16;k=14;l=15;m=22;n=9;o=11;p=3;q=20;r=1;s=19;t=24;u=2;v=23;x=5;y=13;z=6
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	26	20460854	OPTIMIZED	0.268715282	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	27	20460855	OPTIMIZED	0.270810944	y	2021	0.0515495473	718	359	0.0880117676	a=2;b=24;c=8;d=22;e=5;f=14;g=17;h=10;i=18;j=13;k=4;l=15;m=7;n=3;o=6;p=16;q=23;r=19;s=20;t=12;u=11;v=1;x=21;y=0;z=9
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	28	20460856	OPTIMIZED	0.272796894	d	3678	0.0938145645	737	366	0.0903407698	a=16;b=20;c=2;d=0;e=17;f=5;g=14;h=22;i=23;j=12;k=3;l=10;m=21;n=11;o=13;p=4;q=24;r=9;s=19;t=6;u=18;v=8;x=15;y=1;z=7
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	29	20460857	OPTIMIZED	0.270973402	y	2021	0.0515495473	718	359	0.0880117676	a=14;b=4;c=15;d=23;e=21;f=11;g=9;h=13;i=24;j=3;k=8;l=22;m=17;n=6;o=10;p=12;q=19;r=16;s=20;t=18;u=7;v=2;x=5;y=0;z=1
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	30	20460858	OPTIMIZED	0.273084408	y	2021	0.0515495473	718	359	0.0880117676	a=10;b=2;c=7;d=12;e=16;f=17;g=22;h=1;i=8;j=3;k=6;l=24;m=23;n=4;o=11;p=21;q=14;r=20;s=18;t=19;u=15;v=5;x=9;y=0;z=13
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	31	20460859	OPTIMIZED	0.272924336	y	2021	0.0515495473	718	359	0.0880117676	a=22;b=21;c=6;d=8;e=12;f=19;g=14;h=5;i=2;j=18;k=13;l=1;m=17;n=11;o=15;p=24;q=10;r=23;s=9;t=16;u=3;v=7;x=4;y=0;z=20
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	32	20460860	OPTIMIZED	0.271911637	k	1285	0.0327764316	380	190	0.0465800441	a=23;b=14;c=13;d=1;e=15;f=6;g=9;h=8;i=21;j=20;k=0;l=18;m=5;n=12;o=10;p=3;q=19;r=22;s=17;t=16;u=11;v=4;x=24;y=2;z=7
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	33	20460861	OPTIMIZED	0.267516108	f	121	0.00308634103	128	64	0.0156901201	a=1;b=7;c=10;d=13;e=12;f=0;g=19;h=14;i=6;j=18;k=4;l=24;m=17;n=3;o=11;p=2;q=20;r=21;s=9;t=16;u=23;v=22;x=8;y=5;z=15
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	34	20460862	OPTIMIZED	0.267099087	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	35	20460863	OPTIMIZED	0.271600675	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	36	20460864	OPTIMIZED	0.274236349	x	21	0.000535645964	14	7	0.00171610689	a=7;b=8;c=3;d=5;e=10;f=19;g=13;h=18;i=24;j=1;k=12;l=20;m=23;n=4;o=15;p=17;q=22;r=16;s=21;t=14;u=6;v=9;x=0;y=11;z=2
ZL3b	C2_TOKEN_SHUFFLE_WITHIN_LINE	37	20460865	OPTIMIZED	0.271381432	y	2021	0.0515495473	718	359	0.0880117676	a=2;b=19;c=17;d=13;e=20;f=14;g=5;h=22;i=1;j=10;k=7;l=21;m=3;n=11;o=12;p=18;q=23;r=16;s=9;t=8;u=15;v=24;x=6;y=0;z=4
