corpus_id	metric_id	family	old_value	new_value	delta	relative_delta	standardized_delta	old_status	new_status	direction_changed	status_changed
voynich-zl3b-eva	LC1_LOCUS_TYPE_NMI	locus	0.0075883532433762097	0.0075883532433762097	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	LC2_LABEL_TEXT_NMI	locus	0.0048485589217109257	0.0048485589217109257	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	LC5_IVTFF_I_NMI	locus	0.0084520279271732938	0.0084520279271732938	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	LC5_IVTFF_X_NMI	locus	0.028287444669020206	0.028287444669020206	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	LP1_RULE_SUPPORT_GINI	lexical paradigm	0.78979850639353621	0.78979850639353621	0	0	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-zl3b-eva	LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	0.31594941148608136	0.31594941148608136	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-zl3b-eva	LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	0.27670562726959419	0.27670562726959419	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-zl3b-eva	LS1_LINE_LENGTH_CV	line	0.70653524542941293	0.70653524542941293	0	0	N/A	DESCRIPTIVE	DESCRIPTIVE	false	false
voynich-zl3b-eva	LS2_POSITIONAL_LEXICON_NMI	line	0.11058892444477356	0.11058892444477356	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.36064835659612759	0.36064835659612759	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.0091189880864833064	0.0091189880864833064	0	0	0	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-zl3b-eva	PF2_FOLIO_COHERENCE	folio	0.17303959526080231	0.17303959526080231	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	PF3_ADJACENT_FOLIO_CONTINUITY	folio	0.49280985055720788	0.49280985055720788	0	0	0	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-zl3b-eva	PF4_RECTO_VERSO_COHERENCE	folio	0.51919696815251271	0.51919696815251259	-1.1102230246251565e-16	-2.1383465095640381e-16	-6.0580860546054391e-15	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-zl3b-eva	PF5_WITHIN_FOLIO_PROGRESSION	folio	0.36370014120183963	0.36370014120183952	-1.1102230246251565e-16	-3.052577931249758e-16	-1.0857395967191399e-14	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	cs1/family-line-position	cross-scale	0	0	0	N/A	N/A	INCONCLUSIVE	INCONCLUSIVE	false	false
voynich-zl3b-eva	cs2/prev-family-current-family	cross-scale	0	0	0	N/A	N/A	INCONCLUSIVE	INCONCLUSIVE	false	false
voynich-zl3b-eva	cs3/family-locus-type	cross-scale	0	0	0	N/A	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-zl3b-eva	cs4/family-currier	cross-scale	0	0	0	N/A	N/A	NOT_APPLICABLE	NOT_APPLICABLE	false	false
voynich-zl3b-eva	cs4/family-section	cross-scale	0	0	0	N/A	N/A	NOT_APPLICABLE	NOT_APPLICABLE	false	false
voynich-zl3b-eva	cs5/local-adjacency-x-regime	cross-scale	0	0	0	N/A	N/A	NOT_APPLICABLE	NOT_APPLICABLE	false	false
voynich-zl3b-eva	cs6/family-diversity-x-line-length	cross-scale	0	0	0	N/A	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-zl3b-eva	cs7/edit-distance-x-structural-distance	cross-scale	0.015539304337922232	0.015539304337922236	3.4694469519536142e-18	2.2326912946075395e-16	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-it2a-eva	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.0048816415233357592	0.0048816415233357592	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	BP1_BOUNDARY_TOKEN_NMI	boundary	0.085338771382770767	0.085338771382770767	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	EF1_GIANT_COMPONENT_SHARE	edit family	0.87458173255669847	0.87458173255669847	0	0	N/A	CONSISTENT_WITH_GRAMMAR_BOUND	CONSISTENT_WITH_GRAMMAR_BOUND	false	false
voynich-it2a-eva	EF1_ISOLATE_SHARE	edit family	0.11674309084149213	0.11674309084149213	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-it2a-eva	EF2_GLOBAL_CLUSTERING	edit family	0.2791630328669053	0.2791630328669053	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-it2a-eva	EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	0.63374981729260838	0.63374981729260838	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-it2a-eva	HR1_FOLIO_VARIANCE_SHARE	hierarchy	0.2789117697198118	0.27891176971981163	-1.6653345369377348e-16	-5.9708291930838582e-16	-3.8778400623537019e-14	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	HR1_LOCUS_VARIANCE_SHARE	hierarchy	0.99999999999998634	1.0000000000000091	2.2759572004815709e-14	2.2759572004816018e-14	2.2715277214247926	NOT_SUPPORTED	SUPPORTED	false	true
voynich-it2a-eva	HR1_SECTION_VARIANCE_SHARE	hierarchy	0.13202275285476381	0.13202275285476381	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	HR6_CURRIER_SECTION_NMI	hierarchy	0.63921910883217847	0.63921910883217847	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	LC1_LOCUS_TYPE_NMI	locus	0.0088518733343727393	0.0088518733343727393	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	LC2_LABEL_TEXT_NMI	locus	0.0049205233353711722	0.0049205233353711722	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	LC5_IVTFF_I_NMI	locus	0.0099370530428053491	0.0099370530428053491	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	LC5_IVTFF_X_NMI	locus	0.027007429040145529	0.027007429040145529	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	LP1_RULE_SUPPORT_GINI	lexical paradigm	0.78016363785251786	0.78016363785251786	0	0	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-it2a-eva	LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	0.30470616886062019	0.30470616886062019	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-it2a-eva	LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	0.26000878700547131	0.26000878700547131	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-it2a-eva	LS1_LINE_LENGTH_CV	line	0.66121719007294832	0.66121719007294832	0	0	N/A	DESCRIPTIVE	DESCRIPTIVE	false	false
voynich-it2a-eva	LS2_POSITIONAL_LEXICON_NMI	line	0.11251974208143185	0.11251974208143185	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.46195775607540313	0.46195775607540313	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.0094385729122121089	0.0094385729122121089	0	0	0	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-it2a-eva	PF2_FOLIO_COHERENCE	folio	0.17177862834168073	0.17177862834168073	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	PF3_ADJACENT_FOLIO_CONTINUITY	folio	0.51045879362597246	0.51045879362597246	0	0	0	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-it2a-eva	PF4_RECTO_VERSO_COHERENCE	folio	0.54710738050904772	0.5471073805090475	-2.2204460492503131e-16	-4.058519640485078e-16	-1.2539437923899282e-14	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-it2a-eva	PF5_WITHIN_FOLIO_PROGRESSION	folio	0.38036847959188819	0.38036847959188819	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-it2a-eva	cs1/family-line-position	cross-scale	0	0	0	N/A	N/A	INCONCLUSIVE	INCONCLUSIVE	false	false
voynich-it2a-eva	cs2/prev-family-current-family	cross-scale	0	0	0	N/A	N/A	INCONCLUSIVE	INCONCLUSIVE	false	false
voynich-it2a-eva	cs3/family-locus-type	cross-scale	0	0	0	N/A	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-it2a-eva	cs4/family-currier	cross-scale	0	0	0	N/A	N/A	NOT_APPLICABLE	NOT_APPLICABLE	false	false
voynich-it2a-eva	cs4/family-section	cross-scale	0	0	0	N/A	N/A	NOT_APPLICABLE	NOT_APPLICABLE	false	false
voynich-it2a-eva	cs5/local-adjacency-x-regime	cross-scale	0	0	0	N/A	N/A	NOT_APPLICABLE	NOT_APPLICABLE	false	false
voynich-it2a-eva	cs6/family-diversity-x-line-length	cross-scale	0	0	0	N/A	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-it2a-eva	cs7/edit-distance-x-structural-distance	cross-scale	0.0043349893622454871	0.0043349893622454906	3.4694469519536142e-18	8.0033574757296991e-16	N/A	NOT_SUPPORTED	NOT_SUPPORTED	false	false
