page_id	physical_leaf	visual_code	visual_class	source	ambiguity	inclusion_status	currier	scribe	quire	token_count	line_count
f11v	f11v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	51	7
f13r	f13r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	78	10
f13v	f13v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	69	10
f14r	f14r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	77	13
f14v	f14v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	75	9
f15r	f15r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	94	15
f15v	f15v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	72	12
f16r	f16r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	84	13
f16v	f16v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	76	13
f17r	f17r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	82	13
f17v	f17v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	136	23
f18r	f18r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	88	14
f18v	f18v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	70	10
f19r	f19r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	80	13
f19v	f19v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	78	14
f20r	f20r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	89	13
f20v	f20v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	88	11
f21r	f21r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	104	12
f21v	f21v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	58	8
f22r	f22r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	115	13
f22v	f22v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	78	16
f23r	f23r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	110	11
f23v	f23v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	95	12
f24r	f24r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	113	20
f24v	f24v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	C	87	16
f25r	f25r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	47	7
f25v	f25v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	61	7
f26r	f26r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	D	91	10
f26v	f26v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	D	96	9
f27r	f27r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	96	13
f27v	f27v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	61	8
f28r	f28r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	68	9
f28v	f28v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	68	9
f29r	f29r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	65	9
f29v	f29v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	94	12
f30r	f30r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	99	13
f30v	f30v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	67	11
f31r	f31r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	D	104	16
f31v	f31v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	D	110	11
f32r	f32r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	77	19
f32v	f32v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	D	89	11
f33r	f33r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	74	7
f33v	f33v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	114	11
f34r	f34r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	150	15
f34v	f34v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	118	11
f35r	f35r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	98	15
f35v	f35v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	91	21
f36r	f36r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	67	9
f36v	f36v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	76	14
f37r	f37r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	79	11
f37v	f37v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	90	23
f38r	f38r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	44	6
f38v	f38v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	E	68	8
f39r	f39r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	159	16
f39v	f39v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	146	14
f40r	f40r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	105	11
f40v	f40v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	E	105	19
f41r	f41r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	5	F	97	11
f41v	f41v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	5	F	66	8
f42r	f42r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	148	23
f42v	f42v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	119	16
f43r	f43r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	F	153	14
f43v	f43v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	F	152	16
f44r	f44r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	75	11
f44v	f44v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	100	13
f45r	f45r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	91	11
f45v	f45v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	85	11
f46r	f46r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	F	164	15
f46v	f46v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	F	112	13
f47r	f47r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	80	11
f47v	f47v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	F	85	14
f48r	f48r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	5	F	91	9
f48v	f48v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	5	F	128	11
f49r	f49r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	120	21
f49v	f49v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	170	52
f50r	f50r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	G	93	10
f50v	f50v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	G	101	11
f51r	f51r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	89	15
f51v	f51v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	82	13
f52r	f52r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	70	8
f52v	f52v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	78	14
f53r	f53r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	61	9
f53v	f53v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	73	13
f54r	f54r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	111	12
f54v	f54v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	93	16
f55r	f55r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	G	127	13
f55v	f55v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	G	107	12
f56r	f56r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	107	19
f56v	f56v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	G	91	16
f57r	f57r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	5	H	87	11
f57v	f57v	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	1	H	203	13
f58r	f58r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	3	H	380	41
f58v	f58v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	3	H	383	39
f65r	f65r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	3	H	3	1
f65v	f65v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	3	H	45	6
f66r	f66r	T	Text	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	5	H	349	82
f66v	f66v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	5	H	114	13
f67r1	f67r	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	167	19
f67r2	f67r	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	191	74
f67v2	f67v	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	64	22
f67v1	f67v	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	73	29
f68r1	f68r	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	69	37
f68r2	f68r	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	89	31
f68r3	f68r	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	110	22
f68v3	f68v	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	171	19
f68v2	f68v	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	104	18
f68v1	f68v	A	Astronomical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	I	98	10
f69r	f69r	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	J	160	49
f69v	f69v	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	J	146	31
f70r1	f70r	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	J	112	19
f70r2	f70r	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	J	247	19
f70v2	f70v	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	J	135	33
f70v1	f70v	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	J	87	17
f71r	f71r	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	90	18
f71v	f71v	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	100	18
f72r1	f72r	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	106	18
f72r2	f72r	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	115	32
f72r3	f72r	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	169	34
f72v3	f72v	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	120	33
f72v2	f72v	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	110	33
f72v1	f72v	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	K	108	33
f73r	f73r	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	L	96	33
f73v	f73v	Z	Zodiac	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	4	L	99	33
f75r	f75r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	418	53
f75v	f75v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	359	70
f76r	f76r	T	Text	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	570	56
f76v	f76v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	401	41
f77r	f77r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	332	50
f77v	f77v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	333	45
f78r	f78r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	303	47
f78v	f78v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	299	32
f79r	f79r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	384	44
f79v	f79v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	356	42
f80r	f80r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	452	53
f80v	f80v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	376	44
f81r	f81r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	210	31
f81v	f81v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	257	28
f82r	f82r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	292	45
f82v	f82v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	323	48
f83r	f83r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	349	55
f83v	f83v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	262	35
f84r	f84r	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	370	47
f84v	f84v	B	Biological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	M	344	51
f85r1	f85r	T	Text	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	N	349	35
f85r2	f85r	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	N	157	24
fRos	fRos	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	4	N	551	160
f86v4	f86v	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	N	192	9
f86v6	f86v	T	Text	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	N	498	45
f86v5	f86v	T	Text	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	N	390	39
f86v3	f86v	C	Cosmological	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	2	N	288	36
f87r	f87r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	103	16
f87v	f87v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	93	16
f88r	f88r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	150	31
f88v	f88v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	146	30
f89r1	f89r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	142	27
f89r2	f89r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	235	34
f89v2	f89v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	183	27
f89v1	f89v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	154	24
f90r1	f90r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	69	9
f90r2	f90r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	47	6
f90v2	f90v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	72	8
f90v1	f90v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	O	99	11
f93r	f93r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	Q	153	32
f93v	f93v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	Q	90	10
f94r	f94r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	Q	79	9
f94v	f94v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	Q	97	12
f95r1	f95r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	Q	103	11
f95r2	f95r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	Q	79	9
f95v2	f95v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	Q	60	7
f95v1	f95v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	Q	122	13
f96r	f96r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	Q	84	13
f96v	f96v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	Q	56	13
f99r	f99r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	194	52
f99v	f99v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	180	44
f100r	f100r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	115	27
f100v	f100v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	97	22
f101r	f101r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	232	10
f101v	f101v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	222	28
f102r1	f102r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	107	17
f102r2	f102r	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	151	22
f102v2	f102v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	190	39
f102v1	f102v	P	Pharmaceutical	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	S	130	24
f103r	f103r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	533	54
f103v	f103v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	456	46
f104r	f104r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	449	45
f104v	f104v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	480	44
f105r	f105r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	382	37
f105v	f105v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	400	38
f106r	f106r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	433	47
f106v	f106v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	445	47
f107r	f107r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	488	51
f107v	f107v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	462	49
f108r	f108r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	498	50
f108v	f108v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	581	53
f111r	f111r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	626	54
f111v	f111v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	568	51
f112r	f112r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	404	45
f112v	f112v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	420	47
f113r	f113r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	531	51
f113v	f113v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	507	49
f114r	f114r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	463	45
f114v	f114v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	378	41
f115r	f115r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3_dominant_mixed_2_3	T	464	45
f115v	f115v	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	411	45
f116r	f116r	S	Stars	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	B	3	T	560	50
f116v	f116v	T	Text	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	NA	3	T	2	1
