model_class	candidate_id	parameters_json	deterministic	generative	applicable_metrics	applicable_ablations
M2	M2-006	"{""max_depth"":4,""min_context_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-007	"{""max_depth"":6,""min_context_count"":1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-008	"{""max_depth"":6,""min_context_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-009	"{""max_depth"":6,""min_context_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M3	M3-001	"{""max_states"":64,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-002	"{""max_states"":128,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-003	"{""max_states"":256,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-004	"{""max_states"":64,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-005	"{""max_states"":128,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-006	"{""max_states"":256,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-007	"{""max_states"":64,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-008	"{""max_states"":128,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M3	M3-009	"{""max_states"":256,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-001	"{""alpha"":0.01,""max_states"":64,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-002	"{""alpha"":0.1,""max_states"":64,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-003	"{""alpha"":0.5,""max_states"":64,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-004	"{""alpha"":0.01,""max_states"":128,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-005	"{""alpha"":0.1,""max_states"":128,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-006	"{""alpha"":0.5,""max_states"":128,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-007	"{""alpha"":0.01,""max_states"":256,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-008	"{""alpha"":0.1,""max_states"":256,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-009	"{""alpha"":0.5,""max_states"":256,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-010	"{""alpha"":0.01,""max_states"":64,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-011	"{""alpha"":0.1,""max_states"":64,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-012	"{""alpha"":0.5,""max_states"":64,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-013	"{""alpha"":0.01,""max_states"":128,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-014	"{""alpha"":0.1,""max_states"":128,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-015	"{""alpha"":0.5,""max_states"":128,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-016	"{""alpha"":0.01,""max_states"":256,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-017	"{""alpha"":0.1,""max_states"":256,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-018	"{""alpha"":0.5,""max_states"":256,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-019	"{""alpha"":0.01,""max_states"":64,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-020	"{""alpha"":0.1,""max_states"":64,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-021	"{""alpha"":0.5,""max_states"":64,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-022	"{""alpha"":0.01,""max_states"":128,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-023	"{""alpha"":0.1,""max_states"":128,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-024	"{""alpha"":0.5,""max_states"":128,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-025	"{""alpha"":0.01,""max_states"":256,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-026	"{""alpha"":0.1,""max_states"":256,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-027	"{""alpha"":0.5,""max_states"":256,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M5	M5-001	"{""inventory_cap"":64,""min_support"":2,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-002	"{""inventory_cap"":128,""min_support"":2,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-003	"{""inventory_cap"":64,""min_support"":5,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-004	"{""inventory_cap"":128,""min_support"":5,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-005	"{""inventory_cap"":64,""min_support"":10,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-006	"{""inventory_cap"":128,""min_support"":10,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-007	"{""inventory_cap"":64,""min_support"":2,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-008	"{""inventory_cap"":128,""min_support"":2,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-009	"{""inventory_cap"":64,""min_support"":5,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-010	"{""inventory_cap"":128,""min_support"":5,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-011	"{""inventory_cap"":64,""min_support"":10,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-012	"{""inventory_cap"":128,""min_support"":10,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-013	"{""inventory_cap"":64,""min_support"":2,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-014	"{""inventory_cap"":128,""min_support"":2,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-015	"{""inventory_cap"":64,""min_support"":5,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-016	"{""inventory_cap"":128,""min_support"":5,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-017	"{""inventory_cap"":64,""min_support"":10,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-018	"{""inventory_cap"":128,""min_support"":10,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
