candidate_id	model_class	route	fit_status	model_sha256	validation
M3-exact-2	M3	exact	FIT_SUCCESS	6923b9ae4b2df56aba6b2fdbd77122edc5c4dd4d0c9cd04223601a42dd037344	PASS
M3-exact-3	M3	exact	FIT_SUCCESS	40319052c47fe4a31badd08d6147c052db18d1d6e380aacbea2eace5716410d3	PASS
M3-approx-4-0p01	M3	approx	FIT_SUCCESS	c8b9b6b2edbe37ea0afa97ac95987d9df4d4b877a8f2bed139e7d7e2eccacaee	PASS
M3-approx-4-0p05	M3	approx	FIT_SUCCESS	b3260e76a204ac38460793c5f197730c2b960367907bdd387be22fad74b62026	PASS
M3-approx-8-0p01	M3	approx	FIT_SUCCESS	a18c66f67d3195812f174d2c079e78ca69ee862818f30a523c4477ed1875c468	PASS
M3-approx-8-0p05	M3	approx	FIT_SUCCESS	a4d9941c2f52fed59f8b19f5bba9248d1bdcaa71742ac0e88d297dffa3596001	PASS
M4-hmm-2-0p01	M4	hmm	FIT_SUCCESS	e8d9e93e4a6125badca9f678b41e48f2818718ec83fde95d6e0f0d8e64c3432f	PASS
M4-hmm-2-0p1	M4	hmm	FIT_SUCCESS	5597220a56a8392155abdf609be6c38f66483bd150c02535e83ac8f5f82b7acf	PASS
M4-hmm-3-0p01	M4	hmm	FIT_SUCCESS	9f67206946aa2c92c3107b98ad1ce2fa3ab7b4e2496d9ad33d22457b323447ef	PASS
M4-hmm-3-0p1	M4	hmm	FIT_SUCCESS	c052b3c747e1a8731a03ca8b96699748a6e929a1b45035348a0c6d14c4518d26	PASS
M4-hmm-4-0p01	M4	hmm	FIT_SUCCESS	d8df166e53d88e7102e3a374d2ef3e9bf4d159a4123dec5372ddd7a7d1f130a9	PASS
M4-hmm-4-0p1	M4	hmm	FIT_SUCCESS	1be09cacde77ae5c2684f4b072b12d26220c8ac6656f1484f3c08d9947e0ef09	PASS
M5-grammar-0p01-2	M5	grammar	FIT_SUCCESS	1da3fea160cba6b47686b797221ba7d7697ce4b3a5470629f29ee38d46256bf9	PASS
M5-grammar-0p01-5	M5	grammar	FIT_SUCCESS	f0a340123ce3895abf25ded87d808750fb730848ead1b367dd93a3fca0349448	PASS
M5-grammar-0p05-2	M5	grammar	FIT_SUCCESS	c81828f52a3bf441fe905deda25a8e9e1eaf5eca66630df6951500debced8996	PASS
M5-grammar-0p05-5	M5	grammar	FIT_SUCCESS	5543665575e1b02009918dd717e224b23d121595b0c5f6368e2ae6b8086d75c8	PASS
M5-grammar-0p1-2	M5	grammar	FIT_SUCCESS	9dd6e28b48562aae6af64464962c689f09057928f000f3f09247b43d51bed85b	PASS
M5-grammar-0p1-5	M5	grammar	FIT_SUCCESS	ab84fa3d3c6ce72a1995707cf559342a3ccc75c73674bde455e9188faffe169d	PASS
