Corpus	Matrix	Transition	Count
Voynich	SUBSTITUTION	r->A	13
Voynich	SUBSTITUTION	H->q	1
Voynich	SUBSTITUTION	p->l	1
Voynich	SUBSTITUTION	S->s	5
Voynich	SUBSTITUTION	N->l	32
Voynich	SUBSTITUTION	r->N	35
Voynich	SUBSTITUTION	o->a	20
Voynich	SUBSTITUTION	t->H	3
Voynich	SUBSTITUTION	E->s	1
Voynich	SUBSTITUTION	a->t	1
Voynich	SUBSTITUTION	l->A	2
Voynich	SUBSTITUTION	c->y	3
Voynich	SUBSTITUTION	s->o	5
Voynich	SUBSTITUTION	K->d	1
Voynich	SUBSTITUTION	f->o	1
Voynich	SUBSTITUTION	d->r	5
Voynich	SUBSTITUTION	y->c	3
Voynich	SUBSTITUTION	x->l	1
Voynich	SUBSTITUTION	r->H	1
Voynich	SUBSTITUTION	k->l	2
Voynich	SUBSTITUTION	S->c	1
Voynich	SUBSTITUTION	o->d	6
Voynich	SUBSTITUTION	E->e	29
Voynich	SUBSTITUTION	N->r	20
Voynich	SUBSTITUTION	S->H	21
Voynich	SUBSTITUTION	S->d	6
Voynich	SUBSTITUTION	l->r	47
Voynich	SUBSTITUTION	l->k	3
Voynich	SUBSTITUTION	c->h	1
Voynich	SUBSTITUTION	l->y	5
Voynich	SUBSTITUTION	d->k	8
Voynich	SUBSTITUTION	t->S	3
Voynich	SUBSTITUTION	r->a	2
Voynich	SUBSTITUTION	1->2	1
Voynich	SUBSTITUTION	t->p	2
Voynich	SUBSTITUTION	k->o	3
Voynich	SUBSTITUTION	k->t	36
Voynich	SUBSTITUTION	k->d	10
Voynich	SUBSTITUTION	H->E	2
Voynich	SUBSTITUTION	l->t	4
Voynich	SUBSTITUTION	x->s	1
Voynich	SUBSTITUTION	m->r	1
Voynich	SUBSTITUTION	r->p	1
Voynich	SUBSTITUTION	y->A	7
Voynich	SUBSTITUTION	p->d	2
Voynich	SUBSTITUTION	d->y	8
Voynich	SUBSTITUTION	t->d	6
Voynich	SUBSTITUTION	s->q	1
Voynich	SUBSTITUTION	E->k	1
Voynich	SUBSTITUTION	S->C	1
Voynich	SUBSTITUTION	s->A	7
Voynich	SUBSTITUTION	F->H	1
Voynich	SUBSTITUTION	y->e	1
Voynich	SUBSTITUTION	k->m	4
Voynich	SUBSTITUTION	S->A	1
Voynich	SUBSTITUTION	C->g	1
Voynich	SUBSTITUTION	o->k	4
Voynich	SUBSTITUTION	E->o	2
Voynich	SUBSTITUTION	o->E	2
Voynich	SUBSTITUTION	y->a	1
Voynich	SUBSTITUTION	S->y	2
Voynich	SUBSTITUTION	y->C	1
Voynich	SUBSTITUTION	A->o	2
Voynich	SUBSTITUTION	y->d	1
Voynich	SUBSTITUTION	d->s	2
Voynich	SUBSTITUTION	d->t	1
Voynich	SUBSTITUTION	E->H	5
Voynich	SUBSTITUTION	K->t	1
Voynich	SUBSTITUTION	l->o	4
Voynich	SUBSTITUTION	p->t	1
Voynich	SUBSTITUTION	d->g	1
Voynich	SUBSTITUTION	C->S	1
Voynich	SUBSTITUTION	o->r	8
Voynich	SUBSTITUTION	d->C	2
Voynich	SUBSTITUTION	o->t	2
Voynich	SUBSTITUTION	t->K	1
Voynich	SUBSTITUTION	s->d	3
Voynich	SUBSTITUTION	K->S	1
Voynich	SUBSTITUTION	l->S	1
Voynich	SUBSTITUTION	k->H	8
Voynich	SUBSTITUTION	r->n	1
Voynich	SUBSTITUTION	m->p	2
Voynich	SUBSTITUTION	K->e	1
Voynich	SUBSTITUTION	q->S	1
Voynich	SUBSTITUTION	e->K	1
Voynich	SUBSTITUTION	o->l	34
Voynich	SUBSTITUTION	l->q	1
Voynich	SUBSTITUTION	A->H	1
Voynich	SUBSTITUTION	y->t	1
Voynich	SUBSTITUTION	f->r	1
Voynich	SUBSTITUTION	y->r	3
Voynich	SUBSTITUTION	K->H	2
Voynich	SUBSTITUTION	S->k	6
Voynich	SUBSTITUTION	S->F	1
Voynich	SUBSTITUTION	o->H	5
Voynich	SUBSTITUTION	l->a	1
Voynich	SUBSTITUTION	e->o	3
Voynich	SUBSTITUTION	A->r	2
Voynich	SUBSTITUTION	s->t	1
Voynich	SUBSTITUTION	H->e	4
Voynich	SUBSTITUTION	d->H	2
Voynich	SUBSTITUTION	C->t	2
Voynich	SUBSTITUTION	s->r	2
Voynich	SUBSTITUTION	s->C	1
Voynich	SUBSTITUTION	P->d	1
Voynich	SUBSTITUTION	e->d	1
Voynich	SUBSTITUTION	e->a	1
Voynich	SUBSTITUTION	t->r	5
Voynich	SUBSTITUTION	r->k	1
Voynich	SUBSTITUTION	a->N	1
Voynich	SUBSTITUTION	r->l	53
Voynich	SUBSTITUTION	0->1	4
Voynich	SUBSTITUTION	y->i	1
Voynich	SUBSTITUTION	H->y	2
Voynich	SUBSTITUTION	p->k	3
Voynich	SUBSTITUTION	H->r	1
Voynich	SUBSTITUTION	a->r	4
Voynich	SUBSTITUTION	y->l	2
Voynich	SUBSTITUTION	k->x	1
Voynich	SUBSTITUTION	k->r	1
Voynich	SUBSTITUTION	H->C	15
Voynich	SUBSTITUTION	r->m	14
Voynich	SUBSTITUTION	H->t	2
Voynich	SUBSTITUTION	e->E	31
Voynich	SUBSTITUTION	o->e	5
Voynich	SUBSTITUTION	H->K	5
Voynich	SUBSTITUTION	N->g	1
Voynich	SUBSTITUTION	K->k	3
Voynich	SUBSTITUTION	t->l	4
Voynich	SUBSTITUTION	l->s	10
Voynich	SUBSTITUTION	l->m	6
Voynich	SUBSTITUTION	v->l	1
Voynich	SUBSTITUTION	a->d	2
Voynich	SUBSTITUTION	s->N	3
Voynich	SUBSTITUTION	H->A	1
Voynich	SUBSTITUTION	y->H	1
Voynich	SUBSTITUTION	H->d	12
Voynich	SUBSTITUTION	t->k	33
Voynich	SUBSTITUTION	k->S	1
Voynich	SUBSTITUTION	x->S	1
Voynich	SUBSTITUTION	k->p	3
Voynich	SUBSTITUTION	2->3	1
Voynich	SUBSTITUTION	y->s	4
Voynich	SUBSTITUTION	l->p	3
Voynich	SUBSTITUTION	l->g	2
Voynich	SUBSTITUTION	H->k	11
Voynich	SUBSTITUTION	C->d	7
Voynich	SUBSTITUTION	s->H	5
Voynich	SUBSTITUTION	C->k	2
Voynich	SUBSTITUTION	r->v	4
Voynich	SUBSTITUTION	r->s	1
Voynich	SUBSTITUTION	F->d	1
Voynich	SUBSTITUTION	s->l	3
Voynich	SUBSTITUTION	v->x	4
Voynich	SUBSTITUTION	m->f	2
Voynich	SUBSTITUTION	s->m	1
Voynich	SUBSTITUTION	k->C	1
Voynich	SUBSTITUTION	P->S	1
Voynich	SUBSTITUTION	A->l	1
Voynich	SUBSTITUTION	E->d	1
Voynich	SUBSTITUTION	d->n	1
Voynich	SUBSTITUTION	d->o	6
Voynich	SUBSTITUTION	t->s	1
Voynich	SUBSTITUTION	N->n	1
Voynich	SUBSTITUTION	H->P	1
Voynich	SUBSTITUTION	S->o	1
Voynich	SUBSTITUTION	l->I	1
Voynich	INSERTION	BEGIN->H	20
Voynich	INSERTION	BEGIN->q	46
Voynich	INSERTION	BEGIN->t	9
Voynich	INSERTION	BEGIN->C	2
Voynich	INSERTION	END->i	1
Voynich	INSERTION	END->K	1
Voynich	INSERTION	MIDDLE->l	5
Voynich	INSERTION	MIDDLE->k	1
Voynich	INSERTION	END->o	5
Voynich	INSERTION	BEGIN->y	4
Voynich	INSERTION	END->g	1
Voynich	INSERTION	END->l	12
Voynich	INSERTION	END->N	2
Voynich	INSERTION	MIDDLE->e	16
Voynich	INSERTION	MIDDLE->d	2
Voynich	INSERTION	END->k	2
Voynich	INSERTION	BEGIN->a	7
Voynich	INSERTION	MIDDLE->K	2
Voynich	INSERTION	MIDDLE->i	7
Voynich	INSERTION	END->A	1
Voynich	INSERTION	BEGIN->r	3
Voynich	INSERTION	BEGIN->K	3
Voynich	INSERTION	MIDDLE->o	4
Voynich	INSERTION	END->r	4
Voynich	INSERTION	BEGIN->p	1
Voynich	INSERTION	END->S	1
Voynich	INSERTION	MIDDLE->H	7
Voynich	INSERTION	BEGIN->k	17
Voynich	INSERTION	END->e	6
Voynich	INSERTION	MIDDLE->t	1
Voynich	INSERTION	BEGIN->o	19
Voynich	INSERTION	END->y	18
Voynich	INSERTION	BEGIN->l	15
Voynich	INSERTION	END->d	21
Voynich	INSERTION	END->E	1
Voynich	INSERTION	END->s	2
Voynich	INSERTION	BEGIN->d	15
Voynich	INSERTION	BEGIN->s	3
Voynich	INSERTION	BEGIN->S	2
Voynich	DELETION	END->o	2
Voynich	DELETION	MIDDLE->e	17
Voynich	DELETION	BEGIN->d	29
Voynich	DELETION	END->m	1
Voynich	DELETION	END->H	2
Voynich	DELETION	END->t	1
Voynich	DELETION	END->r	5
Voynich	DELETION	END->d	30
Voynich	DELETION	MIDDLE->E	4
Voynich	DELETION	END->y	9
Voynich	DELETION	END->c	1
Voynich	DELETION	BEGIN->K	1
Voynich	DELETION	BEGIN->l	11
Voynich	DELETION	BEGIN->s	7
Voynich	DELETION	MIDDLE->t	2
Voynich	DELETION	END->s	1
Voynich	DELETION	BEGIN->H	33
Voynich	DELETION	BEGIN->k	13
Voynich	DELETION	MIDDLE->H	3
Voynich	DELETION	BEGIN->r	1
Voynich	DELETION	MIDDLE->K	1
Voynich	DELETION	BEGIN->a	3
Voynich	DELETION	END->E	8
Voynich	DELETION	BEGIN->t	12
Voynich	DELETION	END->e	9
Voynich	DELETION	BEGIN->q	46
Voynich	DELETION	MIDDLE->s	1
Voynich	DELETION	END->x	1
Voynich	DELETION	END->l	5
Voynich	DELETION	END->A	2
Voynich	DELETION	END->k	1
Voynich	DELETION	MIDDLE->l	1
Voynich	DELETION	END->K	1
Voynich	DELETION	BEGIN->y	12
Voynich	DELETION	BEGIN->p	5
Voynich	DELETION	END->i	4
Voynich	DELETION	MIDDLE->o	4
Voynich	DELETION	MIDDLE->d	2
Voynich	DELETION	MIDDLE->i	3
Voynich	DELETION	BEGIN->o	31
Voynich	DELETION	BEGIN->S	4
Voynich	DELETION	MIDDLE->S	2
Voynich	DELETION	END->f	2
Voynich	DELETION	BEGIN->e	2
Voynich	DELETION	MIDDLE->k	3
