Corpus	Forward	ForwardCount	ReverseCount	Asymmetry
Voynich	S->C	1	1	0.000000000
Voynich	S->F	1	0	1.000000000
Voynich	S->H	21	23	-0.045454545
Voynich	S->P	2	1	0.333333333
Voynich	S->c	1	0	1.000000000
Voynich	S->d	6	4	0.200000000
Voynich	S->k	6	1	0.714285714
Voynich	S->o	1	0	1.000000000
Voynich	S->s	5	2	0.428571429
Voynich	S->t	3	3	0.000000000
Voynich	S->y	2	1	0.333333333
Voynich	a->H	1	0	1.000000000
Voynich	a->N	1	0	1.000000000
Voynich	a->d	2	0	1.000000000
Voynich	a->o	20	20	0.000000000
Voynich	a->r	4	2	0.333333333
Voynich	a->t	1	0	1.000000000
Voynich	c->f	1	0	1.000000000
Voynich	c->h	1	0	1.000000000
Voynich	c->y	3	3	0.000000000
Voynich	d->C	2	7	-0.555555556
Voynich	d->H	2	12	-0.714285714
Voynich	d->K	3	1	0.500000000
Voynich	d->P	1	1	0.000000000
Voynich	d->S	4	6	-0.200000000
Voynich	d->e	1	1	0.000000000
Voynich	d->g	1	0	1.000000000
Voynich	d->k	8	10	-0.111111111
Voynich	d->l	2	7	-0.555555556
Voynich	d->n	1	0	1.000000000
Voynich	d->o	6	6	0.000000000
Voynich	d->r	5	0	1.000000000
Voynich	d->s	2	3	-0.200000000
Voynich	d->t	1	6	-0.714285714
Voynich	d->y	8	1	0.777777778
Voynich	e->E	31	29	0.033333333
Voynich	e->K	1	1	0.000000000
Voynich	e->a	1	0	1.000000000
Voynich	e->d	1	1	0.000000000
Voynich	e->o	3	5	-0.250000000
Voynich	f->o	1	0	1.000000000
Voynich	f->r	1	0	1.000000000
Voynich	f->s	1	0	1.000000000
Voynich	g->m	1	0	1.000000000
Voynich	h->y	1	0	1.000000000
Voynich	i->h	2	0	1.000000000
Voynich	k->C	1	2	-0.333333333
Voynich	k->H	8	11	-0.157894737
Voynich	k->S	1	6	-0.714285714
Voynich	k->a	1	0	1.000000000
Voynich	k->d	10	8	0.111111111
Voynich	k->f	1	0	1.000000000
Voynich	k->l	2	3	-0.200000000
Voynich	k->m	4	0	1.000000000
Voynich	k->o	3	4	-0.142857143
Voynich	k->p	3	3	0.000000000
Voynich	k->r	1	1	0.000000000
Voynich	k->t	36	33	0.043478261
Voynich	k->x	1	5	-0.666666667
Voynich	l->A	2	1	0.333333333
Voynich	l->H	1	1	0.000000000
Voynich	l->I	1	0	1.000000000
Voynich	l->N	19	32	-0.254901961
Voynich	l->S	1	0	1.000000000
Voynich	l->a	1	0	1.000000000
Voynich	l->d	7	2	0.555555556
Voynich	l->e	1	0	1.000000000
Voynich	l->g	2	0	1.000000000
Voynich	l->k	3	2	0.200000000
Voynich	l->m	6	2	0.500000000
Voynich	l->o	4	34	-0.789473684
Voynich	l->p	3	1	0.500000000
Voynich	l->q	1	0	1.000000000
Voynich	l->r	47	53	-0.060000000
Voynich	l->s	10	3	0.538461538
Voynich	l->t	4	4	0.000000000
Voynich	l->y	5	2	0.428571429
Voynich	m->f	2	0	1.000000000
Voynich	m->l	2	6	-0.500000000
Voynich	m->p	2	0	1.000000000
Voynich	m->r	1	14	-0.866666667
Voynich	n->N	1	1	0.000000000
Voynich	o->E	2	2	0.000000000
Voynich	o->H	5	8	-0.230769231
Voynich	o->a	20	20	0.000000000
Voynich	o->d	6	6	0.000000000
Voynich	o->e	5	3	0.250000000
Voynich	o->k	4	3	0.142857143
Voynich	o->l	34	4	0.789473684
Voynich	o->r	8	1	0.777777778
Voynich	o->s	3	5	-0.250000000
Voynich	o->t	2	0	1.000000000
Voynich	o->v	1	0	1.000000000
Voynich	o->y	12	18	-0.200000000
Voynich	p->d	2	0	1.000000000
Voynich	p->k	3	3	0.000000000
Voynich	p->l	1	3	-0.500000000
Voynich	p->r	1	1	0.000000000
Voynich	p->t	1	2	-0.333333333
Voynich	q->H	4	1	0.600000000
Voynich	q->S	1	0	1.000000000
Voynich	q->o	3	0	1.000000000
Voynich	q->t	1	0	1.000000000
Voynich	r->A	13	2	0.733333333
Voynich	r->H	1	1	0.000000000
Voynich	r->N	35	20	0.272727273
Voynich	r->a	2	4	-0.333333333
Voynich	r->k	1	1	0.000000000
Voynich	r->l	53	47	0.060000000
Voynich	r->m	14	1	0.866666667
Voynich	r->n	1	0	1.000000000
Voynich	r->o	1	8	-0.777777778
Voynich	r->p	1	1	0.000000000
Voynich	r->s	1	2	-0.333333333
Voynich	r->v	4	1	0.600000000
Voynich	s->A	7	0	1.000000000
Voynich	s->C	1	0	1.000000000
Voynich	s->H	5	4	0.111111111
Voynich	s->N	3	0	1.000000000
Voynich	s->S	2	5	-0.428571429
Voynich	s->d	3	2	0.200000000
Voynich	s->g	1	0	1.000000000
Voynich	s->l	3	10	-0.538461538
Voynich	s->m	1	0	1.000000000
Voynich	s->o	5	3	0.250000000
Voynich	s->q	1	0	1.000000000
Voynich	s->r	2	1	0.333333333
Voynich	s->t	1	1	0.000000000
Voynich	s->y	11	4	0.466666667
Voynich	t->H	3	2	0.200000000
Voynich	t->K	1	1	0.000000000
Voynich	t->S	3	3	0.000000000
Voynich	t->d	6	1	0.714285714
Voynich	t->f	1	0	1.000000000
Voynich	t->k	33	36	-0.043478261
Voynich	t->l	4	4	0.000000000
Voynich	t->p	2	1	0.333333333
Voynich	t->r	5	0	1.000000000
Voynich	t->s	1	1	0.000000000
Voynich	v->l	1	0	1.000000000
Voynich	v->r	1	4	-0.600000000
Voynich	v->t	4	0	1.000000000
Voynich	v->x	4	0	1.000000000
Voynich	x->S	1	0	1.000000000
Voynich	x->k	5	1	0.666666667
Voynich	x->l	1	0	1.000000000
Voynich	x->s	1	0	1.000000000
Voynich	y->A	7	12	-0.263157895
Voynich	y->C	1	1	0.000000000
Voynich	y->H	1	2	-0.333333333
Voynich	y->S	1	2	-0.333333333
Voynich	y->a	1	0	1.000000000
Voynich	y->c	3	3	0.000000000
Voynich	y->d	1	8	-0.777777778
Voynich	y->e	1	0	1.000000000
Voynich	y->i	1	0	1.000000000
Voynich	y->k	1	0	1.000000000
Voynich	y->l	2	5	-0.428571429
Voynich	y->o	18	12	0.200000000
Voynich	y->r	3	0	1.000000000
Voynich	y->s	4	11	-0.466666667
Voynich	y->t	1	0	1.000000000
