branch	opaque_id	scale	replicate	seed
S	s-1d31695c4e69	LARGE	3	15418980313443224014
S	s-1d31695c4e69	LARGE	4	5926605175091344597
S	s-1d31695c4e69	LARGE	5	16098748053511010202
S	s-1d31695c4e69	LARGE	6	9295497718621529619
S	s-1d31695c4e69	LARGE	7	18195583138654239915
S	s-f4054cfa9ec9	SMALL	0	14552059688770049029
S	s-f4054cfa9ec9	SMALL	1	7428295089755555859
S	s-f4054cfa9ec9	SMALL	2	6013556872273105931
S	s-f4054cfa9ec9	SMALL	3	1573524650895178781
S	s-f4054cfa9ec9	SMALL	4	10027247633823614057
S	s-f4054cfa9ec9	SMALL	5	15543515013455697026
S	s-f4054cfa9ec9	SMALL	6	2211852038174351775
S	s-f4054cfa9ec9	SMALL	7	1843719538109646208
S	s-f4054cfa9ec9	MEDIUM	0	6326806779439498064
S	s-f4054cfa9ec9	MEDIUM	1	1339085877921320284
S	s-f4054cfa9ec9	MEDIUM	2	772925147054011757
S	s-f4054cfa9ec9	MEDIUM	3	4127685925052637729
S	s-f4054cfa9ec9	MEDIUM	4	10846507299307910892
S	s-f4054cfa9ec9	MEDIUM	5	9512917840147265371
S	s-f4054cfa9ec9	MEDIUM	6	14645097479335754407
S	s-f4054cfa9ec9	MEDIUM	7	6674317877359319245
S	s-f4054cfa9ec9	VOYNICH_SCALE	0	11598567498559838446
S	s-f4054cfa9ec9	VOYNICH_SCALE	1	7535572640243568922
S	s-f4054cfa9ec9	VOYNICH_SCALE	2	6098382763006741435
S	s-f4054cfa9ec9	VOYNICH_SCALE	3	2363354889400021501
S	s-f4054cfa9ec9	VOYNICH_SCALE	4	5688793908862506457
S	s-f4054cfa9ec9	VOYNICH_SCALE	5	8840265118630463218
S	s-f4054cfa9ec9	VOYNICH_SCALE	6	13319040076212984955
S	s-f4054cfa9ec9	VOYNICH_SCALE	7	4436519193494595214
S	s-f4054cfa9ec9	LARGE	0	12637472772761160980
S	s-f4054cfa9ec9	LARGE	1	3988959860223619750
S	s-f4054cfa9ec9	LARGE	2	1509026006367158626
S	s-f4054cfa9ec9	LARGE	3	11696879994901987754
S	s-f4054cfa9ec9	LARGE	4	2766870009801702054
S	s-f4054cfa9ec9	LARGE	5	6971590498163334377
S	s-f4054cfa9ec9	LARGE	6	9372266992924024723
S	s-f4054cfa9ec9	LARGE	7	6277673500350090372
S	s-5a165cc265b7	SMALL	0	9173157965668777251
S	s-5a165cc265b7	SMALL	1	15934345954320181901
S	s-5a165cc265b7	SMALL	2	11002963837407027510
S	s-5a165cc265b7	SMALL	3	14896037044202454854
S	s-5a165cc265b7	SMALL	4	9139809792801224404
S	s-5a165cc265b7	SMALL	5	4378211317234206094
S	s-5a165cc265b7	SMALL	6	11217093313619148945
S	s-5a165cc265b7	SMALL	7	1450654348888228029
S	s-5a165cc265b7	MEDIUM	0	11560833854826434881
S	s-5a165cc265b7	MEDIUM	1	8832574781770190505
S	s-5a165cc265b7	MEDIUM	2	9165379575522207226
S	s-5a165cc265b7	MEDIUM	3	14261875027258978537
S	s-5a165cc265b7	MEDIUM	4	18390390649644106106
S	s-5a165cc265b7	MEDIUM	5	12104072848339961707
S	s-5a165cc265b7	MEDIUM	6	17737148017645068310
S	s-5a165cc265b7	MEDIUM	7	5467279796103924314
S	s-5a165cc265b7	VOYNICH_SCALE	0	9089531694530996266
S	s-5a165cc265b7	VOYNICH_SCALE	1	5651568689605185675
S	s-5a165cc265b7	VOYNICH_SCALE	2	12955236317993566240
S	s-5a165cc265b7	VOYNICH_SCALE	3	17881555454436363620
S	s-5a165cc265b7	VOYNICH_SCALE	4	6937151241089436965
S	s-5a165cc265b7	VOYNICH_SCALE	5	8035204693198924283
S	s-5a165cc265b7	VOYNICH_SCALE	6	14914513399202493357
S	s-5a165cc265b7	VOYNICH_SCALE	7	10301865110480463919
S	s-5a165cc265b7	LARGE	0	9773442744817051735
S	s-5a165cc265b7	LARGE	1	2897604199281162292
S	s-5a165cc265b7	LARGE	2	12032005719143924849
S	s-5a165cc265b7	LARGE	3	9049574622717860465
S	s-5a165cc265b7	LARGE	4	6249275795908877056
S	s-5a165cc265b7	LARGE	5	12580727992861657309
S	s-5a165cc265b7	LARGE	6	16968308063227026182
S	s-5a165cc265b7	LARGE	7	7809816221638500295
S	s-e98255971d80	SMALL	0	12304037174997019182
S	s-e98255971d80	SMALL	1	17242882135344998749
S	s-e98255971d80	SMALL	2	2706485363167821912
S	s-e98255971d80	SMALL	3	15874350356297463884
S	s-e98255971d80	SMALL	4	16620173276836767070
S	s-e98255971d80	SMALL	5	14965147808548443557
S	s-e98255971d80	SMALL	6	4137913892901165927
S	s-e98255971d80	SMALL	7	5374512781858171492
S	s-e98255971d80	MEDIUM	0	4508658889666026023
S	s-e98255971d80	MEDIUM	1	15751359252366545259
S	s-e98255971d80	MEDIUM	2	7766708983513001374
S	s-e98255971d80	MEDIUM	3	2097343586121681378
S	s-e98255971d80	MEDIUM	4	10872682614924346130
S	s-e98255971d80	MEDIUM	5	2680622093888472543
S	s-e98255971d80	MEDIUM	6	15909893172797412777
S	s-e98255971d80	MEDIUM	7	2033490492112950145
S	s-e98255971d80	VOYNICH_SCALE	0	6379913369646429591
S	s-e98255971d80	VOYNICH_SCALE	1	7854581122583376287
S	s-e98255971d80	VOYNICH_SCALE	2	13325257821775655275
S	s-e98255971d80	VOYNICH_SCALE	3	13890122575330892186
S	s-e98255971d80	VOYNICH_SCALE	4	18369369011506209182
S	s-e98255971d80	VOYNICH_SCALE	5	4403599322130989238
S	s-e98255971d80	VOYNICH_SCALE	6	6088922791885675509
S	s-e98255971d80	VOYNICH_SCALE	7	1003683380710661790
S	s-e98255971d80	LARGE	0	969388648598888930
S	s-e98255971d80	LARGE	1	10659449728248225723
S	s-e98255971d80	LARGE	2	17196118097477417497
S	s-e98255971d80	LARGE	3	6372866157309835310
S	s-e98255971d80	LARGE	4	8848878917713709607
S	s-e98255971d80	LARGE	5	5190882064367840518
S	s-e98255971d80	LARGE	6	7648974491945988480
S	s-e98255971d80	LARGE	7	13676850579449128299
S	s-e2cc3e1401d3	SMALL	0	18320215969885438789
S	s-e2cc3e1401d3	SMALL	1	8214556894790826796
S	s-e2cc3e1401d3	SMALL	2	7341714388023389420
S	s-e2cc3e1401d3	SMALL	3	11730778506906289442
S	s-e2cc3e1401d3	SMALL	4	4792590640746852317
S	s-e2cc3e1401d3	SMALL	5	16744091606011554399
S	s-e2cc3e1401d3	SMALL	6	8672851734962709475
S	s-e2cc3e1401d3	SMALL	7	3198738057336545982
S	s-e2cc3e1401d3	MEDIUM	0	13522214986929107970
S	s-e2cc3e1401d3	MEDIUM	1	17904979132907299262
S	s-e2cc3e1401d3	MEDIUM	2	831820852714033527
S	s-e2cc3e1401d3	MEDIUM	3	5244604570622261655
S	s-e2cc3e1401d3	MEDIUM	4	117972371880596347
S	s-e2cc3e1401d3	MEDIUM	5	7717098479461496483
S	s-e2cc3e1401d3	MEDIUM	6	9686473599604002027
S	s-e2cc3e1401d3	MEDIUM	7	14524778783434631227
S	s-e2cc3e1401d3	VOYNICH_SCALE	0	360325630094684017
S	s-e2cc3e1401d3	VOYNICH_SCALE	1	5594496949084617249
S	s-e2cc3e1401d3	VOYNICH_SCALE	2	11952321556825834942
S	s-e2cc3e1401d3	VOYNICH_SCALE	3	4560800196111587431
S	s-e2cc3e1401d3	VOYNICH_SCALE	4	10405374835224889448
S	s-e2cc3e1401d3	VOYNICH_SCALE	5	2606881539470569870
S	s-e2cc3e1401d3	VOYNICH_SCALE	6	10283980042762519600
S	s-e2cc3e1401d3	VOYNICH_SCALE	7	6386523328965175724
S	s-e2cc3e1401d3	LARGE	0	17434388092037607668
S	s-e2cc3e1401d3	LARGE	1	17390080794247102754
S	s-e2cc3e1401d3	LARGE	2	1331364915691505606
S	s-e2cc3e1401d3	LARGE	3	5044779164954946228
S	s-e2cc3e1401d3	LARGE	4	17156110343773517048
S	s-e2cc3e1401d3	LARGE	5	14998667096970570826
S	s-e2cc3e1401d3	LARGE	6	8065223711647454287
S	s-e2cc3e1401d3	LARGE	7	18003226825145903558
S	s-c13a20c1b1a6	SMALL	0	5932874586761169477
S	s-c13a20c1b1a6	SMALL	1	10721024590204661934
S	s-c13a20c1b1a6	SMALL	2	924665700045754793
S	s-c13a20c1b1a6	SMALL	3	14543414497613080654
S	s-c13a20c1b1a6	SMALL	4	1869458961090452804
S	s-c13a20c1b1a6	SMALL	5	15727712912842334503
S	s-c13a20c1b1a6	SMALL	6	3060462208704826447
S	s-c13a20c1b1a6	SMALL	7	1789893878823348184
S	s-c13a20c1b1a6	MEDIUM	0	955440999260455099
S	s-c13a20c1b1a6	MEDIUM	1	7310216880242744
S	s-c13a20c1b1a6	MEDIUM	2	6064497899205700714
S	s-c13a20c1b1a6	MEDIUM	3	12338751743298715760
S	s-c13a20c1b1a6	MEDIUM	4	1102776098478178944
S	s-c13a20c1b1a6	MEDIUM	5	5438241288490913686
S	s-c13a20c1b1a6	MEDIUM	6	18041022513853778306
S	s-c13a20c1b1a6	MEDIUM	7	15852585606350579867
S	s-c13a20c1b1a6	VOYNICH_SCALE	0	17904857982766120276
S	s-c13a20c1b1a6	VOYNICH_SCALE	1	10198278347432292953
S	s-c13a20c1b1a6	VOYNICH_SCALE	2	14914182874344756952
S	s-c13a20c1b1a6	VOYNICH_SCALE	3	14819571143758341017
S	s-c13a20c1b1a6	VOYNICH_SCALE	4	14259831265067697585
S	s-c13a20c1b1a6	VOYNICH_SCALE	5	15049969766908341506
S	s-c13a20c1b1a6	VOYNICH_SCALE	6	13507592694020605207
S	s-c13a20c1b1a6	VOYNICH_SCALE	7	9928467565045699838
S	s-c13a20c1b1a6	LARGE	0	14652969342039021292
S	s-c13a20c1b1a6	LARGE	1	13438044529650982011
S	s-c13a20c1b1a6	LARGE	2	16284926803365792441
S	s-c13a20c1b1a6	LARGE	3	2667711223941091306
S	s-c13a20c1b1a6	LARGE	4	580284300165903039
S	s-c13a20c1b1a6	LARGE	5	14982510825835557726
S	s-c13a20c1b1a6	LARGE	6	42795734314610925
S	s-c13a20c1b1a6	LARGE	7	17317382605883385738
S	s-614cdbd81cbf	SMALL	0	7131937090360876063
S	s-614cdbd81cbf	SMALL	1	12638972199450176448
S	s-614cdbd81cbf	SMALL	2	109590376332802617
S	s-614cdbd81cbf	SMALL	3	2985341873147654624
S	s-614cdbd81cbf	SMALL	4	235656115175338305
S	s-614cdbd81cbf	SMALL	5	11463539138016162255
S	s-614cdbd81cbf	SMALL	6	14008313978043649432
S	s-614cdbd81cbf	SMALL	7	12142223427611023814
S	s-614cdbd81cbf	MEDIUM	0	9053289351526340931
S	s-614cdbd81cbf	MEDIUM	1	17720862021758168657
S	s-614cdbd81cbf	MEDIUM	2	1732744527825098818
S	s-614cdbd81cbf	MEDIUM	3	8795331746085781470
S	s-614cdbd81cbf	MEDIUM	4	17965457309527064529
S	s-614cdbd81cbf	MEDIUM	5	14740881827283974514
S	s-614cdbd81cbf	MEDIUM	6	11016069037191639141
S	s-614cdbd81cbf	MEDIUM	7	17114892940020194952
S	s-614cdbd81cbf	VOYNICH_SCALE	0	11320350392849761750
S	s-614cdbd81cbf	VOYNICH_SCALE	1	14128791333137499296
S	s-614cdbd81cbf	VOYNICH_SCALE	2	3664266684363372501
S	s-614cdbd81cbf	VOYNICH_SCALE	3	17202981527937496082
S	s-614cdbd81cbf	VOYNICH_SCALE	4	18129662921302866316
S	s-614cdbd81cbf	VOYNICH_SCALE	5	15888105823678750762
S	s-614cdbd81cbf	VOYNICH_SCALE	6	5571585272330378687
S	s-614cdbd81cbf	VOYNICH_SCALE	7	3913107456410001173
S	s-614cdbd81cbf	LARGE	0	8987258385965733290
S	s-614cdbd81cbf	LARGE	1	250303932027294630
S	s-614cdbd81cbf	LARGE	2	1825941712482965010
S	s-614cdbd81cbf	LARGE	3	7686558156772499738
S	s-614cdbd81cbf	LARGE	4	11994107530470735703
S	s-614cdbd81cbf	LARGE	5	16691503199276191041
S	s-614cdbd81cbf	LARGE	6	12097395469331466388
S	s-614cdbd81cbf	LARGE	7	7553016061690466644
S	s-8f8dc60ab0b4	SMALL	0	14457775468807262142
S	s-8f8dc60ab0b4	SMALL	1	12461910832977386546
S	s-8f8dc60ab0b4	SMALL	2	409944407652178474
S	s-8f8dc60ab0b4	SMALL	3	2109793664452169120
S	s-8f8dc60ab0b4	SMALL	4	9427336325257190337
S	s-8f8dc60ab0b4	SMALL	5	5837453047547279696
S	s-8f8dc60ab0b4	SMALL	6	14990273489891417939
S	s-8f8dc60ab0b4	SMALL	7	16329831341390853061
S	s-8f8dc60ab0b4	MEDIUM	0	2522612570846535645
S	s-8f8dc60ab0b4	MEDIUM	1	7059039458003753042
S	s-8f8dc60ab0b4	MEDIUM	2	2543350799216505528
S	s-8f8dc60ab0b4	MEDIUM	3	12983432040791201254
S	s-8f8dc60ab0b4	MEDIUM	4	9246264214123350358
S	s-8f8dc60ab0b4	MEDIUM	5	10310007446028140942
S	s-8f8dc60ab0b4	MEDIUM	6	14476589421999317221
S	s-8f8dc60ab0b4	MEDIUM	7	17628712809910949562
S	s-8f8dc60ab0b4	VOYNICH_SCALE	0	8134283724545939399
S	s-8f8dc60ab0b4	VOYNICH_SCALE	1	12135064393312374576
S	s-8f8dc60ab0b4	VOYNICH_SCALE	2	9813840107238696929
S	s-8f8dc60ab0b4	VOYNICH_SCALE	3	10798030107367754218
S	s-8f8dc60ab0b4	VOYNICH_SCALE	4	9516283141218598674
S	s-8f8dc60ab0b4	VOYNICH_SCALE	5	16081156290502887259
S	s-8f8dc60ab0b4	VOYNICH_SCALE	6	5825713702488066232
S	s-8f8dc60ab0b4	VOYNICH_SCALE	7	12347307901267328733
S	s-8f8dc60ab0b4	LARGE	0	8161863773501360632
S	s-8f8dc60ab0b4	LARGE	1	6361055212552254147
S	s-8f8dc60ab0b4	LARGE	2	8034377030106538491
S	s-8f8dc60ab0b4	LARGE	3	6491838026555208304
S	s-8f8dc60ab0b4	LARGE	4	11702634986229207785
S	s-8f8dc60ab0b4	LARGE	5	8494777623721323301
S	s-8f8dc60ab0b4	LARGE	6	4772247448123998837
S	s-8f8dc60ab0b4	LARGE	7	13406009861475948190
S	s-47b9317c1ee7	SMALL	0	14550409888294702569
S	s-47b9317c1ee7	SMALL	1	2369499627288100105
S	s-47b9317c1ee7	SMALL	2	11881814600364502088
S	s-47b9317c1ee7	SMALL	3	7966277030851130106
S	s-47b9317c1ee7	SMALL	4	13515399865896837174
S	s-47b9317c1ee7	SMALL	5	12547651773611048958
S	s-47b9317c1ee7	SMALL	6	2029739577380368305
S	s-47b9317c1ee7	SMALL	7	10033626999804185848
S	s-47b9317c1ee7	MEDIUM	0	13639225282031770145
S	s-47b9317c1ee7	MEDIUM	1	10418728178285527354
S	s-47b9317c1ee7	MEDIUM	2	10150704260194941722
S	s-47b9317c1ee7	MEDIUM	3	11054330502223436632
S	s-47b9317c1ee7	MEDIUM	4	4307619621607614777
S	s-47b9317c1ee7	MEDIUM	5	11442275412463514282
S	s-47b9317c1ee7	MEDIUM	6	3627487800649536514
S	s-47b9317c1ee7	MEDIUM	7	2692673867141824034
S	s-47b9317c1ee7	VOYNICH_SCALE	0	9949511705901798464
S	s-47b9317c1ee7	VOYNICH_SCALE	1	18330748310811149236
S	s-47b9317c1ee7	VOYNICH_SCALE	2	10831622442743052776
S	s-47b9317c1ee7	VOYNICH_SCALE	3	8674594966996179641
S	s-47b9317c1ee7	VOYNICH_SCALE	4	14748859810715820
S	s-47b9317c1ee7	VOYNICH_SCALE	5	8015904312406449472
S	s-47b9317c1ee7	VOYNICH_SCALE	6	16367946382573431084
S	s-47b9317c1ee7	VOYNICH_SCALE	7	15759239067546841250
S	s-47b9317c1ee7	LARGE	0	10971601294383332844
S	s-47b9317c1ee7	LARGE	1	75983127784133922
S	s-47b9317c1ee7	LARGE	2	7458420793459382787
S	s-47b9317c1ee7	LARGE	3	6374761020719904047
S	s-47b9317c1ee7	LARGE	4	14061187855533996728
S	s-47b9317c1ee7	LARGE	5	4280363583573790803
S	s-47b9317c1ee7	LARGE	6	9441135703559188661
S	s-47b9317c1ee7	LARGE	7	6051328619828768714
S	s-4a57d700bac6	SMALL	0	6586073998511546539
S	s-4a57d700bac6	SMALL	1	5529586258088477560
S	s-4a57d700bac6	SMALL	2	736952883961363891
S	s-4a57d700bac6	SMALL	3	13032766933060109021
S	s-4a57d700bac6	SMALL	4	2193674446631280715
