mechanism_id	parameter_set_id	corpus_id	replicate	r0_score	delta_context	delta_convention	delta_geometry	delta_history	delta_internal_memory	seed_pairing_warning
f01_speculum_profile_latin23_r12	f01-profile-latin23-r12	Astafiev	1	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_profile_latin23_r12	f01-profile-latin23-r12	Doyle	0	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_profile_latin23_r12	f01-profile-latin23-r12	Doyle	1	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_profile_latin23_r12	f01-profile-latin23-r12	Longfellow	0	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_profile_latin23_r12	f01-profile-latin23-r12	Longfellow	1	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f08_serpens_core	f08-centre-edge-small	Longfellow	0	1.000000	0.000000	1.000000	1.000000	NA	NA	NA
f08_serpens_core	f08-centre-edge-small	Longfellow	1	1.000000	0.000000	1.000000	1.000000	NA	NA	NA
f08_serpens_core	f08-centre-edge-small	Astafiev	0	1.000000	0.000000	1.000000	1.000000	NA	NA	NA
f08_serpens_core	f08-centre-edge-small	Astafiev	1	1.000000	0.000000	1.000000	1.000000	NA	NA	NA
f08_serpens_core	f08-centre-edge-small	Doyle	0	1.000000	0.000000	1.000000	1.000000	NA	NA	NA
f08_serpens_core	f08-centre-edge-small	Doyle	1	1.000000	0.000000	1.000000	1.000000	NA	NA	NA
negative_randomized_path	f08-centre-edge-small	Doyle	0	0.166667	NA	0.156463	0.000000	NA	NA	NA
negative_randomized_path	f08-centre-edge-small	Doyle	1	0.166667	NA	0.156463	0.000000	NA	NA	NA
negative_randomized_path	f08-centre-edge-small	Longfellow	0	0.166667	NA	0.156357	0.000000	NA	NA	NA
negative_randomized_path	f08-centre-edge-small	Longfellow	1	0.166667	NA	0.156357	0.000000	NA	NA	NA
negative_randomized_path	f08-centre-edge-small	Astafiev	0	0.166667	NA	0.156250	0.000000	NA	NA	NA
negative_randomized_path	f08-centre-edge-small	Astafiev	1	0.166667	NA	0.156250	0.000000	NA	NA	NA
negative_randomized_index_mapping	f11-core-default	Longfellow	0	0.000000	NA	0.000000	NA	NA	NA	NA
negative_randomized_index_mapping	f11-core-default	Longfellow	1	0.000000	NA	0.000000	NA	NA	NA	NA
negative_randomized_index_mapping	f11-core-default	Astafiev	0	0.000000	NA	0.000000	NA	NA	NA	NA
negative_randomized_index_mapping	f11-core-default	Astafiev	1	0.000000	NA	0.000000	NA	NA	NA	NA
negative_randomized_index_mapping	f11-core-default	Doyle	0	0.000000	NA	0.000000	NA	NA	NA	NA
negative_randomized_index_mapping	f11-core-default	Doyle	1	0.000000	NA	0.000000	NA	NA	NA	NA
f11_arismetricum_core	f11-core-default	Astafiev	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
f11_arismetricum_core	f11-core-default	Astafiev	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
f11_arismetricum_core	f11-core-default	Doyle	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
f11_arismetricum_core	f11-core-default	Doyle	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
f11_arismetricum_core	f11-core-default	Longfellow	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
f11_arismetricum_core	f11-core-default	Longfellow	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
m_restricted_storage_associate	storage-associate-small	Longfellow	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
m_restricted_storage_associate	storage-associate-small	Longfellow	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
m_restricted_storage_associate	storage-associate-small	Astafiev	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
m_restricted_storage_associate	storage-associate-small	Astafiev	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
m_restricted_storage_associate	storage-associate-small	Doyle	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
m_restricted_storage_associate	storage-associate-small	Doyle	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_indexed_lookup	f11-core-default	Doyle	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
synthetic_indexed_lookup	f11-core-default	Longfellow	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
synthetic_indexed_lookup	f11-core-default	Longfellow	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
synthetic_indexed_lookup	f11-core-default	Astafiev	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
synthetic_indexed_lookup	f11-core-default	Astafiev	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
synthetic_indexed_lookup	f11-core-default	Doyle	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
synthetic_cue_based	f12-cycle-default	Doyle	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_cue_based	f12-cycle-default	Longfellow	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_cue_based	f12-cycle-default	Longfellow	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_cue_based	f12-cycle-default	Astafiev	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_cue_based	f12-cycle-default	Astafiev	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_cue_based	f12-cycle-default	Doyle	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_ambiguous	storage-associate-small	Doyle	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_ambiguous	storage-associate-small	Doyle	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_ambiguous	storage-associate-small	Longfellow	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_ambiguous	storage-associate-small	Longfellow	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_ambiguous	storage-associate-small	Astafiev	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
synthetic_ambiguous	storage-associate-small	Astafiev	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
negative_randomized_cue_association	f12-cycle-default	Astafiev	0	0.000000	NA	NA	NA	NA	0.000000	NA
negative_randomized_cue_association	f12-cycle-default	Astafiev	1	0.000000	NA	NA	NA	NA	0.000000	NA
negative_randomized_cue_association	f12-cycle-default	Doyle	0	0.000000	NA	NA	NA	NA	0.000000	NA
negative_randomized_cue_association	f12-cycle-default	Doyle	1	0.000000	NA	NA	NA	NA	0.000000	NA
negative_randomized_cue_association	f12-cycle-default	Longfellow	0	0.000000	NA	NA	NA	NA	0.000000	NA
negative_randomized_cue_association	f12-cycle-default	Longfellow	1	0.000000	NA	NA	NA	NA	0.000000	NA
