artifact	artifact_sha256	section_path_key	rule_golden_id	semantic_role	current_behavior	h_sc03_relevance	repair_required	resulting_authority
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:72	UNK	M0 semantic/golden	M0 is glyph IID. For outcome `x` in vocabulary outcomes `O=A_dev union {UNK,EOS}`, `p(x)=(c(x)+alpha)/(sum_y c(y)+alpha|O|)`. Counts include glyph occurrences and one EOS per token, never BOS. Alpha is exactly the candidate registry grid. Alpha zero with an unseen outcome has zero mas	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:95	alpha	M0 semantic/golden	 glyph IID. For outcome `x` in vocabulary outcomes `O=A_dev union {UNK,EOS}`, `p(x)=(c(x)+alpha)/(sum_y c(y)+alpha|O|)`. Counts include glyph occurrences and one EOS per token, never BOS. Alpha is exactly the candidate registry grid. Alpha zero with an unseen outcome has zero mass and makes that score no	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:114	alpha	M0 semantic/golden	come `x` in vocabulary outcomes `O=A_dev union {UNK,EOS}`, `p(x)=(c(x)+alpha)/(sum_y c(y)+alpha|O|)`. Counts include glyph occurrences and one EOS per token, never BOS. Alpha is exactly the candidate registry grid. Alpha zero with an unseen outcome has zero mass and makes that score not assessable. Token	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:193	Alpha	M0 semantic/golden	sum_y c(y)+alpha|O|)`. Counts include glyph occurrences and one EOS per token, never BOS. Alpha is exactly the candidate registry grid. Alpha zero with an unseen outcome has zero mass and makes that score not assessable. Token probability is the product of glyph probabilities and EOS. Generation inverse-	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:239	Alpha	M0 semantic/golden	currences and one EOS per token, never BOS. Alpha is exactly the candidate registry grid. Alpha zero with an unseen outcome has zero mass and makes that score not assessable. Token probability is the product of glyph probabilities and EOS. Generation inverse-CDF samples UTF-8-sorted outcomes until EOS; U	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:265	outcome	M0 semantic/golden	token, never BOS. Alpha is exactly the candidate registry grid. Alpha zero with an unseen outcome has zero mass and makes that score not assessable. Token probability is the product of glyph probabilities and EOS. Generation inverse-CDF samples UTF-8-sorted outcomes until EOS; UNK during generation is emit	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:433	outcome	M0 semantic/golden	s the product of glyph probabilities and EOS. Generation inverse-CDF samples UTF-8-sorted outcomes until EOS; UNK during generation is emitted as U+FFFD, and length 64 without EOS is GENERATION_FAILURE.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:453	UNK	M0 semantic/golden	ph probabilities and EOS. Generation inverse-CDF samples UTF-8-sorted outcomes until EOS; UNK during generation is emitted as U+FFFD, and length 64 without EOS is GENERATION_FAILURE.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:51:byte:95	additive	M0 semantic/golden	xact orders 1, 2, and 3, left-pad each token with `order` BOS values. The row equation is additive-alpha over `O`. At score/generation, an absent context recursively drops its oldest symbol until an observed suffix row; the final order-0 row is M0 with the same alpha. A seen row may still assign zero to an 	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:51:byte:104	alpha	M0 semantic/golden	rs 1, 2, and 3, left-pad each token with `order` BOS values. The row equation is additive-alpha over `O`. At score/generation, an absent context recursively drops its oldest symbol until an observed suffix row; the final order-0 row is M0 with the same alpha. A seen row may still assign zero to an unseen	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:51:byte:250	M0	M0 semantic/golden	ecursively drops its oldest symbol until an observed suffix row; the final order-0 row is M0 with the same alpha. A seen row may still assign zero to an unseen outcome at alpha zero. Generation and boundaries follow M0.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:51:byte:267	alpha	M0 semantic/golden	its oldest symbol until an observed suffix row; the final order-0 row is M0 with the same alpha. A seen row may still assign zero to an unseen outcome at alpha zero. Generation and boundaries follow M0.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:51:byte:320	outcome	M0 semantic/golden	inal order-0 row is M0 with the same alpha. A seen row may still assign zero to an unseen outcome at alpha zero. Generation and boundaries follow M0.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:51:byte:331	alpha	M0 semantic/golden	0 row is M0 with the same alpha. A seen row may still assign zero to an unseen outcome at alpha zero. Generation and boundaries follow M0.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:51:byte:376	M0	M0 semantic/golden	ay still assign zero to an unseen outcome at alpha zero. Generation and boundaries follow M0.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:55:byte:351	additive	M0 semantic/golden	ctly greater than the candidate gain threshold; equality prunes. Parent probabilities use additive 0.5 and recursively retained suffixes. Pruning repeats bottom-up once because parent counts are immutable. Score and generation use the longest retained suffix, dropping to root. Candidate maximum depths and g	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:59:byte:195	outcome	M0 semantic/golden	 Prefix-tree acceptor states are distinct DEVELOPMENT glyph prefixes; EOS is an accepting outcome and transitions consume glyphs. Canonical state IDs are BFS from state 0, labels bytewise.	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:61:byte:205	additive	M0 semantic/golden	ing-state subset, discards topologies that cannot reproduce every DEVELOPMENT token, fits additive-0.5 outcome rows, and minimizes DEVELOPMENT negative log likelihood then state count then canonical transition bitstring. The operation bound is exactly the finite enumeration implied by S and alphabet; before	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:61:byte:218	outcome	M0 semantic/golden	set, discards topologies that cannot reproduce every DEVELOPMENT token, fits additive-0.5 outcome rows, and minimizes DEVELOPMENT negative log likelihood then state count then canonical transition bitstring. The operation bound is exactly the finite enumeration implied by S and alphabet; before enumeration	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:61:byte:407	alpha	M0 semantic/golden	nsition bitstring. The operation bound is exactly the finite enumeration implied by S and alphabet; before enumeration compute it with big integers. If it exceeds 10^8 candidates, emit INDUCTION_CAP. Lexicographic enumeration and no heuristic pruning are mandatory.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:63:byte:251	additive	M0 semantic/golden	epting/nonaccepting conflict. Score is weighted Jensen-Shannon divergence in bits between additive-0.5 outgoing rows, normalized by `(n_i+n_j)` and then divided by `log2(|O|)` (define score 0 when |O|=1). Choose lowest score, then canonical pair. Merge iff score <= threshold and resulting states do not exce	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:67:byte:326	alpha	M0 semantic/golden	xpected pi, transitions, and emissions are accumulated over tokens; M-step adds candidate alpha to every cell then row-normalizes. There are 8 restarts. Each parameter raw value is `1+u53` from M4_RESTART counters and normalized by row. Iterate E/M at most 500 times. Converge after an M-step when nondecr	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:73:byte:25	additive	M0 semantic/golden	The rule distribution is additive-0.5 over retained triples, exception distribution additive-0.5, and productive backoff independently samples retained prefix, stem, suffix inventories from additive-0.5 marginal counts. If any productive inven	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:73:byte:84	additive	M0 semantic/golden	The rule distribution is additive-0.5 over retained triples, exception distribution additive-0.5, and productive backoff independently samples retained prefix, stem, suffix inventories from additive-0.5 marginal counts. If any productive inventory is empty, fitting fails. Support is every nonempty con	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:73:byte:190	additive	M0 semantic/golden	d productive backoff independently samples retained prefix, stem, suffix inventories from additive-0.5 marginal counts. If any productive inventory is empty, fitting fails. Support is every nonempty concatenation up to 64 glyphs; empty/unrepresentable is NOT_ASSESSABLE. Whole-token probability is `(1-w)*[0.	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:77:byte:30	M0	M0 semantic/golden	B1 is the validation-selected M0 candidate fit to the identical DEVELOPMENT split. For M0 itself, B1 is a development-null paired occurrence bootstrap comparing the selected M0 to an independently refit same-grid M0 on each bootstrap DEVELOPM	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:77:byte:87	M0	M0 semantic/golden	B1 is the validation-selected M0 candidate fit to the identical DEVELOPMENT split. For M0 itself, B1 is a development-null paired occurrence bootstrap comparing the selected M0 to an independently refit same-grid M0 on each bootstrap DEVELOPMENT sample; its expected null effect, not a model-vs-itse	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:77:byte:174	M0	M0 semantic/golden	or M0 itself, B1 is a development-null paired occurrence bootstrap comparing the selected M0 to an independently refit same-grid M0 on each bootstrap DEVELOPMENT sample; its expected null effect, not a model-vs-itself zero, is used. B2 for a candidate in Mj, j>0, is the validation-selected candidate o	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:77:byte:213	M0	M0 semantic/golden	paired occurrence bootstrap comparing the selected M0 to an independently refit same-grid M0 on each bootstrap DEVELOPMENT sample; its expected null effect, not a model-vs-itself zero, is used. B2 for a candidate in Mj, j>0, is the validation-selected candidate of class M(j-1), irrespective of its lat	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:77:byte:450	M0	M0 semantic/golden	ation-selected candidate of class M(j-1), irrespective of its later adequacy verdict; for M0 B2 is absent. This prevents a circular baseline definition. Baseline data, scoring units, vocabulary, and split are identical.	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:79:byte:343	alpha	M0 semantic/golden	ffect >= observed_effect))/(2001)`; order by p then candidate ID and apply Holm step-down alpha .05. A comparison PASS requires both Holm rejection and effect strictly beyond `max(type-7 q95 null, practical floor)`. Equality fails. PM4 is supporting only. Predictive PASS requires PM2/PM5/PM6 PASS; any FA	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:95:byte:464	M0	M0 semantic/golden	omponent is NOT_IDENTIFIABLE (record EQUIVALENT_SET). NONE means every candidate in every M0-M5 class completed and was validly inadequate. Any missing evidence capable of changing the minimum, unresolved route, overlap, or complexity comparison is NOT_IDENTIFIABLE. Failure never means NONE.	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:101:byte:289	outcome	M0 semantic/golden	ability, sufficient length, UTF-8 reproducibility, and distinct scripts/traditions before outcomes. Strip Gutenberg text outside the first line containing `*** START OF` and the first later line containing `*** END OF` (exclude both marker lines); absence/order failure stops. NFC, full Unicode casefold, th	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.json	29e39e0c25dc8033f784480fdc537e3ede9eeb69baa0607c9f249d796d6b42dc	line:1:byte:814	unk	M0 semantic/golden	"t first two cut points; no refit after selection"",""symbols"":{""bos"":""<BOS>"",""eos"":""<EOS>"",""unk"":""<UNK>""},""tokens"":""nonempty arrays of Unicode scalar glyph strings"",""unicode"":""UTF-8 NFC""},""evidence_contract"":{""custom_normative_keywords"":0,""dialect"":""https://json-schema.org/draft/2020-12/schema"",""golden_s"	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.json	29e39e0c25dc8033f784480fdc537e3ede9eeb69baa0607c9f249d796d6b42dc	line:1:byte:821	UNK	M0 semantic/golden	" two cut points; no refit after selection"",""symbols"":{""bos"":""<BOS>"",""eos"":""<EOS>"",""unk"":""<UNK>""},""tokens"":""nonempty arrays of Unicode scalar glyph strings"",""unicode"":""UTF-8 NFC""},""evidence_contract"":{""custom_normative_keywords"":0,""dialect"":""https://json-schema.org/draft/2020-12/schema"",""golden_suite_v1"	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.json	29e39e0c25dc8033f784480fdc537e3ede9eeb69baa0607c9f249d796d6b42dc	line:1:byte:1919	outcome	M0 semantic/golden	"c833c5dcfa42a3d3""},""firewall"":{""calibration"":[""DEVELOPMENT""],""prohibited"":[""blind Stage C outcomes"",""natural-language confirmatory outcomes"",""Voynich""],""voynich_paths_forbidden"":true},""generation"":{""golden_suite_sha256"":""143954667073a2c10f1bd59ce98b9c93dd84b50632bb67ea80d0d92449480acb"",""max_token_glyphs"":6"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.json	29e39e0c25dc8033f784480fdc537e3ede9eeb69baa0607c9f249d796d6b42dc	line:1:byte:1960	outcome	M0 semantic/golden	"on"":[""DEVELOPMENT""],""prohibited"":[""blind Stage C outcomes"",""natural-language confirmatory outcomes"",""Voynich""],""voynich_paths_forbidden"":true},""generation"":{""golden_suite_sha256"":""143954667073a2c10f1bd59ce98b9c93dd84b50632bb67ea80d0d92449480acb"",""max_token_glyphs"":64,""nonempty"":true,""path_count"":26,""semant"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.json	29e39e0c25dc8033f784480fdc537e3ede9eeb69baa0607c9f249d796d6b42dc	line:1:byte:2858	M0	M0 semantic/golden	"_SECTION_VARIANCE_SHARE"",""LS1_LINE_LENGTH_CV"",""PF5_WITHIN_FOLIO_PROGRESSION""]},""models"":{""M0"":""iid_glyph_dirichlet"",""M1"":""fixed_order_markov"",""M2"":""pst_likelihood_gain"",""M3"":""deterministic_probabilistic_dfa"",""M4"":""discrete_hmm_baum_welch"",""M5"":""three_component_productive_grammar""},""normative_prose"":""G"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	line:1:byte:270	outcome	M0 semantic/golden	"T_CDF"":{""algorithm"":""normalize admissible row; Neumaier prefix cumulative; first positive outcome with u53<cumulative; final-bin rule"",""draws"":1},""EXPONENTIAL_RACE"":{""algorithm"":""score=-correctly_rounded_ln(u53)/normalized_weight; u53 zero gives +infinity; smallest score wins; exact score tie -> lower cano"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	line:1:byte:537	outcome	M0 semantic/golden	"core wins; exact score tie -> lower canonical index"",""draws"":""one per positive admissible outcome in canonical order""},""WALKER_ALIAS"":{""build"":""q[i]=normalized_p[i]*n; sorted increasing small q<1 and large q>=1 queues; pop lowest from each; cutoff[small]=q[small], alias[small]=large; q[large]=(q[large]+q[s"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	line:1:byte:881	outcome	M0 semantic/golden	"x; remaining cutoff=1 alias=self"",""degenerate"":""still consumes two draws for one positive outcome"",""draws"":2,""sample"":""column=floor(u1*n); choose column iff u2<cutoff[column], otherwise alias[column]""}},""constraint"":{""BEFORE_TOKEN"":""remove BOS and EOS, condition remaining mass, then route primitive"",""INSID"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	line:1:byte:2305	M0	M0 semantic/golden	"rlength consumes completed attempt draws then retries; no rollback""},""model_generation"":{""M0"":""At every streaming decision use the frozen fitted or synthetic outcome row in canonical order."",""M1"":""Initialize order BOS values. At each decision use the longest available fitted row with frozen suffix fal"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	line:1:byte:2373	outcome	M0 semantic/golden	",""model_generation"":{""M0"":""At every streaming decision use the frozen fitted or synthetic outcome row in canonical order."",""M1"":""Initialize order BOS values. At each decision use the longest available fitted row with frozen suffix fallback. Synthetic M1 puts EOS mass 0.15 last; at BOS multiply [.4,.3,.2,.1"	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	line:1:byte:2729	alpha	M0 semantic/golden	"5,.075] assigned respectively to successor modulo 4, same glyph, then the other glyphs in alphabet order, already totaling .85. After glyph emission shift context; EOS terminates."",""M2"":""Initialize empty suffix. Use longest retained fitted context else root. Synthetic M2 first constructs a glyph-only row"	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	line:1:byte:3434	outcome	M0 semantic/golden	"tting, not generation."",""M3_EXACT"":""Initialize canonical start state. Sample its explicit outcome row. Glyph transition enters the row's target; EOS terminates. BEFORE_TOKEN conditions EOS if a fitted start row contains it."",""M4"":""At token start sample pi, then sample that state's emission. EOS terminates "	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
