metric_id	final_classification	metric_version	family	estimator	uncertainty	null_models	weight_policy	missing_data_behavior	stability_status	transcription_stability	comparison_eligibility
LC1_LOCUS_TYPE_NMI	CORE	task79-v1	locus	NMI(token length class, documented locus type)	permutation null: mean 0.00346391, SD 0.000176273, n=1000	HN2	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
LC2_LABEL_TEXT_NMI	CORE	task79-v1	locus	NMI(token length class, label versus running text), conditional on folio	permutation null: mean 0.000654377, SD 0.000164118, n=1000	HN6	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	STABLE	CORPUS_COMPARABLE
LC5_IVTFF_I_NMI	SUPPORTING	task79-v1	locus	NMI for $I metadata association with token length/regime class	permutation null: mean 0.00567555, SD 0.000210487, n=1000	HN6	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	VOYNICH_ONLY_CONTEXT
LC5_IVTFF_X_NMI	SUPPORTING	task79-v1	locus	NMI for $X metadata association with token length/regime class	permutation null: mean 0.0207021, SD 0.00120065, n=1000	HN6	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	VOYNICH_ONLY_CONTEXT
LP1_RULE_SUPPORT_GINI	SUPPORTING	lp-ef-v1	lexical paradigm	Concentration of directed edit-rule support	see task75/task77 null distributions in raw_results.json	task75/task77 registered nulls	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	lp-ef-v1	lexical paradigm	Prefix-to-core normalized mutual information	see task75/task77 null distributions in raw_results.json	task75/task77 registered nulls	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	lp-ef-v1	lexical paradigm	Suffix-to-core normalized mutual information	see task75/task77 null distributions in raw_results.json	task75/task77 registered nulls	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
LS1_LINE_LENGTH_CV	SUPPORTING	task79-v1	line	SD/mean of tokens per non-empty physical/logical IVTFF line	95% folio-bootstrap interval [0.612218, 0.810571]	HN7	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
LS2_POSITIONAL_LEXICON_NMI	CORE	task79-v1	line	NMI(token identity, fixed five-class line position)	permutation null: mean 0.0791302, SD 0.000410827, n=1000	HN1	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	task79-v1	line	Absolute mean glyph-length difference between first and final tokens	permutation null: mean 0.026561, SD 0.0199345, n=1000	HN5	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	task79-v1	line	Adjacent exact-token repetition rate within lines	permutation null: mean 0.00889443, SD 0.00046254, n=1000	HN1	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
PF2_FOLIO_COHERENCE	CORE	task79-v1	folio	Difference between mean across-folio and within-folio standardized line-profile distance	permutation null: mean 0.032996, SD 0.00495547, n=1000	HN4	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	STABLE	CORPUS_COMPARABLE
PF3_ADJACENT_FOLIO_CONTINUITY	SUPPORTING	task79-v1	folio	Mean adjacent-folio vocabulary-profile similarity	permutation null: mean 0.562756, SD 0.0135005, n=1000	HN4	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
PF4_RECTO_VERSO_COHERENCE	SUPPORTING	task79-v1	folio	Same-leaf recto/verso profile similarity advantage	permutation null: mean 0.573592, SD 0.0183263, n=1000	HN4	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE; see PF4_LEAF_NULL.md for its own re-validated null (status now SUPPORTED under the leaf-paired null, task79c gate E)	CORPUS_COMPARABLE
PF5_WITHIN_FOLIO_PROGRESSION	CORE	task79-v1	folio	Mean absolute correlation of local line order with line length	permutation null: mean 0.213159, SD 0.0102255, n=1000	HN3	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
cs1/family-line-position	SUPPORTING	lp-ef-v1	cross-scale	P(edit family | line position) != P(edit family)			family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
cs2/prev-family-current-family	SUPPORTING	lp-ef-v1	cross-scale	P(current family | previous-token family) != P(current family)			family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
cs3/family-locus-type	SUPPORTING	lp-ef-v1	cross-scale	P(edit family | locus type) != P(edit family)	empirical permutation null, 100 replicates	N4 within-folio shuffle	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
cs4/family-currier	SUPPORTING	lp-ef-v1	cross-scale	P(edit family | Currier language) != P(edit family)			family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
cs4/family-section	SUPPORTING	lp-ef-v1	cross-scale	P(edit family | section) != P(edit family)			family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
cs5/local-adjacency-x-regime	SUPPORTING	lp-ef-v1	cross-scale	same-family adjacency rate differs across regimes			family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
cs6/family-diversity-x-line-length	SUPPORTING	lp-ef-v1	cross-scale	line-level family-composition entropy correlates with line length beyond a line-length-preserving global token shuffle	empirical permutation null, 100 replicates	N1 global token shuffle (fixed line-length sequence)	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
cs7/edit-distance-x-structural-distance	SUPPORTING	lp-ef-v1	cross-scale	raw glyph edit distance between two vocabulary types correlates with the minimum distance (in lines) between their occurrences, beyond a frequency-bin-matched permutation	empirical permutation null, 100 replicates	N6 frequency-bin-matched structural-distance permutation	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
