metric_id	family	regime	left_c01_expanded	right_c02_diplomatic	delta	status	reason
S02_TRANSITION_ZERO_DENSITY	S	TOP_250	0.97072	0.9732	0.00248	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	TOP_250	0.634963206388	0.632467051379	-0.00249615500906	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	TOP_250	0.08	0.111111111111	0.0311111111111	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	TOP_250	0.56	0.555555555556	-0.00444444444444	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	TOP_250	0.343553312929	0.342195027694	-0.00135828523435	COMPARABLE	
S01_TRANSITION_DENSITY	S	MATCHED_VOCAB	0.0105588782541	0.00991141529517	-0.000647462958906	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	MATCHED_VOCAB	0.989441121746	0.990088584705	0.000647462958906	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	MATCHED_VOCAB	0.609682877064	0.608762584709	-0.000920292354171	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	MATCHED_VOCAB	0.153846153846	0.1	-0.0538461538462	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	MATCHED_VOCAB	0.576923076923	0.5	-0.0769230769231	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	MATCHED_VOCAB	0.314989811605	0.315431223395	0.000441411790165	COMPARABLE	
S04_REPEATED_BIGRAM_TYPES	S		1055	923	-132	COMPARABLE	
S05_REPEATED_TRIGRAM_TYPES	S		271	208	-63	COMPARABLE	
L01_LINE_TOKEN_COUNT_MEAN	L					NOT_COMPARABLE	one side is not comparable
L02_LINE_SYMBOL_COUNT_MEAN	L					NOT_COMPARABLE	one side is not comparable
L03_BOUNDARY_SPECIALIZATION	L					NOT_COMPARABLE	one side is not comparable
L04_POSITION_PROGRESSION	L					NOT_COMPARABLE	one side is not comparable
L05_LINE_ASYMMETRY	L					NOT_COMPARABLE	one side is not comparable
L06_SAME_LINE_COOCCURRENCE_DENSITY	L					NOT_COMPARABLE	one side is not comparable
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	L					NOT_COMPARABLE	one side is not comparable
D_LINE_COHERENCE	D					NOT_COMPARABLE	one side is not comparable
D_LINE_EXCLUSIVITY	D					NOT_COMPARABLE	one side is not comparable
D_LINE_VARIANCE_SHARE	D					NOT_COMPARABLE	one side is not comparable
D_LINE_PROGRESSION	D					NOT_COMPARABLE	one side is not comparable
D_SECTION_COHERENCE	D		0.110901859608	0.102337227489	-0.00856463211855	COMPARABLE	
D_SECTION_EXCLUSIVITY	D		0.793268511593	0.807777470246	0.0145089586532	COMPARABLE	
D_SECTION_VARIANCE_SHARE	D		0.00190372364731	0.0023473369902	0.000443613342888	COMPARABLE	
D_SECTION_PROGRESSION	D		-0.00536882597197	-0.00833176672378	-0.00296294075181	COMPARABLE	
D_PAGE_COHERENCE	D		0.0681943924131	0.0610207992306	-0.00717359318255	COMPARABLE	
D_PAGE_EXCLUSIVITY	D		0.712191473448	0.730279546084	0.0180880726356	COMPARABLE	
D_PAGE_VARIANCE_SHARE	D		0.00985044317999	0.00920938163979	-0.000641061540204	COMPARABLE	
D_PAGE_PROGRESSION	D		-0.000142497387115	-0.000546206395823	-0.000403709008708	COMPARABLE	
D_LOCUS_COHERENCE	D		0.21780104712	0.203985607528	-0.013815439592	COMPARABLE	
D_LOCUS_EXCLUSIVITY	D		0.78219895288	0.796014392472	0.013815439592	COMPARABLE	
D_LOCUS_VARIANCE_SHARE	D		0.00220039224763	0.00261955819335	0.00041916594573	COMPARABLE	
D_LOCUS_PROGRESSION	D		-0.00233140032476	-0.00402371935144	-0.00169231902668	COMPARABLE	
