pattern_type	length	pattern	token_type_count	token_frequency_count	productivity_class
PREFIX	2	sp	2	2	RARE
PREFIX	2	sq	1	1	RARE
PREFIX	2	ss	13	25	PRODUCTIVE
PREFIX	2	st	1	1	RARE
PREFIX	2	sy	9	45	RARE
PREFIX	2	ta	51	192	PRODUCTIVE
PREFIX	2	tc	81	269	PRODUCTIVE
PREFIX	2	td	5	6	RARE
PREFIX	2	te	73	220	PRODUCTIVE
PREFIX	2	tg	1	1	RARE
PREFIX	2	th	2	2	RARE
PREFIX	2	ti	1	1	RARE
PREFIX	2	tl	1	1	RARE
PREFIX	2	to	96	214	PRODUCTIVE
PREFIX	2	ts	47	87	PRODUCTIVE
PREFIX	2	tu	1	1	RARE
PREFIX	2	ty	5	25	RARE
PREFIX	2	vo	2	2	RARE
PREFIX	2	vs	1	1	RARE
PREFIX	2	xa	3	4	RARE
PREFIX	2	xd	1	1	RARE
PREFIX	2	xo	5	5	RARE
PREFIX	2	ya	6	12	RARE
PREFIX	2	yc	90	224	PRODUCTIVE
PREFIX	2	yd	24	63	PRODUCTIVE
PREFIX	2	ye	6	6	RARE
PREFIX	2	yf	17	22	PRODUCTIVE
PREFIX	2	yh	1	1	RARE
PREFIX	2	yk	182	632	PRODUCTIVE
PREFIX	2	yl	6	7	RARE
PREFIX	2	yo	25	31	PRODUCTIVE
PREFIX	2	yp	41	78	PRODUCTIVE
PREFIX	2	yq	4	4	RARE
PREFIX	2	yr	2	2	RARE
PREFIX	2	ys	45	90	PRODUCTIVE
PREFIX	2	yt	139	514	PRODUCTIVE
PREFIX	2	yy	1	1	RARE
PREFIX	2	za	1	1	RARE
PREFIX	2	ze	1	1	RARE
PREFIX	3	130	1	1	RARE
PREFIX	3	131	1	1	RARE
PREFIX	3	132	1	10	RARE
PREFIX	3	133	1	11	RARE
PREFIX	3	134	1	1	RARE
PREFIX	3	135	1	2	RARE
PREFIX	3	136	1	2	RARE
PREFIX	3	137	1	1	RARE
PREFIX	3	138	1	3	RARE
PREFIX	3	139	1	1	RARE
PREFIX	3	140	1	4	RARE
PREFIX	3	145	1	2	RARE
PREFIX	3	146	1	2	RARE
PREFIX	3	147	1	1	RARE
PREFIX	3	148	1	2	RARE
PREFIX	3	149	1	1	RARE
PREFIX	3	150	1	2	RARE
PREFIX	3	151	1	1	RARE
PREFIX	3	152	1	3	RARE
PREFIX	3	153	1	1	RARE
PREFIX	3	154	1	2	RARE
PREFIX	3	155	1	1	RARE
PREFIX	3	156	1	1	RARE
PREFIX	3	159	1	1	RARE
PREFIX	3	161	1	1	RARE
PREFIX	3	162	1	4	RARE
PREFIX	3	163	1	1	RARE
PREFIX	3	164	1	1	RARE
PREFIX	3	165	1	1	RARE
PREFIX	3	166	1	2	RARE
PREFIX	3	167	1	3	RARE
PREFIX	3	168	1	2	RARE
PREFIX	3	169	1	5	RARE
PREFIX	3	170	1	5	RARE
PREFIX	3	171	1	5	RARE
PREFIX	3	172	1	6	RARE
PREFIX	3	174	1	1	RARE
PREFIX	3	175	1	6	RARE
PREFIX	3	176	1	3	RARE
PREFIX	3	177	1	1	RARE
PREFIX	3	178	1	2	RARE
PREFIX	3	179	1	1	RARE
PREFIX	3	180	1	1	RARE
PREFIX	3	181	1	1	RARE
PREFIX	3	182	1	1	RARE
PREFIX	3	183	1	1	RARE
PREFIX	3	184	1	1	RARE
PREFIX	3	185	1	2	RARE
PREFIX	3	186	1	1	RARE
PREFIX	3	187	1	1	RARE
PREFIX	3	188	1	1	RARE
PREFIX	3	189	1	1	RARE
PREFIX	3	190	1	1	RARE
PREFIX	3	191	1	4	RARE
PREFIX	3	192	1	4	RARE
PREFIX	3	193	1	1	RARE
PREFIX	3	194	1	1	RARE
PREFIX	3	195	1	1	RARE
PREFIX	3	196	1	5	RARE
PREFIX	3	197	1	2	RARE
PREFIX	3	199	1	1	RARE
PREFIX	3	200	1	1	RARE
PREFIX	3	201	1	1	RARE
PREFIX	3	203	1	1	RARE
PREFIX	3	204	1	3	RARE
PREFIX	3	206	1	4	RARE
PREFIX	3	207	1	1	RARE
PREFIX	3	208	1	2	RARE
PREFIX	3	210	1	1	RARE
PREFIX	3	211	1	1	RARE
PREFIX	3	212	1	1	RARE
PREFIX	3	213	1	1	RARE
PREFIX	3	214	1	1	RARE
PREFIX	3	216	1	1	RARE
PREFIX	3	231	1	1	RARE
PREFIX	3	232	1	1	RARE
PREFIX	3	233	1	1	RARE
PREFIX	3	234	1	1	RARE
PREFIX	3	240	1	2	RARE
PREFIX	3	241	1	1	RARE
PREFIX	3	242	1	1	RARE
PREFIX	3	243	1	3	RARE
PREFIX	3	244	1	1	RARE
PREFIX	3	245	1	1	RARE
PREFIX	3	246	1	4	RARE
PREFIX	3	ach	1	1	RARE
PREFIX	3	act	2	2	RARE
PREFIX	3	ada	7	7	RARE
PREFIX	3	adc	1	1	RARE
PREFIX	3	ade	1	1	RARE
PREFIX	3	ado	2	2	RARE
PREFIX	3	aee	1	1	RARE
PREFIX	3	afa	1	1	RARE
PREFIX	3	aga	1	1	RARE
PREFIX	3	aic	1	1	RARE
PREFIX	3	aif	2	2	RARE
PREFIX	3	aig	1	2	RARE
PREFIX	3	aii	38	625	PRODUCTIVE
PREFIX	3	aik	6	8	RARE
PREFIX	3	ail	2	8	RARE
PREFIX	3	aim	1	7	RARE
PREFIX	3	ain	6	121	RARE
PREFIX	3	aio	1	1	RARE
PREFIX	3	aip	3	3	RARE
PREFIX	3	air	14	105	PRODUCTIVE
PREFIX	3	ais	2	4	RARE
PREFIX	3	ait	2	5	RARE
PREFIX	3	aiy	1	2	RARE
PREFIX	3	aja	1	1	RARE
PREFIX	3	ajy	1	1	RARE
PREFIX	3	aka	6	7	RARE
PREFIX	3	akc	2	2	RARE
PREFIX	3	ake	2	2	RARE
PREFIX	3	aky	1	4	RARE
PREFIX	3	ala	13	45	PRODUCTIVE
PREFIX	3	alc	17	29	PRODUCTIVE
PREFIX	3	ald	9	30	RARE
PREFIX	3	ale	3	3	RARE
PREFIX	3	alf	2	2	RARE
PREFIX	3	alg	1	1	RARE
PREFIX	3	ali	1	1	RARE
PREFIX	3	alk	17	35	PRODUCTIVE
PREFIX	3	alo	26	55	PRODUCTIVE
PREFIX	3	alp	2	2	RARE
PREFIX	3	als	9	17	RARE
PREFIX	3	alt	2	2	RARE
PREFIX	3	aly	3	30	RARE
PREFIX	3	ama	2	2	RARE
PREFIX	3	amc	2	2	RARE
PREFIX	3	amd	2	2	RARE
PREFIX	3	amg	1	1	RARE
PREFIX	3	amo	2	2	RARE
PREFIX	3	amy	1	1	RARE
PREFIX	3	anl	1	1	RARE
PREFIX	3	aor	1	1	RARE
PREFIX	3	apc	1	1	RARE
PREFIX	3	ape	1	1	RARE
PREFIX	3	apo	1	1	RARE
PREFIX	3	ara	24	76	PRODUCTIVE
PREFIX	3	arc	6	6	RARE
PREFIX	3	ard	1	1	RARE
PREFIX	3	arg	1	1	RARE
PREFIX	3	ari	1	1	RARE
PREFIX	3	ark	2	2	RARE
PREFIX	3	arl	1	2	RARE
PREFIX	3	aro	26	53	PRODUCTIVE
PREFIX	3	ars	3	3	RARE
PREFIX	3	arx	1	1	RARE
PREFIX	3	ary	2	27	RARE
PREFIX	3	ase	2	2	RARE
PREFIX	3	ash	1	1	RARE
PREFIX	3	asi	1	1	RARE
PREFIX	3	asy	1	1	RARE
PREFIX	3	ata	3	3	RARE
PREFIX	3	atc	1	1	RARE
PREFIX	3	ate	1	1	RARE
PREFIX	3	ato	1	1	RARE
PREFIX	3	aty	1	1	RARE
PREFIX	3	axo	1	1	RARE
PREFIX	3	azg	1	1	RARE
PREFIX	3	cae	1	1	RARE
PREFIX	3	cfa	2	2	RARE
PREFIX	3	cfh	19	32	PRODUCTIVE
PREFIX	3	cha	48	289	PRODUCTIVE
PREFIX	3	chc	85	427	PRODUCTIVE
PREFIX	3	chd	36	275	PRODUCTIVE
PREFIX	3	che	424	2857	PRODUCTIVE
PREFIX	3	chf	7	7	RARE
PREFIX	3	chh	2	2	RARE
PREFIX	3	chi	2	2	RARE
PREFIX	3	chk	45	151	PRODUCTIVE
PREFIX	3	chl	14	46	PRODUCTIVE
PREFIX	3	cho	323	1703	PRODUCTIVE
PREFIX	3	chp	24	30	PRODUCTIVE
PREFIX	3	chr	2	9	RARE
PREFIX	3	chs	18	43	PRODUCTIVE
PREFIX	3	cht	37	73	PRODUCTIVE
PREFIX	3	chx	1	1	RARE
PREFIX	3	chy	25	200	PRODUCTIVE
PREFIX	3	chz	1	1	RARE
PREFIX	3	cka	2	2	RARE
PREFIX	3	ckc	3	3	RARE
PREFIX	3	cke	2	2	RARE
PREFIX	3	ckh	53	185	PRODUCTIVE
PREFIX	3	cko	1	1	RARE
PREFIX	3	cky	1	3	RARE
PREFIX	3	coa	1	1	RARE
PREFIX	3	coy	1	1	RARE
PREFIX	3	cpa	1	1	RARE
PREFIX	3	cpc	1	1	RARE
PREFIX	3	cpe	1	1	RARE
PREFIX	3	cph	55	124	PRODUCTIVE
PREFIX	3	cpo	1	1	RARE
PREFIX	3	cpy	1	1	RARE
PREFIX	3	ctc	2	3	RARE
PREFIX	3	cte	4	4	RARE
PREFIX	3	cth	82	482	PRODUCTIVE
PREFIX	3	cti	1	1	RARE
PREFIX	3	cto	5	10	RARE
PREFIX	3	cts	1	1	RARE
PREFIX	3	cty	1	4	RARE
PREFIX	3	daa	2	2	RARE
PREFIX	3	dac	1	1	RARE
PREFIX	3	dad	3	4	RARE
PREFIX	3	dag	2	4	RARE
PREFIX	3	dai	87	1346	PRODUCTIVE
PREFIX	3	dak	2	3	RARE
PREFIX	3	dal	63	421	PRODUCTIVE
PREFIX	3	dam	4	91	RARE
PREFIX	3	dan	1	20	RARE
PREFIX	3	dao	1	1	RARE
PREFIX	3	dar	52	421	PRODUCTIVE
PREFIX	3	das	6	10	RARE
PREFIX	3	dat	2	2	RARE
PREFIX	3	day	2	2	RARE
PREFIX	3	dca	1	1	RARE
PREFIX	3	dch	95	290	PRODUCTIVE
PREFIX	3	dck	2	2	RARE
PREFIX	3	dct	1	1	RARE
PREFIX	3	dda	3	3	RARE
PREFIX	3	ddl	1	1	RARE
PREFIX	3	ddo	1	2	RARE
PREFIX	3	dds	1	1	RARE
PREFIX	3	ddy	1	2	RARE
PREFIX	3	dea	1	1	RARE
PREFIX	3	dec	1	1	RARE
PREFIX	3	ded	1	2	RARE
PREFIX	3	dee	20	30	PRODUCTIVE
PREFIX	3	def	1	1	RARE
PREFIX	3	del	1	1	RARE
PREFIX	3	deo	2	2	RARE
PREFIX	3	dep	1	1	RARE
PREFIX	3	des	4	4	RARE
PREFIX	3	dey	1	1	RARE
PREFIX	3	dgr	1	1	RARE
PREFIX	3	dii	1	1	RARE
PREFIX	3	dka	5	5	RARE
PREFIX	3	dkc	2	2	RARE
PREFIX	3	dke	6	7	RARE
PREFIX	3	dko	2	2	RARE
PREFIX	3	dks	3	4	RARE
PREFIX	3	dky	1	1	RARE
PREFIX	3	dla	3	4	RARE
PREFIX	3	dlc	2	3	RARE
PREFIX	3	dld	1	1	RARE
PREFIX	3	dlk	1	1	RARE
PREFIX	3	dll	1	1	RARE
PREFIX	3	dlo	3	3	RARE
PREFIX	3	dlr	1	1	RARE
PREFIX	3	dls	2	3	RARE
PREFIX	3	dly	1	2	RARE
PREFIX	3	doa	4	5	RARE
PREFIX	3	doc	5	5	RARE
PREFIX	3	dod	6	14	RARE
PREFIX	3	doe	5	5	RARE
PREFIX	3	doi	7	26	RARE
PREFIX	3	dok	7	8	RARE
PREFIX	3	dol	43	164	PRODUCTIVE
PREFIX	3	dom	1	7	RARE
PREFIX	3	dor	14	85	PRODUCTIVE
PREFIX	3	dos	3	3	RARE
PREFIX	3	dot	3	4	RARE
PREFIX	3	dpc	2	3	RARE
PREFIX	3	dpy	1	1	RARE
PREFIX	3	dsc	1	1	RARE
PREFIX	3	dse	1	1	RARE
PREFIX	3	dsh	38	139	PRODUCTIVE
PREFIX	3	dta	1	1	RARE
PREFIX	3	dtc	1	1	RARE
PREFIX	3	dte	3	3	RARE
PREFIX	3	dto	1	1	RARE
PREFIX	3	dts	1	1	RARE
PREFIX	3	dxa	1	1	RARE
PREFIX	3	dya	2	2	RARE
PREFIX	3	dyc	5	6	RARE
PREFIX	3	dyd	3	5	RARE
PREFIX	3	dye	1	1	RARE
PREFIX	3	dyf	1	1	RARE
PREFIX	3	dyk	13	20	PRODUCTIVE
PREFIX	3	dyl	2	2	RARE
PREFIX	3	dym	1	1	RARE
PREFIX	3	dyo	1	1	RARE
PREFIX	3	dyp	1	1	RARE
PREFIX	3	dys	1	3	RARE
PREFIX	3	dyt	14	19	PRODUCTIVE
PREFIX	3	eai	1	1	RARE
PREFIX	3	ear	1	2	RARE
PREFIX	3	ech	2	3	RARE
PREFIX	3	eck	1	1	RARE
PREFIX	3	edy	1	4	RARE
PREFIX	3	eea	1	1	RARE
PREFIX	3	eec	3	4	RARE
PREFIX	3	eed	3	7	RARE
PREFIX	3	eee	17	33	PRODUCTIVE
PREFIX	3	eei	1	1	RARE
PREFIX	3	eek	1	1	RARE
PREFIX	3	een	1	1	RARE
PREFIX	3	eeo	10	11	PRODUCTIVE
PREFIX	3	eer	1	1	RARE
PREFIX	3	ees	4	10	RARE
PREFIX	3	eet	1	1	RARE
PREFIX	3	eey	2	14	RARE
PREFIX	3	efa	1	1	RARE
PREFIX	3	efc	1	1	RARE
PREFIX	3	eka	1	1	RARE
PREFIX	3	ekc	1	1	RARE
PREFIX	3	eke	2	2	RARE
PREFIX	3	eko	1	1	RARE
PREFIX	3	eks	1	1	RARE
PREFIX	3	eky	1	2	RARE
PREFIX	3	eoc	1	1	RARE
PREFIX	3	eod	2	2	RARE
PREFIX	3	eoe	1	1	RARE
PREFIX	3	eoi	2	2	RARE
PREFIX	3	eok	1	1	RARE
PREFIX	3	eol	2	4	RARE
PREFIX	3	eor	1	2	RARE
PREFIX	3	eos	1	1	RARE
PREFIX	3	epa	3	3	RARE
PREFIX	3	epc	1	1	RARE
PREFIX	3	eph	1	1	RARE
PREFIX	3	ese	3	3	RARE
PREFIX	3	esh	1	1	RARE
PREFIX	3	eta	2	3	RARE
PREFIX	3	etc	3	3	RARE
PREFIX	3	ete	3	3	RARE
PREFIX	3	eth	1	1	RARE
PREFIX	3	ety	2	7	RARE
PREFIX	3	eyk	1	1	RARE
PREFIX	3	fac	1	1	RARE
PREFIX	3	fai	4	4	RARE
PREFIX	3	fam	1	1	RARE
PREFIX	3	far	4	6	RARE
PREFIX	3	fas	1	1	RARE
PREFIX	3	fch	40	62	PRODUCTIVE
PREFIX	3	fde	1	1	RARE
PREFIX	3	fdy	1	1	RARE
PREFIX	3	foa	1	2	RARE
PREFIX	3	foc	1	1	RARE
PREFIX	3	fod	2	2	RARE
PREFIX	3	foe	1	1	RARE
PREFIX	3	foi	1	1	RARE
PREFIX	3	fol	11	13	PRODUCTIVE
PREFIX	3	for	1	1	RARE
PREFIX	3	fsc	1	1	RARE
PREFIX	3	fsh	7	8	RARE
PREFIX	3	fyc	1	1	RARE
PREFIX	3	fyd	1	1	RARE
PREFIX	3	fys	1	1	RARE
PREFIX	3	gii	1	1	RARE
PREFIX	3	hai	2	2	RARE
PREFIX	3	har	1	1	RARE
PREFIX	3	hda	2	2	RARE
PREFIX	3	hde	1	1	RARE
PREFIX	3	hdy	1	2	RARE
PREFIX	3	hea	1	1	RARE
PREFIX	3	hef	1	1	RARE
PREFIX	3	heo	1	1	RARE
PREFIX	3	hey	1	6	RARE
PREFIX	3	hhd	1	1	RARE
PREFIX	3	hhe	1	1	RARE
PREFIX	3	hho	1	1	RARE
PREFIX	3	hhy	1	1	RARE
PREFIX	3	hkh	1	1	RARE
PREFIX	3	hod	3	3	RARE
PREFIX	3	hoe	1	1	RARE
PREFIX	3	hol	3	3	RARE
PREFIX	3	hoo	1	1	RARE
PREFIX	3	hox	1	1	RARE
PREFIX	3	hsc	1	1	RARE
PREFIX	3	iha	1	1	RARE
PREFIX	3	iii	1	1	RARE
PREFIX	3	iim	1	1	RARE
PREFIX	3	iin	1	6	RARE
PREFIX	3	iir	3	3	RARE
PREFIX	3	ikh	2	2	RARE
PREFIX	3	ind	1	1	RARE
PREFIX	3	iok	1	1	RARE
PREFIX	3	ios	1	1	RARE
PREFIX	3	ith	5	5	RARE
PREFIX	3	jaj	1	1	RARE
PREFIX	3	jei	1	1	RARE
PREFIX	3	kag	1	2	RARE
PREFIX	3	kai	19	155	PRODUCTIVE
PREFIX	3	kal	11	44	PRODUCTIVE
PREFIX	3	kam	2	9	RARE
PREFIX	3	kan	1	2	RARE
PREFIX	3	kao	1	1	RARE
PREFIX	3	kar	13	77	PRODUCTIVE
PREFIX	3	kas	2	3	RARE
PREFIX	3	kcc	1	1	RARE
PREFIX	3	kch	72	251	PRODUCTIVE
PREFIX	3	kcy	1	1	RARE
PREFIX	3	kdc	1	1	RARE
PREFIX	3	kea	2	3	RARE
PREFIX	3	kec	7	18	RARE
PREFIX	3	ked	11	61	PRODUCTIVE
PREFIX	3	kee	51	239	PRODUCTIVE
PREFIX	3	kei	1	1	RARE
PREFIX	3	kel	1	1	RARE
PREFIX	3	keo	19	78	PRODUCTIVE
PREFIX	3	kes	7	7	RARE
PREFIX	3	key	1	16	RARE
PREFIX	3	kha	1	1	RARE
PREFIX	3	khe	1	1	RARE
PREFIX	3	kii	1	1	RARE
PREFIX	3	koa	5	5	RARE
PREFIX	3	koc	4	4	RARE
PREFIX	3	kod	13	23	PRODUCTIVE
PREFIX	3	koe	5	5	RARE
PREFIX	3	koi	1	5	RARE
PREFIX	3	kok	2	2	RARE
PREFIX	3	kol	24	70	PRODUCTIVE
PREFIX	3	kom	1	3	RARE
PREFIX	3	koo	2	3	RARE
PREFIX	3	kor	11	38	PRODUCTIVE
PREFIX	3	kos	5	8	RARE
PREFIX	3	kot	4	4	RARE
PREFIX	3	ksa	1	1	RARE
PREFIX	3	kse	1	1	RARE
PREFIX	3	ksh	28	70	PRODUCTIVE
PREFIX	3	kso	1	1	RARE
PREFIX	3	kyd	2	2	RARE
PREFIX	3	kyt	1	1	RARE
PREFIX	3	lag	1	1	RARE
PREFIX	3	lai	5	22	RARE
PREFIX	3	lal	3	9	RARE
PREFIX	3	lam	1	5	RARE
PREFIX	3	lar	3	10	RARE
PREFIX	3	las	1	1	RARE
PREFIX	3	lch	61	317	PRODUCTIVE
PREFIX	3	lda	8	16	RARE
PREFIX	3	ldc	1	1	RARE
PREFIX	3	ldo	2	3	RARE
PREFIX	3	ldy	2	26	RARE
PREFIX	3	lee	4	4	RARE
PREFIX	3	lfa	1	1	RARE
PREFIX	3	lfc	6	8	RARE
PREFIX	3	lfo	1	1	RARE
PREFIX	3	lka	13	136	PRODUCTIVE
PREFIX	3	lkc	13	39	PRODUCTIVE
PREFIX	3	lke	57	196	PRODUCTIVE
PREFIX	3	lkl	6	12	RARE
PREFIX	3	lko	5	10	RARE
