context_AB	continuation_C	count_ABC	count_AB	p_C_given_AB	count_BC	count_B_as_predecessor	p_C_given_B	probability_difference	observed_status
146 chedy	shcthy	1	1	1	1	472	0.002118644068	0.9978813559	OBSERVED
147 chain	deeaiir	1	1	1	1	18	0.05555555556	0.9444444444	OBSERVED
148 har	y	1	1	1	1	1	1	0	OBSERVED
148 hy	daiin	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
150 eectheey	otychdy	1	1	1	1	1	1	0	OBSERVED
151 dan	qorain	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
152 aiin	dolsain	1	1	1	1	469	0.002132196162	0.9978678038	OBSERVED
152 ar	qokchd	1	1	1	1	379	0.002638522427	0.9973614776	OBSERVED
153 or	daiin	1	1	1	2	375	0.005333333333	0.9946666667	OBSERVED
154 ar	oky	1	1	1	4	379	0.01055408971	0.9894459103	OBSERVED
154 shol	qokol	1	1	1	3	182	0.01648351648	0.9835164835	OBSERVED
155 ho	ofaiin	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
156 cho	cto	1	1	1	1	83	0.01204819277	0.9879518072	OBSERVED
159 chair	oly	1	1	1	1	2	0.5	0.5	OBSERVED
161 char	ctham	1	1	1	1	82	0.01219512195	0.987804878	OBSERVED
162 136	chdoly	1	1	1	1	2	0.5	0.5	OBSERVED
162 ho	aiin	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
162 hy	cheedy	1	2	0.5	1	14	0.07142857143	0.4285714286	OBSERVED
162 hy	dal	1	2	0.5	1	14	0.07142857143	0.4285714286	OBSERVED
163 s	choraiin	1	1	1	2	311	0.006430868167	0.9935691318	OBSERVED
165 dam	or	1	1	1	1	32	0.03125	0.96875	OBSERVED
166 dy	okedy	1	1	1	2	182	0.01098901099	0.989010989	OBSERVED
166 y	kedy	1	1	1	3	281	0.01067615658	0.9893238434	OBSERVED
167 chal	chchs	1	1	1	1	42	0.02380952381	0.9761904762	OBSERVED
167 oeeodc	196	1	1	1	1	1	1	0	OBSERVED
167 olchc	133	1	1	1	1	1	1	0	OBSERVED
168 oto	cho	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
168 y	oty	1	1	1	1	281	0.003558718861	0.9964412811	OBSERVED
169 v	t	4	4	1	4	11	0.3636363636	0.6363636364	OBSERVED
170 171	y	4	4	1	4	5	0.8	0.2	OBSERVED
170 c	f	1	1	1	1	49	0.02040816327	0.9795918367	OBSERVED
171 ar	o	1	1	1	2	379	0.005277044855	0.9947229551	OBSERVED
171 y	I	1	4	0.25	1	281	0.003558718861	0.2464412811	OBSERVED
171 y	c	3	4	0.75	3	281	0.01067615658	0.7393238434	OBSERVED
172 daiin	aiin	1	1	1	2	719	0.002781641168	0.9972183588	OBSERVED
172 o	l	3	3	1	27	207	0.1304347826	0.8695652174	OBSERVED
174 sal	dol	1	1	1	1	36	0.02777777778	0.9722222222	OBSERVED
175 ykeedain	qokeedy	1	1	1	1	1	1	0	OBSERVED
176 hdy	odar	1	1	1	1	1	1	0	OBSERVED
176 orain	ol	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
177 ykedy	olfchedy	1	1	1	1	19	0.05263157895	0.9473684211	OBSERVED
178 ar	choetey	1	1	1	1	379	0.002638522427	0.9973614776	OBSERVED
178 y	ofar	1	1	1	1	281	0.003558718861	0.9964412811	OBSERVED
179 hy	ches	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
180 cheey	daiin	1	1	1	9	178	0.05056179775	0.9494382022	OBSERVED
181 hdai	133	1	1	1	1	1	1	0	OBSERVED
183 olc	133	1	1	1	2	2	1	0	OBSERVED
184 cheolain	ypchey	1	1	1	1	1	1	0	OBSERVED
185 arally	oteedal	1	1	1	1	1	1	0	OBSERVED
186 chy	ypcheedy	1	1	1	1	154	0.006493506494	0.9935064935	OBSERVED
187 ar	ar	1	1	1	9	379	0.02374670185	0.9762532982	OBSERVED
188 aiin	okarol	1	1	1	1	469	0.002132196162	0.9978678038	OBSERVED
190 cheekchy	qotchy	1	1	1	1	1	1	0	OBSERVED
191 191	hy	1	1	1	2	4	0.5	0.5	OBSERVED
191 hy	cty	1	2	0.5	1	14	0.07142857143	0.4285714286	OBSERVED
191 hy	qokeol	1	2	0.5	1	14	0.07142857143	0.4285714286	OBSERVED
192 chy	130	1	1	1	1	154	0.006493506494	0.9935064935	OBSERVED
193 o	ar	1	1	1	3	207	0.01449275362	0.9855072464	OBSERVED
194 ar	talody	1	1	1	1	379	0.002638522427	0.9973614776	OBSERVED
196 h	sol	1	1	1	1	5	0.2	0.8	OBSERVED
196 hey	shol	1	1	1	1	4	0.25	0.75	OBSERVED
196 hy	choty	1	2	0.5	1	14	0.07142857143	0.4285714286	OBSERVED
196 hy	otcheey	1	2	0.5	1	14	0.07142857143	0.4285714286	OBSERVED
197 amdy	otar	1	1	1	1	1	1	0	OBSERVED
199 aiin	dar	1	1	1	3	469	0.006396588486	0.9936034115	OBSERVED
200 phol	chory	1	1	1	1	1	1	0	OBSERVED
201 or	or	1	1	1	8	375	0.02133333333	0.9786666667	OBSERVED
203 iin	dchor	1	1	1	1	4	0.25	0.75	OBSERVED
204 chol	ykar	1	1	1	2	392	0.005102040816	0.9948979592	OBSERVED
204 g	dcheeo	1	1	1	1	4	0.25	0.75	OBSERVED
204 teeo	y	1	1	1	1	2	0.5	0.5	OBSERVED
206 aiin	cheey	1	1	1	5	469	0.01066098081	0.9893390192	OBSERVED
206 ais	alod	1	1	1	1	2	0.5	0.5	OBSERVED
206 ar	a	1	1	1	1	379	0.002638522427	0.9973614776	OBSERVED
207 polkain	octhor	1	1	1	1	1	1	0	OBSERVED
212 shees	opcholalaiin	1	1	1	1	10	0.1	0.9	OBSERVED
213 olc	133	1	1	1	2	2	1	0	OBSERVED
216 hod	sooc	1	1	1	1	1	1	0	OBSERVED
231 232	233	1	1	1	1	1	1	0	OBSERVED
232 233	234	1	1	1	1	1	1	0	OBSERVED
240 chdy	otoar	1	1	1	1	127	0.007874015748	0.9921259843	OBSERVED
240 chy	qoteor	1	1	1	1	154	0.006493506494	0.9935064935	OBSERVED
241 cho	242	1	1	1	1	83	0.01204819277	0.9879518072	OBSERVED
243 cho	rchseesy	1	1	1	1	83	0.01204819277	0.9879518072	OBSERVED
245 hy	dan	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
246 k	191	1	1	1	1	17	0.05882352941	0.9411764706	OBSERVED
246 key	or	1	1	1	1	16	0.0625	0.9375	OBSERVED
246 khey	pchodaiin	1	1	1	1	1	1	0	OBSERVED
246 thhey	otydal	1	1	1	1	1	1	0	OBSERVED
I 172	o	1	1	1	3	4	0.75	0.25	OBSERVED
a 175	ykeedain	1	1	1	1	1	1	0	OBSERVED
a daiin	ckhy	1	1	1	4	719	0.005563282337	0.9944367177	OBSERVED
a dchy	otoly	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
a kain	char	1	1	1	1	40	0.025	0.975	OBSERVED
a r	aiin	1	4	0.25	25	161	0.1552795031	0.09472049689	OBSERVED
a r	al	1	4	0.25	5	161	0.03105590062	0.2189440994	OBSERVED
a r	cthey	1	4	0.25	1	161	0.006211180124	0.2437888199	OBSERVED
a r	opaiin	1	4	0.25	1	161	0.006211180124	0.2437888199	OBSERVED
a ral	olaiin	1	1	1	1	12	0.08333333333	0.9166666667	OBSERVED
a t	l	1	1	1	1	12	0.08333333333	0.9166666667	OBSERVED
acheody shol	shedy	1	1	1	1	182	0.005494505495	0.9945054945	OBSERVED
adair sheeo	ckhy	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
adal dar	okeeas	1	1	1	1	277	0.003610108303	0.9963898917	OBSERVED
adar otar	otes	1	1	1	1	146	0.006849315068	0.9931506849	OBSERVED
adchey ofeeo	lt	1	1	1	1	1	1	0	OBSERVED
adeeody ykecthey	chedy	1	1	1	1	1	1	0	OBSERVED
adoldy olaiir	sheol	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
ador aiin	ofcheefar	1	1	1	1	469	0.002132196162	0.9978678038	OBSERVED
ai he	alys	1	1	1	1	1	1	0	OBSERVED
aig kcheo	cfhdy	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aig oaral	alor	1	1	1	1	2	0.5	0.5	OBSERVED
aiichy dol	aiin	1	1	1	1	103	0.009708737864	0.9902912621	OBSERVED
aiidy okchd	otar	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
aiiikheedy shalkaiin	kairy	1	1	1	1	1	1	0	OBSERVED
aiiiky ral	cheol	1	1	1	1	12	0.08333333333	0.9166666667	OBSERVED
aiiin al	ody	1	1	1	2	233	0.008583690987	0.991416309	OBSERVED
aiiin chckhedy	sheol	1	1	1	1	10	0.1	0.9	OBSERVED
aiiin chedy	qol	1	1	1	13	472	0.02754237288	0.9724576271	OBSERVED
aiiin chkain	sham	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
aiiin chol	olkchey	1	1	1	1	392	0.002551020408	0.9974489796	OBSERVED
aiiin chotchdy	qodair	1	1	1	1	1	1	0	OBSERVED
aiiin chpaiikey	sheo	1	1	1	1	1	1	0	OBSERVED
aiiin o	kaiin	1	2	0.5	4	207	0.0193236715	0.4806763285	OBSERVED
aiiin o	ky	1	2	0.5	3	207	0.01449275362	0.4855072464	OBSERVED
aiiin oeey	ldaiiin	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
aiiin ofoly	oroly	1	1	1	1	1	1	0	OBSERVED
aiiin okair	lldy	1	1	1	1	20	0.05	0.95	OBSERVED
aiiin okal	ol	1	1	1	3	137	0.02189781022	0.9781021898	OBSERVED
aiiin okeedy	qokcheey	1	1	1	1	99	0.0101010101	0.9898989899	OBSERVED
aiiin okeeo	l	1	1	1	6	20	0.3	0.7	OBSERVED
aiiin okeey	l	1	1	1	5	177	0.02824858757	0.9717514124	OBSERVED
aiiin okey	daiin	1	1	1	1	60	0.01666666667	0.9833333333	OBSERVED
aiiin oky	char	1	1	1	1	74	0.01351351351	0.9864864865	OBSERVED
aiiin ol	okaiin	1	3	0.3333333333	6	521	0.01151631478	0.3218170186	OBSERVED
aiiin ol	qotody	1	3	0.3333333333	1	521	0.001919385797	0.3314139475	OBSERVED
aiiin ol	shedy	1	3	0.3333333333	24	521	0.04606525912	0.2872680742	OBSERVED
aiiin olkaiin	oty	1	1	1	1	29	0.03448275862	0.9655172414	OBSERVED
aiiin otaiin	okal	1	1	1	2	142	0.01408450704	0.985915493	OBSERVED
aiiin oteey	otal	1	1	1	2	137	0.01459854015	0.9854014599	OBSERVED
aiiin qckhear	shoifhy	1	1	1	1	1	1	0	OBSERVED
aiiin qokaiin	ar	1	3	0.3333333333	3	253	0.01185770751	0.3214756258	OBSERVED
aiiin qokaiin	cholkar	1	3	0.3333333333	1	253	0.00395256917	0.3293807642	OBSERVED
aiiin qokaiin	shol	1	3	0.3333333333	2	253	0.00790513834	0.325428195	OBSERVED
aiiin qoteeos	aiin	1	1	1	1	1	1	0	OBSERVED
aiiin saiin	okaiin	1	1	1	2	117	0.01709401709	0.9829059829	OBSERVED
aiiin shcthy	pchey	1	1	1	1	31	0.03225806452	0.9677419355	OBSERVED
aiiin shees	qopdaiin	1	1	1	1	10	0.1	0.9	OBSERVED
aiiin shety	otey	1	1	1	1	8	0.125	0.875	OBSERVED
aiiin shey	qodaiiin	1	1	1	1	265	0.003773584906	0.9962264151	OBSERVED
aiiin tail	odar	1	1	1	1	1	1	0	OBSERVED
aiiin yteeedy	chedy	1	1	1	1	1	1	0	OBSERVED
aiiin ytey	tol	1	1	1	1	12	0.08333333333	0.9166666667	OBSERVED
aiiiro lcheedy	lcheedy	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
aiijy cpheesy	okal	1	1	1	1	1	1	0	OBSERVED
aiildy dar	oiin	1	1	1	1	277	0.003610108303	0.9963898917	OBSERVED
aiin adeeody	ykecthey	1	1	1	1	1	1	0	OBSERVED
aiin aiir	oeal	1	1	1	1	29	0.03448275862	0.9655172414	OBSERVED
aiin aikhedy	chkaiin	1	1	1	1	1	1	0	OBSERVED
aiin aiy	dam	1	1	1	1	2	0.5	0.5	OBSERVED
aiin al	chol	1	6	0.1666666667	3	233	0.01287553648	0.1537911302	OBSERVED
aiin al	dar	1	6	0.1666666667	5	233	0.02145922747	0.1452074392	OBSERVED
aiin al	dol	1	6	0.1666666667	1	233	0.004291845494	0.1623748212	OBSERVED
aiin al	odaiin	1	6	0.1666666667	2	233	0.008583690987	0.1580829757	OBSERVED
aiin al	y	2	6	0.3333333333	2	233	0.008583690987	0.3247496423	OBSERVED
aiin alchl	sheey	1	1	1	1	1	1	0	OBSERVED
aiin alkchdy	qotal	1	1	1	1	1	1	0	OBSERVED
aiin alol	cheo	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
aiin aly	kar	1	1	1	1	16	0.0625	0.9375	OBSERVED
aiin ar	ain	1	2	0.5	7	379	0.01846965699	0.481530343	OBSERVED
aiin ar	am	1	2	0.5	7	379	0.01846965699	0.481530343	OBSERVED
aiin aral	daiir	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
aiin arary	sheey	1	1	1	1	2	0.5	0.5	OBSERVED
aiin arol	ocheedy	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
aiin c	178	1	1	1	1	49	0.02040816327	0.9795918367	OBSERVED
aiin cfheey	ols	1	1	1	1	1	1	0	OBSERVED
aiin chaiin	ckhy	1	1	1	1	38	0.02631578947	0.9736842105	OBSERVED
aiin chain	yols	1	1	1	1	18	0.05555555556	0.9444444444	OBSERVED
aiin chal	otaiin	1	1	1	1	42	0.02380952381	0.9761904762	OBSERVED
aiin char	ain	1	3	0.3333333333	1	82	0.01219512195	0.3211382114	OBSERVED
aiin char	chshol	1	3	0.3333333333	1	82	0.01219512195	0.3211382114	OBSERVED
aiin char	okaiin	1	3	0.3333333333	1	82	0.01219512195	0.3211382114	OBSERVED
aiin chas	oteey	1	1	1	1	2	0.5	0.5	OBSERVED
aiin chckhodu	qoteedy	1	1	1	1	1	1	0	OBSERVED
aiin chckhy	chdo	1	3	0.3333333333	1	129	0.007751937984	0.3255813953	OBSERVED
aiin chckhy	lteedy	1	3	0.3333333333	1	129	0.007751937984	0.3255813953	OBSERVED
aiin chckhy	okal	1	3	0.3333333333	3	129	0.02325581395	0.3100775194	OBSERVED
aiin chcphdy	dar	1	1	1	1	2	0.5	0.5	OBSERVED
aiin chcthedy	teedaram	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
aiin chcthhy	dchdar	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aiin chcthy	okain	1	2	0.5	1	74	0.01351351351	0.4864864865	OBSERVED
aiin chcthy	ykaiin	1	2	0.5	1	74	0.01351351351	0.4864864865	OBSERVED
aiin chdedy	qodaiin	1	1	1	1	2	0.5	0.5	OBSERVED
aiin chdy	ches	1	2	0.5	1	127	0.007874015748	0.4921259843	OBSERVED
aiin chdy	tarcheeg	1	2	0.5	1	127	0.007874015748	0.4921259843	OBSERVED
aiin chean	cky	1	1	1	1	2	0.5	0.5	OBSERVED
aiin chear	shorchaiin	1	1	1	1	49	0.02040816327	0.9795918367	OBSERVED
aiin checkhey	otain	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
aiin chedain	okam	1	1	1	1	18	0.05555555556	0.9444444444	OBSERVED
aiin chedar	chdaiin	1	1	1	1	34	0.02941176471	0.9705882353	OBSERVED
aiin chedky	chedaiin	1	1	1	1	1	1	0	OBSERVED
aiin chedor	alkaiin	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aiin chedy	qokeey	1	1	1	19	472	0.04025423729	0.9597457627	OBSERVED
aiin cheedain	okaiin	1	1	1	1	2	0.5	0.5	OBSERVED
aiin cheedy	aiin	1	2	0.5	1	55	0.01818181818	0.4818181818	OBSERVED
aiin cheedy	otaiin	1	2	0.5	1	55	0.01818181818	0.4818181818	OBSERVED
aiin cheeey	ol	1	1	1	2	8	0.25	0.75	OBSERVED
aiin cheekaiin	okain	1	1	1	1	2	0.5	0.5	OBSERVED
aiin cheeos	qokes	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
aiin chees	tchy	1	1	1	1	37	0.02702702703	0.972972973	OBSERVED
aiin cheety	chcthy	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aiin cheey	lkeedy	1	5	0.2	3	178	0.01685393258	0.1831460674	OBSERVED
aiin cheey	okeeeo	1	5	0.2	1	178	0.005617977528	0.1943820225	OBSERVED
aiin cheey	otchy	1	5	0.2	1	178	0.005617977528	0.1943820225	OBSERVED
aiin cheey	qokaram	1	5	0.2	1	178	0.005617977528	0.1943820225	OBSERVED
aiin cheey	qokeey	1	5	0.2	5	178	0.02808988764	0.1719101124	OBSERVED
aiin chefol	y	1	1	1	1	1	1	0	OBSERVED
aiin chekackhy	chokees	1	1	1	1	1	1	0	OBSERVED
aiin chekain	oldy	1	1	1	1	8	0.125	0.875	OBSERVED
aiin chekody	dar	1	1	1	1	1	1	0	OBSERVED
aiin cheky	daindl	1	1	1	1	59	0.01694915254	0.9830508475	OBSERVED
aiin cheo	dal	1	2	0.5	2	79	0.0253164557	0.4746835443	OBSERVED
aiin cheo	or	1	2	0.5	1	79	0.01265822785	0.4873417722	OBSERVED
aiin cheockhy	olkeey	1	1	1	1	10	0.1	0.9	OBSERVED
aiin cheodal	daiin	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
aiin cheody	laiiin	1	1	1	1	78	0.01282051282	0.9871794872	OBSERVED
aiin cheokal	saldaiin	1	1	1	1	2	0.5	0.5	OBSERVED
aiin cheokealy	sardy	1	1	1	1	1	1	0	OBSERVED
aiin cheokey	raiin	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aiin cheol	aiin	1	5	0.2	1	166	0.006024096386	0.1939759036	OBSERVED
aiin cheol	cho	1	5	0.2	2	166	0.01204819277	0.1879518072	OBSERVED
aiin cheol	keeeody	1	5	0.2	1	166	0.006024096386	0.1939759036	OBSERVED
aiin cheol	keody	1	5	0.2	1	166	0.006024096386	0.1939759036	OBSERVED
aiin cheol	s	1	5	0.2	1	166	0.006024096386	0.1939759036	OBSERVED
aiin cheor	qokey	1	1	1	1	88	0.01136363636	0.9886363636	OBSERVED
aiin chep	oty	1	1	1	1	5	0.2	0.8	OBSERVED
aiin ches	shey	1	1	1	1	39	0.02564102564	0.9743589744	OBSERVED
aiin chetchody	chedar	1	1	1	1	1	1	0	OBSERVED
aiin chey	dychy	1	10	0.1	1	333	0.003003003003	0.096996997	OBSERVED
aiin chey	eekain	1	10	0.1	1	333	0.003003003003	0.096996997	OBSERVED
aiin chey	keear	1	10	0.1	1	333	0.003003003003	0.096996997	OBSERVED
aiin chey	l	1	10	0.1	4	333	0.01201201201	0.08798798799	OBSERVED
aiin chey	qokain	1	10	0.1	8	333	0.02402402402	0.07597597598	OBSERVED
aiin chey	qokeedy	1	10	0.1	6	333	0.01801801802	0.08198198198	OBSERVED
aiin chey	qolaiin	1	10	0.1	1	333	0.003003003003	0.096996997	OBSERVED
aiin chey	racty	1	10	0.1	1	333	0.003003003003	0.096996997	OBSERVED
aiin chey	tair	1	10	0.1	1	333	0.003003003003	0.096996997	OBSERVED
aiin chey	teol	1	10	0.1	1	333	0.003003003003	0.096996997	OBSERVED
aiin chky	lal	1	1	1	1	15	0.06666666667	0.9333333333	OBSERVED
aiin chl	cholor	1	3	0.3333333333	1	29	0.03448275862	0.2988505747	OBSERVED
aiin chl	l	1	3	0.3333333333	5	29	0.1724137931	0.1609195402	OBSERVED
aiin chl	s	1	3	0.3333333333	4	29	0.1379310345	0.1954022989	OBSERVED
aiin chocthey	qotedal	1	1	1	1	4	0.25	0.75	OBSERVED
aiin chodaiin	qokaiin	1	1	1	1	41	0.0243902439	0.9756097561	OBSERVED
aiin chody	chey	1	3	0.3333333333	2	82	0.0243902439	0.3089430894	OBSERVED
aiin chody	okearcheol	1	3	0.3333333333	1	82	0.01219512195	0.3211382114	OBSERVED
aiin chody	ykair	1	3	0.3333333333	1	82	0.01219512195	0.3211382114	OBSERVED
aiin choeeer	okar	1	1	1	1	1	1	0	OBSERVED
aiin chokar	daimd	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
aiin chol	dy	1	3	0.3333333333	8	392	0.02040816327	0.3129251701	OBSERVED
aiin chol	okair	1	3	0.3333333333	1	392	0.002551020408	0.3307823129	OBSERVED
aiin chol	ykeey	1	3	0.3333333333	1	392	0.002551020408	0.3307823129	OBSERVED
aiin cholal	dy	1	1	1	1	2	0.5	0.5	OBSERVED
aiin cholkal	chokear	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aiin chor	or	1	2	0.5	4	205	0.01951219512	0.4804878049	OBSERVED
aiin chor	oteor	1	2	0.5	1	205	0.00487804878	0.4951219512	OBSERVED
aiin chorol	sho	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aiin chotal	shody	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
aiin chotar	okeeodar	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
aiin choty	chckhy	1	1	1	1	35	0.02857142857	0.9714285714	OBSERVED
aiin chpchs	aiin	1	1	1	1	1	1	0	OBSERVED
aiin chtchor	doiir	1	1	1	1	1	1	0	OBSERVED
aiin ckheda	or	1	1	1	1	1	1	0	OBSERVED
aiin ckhey	otaiin	1	1	1	1	25	0.04	0.96	OBSERVED
aiin cpheor	aiin	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
aiin cphey	dar	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
aiin cphor	qokcy	1	1	1	1	5	0.2	0.8	OBSERVED
aiin cthar	od	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
aiin ctheey	ctharad	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
aiin cthy	ain	1	1	1	1	77	0.01298701299	0.987012987	OBSERVED
aiin d	170	1	3	0.3333333333	1	52	0.01923076923	0.3141025641	OBSERVED
aiin d	aiin	1	3	0.3333333333	8	52	0.1538461538	0.1794871795	OBSERVED
aiin d	toaiin	1	3	0.3333333333	1	52	0.01923076923	0.3141025641	OBSERVED
aiin daiin	otam	1	1	1	4	719	0.005563282337	0.9944367177	OBSERVED
aiin daikeody	qokorar	1	1	1	1	1	1	0	OBSERVED
aiin dair	air	1	1	1	2	105	0.01904761905	0.980952381	OBSERVED
aiin dal	ar	1	2	0.5	2	193	0.0103626943	0.4896373057	OBSERVED
aiin dal	s	1	2	0.5	3	193	0.01554404145	0.4844559585	OBSERVED
aiin dar	aiiin	1	3	0.3333333333	3	277	0.01083032491	0.3225030084	OBSERVED
aiin dar	chcphy	1	3	0.3333333333	1	277	0.003610108303	0.329723225	OBSERVED
aiin dar	otol	1	3	0.3333333333	1	277	0.003610108303	0.329723225	OBSERVED
aiin daram	schdes	1	1	1	1	4	0.25	0.75	OBSERVED
aiin doal	qoky	1	1	1	1	1	1	0	OBSERVED
aiin dolky	oshdy	1	1	1	1	1	1	0	OBSERVED
aiin kchey	dal	1	1	1	1	22	0.04545454545	0.9545454545	OBSERVED
aiin koiin	chtodaiin	1	1	1	1	5	0.2	0.8	OBSERVED
aiin lal	lkeeedy	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
aiin lkar	cheeo	1	1	1	1	29	0.03448275862	0.9655172414	OBSERVED
aiin o	ckhey	1	4	0.25	1	207	0.004830917874	0.2451690821	OBSERVED
aiin o	keeey	1	4	0.25	1	207	0.004830917874	0.2451690821	OBSERVED
aiin o	l	1	4	0.25	27	207	0.1304347826	0.1195652174	OBSERVED
aiin o	ykeedy	1	4	0.25	1	207	0.004830917874	0.2451690821	OBSERVED
aiin ocheol	soiiin	1	1	1	1	1	1	0	OBSERVED
aiin ockhey	qokeey	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
aiin octhy	dair	1	1	1	1	8	0.125	0.875	OBSERVED
aiin odaiin	chedy	1	2	0.5	1	62	0.01612903226	0.4838709677	OBSERVED
aiin odaiin	chody	1	2	0.5	1	62	0.01612903226	0.4838709677	OBSERVED
aiin odain	orchedy	1	1	1	1	12	0.08333333333	0.9166666667	OBSERVED
aiin odal	oiir	1	1	1	1	16	0.0625	0.9375	OBSERVED
aiin odeedy	oteeey	1	1	1	1	2	0.5	0.5	OBSERVED
aiin ody	olkchdy	1	2	0.5	1	34	0.02941176471	0.4705882353	OBSERVED
aiin ody	osain	1	2	0.5	1	34	0.02941176471	0.4705882353	OBSERVED
aiin oeedaiin	qoaiin	1	1	1	1	2	0.5	0.5	OBSERVED
aiin oeey	teodkaiin	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
aiin oekeeey	okeo	1	1	1	1	1	1	0	OBSERVED
aiin ofy	chedy	1	1	1	1	2	0.5	0.5	OBSERVED
aiin okaiiin	sheody	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
aiin okaiin	cholody	1	8	0.125	1	198	0.005050505051	0.1199494949	OBSERVED
aiin okaiin	ckhol	1	8	0.125	1	198	0.005050505051	0.1199494949	OBSERVED
aiin okaiin	oky	1	8	0.125	2	198	0.0101010101	0.1148989899	OBSERVED
aiin okaiin	olkar	1	8	0.125	1	198	0.005050505051	0.1199494949	OBSERVED
