token	count	first_count	early_count	middle_count	late_count	last_count	mean_position	median_position	positional_entropy_bits	corpus_rules	first_inferred_status	last_inferred_status	statistical_class
231	1	0	0	0	1	0	0.7857142857	0.7857142857	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
232	1	0	0	0	1	0	0.8571428571	0.8571428571	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
233	1	0	0	0	1	0	0.9285714286	0.9285714286	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
234	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
240	2	0	2	0	0	0	0.1612903226	0.1612903226	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
241	1	0	0	0	1	0	0.8181818182	0.8181818182	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
242	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
243	3	0	0	1	0	2	0.75	1	0.9182958341	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
244	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
245	1	0	0	1	0	0	0.5454545455	0.5454545455	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
246	4	0	1	2	1	0	0.5102175602	0.5050505051	1.5	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
I	1	0	1	0	0	0	0.2253521127	0.2253521127	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
a	15	0	2	7	5	1	0.620601	0.6176470588	1.689482267	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
acheody	1	0	0	1	0	0	0.5833333333	0.5833333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
acthhy	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
acthy	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adair	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adairchdy	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adairy	1	1	0	1	0	1	0.5	0.5	0	FIRST_ONLY|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adal	1	0	0	0	1	0	0.880952381	0.880952381	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adam	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adar	1	0	1	0	0	0	0.0625	0.0625	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adashgasain	1	1	0	1	0	1	0.5	0.5	0	FIRST_ONLY|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adchey	1	0	0	1	0	0	0.6153846154	0.6153846154	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adeeody	1	0	0	1	0	0	0.3333333333	0.3333333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
adoldy	1	0	0	1	0	0	0.75	0.75	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ador	1	0	0	0	1	0	0.8	0.8	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aeeodchy	1	0	0	1	0	0	0.6666666667	0.6666666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
afalairidy	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ag	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
agairom	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ai	1	0	0	1	0	0	0.75	0.75	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aickyy	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aifhhy	1	0	0	0	1	0	0.9	0.9	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aify	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aig	2	0	1	1	0	0	0.2214285714	0.2214285714	1	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiichy	1	0	1	0	0	0	0.125	0.125	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiicthy	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiidaiim	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiidal	1	0	0	0	1	0	0.8	0.8	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiidy	1	0	0	1	0	0	0.625	0.625	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiikheedy	1	0	1	0	0	0	0.1111111111	0.1111111111	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiiky	1	0	0	1	0	0	0.4	0.4	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiil	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiin	47	0	6	27	11	3	0.5697679518	0.5714285714	1.582240493	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiinol	1	0	0	0	1	0	0.875	0.875	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiiro	1	0	0	1	0	0	0.4615384615	0.4615384615	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiijy	1	0	0	1	0	0	0.3333333333	0.3333333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiikam	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiil	1	0	0	0	1	0	0.8	0.8	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiildy	1	0	1	0	0	0	0.1111111111	0.1111111111	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiily	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiim	1	0	0	0	1	0	0.8333333333	0.8333333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiin	511	0	99	250	120	42	0.5651178519	0.5675675676	1.750493415	NEVER_FIRST	STRONGLY_AVOIDED	DEPLETED	POSITIONALLY_NEUTRAL
aiinal	2	0	0	0	0	2	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiinchodar	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiindy	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiinod	1	1	0	1	0	1	0.5	0.5	0	FIRST_ONLY|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiinos	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiinpchod	1	0	0	0	1	0	0.8181818182	0.8181818182	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiinsham	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiny	3	0	0	0	0	3	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiioly	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiios	1	0	0	1	0	0	0.3333333333	0.3333333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiip	1	0	1	0	0	0	0.2	0.2	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiir	29	0	4	14	11	0	0.594026636	0.6363636364	1.431887315	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiraly	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiirchar	1	0	1	0	0	0	0.09090909091	0.09090909091	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiird	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiirod	1	0	1	0	0	0	0.1111111111	0.1111111111	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiirody	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiroekey	1	0	0	1	0	0	0.75	0.75	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiirol	1	0	0	1	0	0	0.5	0.5	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiiry	1	0	0	1	0	0	0.75	0.75	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aikhdy	1	0	1	0	0	0	0.1111111111	0.1111111111	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aikhe	1	0	0	1	0	0	0.2857142857	0.2857142857	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aikhedy	1	0	0	1	0	0	0.5	0.5	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aikheky	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aikhy	3	0	1	2	0	0	0.4343434343	0.4444444444	0.9182958341	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiky	1	1	0	1	0	1	0.5	0.5	0	FIRST_ONLY|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ail	5	0	1	3	1	0	0.6292307692	0.75	1.370950594	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aildy	3	0	1	0	0	2	0.7301587302	1	0.9182958341	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aim	7	0	0	2	0	5	0.821812596	1	0.8631205686	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ain	116	1	29	58	18	12	0.520253286	0.5393939394	1.739388371		DEPLETED	EXPECTED	POSITIONALLY_NEUTRAL
ainai	1	0	0	0	1	0	0.9166666667	0.9166666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ainaly	1	1	0	1	0	1	0.5	0.5	0	FIRST_ONLY|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ainam	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aindar	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
ainy	1	0	1	0	0	0	0.1666666667	0.1666666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiodam	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiphey	1	0	0	1	0	0	0.6666666667	0.6666666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiphhey	1	0	0	1	0	0	0.4444444444	0.4444444444	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
aiphy	1	0	0	1	0	0	0.3	0.3	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
air	84	2	21	40	19	4	0.5020767268	0.5	1.742540043		EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airal	3	0	0	1	0	2	0.7575757576	1	0.9182958341	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airaldy	1	0	0	0	1	0	0.875	0.875	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airalor	1	0	0	0	1	0	0.7878787879	0.7878787879	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airaly	1	0	0	1	0	0	0.25	0.25	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airam	2	0	0	0	0	2	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airchy	1	0	0	0	1	0	0.9210526316	0.9210526316	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airod	2	0	0	0	1	1	0.9545454545	0.9545454545	1	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airody	3	0	0	1	2	0	0.7087912088	0.7692307692	0.9182958341	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airol	3	0	1	1	1	0	0.5907407407	0.75	1.584962501	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airols	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airorlchy	1	0	0	0	1	0	0.875	0.875	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
airoy	1	0	0	0	1	0	0.8888888889	0.8888888889	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
