operation	from_symbol	to_symbol	position_zero_based	support_edges	examples	interpretation_limit
INSERTION		t	0	227	aiiin→taiiin|aiin→taiin|aikhy→taikhy|aiky→taiky|ail→tail	observed edit-distance-1 relation; not a morphological claim
DELETION	k		1	225	ay→aky|ck→c|ckh→ch|ckha→cha|ckhaiin→chaiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		k	1	225	aky→ay|c→ck|ch→ckh|cha→ckha|chaiin→ckhaiin	observed edit-distance-1 relation; not a morphological claim
DELETION	e		4	220	aikhedy→aikhdy|aiphy→aiphey|alched→alchd|alchedy→alchdy|alchey→alcheey	observed edit-distance-1 relation; not a morphological claim
INSERTION		e	4	220	aikhdy→aikhedy|aiphey→aiphy|alchd→alched|alchdy→alchedy|alcheey→alchey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	o	2	212	che→cho|cheaiin→choaiin|cheal→choal|chear→choar|checfhy→chocfhy	observed edit-distance-1 relation; not a morphological claim
DELETION	t		1	210	ay→aty|cth→ch|cthaiin→chaiin|cthain→chain|cthal→chal	observed edit-distance-1 relation; not a morphological claim
INSERTION		t	1	210	aty→ay|ch→cth|chaiin→cthaiin|chain→cthain|chal→cthal	observed edit-distance-1 relation; not a morphological claim
DELETION	o		1	209	ara→aora|co→c|do→d|doaiin→daiin|doair→dair	observed edit-distance-1 relation; not a morphological claim
INSERTION		o	1	209	aora→ara|c→co|d→do|daiin→doaiin|dair→doair	observed edit-distance-1 relation; not a morphological claim
DELETION	d		5	207	airaly→airaldy|alchey→alchedy|alkeey→alkeedy|arshey→arshedy|chcfhy→chcfhdy	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	5	207	airaldy→airaly|alchedy→alchey|alkeedy→alkeey|arshedy→arshey|chcfhdy→chcfhy	observed edit-distance-1 relation; not a morphological claim
DELETION	o		4	203	aiirod→aiird|alchol→alchl|alkeody→alkedy|arary→araroy|chalr→chalor	observed edit-distance-1 relation; not a morphological claim
INSERTION		o	4	203	aiird→aiirod|alchl→alchol|alkedy→alkeody|araroy→arary|chalor→chalr	observed edit-distance-1 relation; not a morphological claim
DELETION	k		2	199	aiy→aiky|alkaiin→alaiin|alkain→alain|alkair→alair|alkal→alal	observed edit-distance-1 relation; not a morphological claim
INSERTION		k	2	199	aiky→aiy|alaiin→alkaiin|alain→alkain|alair→alkair|alal→alkal	observed edit-distance-1 relation; not a morphological claim
DELETION	l		1	198	al→a|aldam→adam|aldar→adar|aldor→ador|alg→ag	observed edit-distance-1 relation; not a morphological claim
INSERTION		l	1	198	a→al|adam→aldam|adar→aldar|ador→aldor|ag→alg	observed edit-distance-1 relation; not a morphological claim
DELETION	k		0	190	ka→a|kag→ag|kai→ai|kaiiin→aiiin|kaiim→aiim	observed edit-distance-1 relation; not a morphological claim
INSERTION		k	0	190	a→ka|ag→kag|ai→kai|aiiin→kaiiin|aiim→kaiim	observed edit-distance-1 relation; not a morphological claim
DELETION	e		1	183	deaiin→daiin|dedy→ddy|deedy→dedy|deeedy→deedy|deey→deeey	observed edit-distance-1 relation; not a morphological claim
INSERTION		e	1	183	daiin→deaiin|ddy→dedy|dedy→deedy|deedy→deeedy|deeey→deey	observed edit-distance-1 relation; not a morphological claim
DELETION	y		4	181	aiily→aiil|aiiny→aiin|aiiry→aiir|alaly→alal|alody→alod	observed edit-distance-1 relation; not a morphological claim
INSERTION		y	4	181	aiil→aiily|aiin→aiiny|aiir→aiiry|alal→alaly|alod→alody	observed edit-distance-1 relation; not a morphological claim
DELETION	p		0	180	padar→adar|paiin→aiin|paiir→aiir|pair→air|pairody→airody	observed edit-distance-1 relation; not a morphological claim
INSERTION		p	0	180	adar→padar|aiin→paiin|aiir→paiir|air→pair|airody→pairody	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	o	3	180	chdedy→chdody|chee→cheo|cheeaiin→cheoaiin|cheeal→cheoal|cheear→cheoar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	t	2	177	aikhy→aithy|alkedy→altedy|chkaiin→chtaiin|chkain→chtain|chkal→chtal	observed edit-distance-1 relation; not a morphological claim
DELETION	y		5	174	adairy→adair|airaly→airal|airody→airod|alchdy→alchd|arodly→arodl	observed edit-distance-1 relation; not a morphological claim
INSERTION		y	5	174	adair→adairy|airal→airaly|airod→airody|alchd→alchdy|arodl→arodly	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	o	3	174	airal→airol|aldar→aldor|chda→chdo|chdal→chdol|chdaly→chdoly	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	o	2	172	adar→ador|alaiiin→aloiiin|alaiin→aloiin|alain→aloin|alal→alol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	o	0	169	l→o|laiin→oaiin|lain→oain|lair→oair|lal→oal	observed edit-distance-1 relation; not a morphological claim
DELETION	e		5	155	chcfhy→chcfhey|chckheal→chckhal|chckhedy→chckhdy|chckhey→chckheey|chckhody→chckheody	observed edit-distance-1 relation; not a morphological claim
INSERTION		e	5	155	chcfhey→chcfhy|chckhal→chckheal|chckhdy→chckhedy|chckheey→chckhey|chckheody→chckhody	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	s	1	154	dc→ds|dchal→dshal|dchdy→dshdy|dchedal→dshedal|dchedy→dshedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	y	0	145	l→y|laiin→yaiin|lair→yair|laly→yaly|lar→yar	observed edit-distance-1 relation; not a morphological claim
DELETION	a		0	142	cheody→acheody|cthhy→acthhy|cthy→acthy|dair→adair|dairy→adairy	observed edit-distance-1 relation; not a morphological claim
INSERTION		a	0	142	acheody→cheody|acthhy→cthhy|acthy→cthy|adair→dair|adairy→dairy	observed edit-distance-1 relation; not a morphological claim
DELETION	l		2	140	ail→ai|anl→an|arl→ar|chl→ch|chlaiiin→chaiiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		l	2	140	ai→ail|an→anl|ar→arl|ch→chl|chaiiin→chlaiiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	o	1	137	da→do|dackhy→dockhy|dadaiin→dodaiin|dady→dody|daiiin→doiiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	s	0	137	d→s|da→sa|dai→sai|daii→saii|daiidy→saiidy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	o	0	135	a→o|acthy→octhy|adair→odair|adal→odal|adam→odam	observed edit-distance-1 relation; not a morphological claim
DELETION	l		3	132	aiildy→aiidy|aldl→ald|alol→alo|alold→alod|alos→alols	observed edit-distance-1 relation; not a morphological claim
INSERTION		l	3	132	aiidy→aiildy|ald→aldl|alo→alol|alod→alold|alols→alos	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	k	0	132	d→k|da→ka|dag→kag|dai→kai|daiiin→kaiiin	observed edit-distance-1 relation; not a morphological claim
DELETION	l		4	130	arodl→arod|arody→arodly|cfholdar→cfhodar|chdal→chda|chdol→chdo	observed edit-distance-1 relation; not a morphological claim
INSERTION		l	4	130	arod→arodl|arodly→arody|cfhodar→cfholdar|chda→chdal|chdo→chdol	observed edit-distance-1 relation; not a morphological claim
DELETION	t		2	129	chtaiin→chaiin|chtain→chain|chtair→chair|chtal→chal|chtaldy→chaldy	observed edit-distance-1 relation; not a morphological claim
INSERTION		t	2	129	chaiin→chtaiin|chain→chtain|chair→chtair|chal→chtal|chaldy→chtaldy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	t	0	129	d→t|dadaiin→tadaiin|daidy→taidy|daiiin→taiiin|daiin→taiin	observed edit-distance-1 relation; not a morphological claim
DELETION	d		2	128	ald→al|aldaiin→alaiin|aldam→alam|aldar→alar|alor→aldor	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	2	128	al→ald|alaiin→aldaiin|alam→aldam|alar→aldar|aldor→alor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	t	1	128	cpchy→ctchy|cphaiin→cthaiin|cphal→cthal|cphan→cthan|cphar→cthar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	r	4	125	alkal→alkar|chdal→chdar|chdol→chdor|cheal→chear|chealy→cheary	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	p	1	123	ckhaiin→cphaiin|ckhal→cphal|ckhar→cphar|ckheal→cpheal|ckheckhy→cpheckhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	t	0	122	k→t|kaiiin→taiiin|kaiin→taiin|kain→tain|kair→tair	observed edit-distance-1 relation; not a morphological claim
DELETION	y		3	120	ainy→ain|airy→air|aldy→ald|aloy→alo|alsy→als	observed edit-distance-1 relation; not a morphological claim
INSERTION		y	3	120	ain→ainy|air→airy|ald→aldy|alo→aloy|als→alsy	observed edit-distance-1 relation; not a morphological claim
DELETION	p		1	118	cphaiiin→chaiiin|cphaiin→chaiin|cphal→chal|cphaldy→chaldy|cphan→chan	observed edit-distance-1 relation; not a morphological claim
INSERTION		p	1	118	chaiiin→cphaiiin|chaiin→cphaiin|chal→cphal|chaldy→cphaldy|chan→cphan	observed edit-distance-1 relation; not a morphological claim
DELETION	k		3	117	aloy→aloky|chckhdy→chchdy|chckheey→chcheey|chckhs→chchs|chckhy→chchy	observed edit-distance-1 relation; not a morphological claim
INSERTION		k	3	117	aloky→aloy|chchdy→chckhdy|chcheey→chckheey|chchs→chckhs|chchy→chckhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	o	4	117	alchar→alchor|aralar→aralor|chalaly→chaloly|chedal→chedol|chedar→chedor	observed edit-distance-1 relation; not a morphological claim
DELETION	i		3	115	adar→adair|akain→akaiin|akar→akair|alaiin→alaiiin|alain→alaiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		i	3	115	adair→adar|akaiin→akain|akair→akar|alaiiin→alaiin|alaiin→alain	observed edit-distance-1 relation; not a morphological claim
DELETION	y		6	113	aiirody→aiirod|alchedy→alched|chalaly→chalal|chckhdy→chckhd|chcthdy→chcthd	observed edit-distance-1 relation; not a morphological claim
INSERTION		y	6	113	aiirod→aiirody|alched→alchedy|chalal→chalaly|chckhd→chckhdy|chcthd→chcthdy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	o	0	111	d→o|daiidy→oaiidy|daiil→oaiil|daiin→oaiin|daiir→oaiir	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	r	5	110	alchol→alchor|chdail→chdair|chedal→chedar|chedol→chedor|chedyl→chedyr	observed edit-distance-1 relation; not a morphological claim
DELETION	d		6	109	chckhey→chckhedy|chcphey→chcphedy|chcphhy→chcphhdy|chcthey→chcthedy|chcthod→chctho	observed edit-distance-1 relation; not a morphological claim
DELETION	h		1	109	ch→c|cho→chho|chty→chhty|ck→chk|ckaiin→chkaiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	6	109	chckhedy→chckhey|chcphedy→chcphey|chcphhdy→chcphhy|chcthedy→chcthey|chctho→chcthod	observed edit-distance-1 relation; not a morphological claim
INSERTION		h	1	109	c→ch|chho→cho|chhty→chty|chk→ck|chkaiin→ckaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	r	3	108	adal→adar|aiil→aiir|aiily→aiiry|akal→akar|alal→alar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	l	0	107	d→l|dag→lag|daiiin→laiiin|daiin→laiin|dain→lain	observed edit-distance-1 relation; not a morphological claim
DELETION	o		5	103	chckho→chckh|chckhody→chckhdy|chctho→chcth|chcthod→chcthd|chcthody→chcthdy	observed edit-distance-1 relation; not a morphological claim
INSERTION		o	5	103	chckh→chckho|chckhdy→chckhody|chcth→chctho|chcthd→chcthod|chcthdy→chcthody	observed edit-distance-1 relation; not a morphological claim
DELETION	i		2	102	cho→chio|dai→da|daidy→dady|daig→dag|daii→dai	observed edit-distance-1 relation; not a morphological claim
INSERTION		i	2	102	chio→cho|da→dai|dady→daidy|dag→daig|dai→daii	observed edit-distance-1 relation; not a morphological claim
DELETION	r		0	101	racthy→acthy|rag→ag|raiiin→aiiin|raiin→aiin|raiir→aiir	observed edit-distance-1 relation; not a morphological claim
INSERTION		r	0	101	acthy→racthy|ag→rag|aiiin→raiiin|aiin→raiin|aiir→raiir	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	t	3	101	chck→chct|chckh→chcth|chckhaiin→chcthaiin|chckhal→chcthal|chckham→chctham	observed edit-distance-1 relation; not a morphological claim
DELETION	s		4	99	alals→alal|alols→alol|chals→chal|cheas→chea|cheds→ched	observed edit-distance-1 relation; not a morphological claim
INSERTION		s	4	99	alal→alals|alol→alols|chal→chals|chea→cheas|ched→cheds	observed edit-distance-1 relation; not a morphological claim
DELETION	l		5	98	cfheol→cfheo|chedal→cheda|chedyl→chedy|cheeol→cheeo|cheeoldy→cheeody	observed edit-distance-1 relation; not a morphological claim
INSERTION		l	5	98	cfheo→cfheol|cheda→chedal|chedy→chedyl|cheeo→cheeol|cheeody→cheeoldy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	y	0	98	d→y|daiin→yaiin|daiir→yaiir|dair→yair|daly→yaly	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	e	3	96	cfhdy→cfhey|ched→chee|chedaiin→cheeaiin|chedal→cheeal|chedar→cheear	observed edit-distance-1 relation; not a morphological claim
DELETION	i		4	94	alkain→alkaiin|alkan→alkain|alkar→alkair|chcti→chct|chdain→chdaiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		i	4	94	alkaiin→alkain|alkain→alkan|alkair→alkar|chct→chcti|chdaiin→chdain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	t	1	94	alaiin→ataiin|alam→atam|alar→atar|alchor→atchor|aly→aty	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	e	4	93	alchdy→alchey|alkedy→alkeey|alshdy→alshey|chdedy→chdeey|cheedy→cheeey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	l	1	92	akaiin→alaiin|akain→alain|akair→alair|akal→alal|akar→alar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	p	0	91	d→p|daichy→paichy|daiin→paiin|daiinody→paiinody|daiir→paiir	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	o	4	91	alkeedy→alkeody|cheees→cheeos|cheeey→cheeoy|chekeal→chekoal|chekedy→chekody	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	r	2	91	ail→air|chl→chr|chly→chry|dal→dar|dalaiin→daraiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	q	s	0	90	q→s|qa→sa|qaiin→saiin|qar→sar|qchar→schar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	t	0	88	l→t|laiiin→taiiin|laiin→taiin|lain→tain|lair→tair	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	s	0	87	k→s|ka→sa|kai→sai|kaiiin→saiiin|kaiim→saiim	observed edit-distance-1 relation; not a morphological claim
DELETION	a		2	85	ara→ar|arg→arag|ariin→araiin|arl→aral|cha→ch	observed edit-distance-1 relation; not a morphological claim
INSERTION		a	2	85	ar→ara|arag→arg|araiin→ariin|aral→arl|ch→cha	observed edit-distance-1 relation; not a morphological claim
DELETION	y		2	84	aiy→ai|aly→al|alys→als|alyshy→alshy|amy→am	observed edit-distance-1 relation; not a morphological claim
INSERTION		y	2	84	ai→aiy|al→aly|als→alys|alshy→alyshy|am→amy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	k	2	84	aleedy→alkedy|che→chk|cheaiin→chkaiin|cheain→chkain|cheal→chkal	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	y	4	84	cfheo→cfhey|chedol→chedyl|chedor→chedyr|cheeo→cheey|chodo→chody	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	t	0	84	p→t|paiin→taiin|pair→tair|pal→tal|pam→tam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	t	0	84	s→t|saiiin→taiiin|saiin→taiin|sail→tail|saim→taim	observed edit-distance-1 relation; not a morphological claim
DELETION	s		3	83	alos→alo|alys→aly|aros→aro|chas→cha|ches→che	observed edit-distance-1 relation; not a morphological claim
INSERTION		s	3	83	alo→alos|aly→alys|aro→aros|cha→chas|che→ches	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	e	5	81	alchedy→alcheey|arshedy→arsheey|chcfhdy→chcfhey|chckhdy→chckhey|chcphdy→chcphey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	s	2	80	alchdy→alshdy|alchey→alshey|alchy→alshy|archeey→arsheey|archey→arshey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	k	3	80	alody→aloky|arody→aroky|ched→chek|chedaiiin→chekaiiin|chedaiin→chekaiin	observed edit-distance-1 relation; not a morphological claim
DELETION	r		4	79	aldar→alda|chalr→chal|chdar→chda|chdor→chdo|chear→chea	observed edit-distance-1 relation; not a morphological claim
INSERTION		r	4	79	alda→aldar|chal→chalr|chda→chdar|chdo→chdor|chea→chear	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	s	0	79	l→s|laiiin→saiiin|laiin→saiin|lain→sain|lair→sair	observed edit-distance-1 relation; not a morphological claim
DELETION	s		5	77	airols→airol|cfheos→cfheo|chckhs→chckh|chedas→cheda|cheeos→cheeo	observed edit-distance-1 relation; not a morphological claim
INSERTION		s	5	77	airol→airols|cfheo→cfheos|chckh→chckhs|cheda→chedas|cheeo→cheeos	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	t	0	77	o→t|oaiin→taiin|oain→tain|oair→tair|oal→tal	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	l	0	75	k→l|kag→lag|kaiiin→laiiin|kaiin→laiin|kain→lain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	y	3	75	chdo→chdy|cheo→chey|cheoet→cheyet|cheokaiin→cheykaiin|cheokain→cheykain	observed edit-distance-1 relation; not a morphological claim
DELETION	t		3	73	chcthdy→chchdy|chcthy→chchy|chet→che|cheta→chea|chetaiin→cheaiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		t	3	73	chchdy→chcthdy|chchy→chcthy|che→chet|chea→cheta|cheaiin→chetaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	k	2	73	aldaiin→alkaiin|aldam→alkam|aldar→alkar|aldy→alky|chd→chk	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	q	0	73	d→q|da→qa|daiin→qaiin|dar→qar|dchar→qchar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	o	0	73	k→o|kaiin→oaiin|kaiir→oaiir|kain→oain|kair→oair	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	r	1	72	al→ar|alaiiin→araiiin|alaiin→araiin|alain→arain|alal→aral	observed edit-distance-1 relation; not a morphological claim
DELETION	k		4	71	alchy→alchky|chaly→chalky|chchy→chchky|checkhey→chechey|checkhy→chechy	observed edit-distance-1 relation; not a morphological claim
INSERTION		k	4	71	alchky→alchy|chalky→chaly|chchky→chchy|chechey→checkhey|chechy→checkhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	r	0	71	d→r|dag→rag|daiiin→raiiin|daiin→raiin|daiir→raiir	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	o	1	71	deaiin→doaiin|dedy→dody|deeey→doeey|del→dol|ee→eo	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	p	0	71	l→p|laiin→paiin|lair→pair|lal→pal|lam→pam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	t	1	70	cfhaiin→cthaiin|cfham→ctham|cfhar→cthar|cfhdy→cthdy|cfheey→ctheey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	p	0	70	k→p|kaiin→paiin|kaiir→paiir|kair→pair|kal→pal	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	s	3	69	chechy→cheshy|checkhy→cheskhy|chkchy→chkshy|chochy→choshy|chtchy→chtshy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	k	1	69	adair→akair|adal→akal|adar→akar|ddy→dky|edy→eky	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	l	4	69	airod→airol|alchd→alchl|chdodaiin→chdolaiin|chdody→chdoly|chead→cheal	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	k	1	69	cfhaiin→ckhaiin|cfham→ckham|cfhar→ckhar|cfhdy→ckhdy|cfheey→ckheey	observed edit-distance-1 relation; not a morphological claim
DELETION	r		3	68	alor→alo|aloy→alory|arar→ara|aror→aro|aroshy→arorshy	observed edit-distance-1 relation; not a morphological claim
INSERTION		r	3	68	alo→alor|alory→aloy|ara→arar|aro→aror|arorshy→aroshy	observed edit-distance-1 relation; not a morphological claim
DELETION	d		1	67	ed→e|ey→edy|hda→ha|hy→hdy|kdchody→kchody	observed edit-distance-1 relation; not a morphological claim
DELETION	r		5	67	chealror→chealor|chedar→cheda|chedyr→chedy|cheeor→cheeo|chetar→cheta	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	1	67	e→ed|edy→ey|ha→hda|hdy→hy|kchody→kdchody	observed edit-distance-1 relation; not a morphological claim
INSERTION		r	5	67	chealor→chealror|cheda→chedar|chedy→chedyr|cheeo→cheeor|cheta→chetar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	e	2	66	chd→che|chda→chea|chdaiin→cheaiin|chdain→cheain|chdal→cheal	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	s	0	66	o→s|oaiidy→saiidy|oaiin→saiin|oaiir→saiir|oain→sain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	t	y	0	66	t→y|taiin→yaiin|tair→yair|taly→yaly|tar→yar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	t	1	65	adam→atam|adar→atar|ddal→dtal|ed→et|edy→ety	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	r	6	65	chcfhol→chcfhor|chckhol→chckhor|chcthal→chcthar|chcthol→chcthor|chealol→chealor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	q	t	0	65	q→t|qaiin→taiin|qar→tar|qchar→tchar|qcho→tcho	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	s	0	65	r→s|raiiin→saiiin|raiin→saiin|raiir→saiir|raikchy→saikchy	observed edit-distance-1 relation; not a morphological claim
DELETION	f		0	64	faiir→aiir|fairal→airal|famam→amam|far→ar|farar→arar	observed edit-distance-1 relation; not a morphological claim
INSERTION		f	0	64	aiir→faiir|airal→fairal|amam→famam|ar→far|arar→farar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	r	4	64	aldam→aldar|alkam→alkar|cfham→cfhar|chaim→chair|chdam→chdar	observed edit-distance-1 relation; not a morphological claim
DELETION	a		1	63	da→d|dar→daar|dckhy→dackhy|ddy→dady|dg→dag	observed edit-distance-1 relation; not a morphological claim
DELETION	f		1	63	chaiin→cfhaiin|cham→cfham|char→cfhar|chdy→cfhdy|cheey→cfheey	observed edit-distance-1 relation; not a morphological claim
INSERTION		a	1	63	d→da|daar→dar|dackhy→dckhy|dady→ddy|dag→dg	observed edit-distance-1 relation; not a morphological claim
INSERTION		f	1	63	cfhaiin→chaiin|cfham→cham|cfhar→char|cfhdy→chdy|cfheey→cheey	observed edit-distance-1 relation; not a morphological claim
