n	context	continuation	sequence	count	context_count	conditional_probability	observed_status	corpus_rule
2	0	v	0v	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	x	0x	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	y	0y	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	z	0z	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	1	0	10	1	144	0.006944444444	OBSERVED	OBSERVED
2	1	1	11	1	144	0.006944444444	OBSERVED	OBSERVED
2	1	2	12	1	144	0.006944444444	OBSERVED	OBSERVED
2	1	3	13	34	144	0.2361111111	OBSERVED	OBSERVED
2	1	4	14	13	144	0.09027777778	OBSERVED	OBSERVED
2	1	5	15	12	144	0.08333333333	OBSERVED	OBSERVED
2	1	6	16	21	144	0.1458333333	OBSERVED	OBSERVED
2	1	7	17	30	144	0.2083333333	OBSERVED	OBSERVED
2	1	8	18	11	144	0.07638888889	OBSERVED	OBSERVED
2	1	9	19	20	144	0.1388888889	OBSERVED	OBSERVED
2	1	I	1I	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	a	1a	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	b	1b	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	c	1c	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	d	1d	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	e	1e	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	f	1f	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	g	1g	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	h	1h	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	i	1i	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	j	1j	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	k	1k	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	l	1l	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	m	1m	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	n	1n	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	o	1o	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	p	1p	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	q	1q	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	r	1r	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	s	1s	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	t	1t	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	u	1u	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	v	1v	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	x	1x	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	y	1y	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	1	z	1z	0	144	0	UNOBSERVED	NEVER_OBSERVED
2	2	0	20	13	36	0.3611111111	OBSERVED	OBSERVED
2	2	1	21	6	36	0.1666666667	OBSERVED	OBSERVED
2	2	2	22	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	3	23	4	36	0.1111111111	OBSERVED	OBSERVED
2	2	4	24	13	36	0.3611111111	OBSERVED	OBSERVED
2	2	5	25	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	6	26	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	7	27	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	8	28	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	9	29	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	I	2I	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	a	2a	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	b	2b	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	c	2c	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	d	2d	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	e	2e	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	f	2f	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	g	2g	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	h	2h	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	i	2i	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	j	2j	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	k	2k	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	l	2l	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	m	2m	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	n	2n	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	o	2o	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	p	2p	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	q	2q	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	r	2r	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	s	2s	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	t	2t	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	u	2u	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	v	2v	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	x	2x	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	y	2y	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	2	z	2z	0	36	0	UNOBSERVED	NEVER_OBSERVED
2	3	0	30	1	37	0.02702702703	OBSERVED	OBSERVED
2	3	1	31	2	37	0.05405405405	OBSERVED	OBSERVED
2	3	2	32	11	37	0.2972972973	OBSERVED	OBSERVED
2	3	3	33	12	37	0.3243243243	OBSERVED	OBSERVED
2	3	4	34	2	37	0.05405405405	OBSERVED	OBSERVED
2	3	5	35	2	37	0.05405405405	OBSERVED	OBSERVED
2	3	6	36	2	37	0.05405405405	OBSERVED	OBSERVED
2	3	7	37	1	37	0.02702702703	OBSERVED	OBSERVED
2	3	8	38	3	37	0.08108108108	OBSERVED	OBSERVED
2	3	9	39	1	37	0.02702702703	OBSERVED	OBSERVED
2	3	I	3I	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	a	3a	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	b	3b	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	c	3c	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	d	3d	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	e	3e	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	f	3f	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	g	3g	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	h	3h	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	i	3i	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	j	3j	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	k	3k	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	l	3l	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	m	3m	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	n	3n	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	o	3o	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	p	3p	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	q	3q	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	r	3r	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	s	3s	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	t	3t	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	u	3u	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	v	3v	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	x	3x	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	y	3y	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	3	z	3z	0	37	0	UNOBSERVED	NEVER_OBSERVED
2	4	0	40	6	25	0.24	OBSERVED	OBSERVED
2	4	1	41	1	25	0.04	OBSERVED	OBSERVED
2	4	2	42	1	25	0.04	OBSERVED	OBSERVED
2	4	3	43	3	25	0.12	OBSERVED	OBSERVED
2	4	4	44	1	25	0.04	OBSERVED	OBSERVED
2	4	5	45	3	25	0.12	OBSERVED	OBSERVED
2	4	6	46	6	25	0.24	OBSERVED	OBSERVED
2	4	7	47	1	25	0.04	OBSERVED	OBSERVED
2	4	8	48	2	25	0.08	OBSERVED	OBSERVED
2	4	9	49	1	25	0.04	OBSERVED	OBSERVED
2	4	I	4I	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	a	4a	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	b	4b	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	c	4c	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	d	4d	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	e	4e	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	f	4f	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	g	4g	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	h	4h	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	i	4i	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	j	4j	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	k	4k	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	l	4l	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	m	4m	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	n	4n	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	o	4o	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	p	4p	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	q	4q	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	r	4r	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	s	4s	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	t	4t	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	u	4u	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	v	4v	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	x	4x	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	y	4y	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	4	z	4z	0	25	0	UNOBSERVED	NEVER_OBSERVED
2	5	0	50	2	12	0.1666666667	OBSERVED	OBSERVED
2	5	1	51	1	12	0.08333333333	OBSERVED	OBSERVED
2	5	2	52	3	12	0.25	OBSERVED	OBSERVED
2	5	3	53	1	12	0.08333333333	OBSERVED	OBSERVED
2	5	4	54	2	12	0.1666666667	OBSERVED	OBSERVED
2	5	5	55	1	12	0.08333333333	OBSERVED	OBSERVED
2	5	6	56	1	12	0.08333333333	OBSERVED	OBSERVED
2	5	7	57	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	8	58	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	9	59	1	12	0.08333333333	OBSERVED	OBSERVED
2	5	I	5I	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	a	5a	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	b	5b	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	c	5c	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	d	5d	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	e	5e	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	f	5f	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	g	5g	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	h	5h	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	i	5i	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	j	5j	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	k	5k	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	l	5l	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	m	5m	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	n	5n	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	o	5o	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	p	5p	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	q	5q	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	r	5r	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	s	5s	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	t	5t	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	u	5u	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	v	5v	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	x	5x	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	y	5y	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	5	z	5z	0	12	0	UNOBSERVED	NEVER_OBSERVED
2	6	0	60	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	1	61	1	20	0.05	OBSERVED	OBSERVED
2	6	2	62	4	20	0.2	OBSERVED	OBSERVED
2	6	3	63	1	20	0.05	OBSERVED	OBSERVED
2	6	4	64	1	20	0.05	OBSERVED	OBSERVED
2	6	5	65	1	20	0.05	OBSERVED	OBSERVED
2	6	6	66	2	20	0.1	OBSERVED	OBSERVED
2	6	7	67	3	20	0.15	OBSERVED	OBSERVED
2	6	8	68	2	20	0.1	OBSERVED	OBSERVED
2	6	9	69	5	20	0.25	OBSERVED	OBSERVED
2	6	I	6I	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	a	6a	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	b	6b	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	c	6c	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	d	6d	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	e	6e	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	f	6f	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	g	6g	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	h	6h	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	i	6i	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	j	6j	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	k	6k	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	l	6l	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	m	6m	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	n	6n	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	o	6o	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	p	6p	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	q	6q	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	r	6r	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	s	6s	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	t	6t	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	u	6u	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	v	6v	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	x	6x	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	y	6y	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	6	z	6z	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	7	0	70	5	30	0.1666666667	OBSERVED	OBSERVED
2	7	1	71	5	30	0.1666666667	OBSERVED	OBSERVED
2	7	2	72	6	30	0.2	OBSERVED	OBSERVED
2	7	3	73	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	4	74	1	30	0.03333333333	OBSERVED	OBSERVED
2	7	5	75	6	30	0.2	OBSERVED	OBSERVED
2	7	6	76	3	30	0.1	OBSERVED	OBSERVED
2	7	7	77	1	30	0.03333333333	OBSERVED	OBSERVED
2	7	8	78	2	30	0.06666666667	OBSERVED	OBSERVED
2	7	9	79	1	30	0.03333333333	OBSERVED	OBSERVED
2	7	I	7I	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	a	7a	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	b	7b	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	c	7c	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	d	7d	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	e	7e	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	f	7f	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	g	7g	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	h	7h	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	i	7i	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	j	7j	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	k	7k	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	l	7l	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	m	7m	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	n	7n	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	o	7o	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	p	7p	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	q	7q	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	r	7r	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	s	7s	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	t	7t	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	u	7u	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	v	7v	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	x	7x	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	y	7y	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	7	z	7z	0	30	0	UNOBSERVED	NEVER_OBSERVED
2	8	0	80	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	1	81	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	2	82	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	3	83	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	4	84	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	5	85	2	11	0.1818181818	OBSERVED	OBSERVED
2	8	6	86	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	7	87	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	8	88	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	9	89	1	11	0.09090909091	OBSERVED	OBSERVED
2	8	I	8I	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	a	8a	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	b	8b	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	c	8c	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	d	8d	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	e	8e	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	f	8f	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	g	8g	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	h	8h	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	i	8i	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	j	8j	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	k	8k	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	l	8l	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	m	8m	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	n	8n	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	o	8o	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	p	8p	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	q	8q	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	r	8r	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	s	8s	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	t	8t	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	u	8u	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	v	8v	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	x	8x	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	y	8y	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	8	z	8z	0	11	0	UNOBSERVED	NEVER_OBSERVED
2	9	0	90	1	20	0.05	OBSERVED	OBSERVED
2	9	1	91	4	20	0.2	OBSERVED	OBSERVED
2	9	2	92	4	20	0.2	OBSERVED	OBSERVED
2	9	3	93	1	20	0.05	OBSERVED	OBSERVED
2	9	4	94	1	20	0.05	OBSERVED	OBSERVED
2	9	5	95	1	20	0.05	OBSERVED	OBSERVED
2	9	6	96	5	20	0.25	OBSERVED	OBSERVED
2	9	7	97	2	20	0.1	OBSERVED	OBSERVED
2	9	8	98	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	9	99	1	20	0.05	OBSERVED	OBSERVED
2	9	I	9I	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	a	9a	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	b	9b	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	c	9c	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	d	9d	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	e	9e	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	f	9f	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	g	9g	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	h	9h	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	i	9i	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	j	9j	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	k	9k	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	l	9l	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	m	9m	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	n	9n	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	o	9o	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	p	9p	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	q	9q	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	r	9r	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	s	9s	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	t	9t	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	u	9u	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	v	9v	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	x	9x	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	y	9y	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	9	z	9z	0	20	0	UNOBSERVED	NEVER_OBSERVED
2	a	0	a0	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	1	a1	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	2	a2	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	3	a3	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	4	a4	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	5	a5	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	6	a6	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	7	a7	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	8	a8	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	9	a9	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	I	aI	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	a	aa	4	14713	0.0002718684157	OBSERVED	OBSERVED
2	a	b	ab	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	c	ac	16	14713	0.001087473663	OBSERVED	OBSERVED
2	a	d	ad	55	14713	0.003738190716	OBSERVED	OBSERVED
2	a	e	ae	9	14713	0.0006117039353	OBSERVED	OBSERVED
2	a	f	af	1	14713	6.796710392e-05	OBSERVED	OBSERVED
2	a	g	ag	21	14713	0.001427309182	OBSERVED	OBSERVED
2	a	h	ah	2	14713	0.0001359342078	OBSERVED	OBSERVED
2	a	i	ai	6789	14713	0.4614286685	OBSERVED	OBSERVED
2	a	j	aj	5	14713	0.0003398355196	OBSERVED	OBSERVED
2	a	k	ak	38	14713	0.002582749949	OBSERVED	OBSERVED
2	a	l	al	3225	14713	0.2191939101	OBSERVED	OBSERVED
2	a	m	am	811	14713	0.05512132128	OBSERVED	OBSERVED
2	a	n	an	122	14713	0.008291986678	OBSERVED	OBSERVED
2	a	o	ao	9	14713	0.0006117039353	OBSERVED	OBSERVED
2	a	p	ap	7	14713	0.0004757697275	OBSERVED	OBSERVED
2	a	q	aq	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	r	ar	3470	14713	0.2358458506	OBSERVED	OBSERVED
2	a	s	as	98	14713	0.006660776184	OBSERVED	OBSERVED
2	a	t	at	11	14713	0.0007476381431	OBSERVED	OBSERVED
2	a	u	au	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	v	av	0	14713	0	UNOBSERVED	NEVER_OBSERVED
2	a	x	ax	1	14713	6.796710392e-05	OBSERVED	OBSERVED
2	a	y	ay	16	14713	0.001087473663	OBSERVED	OBSERVED
2	a	z	az	3	14713	0.0002039013118	OBSERVED	OBSERVED
2	c	0	c0	0	13304	0	UNOBSERVED	NEVER_OBSERVED
