physical_line	token_count	glyph_count	first_token	last_token	first_glyph	last_glyph	repeated_token_occurrences	repeated_family_occurrences	token_length_progression	token_family_progression	folio_locus_type_section
1096	9	44	qo	cthom	q	m	0	8	2|6|5|5|6|4|6|5|5	1|1|1|1|1|1|1|1|1	f45r|f45r.3|P|H
1097	6	23	lor	cham	l	m	1	5	3|1|5|5|5|4	1|1|1|1|1|1	f45r|f45r.4|P|H
1098	10	45	kol	daiin	k	n	0	9	3|3|5|5|2|8|5|6|3|5	1|1|1|1|1|1|1|1|1|1	f45r|f45r.5|P|H
1099	8	42	otchar	dary	o	y	0	7	6|6|5|7|7|4|3|4	1|1|1|1|1|1|1|1	f45r|f45r.6|P|H
1100	5	15	lchar	dar	l	r	0	4	5|3|1|3|3	1|1|1|1|1	f45r|f45r.7|P|H
1101	10	44	tchol	g	t	g	1	8	5|4|7|4|4|3|5|6|5|1	1|1|1|1|1|2|1|1|1|1	f45r|f45r.8|P|H
1102	10	41	201	dy	2	y	1	8	3|2|2|5|4|7|6|7|3|2	2|1|1|1|1|1|1|1|1|1	f45r|f45r.9|P|H
1103	9	38	okaiin	dal	o	l	0	8	6|4|3|3|4|5|5|5|3	1|1|1|1|1|1|1|1|1	f45r|f45r.10|P|H
1104	5	26	l	daldaiin	l	n	0	4	1|6|5|6|8	1|1|1|1|1	f45r|f45r.11|P|H
1105	10	49	korary	olald	k	d	0	8	6|4|3|4|7|4|5|3|8|5	1|1|1|1|391|1|1|1|1|1	f45v|f45v.1|P|H
1106	10	42	okol	s	o	s	1	9	4|4|5|4|6|4|6|2|6|1	1|1|1|1|1|1|1|1|1|1	f45v|f45v.2|P|H
1107	11	40	qokchy	yd	q	d	1	10	6|1|2|5|5|5|3|2|5|4|2	1|1|1|1|1|1|1|1|1|1|1	f45v|f45v.3|P|H
1108	6	26	okchy	shy	o	y	0	5	5|6|4|4|4|3	1|1|1|1|1|1	f45v|f45v.4|P|H
1109	9	39	qotol	otytam	q	m	0	7	5|6|6|3|3|5|3|2|6	1|1|1|1|1|1|1|1|769	f45v|f45v.5|P|H
1110	9	32	s	cheg	s	g	1	8	1|4|5|5|3|6|2|2|4	1|1|1|1|1|1|1|1|1	f45v|f45v.6|P|H
1111	6	27	tchtcho	ytchom	t	m	0	4	7|5|4|1|4|6	1067|1|1|1|1|1	f45v|f45v.7|P|H
1112	7	30	yksheor	oaiir	y	r	0	6	7|4|3|2|5|4|5	1|1|1|1|1|1|1	f45v|f45v.8|P|H
1113	7	28	ychor	ykchom	y	m	0	6	5|4|4|5|2|2|6	1|1|1|1|1|1|1	f45v|f45v.9|P|H
1114	5	27	dshor	ytchord	d	d	0	4	5|5|3|7|7	1|1|1|1|1	f45v|f45v.10|P|H
1115	5	23	or	dcholdy	o	y	0	4	2|4|5|5|7	1|1|1|1|1	f45v|f45v.11|P|H
1116	13	67	pcheocphy	daly	p	y	2	12	9|6|5|2|7|7|6|4|6|5|4|2|4	1|1|1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.1|P|H
1117	13	66	sodaiin	sheckhy	s	y	0	12	7|7|4|4|5|6|5|4|5|5|3|4|7	1|1|1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.2|P|H
1118	13	58	daiin	daiin	d	n	2	12	5|4|4|6|5|3|8|5|1|4|4|4|5	1|1|1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.3|P|H
1119	10	60	tshedar	dalocthhy	t	y	2	8	7|4|5|6|7|6|6|5|5|9	1|1|1|1|1|1|1|1|1|291	f46r|f46r.4|P|H
1120	10	52	okeedy	cheor	o	r	0	8	6|7|4|5|4|4|8|5|4|5	1|1|1|1|1|1|914|1|1|1	f46r|f46r.5|P|H
1121	12	65	tedy	chdam	t	m	0	11	4|6|4|5|7|7|6|4|4|7|6|5	1|1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.6|P|H
1122	14	60	xol	m	x	m	0	13	3|4|7|6|7|1|2|4|4|5|5|5|6|1	1|1|1|1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.7|P|H
1123	11	46	dsheol	chey	d	y	0	10	6|3|6|3|4|4|5|5|1|5|4	1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.8|P|H
1124	13	60	tshdy	dardam	t	m	0	12	5|4|6|7|4|4|5|5|2|5|4|3|6	1|1|1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.9|P|H
1125	9	42	tchey	sheol	t	l	0	8	5|3|5|3|5|4|6|6|5	1|1|1|1|1|1|1|1|1	f46r|f46r.10|P|H
1126	13	65	pchdair	yfchedy	p	y	0	9	7|3|4|5|4|7|7|3|5|9|1|3|7	1|1|1|1|1|534|1|1|1|655|1|2|1	f46r|f46r.11|P|H
1127	12	57	techy	chckham	t	m	0	11	5|5|8|5|1|4|4|4|3|7|4|7	1|1|1|1|1|1|1|1|1|1|1|1	f46r|f46r.12|P|H
1128	9	32	ar	y	a	y	0	8	2|6|4|5|4|3|3|4|1	1|1|1|1|1|1|1|1|1	f46r|f46r.13|P|H
1129	8	45	otchealkar	qokam	o	m	0	5	10|8|5|5|4|3|5|5	709|1008|1|1|1|1|1|1	f46r|f46r.14|P|H
1130	4	19	qokar	alkeody	q	y	0	3	5|4|3|7	1|1|1|1	f46r|f46r.15|P|H
1131	12	64	pody	daiin	p	n	0	11	4|5|4|5|7|5|7|6|6|4|6|5	1|1|1|1|1|1|1|1|1|1|1|1	f46v|f46v.1|P|H
1132	14	63	ytair	daiin	y	n	1	13	5|4|6|5|5|6|4|2|4|5|4|4|4|5	1|1|1|1|1|1|1|1|1|1|1|1|1|1	f46v|f46v.2|P|H
1133	13	61	ytchey	dam	y	m	0	12	6|5|8|6|8|2|1|5|3|4|5|5|3	1|1|1|1|1|1|1|1|1|1|1|1|1	f46v|f46v.3|P|H
1134	13	64	ydaiin	shckhefy	y	y	0	12	6|6|5|4|7|6|3|4|4|5|1|5|8	1|1|1|1|1|1|1|1|1|1|1|1|1	f46v|f46v.4|P|H
1135	13	59	lodaiin	cthy	l	y	0	12	7|5|6|4|5|6|5|5|6|1|2|3|4	1|1|1|1|1|1|1|1|1|1|1|1|1	f46v|f46v.5|P|H
1136	12	62	tor	m	t	m	0	10	3|8|5|6|6|6|7|6|4|5|5|1	1|68|1|1|1|1|1|1|1|1|1|1	f46v|f46v.6|P|H
1137	6	30	dchedy	chedy	d	y	0	5	6|6|3|4|6|5	1|1|1|1|1|1	f46v|f46v.7|P|H
1138	5	32	okeedchsy	aickyy	o	y	0	2	9|7|8|2|6	557|1|1|1|57	f46v|f46v.8|P|H
1139	5	29	yteedy	daim	y	m	0	4	6|5|8|6|4	1|1|1|1|1	f46v|f46v.9|P|H
1140	7	26	sheol	om	s	m	0	6	5|2|4|6|4|3|2	1|1|1|1|1|1|1	f46v|f46v.10|P|H
1141	5	27	tolshey	dam	t	m	0	3	7|5|9|3|3	1|1|193|1|1	f46v|f46v.11|P|H
1142	5	23	dair	chdam	d	m	1	4	4|3|5|6|5	1|1|1|1|1	f46v|f46v.12|P|H
1143	2	9	ykar	chedy	y	y	0	1	4|5	1|1	f46v|f46v.13|P|H
1144	7	31	159	chdy	1	y	0	5	3|5|3|7|4|5|4	2|1|1|1|1|1|1	f47r|f47r.1|P|H
1145	6	30	chokchol	aiin	c	n	0	5	8|4|6|4|4|4	1|1|1|1|1|1	f47r|f47r.2|P|H
1146	8	35	dor	okaiin	d	n	1	7	3|4|3|6|5|4|4|6	1|1|1|1|1|1|1|1	f47r|f47r.3|P|H
1147	6	34	qokcheo	kchdal	q	l	0	5	7|5|7|4|5|6	1|1|1|1|1|1	f47r|f47r.4|P|H
1148	3	17	dain	chokolg	d	g	0	2	4|6|7	1|1|1	f47r|f47r.5|P|H
1149	10	40	folr	cholol	f	l	2	9	4|4|2|4|4|4|4|4|4|6	1|1|1|1|1|1|1|1|1|1	f47r|f47r.6|P|H
1150	10	42	schesy	hey	s	y	2	8	6|5|7|4|4|4|4|2|3|3	1|1|1|1|1|1|1|1|2|1	f47r|f47r.7|P|H
1151	9	40	shokeey	ctham	s	m	0	7	7|3|5|4|3|6|3|4|5	1|1|1|1|1|1|2|1|1	f47r|f47r.8|P|H
1152	8	38	qoko	kchorsy	q	y	0	6	4|3|6|4|4|5|5|7	1|1|1|1|1|1|1|420	f47r|f47r.9|P|H
1153	9	36	shy	dam	s	m	0	8	3|5|4|3|4|5|5|4|3	1|1|1|1|1|1|1|1|1	f47r|f47r.10|P|H
1154	4	19	dsho	daiiny	d	y	0	3	4|4|5|6	1|1|1|1	f47r|f47r.11|P|H
1155	6	32	psheot	sary	p	y	0	4	6|5|7|7|3|4	1|1|221|1|1|1	f47v|f47v.1|P|H
1156	7	35	dsheey	daiiy	d	y	0	6	6|3|4|6|6|5|5	1|1|1|1|1|1|1	f47v|f47v.2|P|H
1157	7	33	shol	daiin	s	n	0	6	4|4|5|3|6|6|5	1|1|1|1|1|1|1	f47v|f47v.3|P|H
1158	7	30	qotol	cthy	q	y	0	6	5|5|3|3|6|4|4	1|1|1|1|1|1|1	f47v|f47v.4|P|H
1159	7	27	dsholy	sary	d	y	0	6	6|5|4|3|3|2|4	1|1|1|1|1|1|1	f47v|f47v.5|P|H
1160	5	25	chody	chol	c	l	0	4	5|5|5|6|4	1|1|1|1|1	f47v|f47v.6|P|H
1161	3	18	pchodaiin	dcthy	p	y	0	2	9|4|5	1|1|1	f47v|f47v.7|P|H
1162	4	22	daiin	sal	d	l	0	3	5|7|7|3	1|1|1|1	f47v|f47v.8|P|H
1163	5	25	qotcheey	dain	q	n	1	4	8|5|4|4|4	1|1|1|1|1	f47v|f47v.9|P|H
1164	9	36	chotcho	dar	c	r	0	8	7|6|1|4|4|2|4|5|3	1|1|1|1|1|1|1|1|1	f47v|f47v.10|P|H
1165	9	35	oteey	chy	o	y	1	8	5|3|4|3|3|5|4|5|3	1|1|1|1|1|1|1|1|1	f47v|f47v.11|P|H
1166	8	33	chy	daiin	c	n	2	7	3|3|5|3|3|5|6|5	1|1|1|1|1|1|1|1	f47v|f47v.12|P|H
1167	6	33	dshy	otald	d	d	0	4	4|5|7|6|6|5	1|1|117|1|1|1	f47v|f47v.13|P|H
1168	2	10	chol	ctchey	c	y	0	1	4|6	1|1	f47v|f47v.14|P|H
1169	12	65	pshdaiin	opaldy	p	y	0	10	8|6|6|1|3|2|3|9|8|7|6|6	1|1|1|1|2|1|1|1|1|1|1|1	f48r|f48r.1|P|H
1170	10	61	daiin	ckhy	d	y	0	8	5|6|6|10|6|7|6|6|5|4	1|1|1|423|1|1|1|1|1|1	f48r|f48r.2|P|H
1171	13	60	sheody	ldy	s	y	0	11	6|3|7|9|3|5|1|4|3|4|5|7|3	1|1|50|1|1|1|1|1|1|1|1|1|1	f48r|f48r.3|P|H
1172	12	61	tolkeol	r	t	r	0	11	7|4|6|6|4|5|4|5|5|7|7|1	1|1|1|1|1|1|1|1|1|1|1|1	f48r|f48r.4|P|H
1173	11	62	yteey	od	y	d	0	10	5|4|6|8|7|8|6|7|4|5|2	1|1|1|1|1|1|1|1|1|1|1	f48r|f48r.5|P|H
1174	12	57	alshey	daldy	a	y	0	11	6|6|7|6|5|5|4|4|1|3|5|5	1|1|1|1|1|1|1|1|1|1|1|1	f48r|f48r.6|P|H
1175	10	54	tocthy	okam	t	m	0	8	6|6|6|7|8|2|2|8|5|4	1|1|1|1|1|1|1|1134|1|1	f48r|f48r.7|P|H
1176	7	33	otchdain	dr	o	r	0	6	8|4|5|6|5|3|2	1|1|1|1|1|1|1	f48r|f48r.8|P|H
1177	4	20	yteched	okeoam	y	m	0	3	7|2|5|6	1|1|1|1	f48r|f48r.9|P|H
1178	13	68	pcheodchy	chedyty	p	y	0	12	9|6|6|3|4|7|4|7|5|4|5|1|7	1|1|1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.1|P|H
1179	10	55	chey	choolkeey	c	y	0	9	4|4|7|6|4|6|5|5|5|9	1|1|1|1|1|1|1|1|1|1	f48v|f48v.2|P|H
1180	13	55	alchey	am	a	m	0	12	6|3|1|5|7|5|5|4|6|4|4|3|2	1|1|1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.3|P|H
1181	12	50	dchedy	m	d	m	0	11	6|6|4|5|2|4|6|6|5|1|4|1	1|1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.4|P|H
1182	10	49	lkeey	otam	l	m	0	9	5|8|5|4|5|5|2|4|7|4	1|1|1|1|1|1|1|1|1|1	f48v|f48v.5|P|H
1183	15	49	shdy	am	s	m	1	14	4|6|4|4|2|5|2|2|3|4|2|1|3|5|2	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.6|P|H
1184	11	58	pchedar	cpheeg	p	g	1	10	7|4|7|5|4|5|2|5|5|8|6	1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.7|P|H
1185	11	55	oteody	otam	o	m	0	10	6|5|5|8|5|4|5|4|4|5|4	1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.8|P|H
1186	12	56	tor	otedy	t	y	0	11	3|5|4|7|5|3|5|3|6|6|4|5	1|1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.9|P|H
1187	13	58	tol	ary	t	y	1	12	3|5|5|5|4|5|5|4|8|5|4|2|3	1|1|1|1|1|1|1|1|1|1|1|1|1	f48v|f48v.10|P|H
1188	8	34	ykeedal	sary	y	y	0	6	7|6|4|1|3|2|7|4	1|1|1|1|1|1|19|1	f48v|f48v.11|P|H
1189	9	45	pychol	kchy	p	y	1	7	6|2|4|4|6|9|6|4|4	1|1|1|1|1|1012|1|1|1	f49r|f49r.1|P|H
1190	9	38	qotor	daiin	q	n	0	8	5|3|7|6|7|1|1|3|5	1|1|1|1|1|1|1|1|1	f49r|f49r.2|P|H
1191	6	31	dsho	cheoraiin	d	n	1	5	4|5|5|5|3|9	1|1|1|1|1|1	f49r|f49r.3|P|H
1192	4	22	ksho	dodar	k	r	0	3	4|6|7|5	1|1|1|1	f49r|f49r.4|P|H
1193	5	22	chor	qotan	c	n	0	4	4|5|4|4|5	1|1|1|1|1	f49r|f49r.5|P|H
1194	6	25	ol	choldaiin	o	n	0	5	2|2|3|3|6|9	1|1|1|1|1|1	f49r|f49r.6|P|H
1195	4	23	qokeor	qotody	q	y	0	3	6|5|6|6	1|1|1|1	f49r|f49r.7|P|H
1196	5	22	chot	qolsor	c	r	0	3	4|4|3|5|6	1|1|1|1|885	f49r|f49r.8|P|H
1197	4	24	oykeeey	choroiin	o	n	0	3	7|4|5|8	1|1|1|1	f49r|f49r.9|P|H
1198	6	21	sho	shy	s	y	1	5	3|1|6|4|4|3	1|1|1|1|1|1	f49r|f49r.10|P|H
1199	2	14	chotcheol	dchol	c	l	0	1	9|5	1|1	f49r|f49r.11|P|H
1200	5	26	podaiin	chcthy	p	y	0	4	7|4|4|5|6	1|1|1|1|1	f49r|f49r.12|P|H
1201	7	25	c	cthodd	c	d	0	6	1|2|4|1|6|5|6	1|1|1|1|1|1|1	f49r|f49r.13|P|H
1202	7	27	q	daiin	q	n	0	5	1|1|7|4|5|4|5	1|1|1010|1|1|1|1	f49r|f49r.14|P|H
1203	6	28	ochol	iin	o	n	0	5	5|4|5|9|2|3	1|1|1|1|1|1	f49r|f49r.15|P|H
1204	5	23	q	qotchody	q	y	0	4	1|4|5|5|8	1|1|1|1|1	f49r|f49r.16|P|H
1205	7	32	olol	chosory	o	y	1	5	4|2|4|4|4|7|7	1|1|1|1|1|1|229	f49r|f49r.17|P|H
1206	7	32	sheor	chotchy	s	y	0	6	5|5|2|3|7|3|7	1|1|1|1|1|1|1	f49r|f49r.18|P|H
1207	6	33	dcheo	chokan	d	n	0	5	5|1|5|8|8|6	1|1|1|1|1|1	f49r|f49r.19|P|H
1208	6	28	qotcho	oriin	q	n	0	5	6|5|3|6|3|5	1|1|1|1|1|1	f49r|f49r.20|P|H
1209	4	16	odcho	shol	o	l	0	3	5|4|3|4	1|1|1|1	f49r|f49r.21|P|H
1210	1	1	f	f	f	f	0	0	1	1	f49v|f49v.1|L|H
1211	4	25	kshor	chcfhhy	k	y	0	3	5|4|9|7	1|1|1|1	f49v|f49v.2|P|H
1212	1	1	o	o	o	o	0	0	1	1	f49v|f49v.3|L|H
1213	4	20	qokchy	ckhy	q	y	0	3	6|7|3|4	1|1|1|1	f49v|f49v.4|P|H
1214	1	1	r	r	r	r	0	0	1	1	f49v|f49v.5|L|H
1215	4	23	chotchy	koddy	c	y	0	3	7|6|5|5	1|1|1|1	f49v|f49v.6|P|H
1216	1	1	y	y	y	y	0	0	1	1	f49v|f49v.7|L|H
1217	3	19	okeodsho	dam	o	m	0	1	8|8|3	36|1|1	f49v|f49v.8|P|H
1218	1	1	e	e	e	e	0	0	1	1	f49v|f49v.9|L|H
1219	3	19	shol	qotchar	s	r	0	2	4|8|7	1|1|1	f49v|f49v.10|P|H
1220	1	3	140	140	1	0	0	0	3	2	f49v|f49v.11|L|H
1221	3	18	qotchy	choky	q	y	0	2	6|7|5	1|1|1	f49v|f49v.12|P|H
1222	1	1	k	k	k	k	0	0	1	1	f49v|f49v.13|L|H
1223	3	18	chotchy	dan	c	n	0	2	7|8|3	1|1|1	f49v|f49v.14|P|H
1224	1	1	s	s	s	s	0	0	1	1	f49v|f49v.15|L|H
1225	4	19	qoteees	dol	q	l	0	3	7|4|5|3	1|1|1|1	f49v|f49v.16|P|H
1226	1	1	p	p	p	p	0	0	1	1	f49v|f49v.17|L|H
1227	4	18	ochor	dl	o	l	0	3	5|6|5|2	1|1|1|1	f49v|f49v.18|P|H
1228	1	1	o	o	o	o	0	0	1	1	f49v|f49v.19|L|H
1229	5	20	q	dar	q	r	0	4	1|5|5|6|3	1|1|1|1|1	f49v|f49v.20|P|H
1230	1	3	192	192	1	2	0	0	3	2	f49v|f49v.21|L|H
1231	4	20	dchol	choky	d	y	0	3	5|5|5|5	1|1|1|1	f49v|f49v.22|P|H
1232	1	1	y	y	y	y	0	0	1	1	f49v|f49v.23|L|H
1233	5	28	ochokeey	chokag	o	g	0	4	8|5|5|4|6	1|1|1|1|1	f49v|f49v.24|P|H
1234	1	1	e	e	e	e	0	0	1	1	f49v|f49v.25|L|H
1235	7	33	qokeol	daiin	q	n	0	6	6|9|4|4|1|4|5	1|1|1|1|1|1|1	f49v|f49v.26|P|H
1236	1	3	140	140	1	0	0	0	3	2	f49v|f49v.27|L|H
1237	6	38	fchochor	chotchy	f	y	0	5	8|4|5|9|5|7	1|1|1|1|1|1	f49v|f49v.28|P|H
1238	1	3	164	164	1	4	0	0	3	2	f49v|f49v.29|L|H
1239	7	41	dcho	okchokol	d	l	0	4	4|1|4|12|7|5|8	1|1|1|202|1|1|549	f49v|f49v.30|P|H
1240	1	1	p	p	p	p	0	0	1	1	f49v|f49v.31|L|H
1241	6	42	tchotchey	dchog	t	g	0	4	9|10|6|8|4|5	1|206|1|1|1|1	f49v|f49v.32|P|H
1242	1	1	o	o	o	o	0	0	1	1	f49v|f49v.33|L|H
1243	4	20	shocho	choty	s	y	0	3	6|5|4|5	1|1|1|1	f49v|f49v.34|P|H
1244	1	3	192	192	1	2	0	0	3	2	f49v|f49v.35|L|H
1245	8	41	qotcho	chotchody	q	y	0	7	6|5|4|1|3|7|6|9	1|1|1|1|1|1|1|1	f49v|f49v.36|P|H
1246	1	1	y	y	y	y	0	0	1	1	f49v|f49v.37|L|H
1247	9	43	chokeo	qokg	c	g	1	8	6|3|5|9|4|5|2|5|4	1|1|1|1|1|1|1|1|1	f49v|f49v.38|P|H
1248	1	1	e	e	e	e	0	0	1	1	f49v|f49v.39|L|H
1249	7	37	oaiin	chokchy	o	y	0	5	5|3|5|4|6|7|7	1|1|1|1|1|450|1	f49v|f49v.40|P|H
1250	1	3	140	140	1	0	0	0	3	2	f49v|f49v.41|L|H
1251	8	42	qokeaiin	daisin	q	n	0	7	8|4|4|7|6|4|3|6	1|1|1|1|1|1|1|1	f49v|f49v.42|P|H
1252	1	1	d	d	d	d	0	0	1	1	f49v|f49v.43|L|H
1253	9	42	chokaiin	dy	c	y	1	8	8|3|3|7|5|5|2|7|2	1|1|1|1|1|1|1|1|1	f49v|f49v.44|P|H
1254	1	1	y	y	y	y	0	0	1	1	f49v|f49v.45|L|H
1255	9	39	oaiin	s	o	s	0	6	5|5|3|3|8|5|3|6|1	1|1|2|1|924|1|1|1|1	f49v|f49v.46|P|H
1256	1	1	e	e	e	e	0	0	1	1	f49v|f49v.47|L|H
1257	8	37	qotcheol	d	q	d	1	7	8|4|4|7|4|3|6|1	1|1|1|1|1|1|1|1	f49v|f49v.48|P|H
1258	1	1	k	k	k	k	0	0	1	1	f49v|f49v.49|L|H
1259	6	37	chol	chokoran	c	n	0	3	4|4|4|8|9|8	1|1|1|182|1|209	f49v|f49v.50|P|H
1260	1	1	y	y	y	y	0	0	1	1	f49v|f49v.51|L|H
1261	4	19	ykchokeo	daiin	y	n	0	2	8|1|5|5	1124|1|1|1	f49v|f49v.52|P|H
1262	9	53	psheor	chefchdy	p	y	0	7	6|6|8|9|6|4|1|5|8	1|1|1|889|1|1|1|1|1	f50r|f50r.1|P|H
1263	12	51	sor	okam	s	m	0	10	3|9|7|4|4|2|3|3|6|4|2|4	1|685|1|1|1|1|1|1|1|1|1|1	f50r|f50r.2|P|H
1264	10	52	tshol	odam	t	m	0	9	5|3|6|6|6|5|5|5|7|4	1|1|1|1|1|1|1|1|1|1	f50r|f50r.3|P|H
1265	10	48	tchdy	ols	t	s	0	9	5|5|5|7|7|2|2|4|8|3	1|1|1|1|1|1|1|1|1|1	f50r|f50r.4|P|H
1266	11	51	solkchy	okain	s	n	3	10	7|6|7|7|4|2|1|7|3|2|5	1|1|1|1|1|1|1|1|1|1|1	f50r|f50r.5|P|H
1267	10	49	ykain	qoky	y	y	0	9	5|5|2|6|4|5|6|7|5|4	1|1|1|1|1|1|1|1|1|1	f50r|f50r.6|P|H
1268	10	52	todalain	dariin	t	n	0	8	8|5|5|6|4|3|3|5|7|6	1082|1|1|1|1|1|1|1|1|1	f50r|f50r.7|P|H
1269	9	48	yk	orolkain	y	n	0	6	2|6|7|6|3|3|7|6|8	1|1|1|1|1|1|1|1047|682	f50r|f50r.8|P|H
1270	7	37	ytchdy	alosam	y	m	0	6	6|6|5|5|6|3|6	1|1|1|1|1|1|1	f50r|f50r.9|P|H
1271	5	29	solkaiin	chky	s	y	0	3	8|6|6|5|4	1|639|1|1|1	f50r|f50r.10|P|H
1272	10	51	tchy	fardam	t	m	0	9	4|2|4|8|7|7|5|4|4|6	1|1|1|1|1|1|1|1|1|1	f50v|f50v.1|P|H
1273	10	52	tchodain	okain	t	n	0	9	8|5|6|5|6|4|3|5|5|5	1|1|1|1|1|1|1|1|1|1	f50v|f50v.2|P|H
1274	9	52	pochedy	okal	p	l	0	8	7|6|7|6|5|6|6|5|4	1|1|1|1|1|1|1|1|1	f50v|f50v.3|P|H
1275	12	48	dar	or	d	r	0	11	3|5|6|3|4|1|1|6|6|4|7|2	1|1|1|1|1|1|1|1|1|1|1|1	f50v|f50v.4|P|H
1276	10	52	y	okedyd	y	d	0	9	1|3|4|6|7|7|7|5|6|6	1|1|1|1|1|1|1|1|1|1	f50v|f50v.5|P|H
1277	10	51	daiin	chkeey	d	y	0	9	5|6|4|5|6|4|6|5|4|6	1|1|1|1|1|1|1|1|1|1	f50v|f50v.6|P|H
1278	10	51	tedaiin	dairam	t	m	0	9	7|6|2|6|4|5|5|7|3|6	1|1|1|1|1|1|1|1|1|1	f50v|f50v.7|P|H
1279	11	49	ykar	d	y	d	0	10	4|5|4|6|6|3|6|7|5|2|1	1|1|1|1|1|1|1|1|1|1|1	f50v|f50v.8|P|H
1280	8	42	ytsheod	oky	y	y	0	7	7|3|6|6|5|6|6|3	1|1|1|1|1|1|1|1	f50v|f50v.9|P|H
1281	7	38	dchedy	arood	d	d	0	6	6|6|6|7|6|2|5	1|1|1|1|1|1|1	f50v|f50v.10|P|H
1282	4	18	lchey	kchdy	l	y	0	3	5|3|5|5	1|1|1|1	f50v|f50v.11|P|H
1283	4	29	tsholdchy	ypchedy	t	y	0	2	9|6|7|7	1099|1|1|1	f51r|f51r.1|P|H
1284	4	28	dcheodaiin	chody	d	y	0	3	10|7|6|5	1|1|1|1	f51r|f51r.2|P|H
1285	5	27	ydchody	qoky	y	y	0	4	7|5|3|8|4	1|1|1|1|1	f51r|f51r.3|P|H
1286	6	29	daiin	cheeey	d	y	0	5	5|4|4|6|4|6	1|1|1|1|1|1	f51r|f51r.4|P|H
1287	5	31	tcheody	taiin	t	n	0	4	7|7|5|7|5	1|1|1|1|1	f51r|f51r.5|P|H
1288	5	32	ycho	ykald	y	d	0	4	4|5|8|10|5	1|1|1|1|1	f51r|f51r.6|P|H
1289	6	28	ychos	qotal	y	l	0	5	5|2|6|4|6|5	1|1|1|1|1|1	f51r|f51r.7|P|H
1290	6	33	oshol	otydy	o	y	0	5	5|6|5|7|5|5	1|1|1|1|1|1	f51r|f51r.8|P|H
1291	7	32	tol	qoetam	t	m	0	6	3|5|4|7|3|4|6	1|1|1|1|1|1|1	f51r|f51r.9|P|H
1292	7	32	ykchol	okam	y	m	0	6	6|3|4|6|5|4|4	1|1|1|1|1|1|1	f51r|f51r.10|P|H
1293	6	37	tchodaiin	otag	t	g	0	5	9|7|5|9|3|4	1|1|1|1|1|1	f51r|f51r.11|P|H
1294	7	39	yoees	pchodal	y	l	0	6	5|6|3|6|5|7|7	1|1|1|1|1|1|1	f51r|f51r.12|P|H
1295	7	39	oaiin	ykeoldy	o	y	0	6	5|5|6|6|5|5|7	1|1|1|1|1|1|1	f51r|f51r.13|P|H
1296	7	36	daiiithy	dam	d	m	0	4	8|7|8|7|1|2|3	265|1|402|1|1|1|1	f51r|f51r.14|P|H
1297	7	26	qokol	otal	q	l	0	6	5|5|5|1|2|4|4	1|1|1|1|1|1|1	f51r|f51r.15|P|H
1298	7	41	poshody	dy	p	y	0	6	7|7|8|5|7|5|2	1|1|1|1|1|1|1	f51v|f51v.1|P|H
1299	8	41	dshody	cthy	d	y	0	7	6|6|5|7|3|5|5|4	1|1|1|1|1|1|1|1	f51v|f51v.2|P|H
1300	8	41	tchody	ytam	t	m	0	7	6|4|7|3|7|5|5|4	1|1|1|1|1|1|1|1	f51v|f51v.3|P|H
1301	9	41	otaiin	shokog	o	g	0	8	6|5|4|7|1|3|4|5|6	1|1|1|1|1|1|1|1|1	f51v|f51v.4|P|H
1302	9	43	todaiin	y	t	y	0	8	7|5|5|6|6|4|6|3|1	1|1|1|1|1|1|1|1|1	f51v|f51v.5|P|H
1303	8	44	okor	daiin	o	n	0	7	4|7|6|5|7|6|4|5	1|1|1|1|1|1|1|1	f51v|f51v.6|P|H
1304	9	45	qotol	olcheety	q	y	0	8	5|8|9|3|1|4|6|1|8	1|1|1|1|1|1|1|1|1	f51v|f51v.7|P|H
1305	5	29	olkeeody	ofal	o	l	0	4	8|5|7|5|4	1|1|1|1|1	f51v|f51v.8|P|H
1306	4	22	daiin	kcholol	d	l	0	3	5|5|5|7	1|1|1|1	f51v|f51v.9|P|H
1307	4	19	ykeol	fold	y	d	0	3	5|4|6|4	1|1|1|1	f51v|f51v.10|P|H
1308	4	21	ycheoky	chey	y	y	0	3	7|5|5|4	1|1|1|1	f51v|f51v.11|P|H
1309	4	21	ochockhy	ckhey	o	y	0	3	8|5|3|5	1|1|1|1	f51v|f51v.12|P|H
1310	3	18	daiin	cheodain	d	n	0	2	5|5|8	1|1|1	f51v|f51v.13|P|H
1311	10	51	tdokchcfhy	yty	t	y	0	7	10|6|5|4|4|5|5|6|3|3	1068|1113|1|1|1|1|1|1|1|1	f52r|f52r.1|P|H
