token	frequency	length_symbols	glyph_composition	initial_glyph	final_glyph	physical_line_coverage	folio_coverage	section_coverage	mean_normalized_line_position	median_normalized_line_position	edit_family_id
aiiikheedy	1	10	a|i|i|i|k|h|e|e|d|y	a	y	1	1	1	0.1111111111	0.1111111111	60
aiiiky	1	6	a|i|i|i|k|y	a	y	1	1	1	0.4	0.4	61
aiiil	1	5	a|i|i|i|l	a	l	1	1	1	1	1	1
aiiin	47	5	a|i|i|i|n	a	n	47	31	6	0.5697679518	0.5714285714	1
aiiinol	1	7	a|i|i|i|n|o|l	a	l	1	1	1	0.875	0.875	62
aiiiro	1	6	a|i|i|i|r|o	a	o	1	1	1	0.4615384615	0.4615384615	63
aiijy	1	5	a|i|i|j|y	a	y	1	1	1	0.3333333333	0.3333333333	1
aiikam	1	6	a|i|i|k|a|m	a	m	1	1	1	1	1	64
aiil	1	4	a|i|i|l	a	l	1	1	1	0.8	0.8	1
aiildy	1	6	a|i|i|l|d|y	a	y	1	1	1	0.1111111111	0.1111111111	1
aiily	1	5	a|i|i|l|y	a	y	1	1	1	1	1	1
aiim	1	4	a|i|i|m	a	m	1	1	1	0.8333333333	0.8333333333	1
aiin	511	4	a|i|i|n	a	n	454	131	8	0.5651178519	0.5675675676	1
aiinal	2	6	a|i|i|n|a|l	a	l	2	2	1	1	1	1
aiinchodar	1	10	a|i|i|n|c|h|o|d|a|r	a	r	1	1	1	1	1	65
aiindy	1	6	a|i|i|n|d|y	a	y	1	1	1	1	1	1
aiinod	1	6	a|i|i|n|o|d	a	d	1	1	1	0.5	0.5	1
aiinos	1	6	a|i|i|n|o|s	a	s	1	1	1	1	1	1
aiinpchod	1	9	a|i|i|n|p|c|h|o|d	a	d	1	1	1	0.8181818182	0.8181818182	66
aiinsham	1	8	a|i|i|n|s|h|a|m	a	m	1	1	1	1	1	67
aiiny	3	5	a|i|i|n|y	a	y	3	3	3	1	1	1
aiioly	1	6	a|i|i|o|l|y	a	y	1	1	1	1	1	1
aiios	1	5	a|i|i|o|s	a	s	1	1	1	0.3333333333	0.3333333333	1
aiip	1	4	a|i|i|p	a	p	1	1	1	0.2	0.2	1
aiir	29	4	a|i|i|r	a	r	29	20	5	0.594026636	0.6363636364	1
aiiraly	1	7	a|i|i|r|a|l|y	a	y	1	1	1	1	1	1
aiirchar	1	8	a|i|i|r|c|h|a|r	a	r	1	1	1	0.09090909091	0.09090909091	68
aiird	1	5	a|i|i|r|d	a	d	1	1	1	1	1	1
aiirod	1	6	a|i|i|r|o|d	a	d	1	1	1	0.1111111111	0.1111111111	1
aiirody	1	7	a|i|i|r|o|d|y	a	y	1	1	1	1	1	1
aiiroekey	1	9	a|i|i|r|o|e|k|e|y	a	y	1	1	1	0.75	0.75	69
aiirol	1	6	a|i|i|r|o|l	a	l	1	1	1	0.5	0.5	1
aiiry	1	5	a|i|i|r|y	a	y	1	1	1	0.75	0.75	1
aikhdy	1	6	a|i|k|h|d|y	a	y	1	1	1	0.1111111111	0.1111111111	1
aikhe	1	5	a|i|k|h|e	a	e	1	1	1	0.2857142857	0.2857142857	1
aikhedy	1	7	a|i|k|h|e|d|y	a	y	1	1	1	0.5	0.5	1
aikheky	1	7	a|i|k|h|e|k|y	a	y	1	1	1	1	1	1
aikhy	3	5	a|i|k|h|y	a	y	3	3	2	0.4343434343	0.4444444444	1
aiky	1	4	a|i|k|y	a	y	1	1	1	0.5	0.5	1
ail	5	3	a|i|l	a	l	5	4	1	0.6292307692	0.75	1
aildy	3	5	a|i|l|d|y	a	y	3	3	2	0.7301587302	1	1
aim	7	3	a|i|m	a	m	7	7	5	0.821812596	1	1
ain	116	3	a|i|n	a	n	109	54	7	0.520253286	0.5393939394	1
ainai	1	5	a|i|n|a|i	a	i	1	1	1	0.9166666667	0.9166666667	1
ainaly	1	6	a|i|n|a|l|y	a	y	1	1	1	0.5	0.5	1
ainam	1	5	a|i|n|a|m	a	m	1	1	1	1	1	1
aindar	1	6	a|i|n|d|a|r	a	r	1	1	1	1	1	70
ainy	1	4	a|i|n|y	a	y	1	1	1	0.1666666667	0.1666666667	1
aiodam	1	6	a|i|o|d|a|m	a	m	1	1	1	1	1	1
aiphey	1	6	a|i|p|h|e|y	a	y	1	1	1	0.6666666667	0.6666666667	1
aiphhey	1	7	a|i|p|h|h|e|y	a	y	1	1	1	0.4444444444	0.4444444444	1
aiphy	1	5	a|i|p|h|y	a	y	1	1	1	0.3	0.3	1
air	84	3	a|i|r	a	r	81	54	8	0.5020767268	0.5	1
airal	3	5	a|i|r|a|l	a	l	3	3	2	0.7575757576	1	1
airaldy	1	7	a|i|r|a|l|d|y	a	y	1	1	1	0.875	0.875	1
airalor	1	7	a|i|r|a|l|o|r	a	r	1	1	1	0.7878787879	0.7878787879	1
airaly	1	6	a|i|r|a|l|y	a	y	1	1	1	0.25	0.25	1
airam	2	5	a|i|r|a|m	a	m	2	2	2	1	1	1
airchy	1	6	a|i|r|c|h|y	a	y	1	1	1	0.9210526316	0.9210526316	9
airod	2	5	a|i|r|o|d	a	d	2	2	1	0.9545454545	0.9545454545	1
airody	3	6	a|i|r|o|d|y	a	y	3	3	2	0.7087912088	0.7692307692	1
airol	3	5	a|i|r|o|l	a	l	3	3	2	0.5907407407	0.75	1
airols	1	6	a|i|r|o|l|s	a	s	1	1	1	1	1	1
airorlchy	1	9	a|i|r|o|r|l|c|h|y	a	y	1	1	1	0.875	0.875	71
airoy	1	5	a|i|r|o|y	a	y	1	1	1	0.8888888889	0.8888888889	1
airy	1	4	a|i|r|y	a	y	1	1	1	1	1	1
ais	3	3	a|i|s	a	s	3	2	2	0.7379679144	0.9411764706	1
aisar	1	5	a|i|s|a|r	a	r	1	1	1	1	1	1
aithar	1	6	a|i|t|h|a|r	a	r	1	1	1	0.9090909091	0.9090909091	1
aithy	4	5	a|i|t|h|y	a	y	4	4	4	0.4780701754	0.4005847953	1
aiy	2	3	a|i|y	a	y	2	2	1	0.7076923077	0.7076923077	1
ajam	1	4	a|j|a|m	a	m	1	1	1	1	1	1
ajy	1	3	a|j|y	a	y	1	1	1	1	1	1
akaiiky	1	7	a|k|a|i|i|k|y	a	y	1	1	1	0.2222222222	0.2222222222	72
akaiin	2	6	a|k|a|i|i|n	a	n	2	2	2	0.3958333333	0.3958333333	1
akain	1	5	a|k|a|i|n	a	n	1	1	1	0.4	0.4	1
akair	1	5	a|k|a|i|r	a	r	1	1	1	0.75	0.75	1
akal	1	4	a|k|a|l	a	l	1	1	1	0.7	0.7	1
akar	1	4	a|k|a|r	a	r	1	1	1	0.5555555556	0.5555555556	1
akcheey	1	7	a|k|c|h|e|e|y	a	y	1	1	1	0.7777777778	0.7777777778	1
akchy	1	5	a|k|c|h|y	a	y	1	1	1	0.3333333333	0.3333333333	1
akeom	1	5	a|k|e|o|m	a	m	1	1	1	0.5454545455	0.5454545455	1
akey	1	4	a|k|e|y	a	y	1	1	1	0.1818181818	0.1818181818	1
aky	4	3	a|k|y	a	y	4	4	1	0.7047619048	0.7666666667	1
al	262	2	a|l	a	l	233	86	8	0.5753327953	0.6	1
alaiiin	1	7	a|l|a|i|i|i|n	a	n	1	1	1	0.3695652174	0.3695652174	1
alaiin	8	6	a|l|a|i|i|n	a	n	8	8	5	0.5662137681	0.5398550725	1
alaiinom	1	8	a|l|a|i|i|n|o|m	a	m	1	1	1	1	1	73
alain	4	5	a|l|a|i|n	a	n	4	4	3	0.1828649871	0.1180555556	1
alair	2	5	a|l|a|i|r	a	r	2	2	2	0.3636363636	0.3636363636	1
alal	7	4	a|l|a|l	a	l	7	7	3	0.3884133675	0.3170731707	1
alaldy	1	6	a|l|a|l|d|y	a	y	1	1	1	1	1	1
alalor	1	6	a|l|a|l|o|r	a	r	1	1	1	0.7	0.7	1
alals	1	5	a|l|a|l|s	a	s	1	1	1	0.5	0.5	1
alaly	2	5	a|l|a|l|y	a	y	2	2	1	0.95	0.95	1
alam	11	4	a|l|a|m	a	m	11	9	2	0.9494949495	1	1
alamchy	1	7	a|l|a|m|c|h|y	a	y	1	1	1	1	1	74
alar	5	4	a|l|a|r	a	r	5	5	2	0.4821507761	0.4	1
alcfhy	1	6	a|l|c|f|h|y	a	y	1	1	1	1	1	1
alchar	1	6	a|l|c|h|a|r	a	r	1	1	1	0.1428571429	0.1428571429	1
alchd	1	5	a|l|c|h|d	a	d	1	1	1	1	1	1
alchdy	2	6	a|l|c|h|d|y	a	y	2	2	2	0.7727272727	0.7727272727	1
alched	2	6	a|l|c|h|e|d	a	d	2	2	2	0.5317460317	0.5317460317	1
alchedar	1	8	a|l|c|h|e|d|a|r	a	r	1	1	1	0.3333333333	0.3333333333	1
alchedy	4	7	a|l|c|h|e|d|y	a	y	4	4	2	0.3776785714	0.3928571429	1
alcheeg	1	7	a|l|c|h|e|e|g	a	g	1	1	1	0.875	0.875	1
alcheey	1	7	a|l|c|h|e|e|y	a	y	1	1	1	0	0	1
alcheky	1	7	a|l|c|h|e|k|y	a	y	1	1	1	1	1	1
alchey	6	6	a|l|c|h|e|y	a	y	6	6	4	0.4666666667	0.4166666667	1
alchky	1	6	a|l|c|h|k|y	a	y	1	1	1	0.09090909091	0.09090909091	1
alchl	2	5	a|l|c|h|l	a	l	2	2	2	0.8	0.8	1
alchol	1	6	a|l|c|h|o|l	a	l	1	1	1	0.3658536585	0.3658536585	1
alchor	1	6	a|l|c|h|o|r	a	r	1	1	1	0.09090909091	0.09090909091	1
alchy	2	5	a|l|c|h|y	a	y	2	2	2	0.4583333333	0.4583333333	1
alcphy	1	6	a|l|c|p|h|y	a	y	1	1	1	0.5	0.5	1
ald	5	3	a|l|d	a	d	5	5	3	0.641025641	0.5384615385	1
alda	1	4	a|l|d|a	a	a	1	1	1	1	1	1
aldaiin	3	7	a|l|d|a|i|i|n	a	n	3	3	3	0.3114090211	0.1290322581	1
aldam	2	5	a|l|d|a|m	a	m	2	2	2	0.8333333333	0.8333333333	1
aldar	2	5	a|l|d|a|r	a	r	2	2	2	0.6	0.6	1
aldl	1	4	a|l|d|l	a	l	1	1	1	1	1	1
aldor	1	5	a|l|d|o|r	a	r	1	1	1	1	1	1
aldy	14	4	a|l|d|y	a	y	14	14	6	0.9275613276	1	1
aldydy	1	6	a|l|d|y|d|y	a	y	1	1	1	0.3	0.3	75
aleedy	1	6	a|l|e|e|d|y	a	y	1	1	1	0.125	0.125	1
alekeey	1	7	a|l|e|k|e|e|y	a	y	1	1	1	0.5135135135	0.5135135135	1
alet	1	4	a|l|e|t	a	t	1	1	1	0.5	0.5	76
alfo	1	4	a|l|f|o	a	o	1	1	1	0.1	0.1	1
alfshed	1	7	a|l|f|s|h|e|d	a	d	1	1	1	1	1	77
alg	1	3	a|l|g	a	g	1	1	1	1	1	1
alif	1	4	a|l|i|f	a	f	1	1	1	1	1	78
alkaiin	4	7	a|l|k|a|i|i|n	a	n	3	2	1	0.8813131313	0.898989899	1
alkain	6	6	a|l|k|a|i|n	a	n	6	5	2	0.6226310726	0.6964285714	1
alkair	1	6	a|l|k|a|i|r	a	r	1	1	1	0.5454545455	0.5454545455	1
alkal	1	5	a|l|k|a|l	a	l	1	1	1	1	1	1
alkam	4	5	a|l|k|a|m	a	m	4	4	2	1	1	1
alkan	1	5	a|l|k|a|n	a	n	1	1	1	1	1	1
alkar	5	5	a|l|k|a|r	a	r	5	4	2	0.5	0.3333333333	1
alkchdy	1	7	a|l|k|c|h|d|y	a	y	1	1	1	0.3	0.3	1
alkeain	1	7	a|l|k|e|a|i|n	a	n	1	1	1	0.1	0.1	1
alkedy	1	6	a|l|k|e|d|y	a	y	1	1	1	0.6153846154	0.6153846154	1
alkeedy	2	7	a|l|k|e|e|d|y	a	y	2	2	1	0.9545454545	0.9545454545	1
alkeedym	1	8	a|l|k|e|e|d|y|m	a	m	1	1	1	1	1	1
alkeeor	1	7	a|l|k|e|e|o|r	a	r	1	1	1	0.4166666667	0.4166666667	1
alkeey	1	6	a|l|k|e|e|y	a	y	1	1	1	0.8888888889	0.8888888889	1
alkeody	1	7	a|l|k|e|o|d|y	a	y	1	1	1	1	1	1
alkey	1	5	a|l|k|e|y	a	y	1	1	1	0.5454545455	0.5454545455	1
alky	3	4	a|l|k|y	a	y	3	3	2	1	1	1
alo	4	3	a|l|o	a	o	4	3	2	0.6816433566	0.7269230769	1
aloal	1	5	a|l|o|a|l	a	l	1	1	1	1	1	1
alod	2	4	a|l|o|d	a	d	2	2	2	1	1	1
alodam	1	6	a|l|o|d|a|m	a	m	1	1	1	1	1	1
alodar	1	6	a|l|o|d|a|r	a	r	1	1	1	0.8181818182	0.8181818182	1
alody	6	5	a|l|o|d|y	a	y	6	6	4	0.6355218855	0.7878787879	1
aloees	2	6	a|l|o|e|e|s	a	s	2	2	1	0.6071428571	0.6071428571	1
aloifhy	1	7	a|l|o|i|f|h|y	a	y	1	1	1	1	1	79
aloiiin	1	7	a|l|o|i|i|i|n	a	n	1	1	1	0.3	0.3	1
aloiin	1	6	a|l|o|i|i|n	a	n	1	1	1	0.3	0.3	1
aloin	1	5	a|l|o|i|n	a	n	1	1	1	1	1	1
aloky	1	5	a|l|o|k|y	a	y	1	1	1	1	1	1
alol	8	4	a|l|o|l	a	l	8	7	4	0.5693813131	0.4818181818	1
alold	1	5	a|l|o|l|d	a	d	1	1	1	1	1	1
alolfchy	1	8	a|l|o|l|f|c|h|y	a	y	1	1	1	0.4	0.4	80
alolor	1	6	a|l|o|l|o|r	a	r	1	1	1	0.5454545455	0.5454545455	1
alols	1	5	a|l|o|l|s	a	s	1	1	1	0.625	0.625	1
alolshey	1	8	a|l|o|l|s|h|e|y	a	y	1	1	1	0.75	0.75	81
aloly	2	5	a|l|o|l|y	a	y	2	2	2	0.75	0.75	1
alom	4	4	a|l|o|m	a	m	4	4	2	0.8055555556	1	1
alor	9	4	a|l|o|r	a	r	9	6	4	0.5731527732	0.6153846154	1
alory	1	5	a|l|o|r|y	a	y	1	1	1	1	1	1
alos	1	4	a|l|o|s	a	s	1	1	1	1	1	1
alosam	1	6	a|l|o|s|a|m	a	m	1	1	1	1	1	1
alosheey	1	8	a|l|o|s|h|e|e|y	a	y	1	1	1	0.6	0.6	82
aloy	1	4	a|l|o|y	a	y	1	1	1	0.1333333333	0.1333333333	1
alpchdar	1	8	a|l|p|c|h|d|a|r	a	r	1	1	1	1	1	83
alpchdy	1	7	a|l|p|c|h|d|y	a	y	1	1	1	1	1	1
als	5	3	a|l|s	a	s	5	5	2	0.8593628594	0.9230769231	1
alsar	1	5	a|l|s|a|r	a	r	1	1	1	0.3636363636	0.3636363636	1
alshdr	1	6	a|l|s|h|d|r	a	r	1	1	1	0	0	1
alshdy	1	6	a|l|s|h|d|y	a	y	1	1	1	0.380952381	0.380952381	1
alshees	1	7	a|l|s|h|e|e|s	a	s	1	1	1	1	1	1
alsheod	1	7	a|l|s|h|e|o|d	a	d	1	1	1	0.2	0.2	1
alshey	4	6	a|l|s|h|e|y	a	y	4	4	2	0.1472653363	0.1430155211	1
alshy	2	5	a|l|s|h|y	a	y	2	2	2	0.1666666667	0.1666666667	1
alsy	1	4	a|l|s|y	a	y	1	1	1	1	1	1
altedy	1	6	a|l|t|e|d|y	a	y	1	1	1	0.4444444444	0.4444444444	1
alteol	1	6	a|l|t|e|o|l	a	l	1	1	1	0.9259259259	0.9259259259	84
aly	27	3	a|l|y	a	y	26	22	7	0.8032112011	0.9	1
alys	2	4	a|l|y|s	a	s	2	2	2	0.9583333333	0.9583333333	1
alyshy	1	6	a|l|y|s|h|y	a	y	1	1	1	0.3870967742	0.3870967742	1
am	88	2	a|m	a	m	87	55	8	0.8792814798	1	1
amam	1	4	a|m|a|m	a	m	1	1	1	1	1	1
aman	1	4	a|m|a|n	a	n	1	1	1	0.8181818182	0.8181818182	1
amchg	1	5	a|m|c|h|g	a	g	1	1	1	1	1	1
amchy	1	5	a|m|c|h|y	a	y	1	1	1	1	1	1
amd	1	3	a|m|d	a	d	1	1	1	1	1	1
amdy	1	4	a|m|d|y	a	y	1	1	1	0.06060606061	0.06060606061	1
amg	1	3	a|m|g	a	g	1	1	1	1	1	1
amod	1	4	a|m|o|d	a	d	1	1	1	1	1	1
amom	1	4	a|m|o|m	a	m	1	1	1	1	1	1
amy	1	3	a|m|y	a	y	1	1	1	1	1	1
an	5	2	a|n	a	n	5	4	3	0.7214285714	0.75	1
anl	1	3	a|n|l	a	l	1	1	1	1	1	1
aora	1	4	a|o|r|a	a	a	1	1	1	0.5	0.5	1
apchedy	1	7	a|p|c|h|e|d|y	a	y	1	1	1	0.9166666667	0.9166666667	1
apeeety	1	7	a|p|e|e|e|t|y	a	y	1	1	1	0.5	0.5	85
apo	1	3	a|p|o	a	o	1	1	1	0.8888888889	0.8888888889	1
ar	411	2	a|r	a	r	362	116	8	0.5449801138	0.5833333333	1
ara	1	3	a|r|a	a	a	1	1	1	0	0	1
arag	1	4	a|r|a|g	a	g	1	1	1	1	1	1
araiiin	1	7	a|r|a|i|i|i|n	a	n	1	1	1	0.8333333333	0.8333333333	1
araiin	10	6	a|r|a|i|i|n	a	n	10	10	5	0.6531451158	0.8	1
araiinol	1	8	a|r|a|i|i|n|o|l	a	l	1	1	1	1	1	86
arain	4	5	a|r|a|i|n	a	n	4	4	1	0.4521291209	0.4571428571	1
aral	20	4	a|r|a|l	a	l	20	19	8	0.7418366043	0.9	1
aralar	1	6	a|r|a|l|a|r	a	r	1	1	1	0.9090909091	0.9090909091	1
aralg	1	5	a|r|a|l|g	a	g	1	1	1	1	1	1
arally	1	6	a|r|a|l|l|y	a	y	1	1	1	0.5	0.5	1
aralor	1	6	a|r|a|l|o|r	a	r	1	1	1	0.6	0.6	1
araly	2	5	a|r|a|l|y	a	y	2	2	2	1	1	1
aram	11	4	a|r|a|m	a	m	11	11	4	0.8853535354	1	1
aran	1	4	a|r|a|n	a	n	1	1	1	0.25	0.25	1
arany	1	5	a|r|a|n|y	a	y	1	1	1	1	1	1
arar	10	4	a|r|a|r	a	r	10	9	5	0.7653651904	0.9871794872	1
araral	1	6	a|r|a|r|a|l	a	l	1	1	1	1	1	1
araram	1	6	a|r|a|r|a|m	a	m	1	1	1	1	1	1
ararchodaiin	1	12	a|r|a|r|c|h|o|d|a|i|i|n	a	n	1	1	1	0.5	0.5	87
araroy	1	6	a|r|a|r|o|y	a	y	1	1	1	0.5555555556	0.5555555556	1
arary	2	5	a|r|a|r|y	a	y	2	2	2	0.2962962963	0.2962962963	1
araryteop	1	9	a|r|a|r|y|t|e|o|p	a	p	1	1	1	1	1	88
arash	1	5	a|r|a|s|h	a	h	1	1	1	0.5	0.5	89
araydy	1	6	a|r|a|y|d|y	a	y	1	1	1	1	1	90
archeey	1	7	a|r|c|h|e|e|y	a	y	1	1	1	0.875	0.875	1
archeo	1	6	a|r|c|h|e|o	a	o	1	1	1	0	0	1
archeody	1	8	a|r|c|h|e|o|d|y	a	y	1	1	1	1	1	1
archey	1	6	a|r|c|h|e|y	a	y	1	1	1	0.9285714286	0.9285714286	1
archol	1	6	a|r|c|h|o|l	a	l	1	1	1	1	1	1
archytaiin	1	10	a|r|c|h|y|t|a|i|i|n	a	n	1	1	1	0	0	91
ardas	1	5	a|r|d|a|s	a	s	1	1	1	0.5	0.5	92
arg	1	3	a|r|g	a	g	1	1	1	1	1	1
