descriptor_id	text_metric	statistic_type	effect_size	absolute_effect	permutation_p	n_observed	n_sections	missing_visual	status	bh_q
OBJ_PLANT_LIKE	line_length_cv	ORDINAL	-0.033831629	0.033831629	0.25742574	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	boundary_length_asymmetry	ORDINAL	-0.14803756	0.14803756	0.82178218	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	mean_line_token_entropy	ORDINAL	0.084379152	0.084379152	0.089108911	195	8	32	ESTIMABLE	1
OBJ_HUMAN_LIKE	mean_token_length	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	type_token_ratio	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	token_entropy	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	exact_adjacent_repetition	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	near_edit_adjacent_repetition	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	mean_line_transition_entropy	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	mean_line_tokens	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	line_length_cv	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	boundary_length_asymmetry	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_HUMAN_LIKE	mean_line_token_entropy	NOT_TESTABLE				0	0	0	NOT_TESTABLE	
OBJ_CONTAINER_LIKE	mean_token_length	ORDINAL	0.12804504	0.12804504	0.40594059	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	type_token_ratio	ORDINAL	0.036564312	0.036564312	0.8019802	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	token_entropy	ORDINAL	0.24478003	0.24478003	0.11881188	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	exact_adjacent_repetition	ORDINAL	-0.10567993	0.10567993	0.55445545	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	near_edit_adjacent_repetition	ORDINAL	-0.058423865	0.058423865	0.69306931	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	mean_line_transition_entropy	ORDINAL	0.050068636	0.050068636	0.75247525	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	mean_line_tokens	ORDINAL	1.2374254	1.2374254	0.04950495	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	line_length_cv	ORDINAL	-0.036051733	0.036051733	0.72277228	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	boundary_length_asymmetry	ORDINAL	0.075657992	0.075657992	0.65346535	195	8	32	ESTIMABLE	1
OBJ_CONTAINER_LIKE	mean_line_token_entropy	ORDINAL	0.16469734	0.16469734	0.31683168	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	mean_token_length	BINARY	0.012713571	0.012713571	0.89108911	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	type_token_ratio	BINARY	0.0021397452	0.0021397452	0.93069307	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	token_entropy	BINARY	-0.045011042	0.045011042	0.71287129	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	exact_adjacent_repetition	BINARY	0.00046806533	0.00046806533	0.88118812	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	near_edit_adjacent_repetition	BINARY	-0.0095386732	0.0095386732	0.27722772	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	mean_line_transition_entropy	BINARY	0.1244089	0.1244089	0.25742574	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	mean_line_tokens	BINARY	0.93705439	0.93705439	0.059405941	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	line_length_cv	BINARY	-0.074993229	0.074993229	0.0099009901	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	boundary_length_asymmetry	BINARY	0.14073739	0.14073739	0.25742574	195	8	32	ESTIMABLE	1
OBJ_STAR_LIKE	mean_line_token_entropy	BINARY	0.1128712	0.1128712	0.24752475	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	mean_token_length	BINARY	-0.10916938	0.10916938	0.82178218	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	type_token_ratio	BINARY	-0.022770173	0.022770173	0.76237624	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	token_entropy	BINARY	0.12936923	0.12936923	0.8019802	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	exact_adjacent_repetition	BINARY	-0.010120048	0.010120048	0.40594059	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	near_edit_adjacent_repetition	BINARY	0.0030327278	0.0030327278	0.86138614	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	mean_line_transition_entropy	BINARY	0.12506944	0.12506944	0.76237624	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	mean_line_tokens	BINARY	0.4949995	0.4949995	0.75247525	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	line_length_cv	BINARY	-0.039258002	0.039258002	0.66336634	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	boundary_length_asymmetry	BINARY	-0.43749826	0.43749826	0.33663366	195	8	32	ESTIMABLE	1
OBJ_CIRCULAR_UNITS	mean_line_token_entropy	BINARY	0.11223057	0.11223057	0.67326733	195	8	32	ESTIMABLE	1
GEO_RADIAL	mean_token_length	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
GEO_RADIAL	type_token_ratio	CATEGORICAL_ETA2	1	1	0.68316832	195	8	32	ESTIMABLE	1
GEO_RADIAL	token_entropy	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
GEO_RADIAL	exact_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.38613861	195	8	32	ESTIMABLE	1
GEO_RADIAL	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
GEO_RADIAL	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.76237624	195	8	32	ESTIMABLE	1
GEO_RADIAL	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
GEO_RADIAL	line_length_cv	CATEGORICAL_ETA2	1	1	0.88118812	195	8	32	ESTIMABLE	1
GEO_RADIAL	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	0.67326733	195	8	32	ESTIMABLE	1
GEO_RADIAL	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.86138614	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	mean_token_length	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	type_token_ratio	CATEGORICAL_ETA2	1	1	0.68316832	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	token_entropy	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	exact_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.38613861	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.76237624	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	line_length_cv	CATEGORICAL_ETA2	1	1	0.88118812	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	0.67326733	195	8	32	ESTIMABLE	1
GEO_CONCENTRIC	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.86138614	195	8	32	ESTIMABLE	1
GEO_BRANCHING	mean_token_length	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
GEO_BRANCHING	type_token_ratio	CATEGORICAL_ETA2	1	1	0.68316832	195	8	32	ESTIMABLE	1
GEO_BRANCHING	token_entropy	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
GEO_BRANCHING	exact_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.38613861	195	8	32	ESTIMABLE	1
GEO_BRANCHING	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
GEO_BRANCHING	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.76237624	195	8	32	ESTIMABLE	1
GEO_BRANCHING	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
GEO_BRANCHING	line_length_cv	CATEGORICAL_ETA2	1	1	0.88118812	195	8	32	ESTIMABLE	1
GEO_BRANCHING	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	0.67326733	195	8	32	ESTIMABLE	1
GEO_BRANCHING	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.86138614	195	8	32	ESTIMABLE	1
FIG_RELATION	mean_token_length	CATEGORICAL_ETA2	1	1	0.99009901	24	2	32	ESTIMABLE	1
FIG_RELATION	type_token_ratio	CATEGORICAL_ETA2	1	1	0.9009901	24	2	32	ESTIMABLE	1
FIG_RELATION	token_entropy	CATEGORICAL_ETA2	1	1	0.99009901	24	2	32	ESTIMABLE	1
FIG_RELATION	exact_adjacent_repetition	CATEGORICAL_ETA2	0.5	0.5	0.83168317	24	2	32	ESTIMABLE	1
FIG_RELATION	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.97029703	24	2	32	ESTIMABLE	1
FIG_RELATION	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.89108911	24	2	32	ESTIMABLE	1
FIG_RELATION	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.99009901	24	2	32	ESTIMABLE	1
FIG_RELATION	line_length_cv	CATEGORICAL_ETA2	1	1	0.97029703	24	2	32	ESTIMABLE	1
FIG_RELATION	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	0.91089109	24	2	32	ESTIMABLE	1
FIG_RELATION	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.97029703	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	mean_token_length	CATEGORICAL_ETA2	1	1	0.18811881	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	type_token_ratio	CATEGORICAL_ETA2	1	1	0.79207921	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	token_entropy	CATEGORICAL_ETA2	1	1	0.16831683	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	exact_adjacent_repetition	CATEGORICAL_ETA2	0	0	1	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.79207921	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.79207921	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.79207921	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	line_length_cv	CATEGORICAL_ETA2	1	1	0.79207921	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	0.68316832	24	2	32	ESTIMABLE	1
FIG_ENCLOSED	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.79207921	24	2	32	ESTIMABLE	1
TXT_RADIAL	mean_token_length	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
TXT_RADIAL	type_token_ratio	CATEGORICAL_ETA2	1	1	0.68316832	195	8	32	ESTIMABLE	1
TXT_RADIAL	token_entropy	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
TXT_RADIAL	exact_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.38613861	195	8	32	ESTIMABLE	1
TXT_RADIAL	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.65346535	195	8	32	ESTIMABLE	1
TXT_RADIAL	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.76237624	195	8	32	ESTIMABLE	1
TXT_RADIAL	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.85148515	195	8	32	ESTIMABLE	1
TXT_RADIAL	line_length_cv	CATEGORICAL_ETA2	1	1	0.88118812	195	8	32	ESTIMABLE	1
TXT_RADIAL	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	0.67326733	195	8	32	ESTIMABLE	1
TXT_RADIAL	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.86138614	195	8	32	ESTIMABLE	1
VIS_DENSITY	mean_token_length	ORDINAL	0.22935471	0.22935471	0.42574257	195	8	32	ESTIMABLE	1
VIS_DENSITY	type_token_ratio	ORDINAL	-0.18595093	0.18595093	0.66336634	195	8	32	ESTIMABLE	1
VIS_DENSITY	token_entropy	ORDINAL	0.56890927	0.56890927	0.21782178	195	8	32	ESTIMABLE	1
VIS_DENSITY	exact_adjacent_repetition	ORDINAL	0.17765975	0.17765975	0.35643564	195	8	32	ESTIMABLE	1
VIS_DENSITY	near_edit_adjacent_repetition	ORDINAL	-0.2560714	0.2560714	0.46534653	195	8	32	ESTIMABLE	1
VIS_DENSITY	mean_line_transition_entropy	ORDINAL	0.24146126	0.24146126	0.26732673	195	8	32	ESTIMABLE	1
VIS_DENSITY	mean_line_tokens	ORDINAL	-0.047084515	0.047084515	0.77227723	195	8	32	ESTIMABLE	1
VIS_DENSITY	line_length_cv	ORDINAL	0.26951861	0.26951861	0.41584158	195	8	32	ESTIMABLE	1
VIS_DENSITY	boundary_length_asymmetry	ORDINAL	-0.34213399	0.34213399	0.23762376	195	8	32	ESTIMABLE	1
VIS_DENSITY	mean_line_token_entropy	ORDINAL	-0.033225542	0.033225542	0.83168317	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	mean_token_length	ORDINAL	0.27082111	0.27082111	0.72277228	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	type_token_ratio	ORDINAL	0.004713188	0.004713188	0.9009901	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	token_entropy	ORDINAL	0.3835844	0.3835844	0.10891089	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	exact_adjacent_repetition	ORDINAL	0.064784526	0.064784526	0.77227723	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	near_edit_adjacent_repetition	ORDINAL	-0.17674185	0.17674185	0.87128713	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	mean_line_transition_entropy	ORDINAL	-0.23122921	0.23122921	0.03960396	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	mean_line_tokens	ORDINAL	-0.20672523	0.20672523	0.099009901	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	line_length_cv	ORDINAL	0.031022723	0.031022723	0.23762376	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	boundary_length_asymmetry	ORDINAL	-0.064024244	0.064024244	0.76237624	195	8	32	ESTIMABLE	1
VIS_COMPLEXITY	mean_line_token_entropy	ORDINAL	-0.26642323	0.26642323	0.04950495	195	8	32	ESTIMABLE	1
