page_id	physical_leaf_id	visual_section	visual_annotation_status	textual_fingerprint_available	confounders_available	level_c_inclusion_status	exclusion_reason
f66r	f66	Text	FULLY_ANNOTATED	true	true	INCLUDED	
f66v	f66	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f67r1	f67	Astronomical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f67r2	f67	Astronomical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f67v1	f67	Astronomical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f67v2	f67	Cosmological	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f68r1	f68	Astronomical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f68r2	f68	Astronomical	FULLY_ANNOTATED	true	true	INCLUDED	
f68r3	f68	Astronomical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f68v1	f68	Astronomical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f68v2	f68	Astronomical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f68v3	f68	Cosmological	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f69r	f69	Cosmological	FULLY_ANNOTATED	true	true	INCLUDED	
f69v	f69	Cosmological	FULLY_ANNOTATED	true	true	INCLUDED	
f6r	f6	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f6v	f6	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f70r1	f70	Cosmological	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f70r2	f70	Cosmological	FULLY_ANNOTATED	true	true	INCLUDED	
f70v1	f70	Zodiac	FULLY_ANNOTATED	true	true	INCLUDED	
f70v2	f70	Zodiac	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f71r	f71	Zodiac	FULLY_ANNOTATED	true	true	INCLUDED	
f71v	f71	Zodiac	FULLY_ANNOTATED	true	true	INCLUDED	
f72r1	f72	Zodiac	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f72r2	f72	Zodiac	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f72r3	f72	Zodiac	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f72v1	f72	Zodiac	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f72v2	f72	Zodiac	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f72v3	f72	Zodiac	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f73r	f73	Zodiac	FULLY_ANNOTATED	true	true	INCLUDED	
f73v	f73	Zodiac	FULLY_ANNOTATED	true	true	INCLUDED	
f75r	f75	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f75v	f75	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f76r	f76	Text	FULLY_ANNOTATED	true	true	INCLUDED	
f76v	f76	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f77r	f77	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f77v	f77	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f78r	f78	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f78v	f78	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f79r	f79	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f79v	f79	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f7r	f7	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f7v	f7	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f80r	f80	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f80v	f80	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f81r	f81	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f81v	f81	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f82r	f82	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f82v	f82	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f83r	f83	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f83v	f83	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f84r	f84	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f84v	f84	Biological	FULLY_ANNOTATED	true	true	INCLUDED	
f85r1	f85	Text	FULLY_ANNOTATED	true	true	INCLUDED	
f85r2	f85	Cosmological	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f86v3	f86	Cosmological	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f86v4	f86	Cosmological	FULLY_ANNOTATED	true	true	INCLUDED	
f86v5	f86	Text	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f86v6	f86	Text	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f87r	f87	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f87v	f87	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f88r	f88	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f88v	f88	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f89r1	f89	Pharmaceutical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f89r2	f89	Pharmaceutical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f89v1	f89	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f89v2	f89	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f8r	f8	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f8v	f8	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f90r1	f90	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f90r2	f90	Herbal	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f90v1	f90	Herbal	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f90v2	f90	Herbal	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f93r	f93	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f93v	f93	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f94r	f94	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f94v	f94	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f95r1	f95	Herbal	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f95r2	f95	Herbal	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f95v1	f95	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f95v2	f95	Herbal	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f96r	f96	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f96v	f96	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f99r	f99	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f99v	f99	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f9r	f9	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f9v	f9	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
fRos	f85-f86-foldout	Cosmological	FULLY_ANNOTATED	true	true	INCLUDED	
