token_a	token_b	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_jaccard	successor_jaccard	predecessor_js_similarity	successor_js_similarity	left_entropy_a	left_entropy_b	right_entropy_a	right_entropy_b	shared_context_strength	differential_context_strength	positional_agreement	entropy_agreement
lchedy	qol	116	139	0.6522816395351466	0.896262959714942	1	0.966586502333293	0.521964249354871	0.4682941669172759	0.15037593984962405	0.08823529411764706	0.36964045472890517	0.25213635283348057	4.185984054264023	4.0115049984172835	4.160753918200513	3.926710691048667	0.31088840378119287	0.7510744264842617	0.966586502333293	0.9510340367037005
okaiin	ol	215	557	0.6837313587718135	0.9336155996346608	0.8333333333333334	0.9553913341574214	0.6033331331571451	0.492469609000874	0.15404699738903394	0.14868804664723032	0.43981450315531545	0.3792055912729173	4.761299292406288	5.389493456479244	4.737922796812664	5.09312659809804	0.4095100472141164	0.6907385143163938	0.9553913341574214	0.9068495832919928
okain	ol	140	557	0.6814988719126914	0.9227888005592293	0.8	0.9489317588599122	0.5726162338100677	0.5229486230680942	0.09641873278236915	0.13636363636363635	0.3529596988434829	0.38942241488581986	4.414865283269409	5.389493456479242	4.3686148330527645	5.09312659809804	0.37119105686465137	0.7259086672380317	0.9489317588599122	0.8384543016847446
qokaiin	qol	264	139	0.7385705292535669	0.9222027616641363	0.7142857142857143	0.9780726880719236	0.6837920006341057	0.5538468990546715	0.1179245283018868	0.10526315789473684	0.3938616792271059	0.33620718425003326	4.792718264951125	4.011504998417284	4.814478930847165	3.926710691048667	0.3650344317385696	0.7211541016825267	0.9780726880719236	0.826302231273988
daiin	dol	847	109	0.6674072438400929	0.9020217380377192	0.8	0.9436741289388454	0.6111312272941798	0.4474163752872532	0.09090909090909091	0.0891304347826087	0.35925179505806926	0.32337355430166126	5.612622199788736	4.225401374141852	5.711037499824139	4.304175742114509	0.34131267467986526	0.7609991689623221	0.9436741289388454	0.7532491251523415
qokain	qol	273	139	0.7666127227268595	0.9222027616641363	0.6666666666666666	0.9611682498586946	0.7088448586497091	0.6298250596721747	0.13020833333333334	0.1134020618556701	0.4209078599916436	0.40433131656915866	4.577586630742695	4.011504998417284	4.609503005938793	3.926710691048667	0.41261958828040113	0.6750039374217316	0.9611682498586946	0.8641045634456643
aiin	ar	504	402	0.6710169722064926	0.9336155996346608	0.75	0.9580006917044024	0.6441084158615198	0.41094180905355593	0.16040100250626566	0.13815789473684212	0.444464321488791	0.3639600423202195	4.48524614306841	5.111554701883197	5.437449919372952	4.9744159189842225	0.40421218190450525	0.7015366063937734	0.9580006917044024	0.8961577702639781
chol	cthy	395	103	0.6832446249566512	0.8972334753256516	0.75	0.9270631543706633	0.48028313789916904	0.6423875826001212	0.11827956989247312	0.0830188679245283	0.3384650905055657	0.35207521528676544	5.199292096542047	3.9487955802466863	4.932007681070772	3.998074662928604	0.3452701528961656	0.7447303342185578	0.9270631543706634	0.7850627637602672
lchedy	qokeey	116	306	0.7037833242560133	0.9072460583751037	0.6666666666666666	0.9573592694273613	0.6245555616926318	0.5294351416480468	0.18137254901960784	0.13043478260869565	0.4493601133843771	0.3853756740923632	4.185984054264024	4.699768782366967	4.160753918200513	4.951623186665747	0.41736789373837013	0.6757455165286401	0.9573592694273613	0.8654797637445777
qokedy	qol	276	139	0.6861723881321237	0.9222027616641363	0.6666666666666666	0.9585830124545339	0.6707288691747455	0.42920528276709174	0.14432989690721648	0.12626262626262627	0.43606081542366637	0.32460537627474484	4.499367198838571	4.011504998417284	4.605904218955199	3.9267106910486667	0.3803330958492056	0.7214223418137071	0.9585830124545339	0.8720547169135153
chedy	qokeey	504	306	0.6726379776974972	0.9336155996346608	0.6666666666666666	0.9276362900097074	0.3801160321352628	0.7101616109475216	0.13535911602209943	0.20652173913043478	0.33643613739032385	0.5173846123442352	5.070333058597708	4.699768782366968	5.127122808039168	4.951623186665748	0.4269103748672795	0.6796012665933832	0.9276362900097074	0.9463427749178381
dal	ol	242	557	0.6705903722425143	0.9336155996346608	0.6666666666666666	0.9383199860223514	0.4911282234930129	0.5823229072121783	0.12056737588652482	0.1416184971098266	0.34724136572214537	0.4092974550275589	4.9685350393196055	5.389493456479242	4.755728390831674	5.093126598098042	0.3782694103748521	0.7122124421140217	0.9383199860223514	0.9278234876726486
ain	ar	109	402	0.6606392980058782	0.9020217380377192	0.6666666666666666	0.9255135105252436	0.5506976485516684	0.5057067349407227	0.09523809523809523	0.11787072243346007	0.38098797646142823	0.39564156802188966	3.6272535164121584	5.111554701883196	4.142177669493649	4.974415918984219	0.38831477224165895	0.7272262510140018	0.9255135105252436	0.7711573680732314
ain	al	109	257	0.658925448360527	0.9020217380377192	0.6666666666666666	0.9141705173608665	0.6243553376314371	0.4382504900892777	0.11827956989247312	0.10091743119266056	0.4369716356179302	0.2754260583352732	3.6272535164121575	4.680891321586152	4.142177669493648	4.952250743368145	0.3561988469766017	0.7357886714118476	0.9141705173608666	0.8056649191153946
qokar	qol	156	139	0.710557753585479	0.9201960794651174	0.6	0.9469328888296663	0.6409490323318122	0.5437913395949584	0.10179640718562874	0.17006802721088435	0.3498319323648781	0.4007789490030571	4.506212116093382	4.011504998417285	4.3651290554113515	3.926710691048668	0.3753054406839676	0.702271548381435	0.9469328888296663	0.894890059650643
qol	qotain	139	60	0.6689835033780392	0.837890644276738	0.6666666666666666	0.90449969860195	0.6186648810706048	0.4837859304615632	0.08256880733944955	0.08411214953271028	0.32469787858911636	0.2589078215459689	4.011504998417284	3.6171968405893518	3.9267106910486684	3.5499718972131697	0.29180285006754264	0.7447388174092225	0.90449969860195	0.9028815447773223
okar	otain	140	95	0.6618703323959871	0.8801776065027886	0.6	0.9356538078390984	0.42649231433621887	0.623464875012644	0.12337662337662338	0.16417910447761194	0.3177277210765135	0.4073447096967955	4.487532120933855	4.167247204112229	4.260526450002371	3.975383223435271	0.3625362153866545	0.7088391416035829	0.9356538078390984	0.9308505342720339
