candidate	corpus	reset_condition	reset_interval_tokens	error_type	error_position	seed	damaged_units	recovery_after_error	L_sync	catastrophic_desync	glyph_recovery	token_recovery	checkpoint_observation
M11_MIXED_FORM_K2	Longfellow	RESET_PAGE_SIZED	100	TOKEN_BOUNDARY_DELETION	86	67400001	14	0.83908046	14	false	0.29166667	0.13294798	explicit synthetic reset markers survive the same injected error
M11_MIXED_FORM_K2	Longfellow	RESET_FIXED_N	32	TOKEN_BOUNDARY_DELETION	86	67400001	10	0.88505747	10	false	0.29000000	0.13294798	explicit synthetic reset markers survive the same injected error
M10_STATEFUL_FORM_K2	Astafiev	NO_RESET	0	TOKEN_BOUNDARY_DELETION	96	67400001	95	0.01041667	-1	true	0.33134328	0.05208333	explicit synthetic reset markers survive the same injected error
M10_STATEFUL_FORM_K2	Astafiev	RESET_EVERY_TOKEN	1	TOKEN_BOUNDARY_DELETION	96	67400001	0	1.00000000	1	false	0.33134328	0.11458333	explicit synthetic reset markers survive the same injected error
M10_STATEFUL_FORM_K2	Astafiev	RESET_LINE_SIZED	41	TOKEN_BOUNDARY_DELETION	96	67400001	27	0.71875000	27	false	0.33134328	0.08854167	explicit synthetic reset markers survive the same injected error
M10_STATEFUL_FORM_K2	Astafiev	RESET_PAGE_SIZED	820	TOKEN_BOUNDARY_DELETION	96	67400001	95	0.01041667	-1	true	0.32985075	0.05208333	explicit synthetic reset markers survive the same injected error
M10_STATEFUL_FORM_K2	Astafiev	RESET_FIXED_N	32	TOKEN_BOUNDARY_DELETION	96	67400001	32	0.66666667	32	false	0.33134328	0.08854167	explicit synthetic reset markers survive the same injected error
M11_MIXED_FORM_K2	Astafiev	NO_RESET	0	TOKEN_BOUNDARY_DELETION	96	67400001	95	0.01041667	-1	true	0.31343284	0.05729167	explicit synthetic reset markers survive the same injected error
M11_MIXED_FORM_K2	Astafiev	RESET_EVERY_TOKEN	1	TOKEN_BOUNDARY_DELETION	96	67400001	0	1.00000000	1	false	0.31343284	0.10937500	explicit synthetic reset markers survive the same injected error
M11_MIXED_FORM_K2	Astafiev	RESET_LINE_SIZED	41	TOKEN_BOUNDARY_DELETION	96	67400001	27	0.71875000	27	false	0.31343284	0.08854167	explicit synthetic reset markers survive the same injected error
M11_MIXED_FORM_K2	Astafiev	RESET_PAGE_SIZED	820	TOKEN_BOUNDARY_DELETION	96	67400001	95	0.01041667	-1	true	0.31194030	0.05729167	explicit synthetic reset markers survive the same injected error
M11_MIXED_FORM_K2	Astafiev	RESET_FIXED_N	32	TOKEN_BOUNDARY_DELETION	96	67400001	32	0.66666667	32	false	0.31194030	0.08333333	explicit synthetic reset markers survive the same injected error
