candidate	corpus	condition	replicate	seed	boundary_operations	observed_tokens	boundary_precision	boundary_recall	boundary_f1	glyph_recovery	token_recovery	word_error_rate	decoder
M0_IDENTITY	Longfellow	BOUNDARIES_RECONSTRUCTED	5	67300005	127	99	0.86734694	0.66929134	0.75555556	1.00000000	0.02343750	0.44531250	ciphertext-only dynamic programming
M1_MONOALPHABETIC	Longfellow	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M1_MONOALPHABETIC	Longfellow	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M1_MONOALPHABETIC	Longfellow	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M1_MONOALPHABETIC	Longfellow	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M1_MONOALPHABETIC	Longfellow	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	0.99212598	0.99212598	0.99212598	1.00000000	0.98437500	0.01562500	frozen
M1_MONOALPHABETIC	Longfellow	BOUNDARIES_RECONSTRUCTED	5	67300005	127	40	0.12820513	0.03937008	0.06024096	1.00000000	0.00000000	1.00000000	ciphertext-only dynamic programming
M2_HOMOPHONY_H2	Longfellow	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M2_HOMOPHONY_H2	Longfellow	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M2_HOMOPHONY_H2	Longfellow	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M2_HOMOPHONY_H2	Longfellow	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M2_HOMOPHONY_H2	Longfellow	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	0.99212598	0.99212598	0.99212598	1.00000000	0.98437500	0.01562500	frozen
M2_HOMOPHONY_H2	Longfellow	BOUNDARIES_RECONSTRUCTED	5	67300005	127	60	0.59322034	0.27559055	0.37634409	1.00000000	0.00000000	0.82031250	ciphertext-only dynamic programming
G_FORM_MEDIUM	Longfellow	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	0.50333333	0.48437500	0.51562500	frozen
G_FORM_MEDIUM	Longfellow	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	0.00833333	0.00000000	1.00000000	frozen without reconstruction
G_FORM_MEDIUM	Longfellow	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	0.49833333	0.21093750	0.52343750	frozen
G_FORM_MEDIUM	Longfellow	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	0.50000000	0.20930233	0.51937984	frozen
G_FORM_MEDIUM	Longfellow	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	0.99212598	0.99212598	0.99212598	0.49666667	0.47656250	0.52343750	frozen
G_FORM_MEDIUM	Longfellow	BOUNDARIES_RECONSTRUCTED	5	67300005	127	128	1.00000000	1.00000000	1.00000000	0.50333333	0.48437500	0.51562500	ciphertext-only dynamic programming
M9_GROUP_FORM_FIXED	Longfellow	CORRECT_BOUNDARIES	0	67300000	0	150	1.00000000	1.00000000	1.00000000	0.40166667	0.12000000	0.88000000	frozen
M9_GROUP_FORM_FIXED	Longfellow	BOUNDARIES_REMOVED	1	67300001	149	1	0.00000000	0.00000000	0.00000000	0.00666667	0.00000000	1.00000000	frozen without reconstruction
M9_GROUP_FORM_FIXED	Longfellow	DELETE_ONE_BOUNDARY	2	67300002	1	149	1.00000000	0.99328859	0.99663300	0.39833333	0.03333333	0.88000000	frozen
M9_GROUP_FORM_FIXED	Longfellow	INSERT_ONE_BOUNDARY	3	67300003	1	151	0.99333333	1.00000000	0.99665552	0.39900662	0.02649007	0.88079470	frozen
M9_GROUP_FORM_FIXED	Longfellow	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	150	0.99328859	0.99328859	0.99328859	0.40166667	0.12000000	0.88000000	frozen
M9_GROUP_FORM_FIXED	Longfellow	BOUNDARIES_RECONSTRUCTED	5	67300005	149	150	1.00000000	1.00000000	1.00000000	0.40166667	0.12000000	0.88000000	ciphertext-only dynamic programming
M10_STATEFUL_FORM_K2	Longfellow	CORRECT_BOUNDARIES	0	67300000	0	173	1.00000000	1.00000000	1.00000000	0.34000000	0.13872832	0.86127168	frozen
M10_STATEFUL_FORM_K2	Longfellow	BOUNDARIES_REMOVED	1	67300001	172	1	0.00000000	0.00000000	0.00000000	0.01000000	0.00000000	1.00000000	frozen without reconstruction
M10_STATEFUL_FORM_K2	Longfellow	DELETE_ONE_BOUNDARY	2	67300002	1	172	1.00000000	0.99418605	0.99708455	0.33833333	0.05780347	0.86127168	frozen
M10_STATEFUL_FORM_K2	Longfellow	INSERT_ONE_BOUNDARY	3	67300003	1	174	0.99421965	1.00000000	0.99710145	0.33666667	0.05747126	0.86206897	frozen
M10_STATEFUL_FORM_K2	Longfellow	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	173	0.99418605	0.99418605	0.99418605	0.33833333	0.13872832	0.86127168	frozen
M10_STATEFUL_FORM_K2	Longfellow	BOUNDARIES_RECONSTRUCTED	5	67300005	172	173	1.00000000	1.00000000	1.00000000	0.34000000	0.13872832	0.86127168	ciphertext-only dynamic programming
M11_MIXED_FORM_K2	Longfellow	CORRECT_BOUNDARIES	0	67300000	0	173	1.00000000	1.00000000	1.00000000	0.28833333	0.13872832	0.86127168	frozen
M11_MIXED_FORM_K2	Longfellow	BOUNDARIES_REMOVED	1	67300001	172	1	0.00000000	0.00000000	0.00000000	0.00833333	0.00000000	1.00000000	frozen without reconstruction
M11_MIXED_FORM_K2	Longfellow	DELETE_ONE_BOUNDARY	2	67300002	1	172	1.00000000	0.99418605	0.99708455	0.29166667	0.07514451	0.86127168	frozen
M11_MIXED_FORM_K2	Longfellow	INSERT_ONE_BOUNDARY	3	67300003	1	174	0.99421965	1.00000000	0.99710145	0.28500000	0.07471264	0.86206897	frozen
M11_MIXED_FORM_K2	Longfellow	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	173	0.99418605	0.99418605	0.99418605	0.28666667	0.13872832	0.86127168	frozen
M11_MIXED_FORM_K2	Longfellow	BOUNDARIES_RECONSTRUCTED	5	67300005	172	173	0.98255814	0.98255814	0.98255814	0.29166667	0.13872832	0.86127168	ciphertext-only dynamic programming
M0_IDENTITY	Astafiev	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M0_IDENTITY	Astafiev	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M0_IDENTITY	Astafiev	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M0_IDENTITY	Astafiev	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M0_IDENTITY	Astafiev	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	1.00000000	0.99212598	0.99604743	1.00000000	0.98437500	0.01562500	frozen
M0_IDENTITY	Astafiev	BOUNDARIES_RECONSTRUCTED	5	67300005	127	128	0.92125984	0.92125984	0.92125984	1.00000000	0.49218750	0.17968750	ciphertext-only dynamic programming
M1_MONOALPHABETIC	Astafiev	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M1_MONOALPHABETIC	Astafiev	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M1_MONOALPHABETIC	Astafiev	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M1_MONOALPHABETIC	Astafiev	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M1_MONOALPHABETIC	Astafiev	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	1.00000000	0.99212598	0.99604743	1.00000000	0.98437500	0.01562500	frozen
M1_MONOALPHABETIC	Astafiev	BOUNDARIES_RECONSTRUCTED	5	67300005	127	138	0.17518248	0.18897638	0.18181818	1.00000000	0.00000000	0.98550725	ciphertext-only dynamic programming
M2_HOMOPHONY_H2	Astafiev	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M2_HOMOPHONY_H2	Astafiev	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M2_HOMOPHONY_H2	Astafiev	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M2_HOMOPHONY_H2	Astafiev	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M2_HOMOPHONY_H2	Astafiev	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	1.00000000	0.99212598	0.99604743	1.00000000	0.98437500	0.01562500	frozen
M2_HOMOPHONY_H2	Astafiev	BOUNDARIES_RECONSTRUCTED	5	67300005	127	115	0.59649123	0.53543307	0.56431535	1.00000000	0.03125000	0.66406250	ciphertext-only dynamic programming
G_FORM_MEDIUM	Astafiev	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	0.55970149	0.55468750	0.44531250	frozen
G_FORM_MEDIUM	Astafiev	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	0.00746269	0.00000000	1.00000000	frozen without reconstruction
G_FORM_MEDIUM	Astafiev	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	0.55970149	0.31250000	0.45312500	frozen
G_FORM_MEDIUM	Astafiev	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	0.56268657	0.31007752	0.44961240	frozen
G_FORM_MEDIUM	Astafiev	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	0.99212598	0.99212598	0.99212598	0.55970149	0.55468750	0.44531250	frozen
G_FORM_MEDIUM	Astafiev	BOUNDARIES_RECONSTRUCTED	5	67300005	127	128	1.00000000	1.00000000	1.00000000	0.55970149	0.55468750	0.44531250	ciphertext-only dynamic programming
M9_GROUP_FORM_FIXED	Astafiev	CORRECT_BOUNDARIES	0	67300000	0	168	1.00000000	1.00000000	1.00000000	0.34821429	0.16666667	0.83333333	frozen
M9_GROUP_FORM_FIXED	Astafiev	BOUNDARIES_REMOVED	1	67300001	167	1	0.00000000	0.00000000	0.00000000	0.00597015	0.00000000	1.00000000	frozen without reconstruction
M9_GROUP_FORM_FIXED	Astafiev	DELETE_ONE_BOUNDARY	2	67300002	1	167	1.00000000	0.99401198	0.99699700	0.34029851	0.08333333	0.83928571	frozen
M9_GROUP_FORM_FIXED	Astafiev	INSERT_ONE_BOUNDARY	3	67300003	1	169	0.99404762	1.00000000	0.99701493	0.34615385	0.08284024	0.83431953	frozen
M9_GROUP_FORM_FIXED	Astafiev	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	168	0.99401198	0.99401198	0.99401198	0.34821429	0.16666667	0.83333333	frozen
M9_GROUP_FORM_FIXED	Astafiev	BOUNDARIES_RECONSTRUCTED	5	67300005	167	168	1.00000000	1.00000000	1.00000000	0.34821429	0.16666667	0.83333333	ciphertext-only dynamic programming
M10_STATEFUL_FORM_K2	Astafiev	CORRECT_BOUNDARIES	0	67300000	0	192	1.00000000	1.00000000	1.00000000	0.33134328	0.11458333	0.88541667	frozen
M10_STATEFUL_FORM_K2	Astafiev	BOUNDARIES_REMOVED	1	67300001	191	1	0.00000000	0.00000000	0.00000000	0.00746269	0.00000000	1.00000000	frozen without reconstruction
M10_STATEFUL_FORM_K2	Astafiev	DELETE_ONE_BOUNDARY	2	67300002	1	191	1.00000000	0.99476440	0.99737533	0.33134328	0.05208333	0.89062500	frozen
M10_STATEFUL_FORM_K2	Astafiev	INSERT_ONE_BOUNDARY	3	67300003	1	193	0.99479167	1.00000000	0.99738903	0.32835821	0.04663212	0.89119171	frozen
M10_STATEFUL_FORM_K2	Astafiev	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	192	0.99476440	0.99476440	0.99476440	0.33134328	0.11458333	0.88541667	frozen
M10_STATEFUL_FORM_K2	Astafiev	BOUNDARIES_RECONSTRUCTED	5	67300005	191	192	1.00000000	1.00000000	1.00000000	0.33134328	0.11458333	0.88541667	ciphertext-only dynamic programming
M11_MIXED_FORM_K2	Astafiev	CORRECT_BOUNDARIES	0	67300000	0	192	1.00000000	1.00000000	1.00000000	0.31343284	0.10937500	0.89062500	frozen
M11_MIXED_FORM_K2	Astafiev	BOUNDARIES_REMOVED	1	67300001	191	1	0.00000000	0.00000000	0.00000000	0.00746269	0.00000000	1.00000000	frozen without reconstruction
M11_MIXED_FORM_K2	Astafiev	DELETE_ONE_BOUNDARY	2	67300002	1	191	1.00000000	0.99476440	0.99737533	0.31343284	0.05729167	0.89062500	frozen
M11_MIXED_FORM_K2	Astafiev	INSERT_ONE_BOUNDARY	3	67300003	1	193	0.99479167	1.00000000	0.99738903	0.31044776	0.05181347	0.89119171	frozen
M11_MIXED_FORM_K2	Astafiev	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	192	0.99476440	0.99476440	0.99476440	0.31194030	0.10937500	0.89062500	frozen
M11_MIXED_FORM_K2	Astafiev	BOUNDARIES_RECONSTRUCTED	5	67300005	191	192	0.99476440	0.99476440	0.99476440	0.30447761	0.10416667	0.89583333	ciphertext-only dynamic programming
