claim_id	topic	observation	source_experiment	source_artifact	method	controls	result	interpretation	confidence	limitations	literature_relation	status
P1-C012	homophony	Increasing simple position-independent homophony monotonically lowered near-repetition below plaintext and away from Voynich.	experiments/token-repetition-v1	experiments/token-repetition-v1/HOMOPHONY_RUN_DOSE_RESPONSE.tsv	Shared H2/H4/H8 glyph homophony control	Doyle plaintext and Voynich	Doyle 0.012087; H2 0.005569; H4 0.003172; H8 0.001773; Voynich 0.058656.	Simple random homophony is incompatible with the observed near-repeat enrichment.	HIGH	Narrow generator only; structured or position-dependent systems remain open.	Methodologically distinct extension	NEGATIVE_RESULT
P1-C013	character entropy	Voynich shared-EVA h2 was lower than the natural controls, but its magnitude changed with boundary representation.	experiments/character-entropy-v1	experiments/character-entropy-v1/REPORT.md	Shannon plug-in h2 on explicit stream representations	Natural corpora and glyph/token shuffles	Voynich continuous h2=2.7726 bits versus Doyle 3.5978; boundary-symbol 2.4458; within-token 2.5026.	The visible glyph stream is unusually predictable under the stated estimands.	MEDIUM	No finite-sample correction; sparse higher orders; representation-dependent.	PARTIALLY_AGREES with Lindemann-Bowern	PARTIALLY_SUPPORTED
P1-C014	token formation	A held-out position-dependent first-order within-token model captured part, but not all, of token structure.	experiments/token-formation-v1	experiments/token-formation-v1/REPORT.md	Frozen 60/20/20 contiguous block split and validation-only model selection	Length/frequency, copy-mutate, structured-token and natural controls	POSITION_MARKOV_1 test cross entropy 2.360985 bits/glyph; generated near-repeat about 0.0234 versus TEST 0.0395.	Constrained local formation is needed, with a separate sequence component still required.	MEDIUM	Synthetic model class is limited and does not identify language, cipher or generator.	NO_PREVIOUS_TEST_FOUND in searched literature	PARTIALLY_SUPPORTED
P1-C015	sequence	A small adjacent form-similarity residual survives length matching.	experiments/token-transition-v1	experiments/token-transition-v1/REPORT.md	Adjacent versus non-adjacent same-line matched pairs; frozen local transition model	Length-pair matching, global and within-line shuffles, held-out preservation	Within-line adjacent near rate about 0.05855 versus matched 0.05663; classification FORM_DEPENDENCE_ONLY/PARTIAL.	There is a weak local sequential component beyond raw vocabulary opportunity.	MEDIUM	Small effect; no unique transition mechanism; rare transitions descriptive.	NO_PREVIOUS_TEST_FOUND for the exact estimand	PARTIALLY_SUPPORTED
P1-C016	sequence	Frozen repeated sequences replicate as frequency-relative patterns, but candidate higher-order dependence is sparse and position-sensitive.	experiments/voynich-v1	experiments/voynich-v1/outputs/replicated-local-structure/replicated_local_structure_report.md	Frozen-candidate FDR, block replication, conditional permutations and LOBO	Frequency shuffle, Markov and block controls	51/104 sequences were robust above frequency null; the n>=3 deep-dive produced two insufficient-support candidates and one position-dependent candidate, later classified NO_POSITIONAL_STRUCTURE under cross-block criteria.	Sequence organization exists, but evidence for general higher-order rules is weak.	MEDIUM	Frozen candidate selection, low counts and position sensitivity.	Methodologically distinct from most prior sequence work	PARTIALLY_SUPPORTED
P1-C017	local structure	Same-line nonadjacent near-form similarity exceeded a same-page matched control, but shifted line-sized windows matched or exceeded the physical-line effect.	experiments/line-regime-v1	experiments/line-regime-v1/REPORT.md	Length-matched pair rates, membership-destruction nulls and scale comparison	Different-line same-page and different-page matches; shifted/fixed windows	0.057824 versus 0.049905, delta +0.007939, bootstrap CI [0.004600,0.012813]; classification BROADER_LOCAL_REGIME.	The supported scale is local and line-sized, not uniquely the physical line.	HIGH	Scribal, layout, material and content causes are not distinguished.	NO_PREVIOUS_TEST_FOUND for matched scale comparison	SUPPORTED
P1-C018	regime topology	Local similarity and mixed drift/state topology were found, while metadata explained only part of the organization.	experiments/local-regime-topology-v1	experiments/local-regime-topology-v1/REPORT.md	Lag curves, metadata-conditioned topology and frozen synthetic controls	Stationary, smooth, discrete, mixed and natural controls; Task62 G-only	LOCAL_STRUCTURE CONFIRMED; TOPOLOGY MIXED_DRIFT_AND_STATES; METADATA PARTIALLY_METADATA_EXPLAINED.	Voynich varies locally and heterogeneously, without identifying semantic topics or keys.	MEDIUM	K=5 is descriptive/model-selected; topology labels are not causal states.	PARTIALLY_AGREES with Currier/heterogeneity literature	PARTIALLY_SUPPORTED
P1-C019	distant recurrence	After correcting the minimum-of-many shuffled-position null, distant recurrence did not exceed chance.	experiments/local-regime-topology-v1	experiments/local-regime-topology-v1/DISTANT_REGIME_RECURRENCE.tsv	Nearest distant-window profile distance with calibrated shuffled positions	Corrected multiple-opportunity null; both observed and null use the same minimum search	Lower distance means a closer, more recurrence-like match. Observed mean distance 0.046108 was not lower than null 0.002320; null-minus-observed was -0.043788.	No evidence for recurrent discrete regimes from this test.	MEDIUM	Absence of support under this statistic is not proof that regimes never recur.	Methodological correction; no direct precedent	NEGATIVE_RESULT
P1-C020	regime heterogeneity	The Task64 discovery/replication split discrepancy reproduced independently.	experiments/local-regime-topology-v1	experiments/local-regime-topology-v1/REPORT.md	Independent reproduction of frozen Task64 split	Discovery versus replication partitions	Effect 0.030069436 in discovery versus 0.003132198 in replication; TRUE_REGIME_HETEROGENEITY.	The split difference is a property of heterogeneous corpus regions, not a single reporting accident.	HIGH	Does not identify the source of heterogeneity.	Consistent with Currier/manuscript heterogeneity literature	SUPPORTED
P1-C021	mechanism space	Across the tested grid, constrained formation was required; homophony and stochastic output were disfavored, while several other components were not required.	experiments/mechanism-space-v1	experiments/mechanism-space-v1/REPORT.md	Frozen multi-axis mechanism grid with held-out fingerprint scoring and ablations	M0-M11, natural sources, validation/test split, component ablations	CONSTRAINED_FORMATION REQUIRED (delta 4.19); HOMOPHONY DISFAVORED; STOCHASTIC_OUTPUT DISFAVORED; memory, slow state, macro and generated boundaries NOT_REQUIRED.	The tested fingerprint needs input-dependent constrained token formation more than added randomness.	MEDIUM	Grid is finite; some held-out candidates inconclusive; below-threshold axes remain unexplained.	METHODOLOGICALLY_DISTINCT_EXTENSION of forward models	SUPPORTED
P1-C022	mechanism space	Plaintext/input dependence was preserved in 33 of 36 strong or partial comparisons.	experiments/mechanism-space-v1	experiments/mechanism-space-v1/PLAINTEXT_SENSITIVITY.tsv	Frozen-input perturbation/dependence comparisons	Shuffled and alternative natural inputs across candidate mechanisms	PLAINTEXT_DEPENDENCE_PRESERVED/SUPPORTED.	Voynich-like synthetic compatibility does not require erasing the input signal.	MEDIUM	Synthetic architectures only; not evidence that Voynich has plaintext.	No direct comparable prior test found	SUPPORTED
P1-C023	recoverability	In known-plaintext synthetic tests, M0/M1 and declared-codebook M2 recovered exactly, while constrained formation families were partial, ambiguous or fragile.	experiments/recoverability-v1	experiments/recoverability-v1/REPORT.md	Frozen encode-decode, preimage, corruption and boundary-error batteries	Three natural corpora, identity/bijection/homophony controls, shuffled input, error types and reset variants	M0/M1 reversible; M2 ambiguous but decodable; G/M9 intrinsically lossy; M10/M11 practically fragile.	Reversibility, exact recovery, ambiguity and robustness are separate mechanism properties.	HIGH	Synthetic known plaintext; decoder knowledge is declared and mechanism-specific.	NO_DIRECT_PRECEDENT_FOUND for the joint test	SUPPORTED
P1-C024	recoverability	Boundary insertion/deletion and token split/merge can desynchronize tested decoders; resets can localize damage.	experiments/recoverability-v1	experiments/recoverability-v1/ERROR_PROPAGATION.tsv	Single-error propagation and synchronization length	Glyph errors, boundary errors, segmentation errors and reset policies	Boundary-count errors were the dominant desynchronizing class in affected mechanisms.	Transcription and segmentation damage can dominate practical recoverability even when an encoder is mathematically reversible.	MEDIUM	Tested mechanisms and error rates only; no Voynich error model inferred.	No direct Voynich-specific precedent found	SUPPORTED
P1-C025	recoverability	Fingerprint similarity did not uniquely determine recoverability in the tested synthetic candidates.	experiments/recoverability-v1	experiments/recoverability-v1/FINGERPRINT_INFORMATION_FRONTIER.tsv	Joint fingerprint coverage and recovery frontier	Identity, bijection, homophony and constrained mechanisms on three corpora	Constrained candidates showed a compatibility/recovery trade-off and no control-level unique recovery.	Voynich-like statistics alone cannot establish whether the manuscript is recoverable.	MEDIUM	Finite candidate grid and approximate estimators; no inference of Voynich information loss.	NO_DIRECT_PRECEDENT_FOUND	SUPPORTED
P1-C026	correction history	Task58's initial MI implementation was nondeterministic in low-order floating-point digits and was replaced by sorted-key accumulation.	experiments/rozanova-temerev-v1	docs/audit/TASK70B_REPORT.md	Git/provenance audit and corrected rerun	Byte/history comparison and determinism tests	Corrected artifacts at ba88b2de; qualitative conclusion unchanged.	Only the corrected artifacts are current evidence.	HIGH	Legacy manifest lacks dirty-status detail.	Not a literature claim	SUPERSEDED
P1-C027	correction history	Task59's original position-independent homophony generator leaked within-token position and was replaced by a seeded position-independent draw.	experiments/glyph-position-v1	docs/audit/TASK70B_REPORT.md	Implementation audit, regression tests and regenerated controls	Position-dependent positive control and pool-spread tests	Original control implementation was invalid; corrected H2/H4/H8 results support the narrow negative finding.	Use only corrected control artifacts from ba88b2de.	HIGH	Manifest embeds a6904f0 while the completed corrected tree is ba88b2de.	Not a literature claim	INVALIDATED
P1-C028	correction history	Task67's initial proxy outputs were replaced with measured encode-decode experiments.	experiments/recoverability-v1	docs/audit/TASK70B_REPORT.md	Git tree provenance and measured rerun	Artifact hash chain to frozen Task66 candidates	553ef02 proxy scaffold is superseded; 0e8b3da measured artifacts are current.	Only measured Task67 outputs support recoverability claims.	HIGH	Top manifest lacks corpus SHA and dirty status.	Not a literature claim	SUPERSEDED
P1-C029	provenance	Task66's per-job seed and config hash are deterministically derivable in code but absent from frozen result rows.	experiments/mechanism-space-v1	docs/audit/PROVENANCE_AUDIT.tsv	Implementation and artifact provenance audit	Config hashing and seed derivation inspection	Top-level design is preserved, but claimed row-level job identity is NOT_RECORDED.	This lowers reproducibility confidence without invalidating stored measurements.	HIGH	Exact job recreation requires reconstruction from code/call sites.	Not a literature claim	PARTIALLY_SUPPORTED
P1-C030	hypotheses	No Phase I result conclusively selects H_L, H_C or H_G.	docs/literature	docs/literature/HYPOTHESIS_EVIDENCE_MATRIX.tsv	Claim-level synthesis across experiments and literature	Natural, cipher, generator and shuffle controls	Broad alternatives remain PARTIALLY_DISTINGUISHABLE only.	The current conclusion is structured symbolic organization plus constraints on narrow mechanisms.	HIGH	No validated semantic oracle, decipherment or full three-class held-out comparison.	Task68/69 synthesis	OPEN
