token	canonical_token_key	astro_label_family	confirmed_astro_label_occurrences	astro_count	herbal_count	pharmaceutical_count	biological_count	zodiac_count	stars_count	cosmological_count	text_count	global_count	is_global_hapax	is_astronomical_section_hapax	occurs_outside_astronomical	occurs_in_herbal	occurs_in_pharmaceutical	stolfi_label_sections_outside_astro	cross_section_class
cholar	H/o/l/a/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
cphocthy	P/o/C/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
cthyd	C/y/d	STAR	1	1	2	0	0	0	0	0	0	3	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
daiin	d/a/N	OTHER	1	11	460	98	81	12	130	28	31	851	False	False	True	True	True	Biological;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
dalary	d/a/l/a/r/y	CIRCLE_SECTOR	1	1	0	0	1	0	0	0	0	2	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
dar	d/a/r	CIRCLE_SECTOR;OTHER	2	10	117	25	59	7	47	27	32	324	False	False	True	True	True	Biological;Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
darall	d/a/r/a/l/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
dcheoldy	d/H/e/o/l/d/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
dchol	d/H/o/l	STAR	1	2	16	0	2	0	2	1	1	24	False	False	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
dolchedy	d/o/l/H/e/d/y	STAR	1	1	0	0	0	0	1	0	0	2	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
dolchsody	d/o/l/H/s/o/d/y	PLANET_MOON	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
kochardy	k/o/H/a/r/d/y	OTHER	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
o	o	STAR	1	10	73	18	21	11	45	33	12	223	False	False	True	True	True	Cosmological	LABEL_REUSED_ACROSS_SECTIONS
oalcheol	o/a/l/H/e/o/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ochory	o/H/o/r/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ockhy	o/K/y	STAR	1	2	4	3	0	0	2	1	0	12	False	False	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ocphy	o/P/y	STAR	1	1	1	0	0	0	1	0	0	3	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
octhey	o/C/e/y	STAR	1	1	1	1	0	0	0	1	1	5	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
odaiin	o/d/a/N	STAR	1	1	26	5	1	0	21	8	6	68	False	True	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
odair	o/d/a/i/r	STAR	1	1	0	0	0	0	0	3	1	5	False	True	True	False	False	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
odchecthy	o/d/H/e/C/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
oeoldan	o/e/o/l/d/a/n	PLANET_MOON	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ofar	o/f/a/r	PLANET_MOON	1	2	2	0	0	0	1	1	1	7	False	False	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ofcheody	o/f/H/e/o/d/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ofcheor	o/f/H/e/o/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
oiinar	o/N/a/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
okain	o/k/A	PLANET_MOON	1	1	19	1	40	0	71	1	8	141	False	True	True	True	True	Biological;Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
okal	o/k/a/l	OTHER;PLANET_MOON	2	2	39	5	24	7	58	15	6	156	False	False	True	True	True	Biological;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
okchody	o/k/H/o/d/y	STAR	1	1	2	1	0	0	0	2	0	6	False	True	True	True	True	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
okchor	o/k/H/o/r	STAR	1	1	12	0	0	1	2	2	0	18	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
okear	o/k/e/a/r	STAR	1	1	2	1	0	0	3	2	0	9	False	True	True	True	True	Cosmological	LABEL_REUSED_ACROSS_SECTIONS
okeeeody	o/k/E/e/o/d/y	STAR	1	1	0	0	0	0	1	0	0	2	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
okeeodal	o/k/E/o/d/a/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
okeey	o/k/E/y	CIRCLE_SECTOR;OTHER	2	5	15	23	16	11	98	12	4	184	False	False	True	True	True	Biological;Unknown;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
okeol	o/k/e/o/l	CIRCLE_SECTOR	1	2	10	31	3	3	13	2	0	64	False	False	True	True	True	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
okoaly	o/k/o/a/l/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
okolchy	o/k/o/l/H/y	STAR	1	1	1	0	0	0	1	0	0	3	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
okoldy	o/k/o/l/d/y	STAR	1	1	1	3	2	0	1	0	0	8	False	True	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
okos	o/k/o/s	STAR	1	2	1	1	0	0	1	2	0	7	False	False	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
okshor	o/k/S/o/r	STAR	1	1	1	0	0	0	0	0	0	2	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
olcheesey	o/l/H/E/s/e/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
olor	o/l/o/r	STAR	1	1	5	1	16	0	4	2	1	30	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ols	o/l/s	OTHER	1	2	5	4	4	0	3	2	2	22	False	False	True	True	True	Cosmological	LABEL_REUSED_ACROSS_SECTIONS
opcholdy	o/p/H/o/l/d/y	PLANET_MOON	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
opocphor	o/p/o/P/o/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otaldy	o/t/a/l/d/y	CIRCLE_SECTOR	1	1	1	2	2	1	1	0	0	8	False	True	True	True	True	Pharmaceutical;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
otchdy	o/t/H/d/y	RADIAL_TEXT	1	2	8	0	4	0	9	6	4	33	False	False	True	True	False	Biological;Cosmological	LABEL_REUSED_ACROSS_SECTIONS
otcheodar	o/t/H/e/o/d/a/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
oteey	o/t/E/y	CIRCLE_SECTOR	1	7	12	5	17	21	64	15	4	145	False	False	True	True	True	Cosmological;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
oteodain	o/t/e/o/d/A	OTHER	1	1	0	0	0	0	1	0	0	2	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
oteool	o/t/e/o/o/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otochedy	o/t/o/H/e/d/y	STAR	1	1	0	0	0	1	0	1	0	3	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
otoeeo	o/t/o/E/o	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otoky	o/t/o/k/y	CIRCLE_SECTOR	1	1	0	2	0	0	0	0	0	3	False	True	True	False	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
otol	o/t/o/l	STAR	1	3	31	7	12	5	11	7	6	82	False	False	True	True	True	Biological;Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
otolor	o/t/o/l/o/r	OTHER	1	1	0	0	1	0	0	0	0	2	False	True	True	False	False	Biological	LABEL_REUSED_ACROSS_SECTIONS
otor	o/t/o/r	STAR	1	3	17	2	4	2	8	2	2	40	False	False	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
otosey	o/t/o/s/e/y	RADIAL_TEXT	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otoshol	o/t/o/S/o/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otshey	o/t/S/e/y	STAR	1	1	1	0	2	0	0	0	4	8	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
otydg	o/t/y/d/g	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otydy	o/t/y/d/y	STAR	1	1	2	0	0	0	1	0	0	4	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
otykchs	o/t/y/k/H/s	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otys	o/t/y/s	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
oydchy	o/y/d/H/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
qotoear	q/o/t/o/e/a/r	OTHER	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
sair	s/a/i/r	OTHER	1	1	5	2	3	0	9	3	6	29	False	True	True	True	True	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
sal	s/a/l	CIRCLE_SECTOR	1	3	10	4	15	3	7	3	4	49	False	False	True	True	True	Biological;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
sam	s/a/m	OTHER	1	1	3	2	1	0	2	3	0	12	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
sar	s/a/r	CIRCLE_SECTOR	1	4	14	6	20	1	23	11	2	81	False	False	True	True	True	Biological;Pharmaceutical;Unknown	LABEL_REUSED_ACROSS_SECTIONS
sary	s/a/r/y	RADIAL_TEXT	1	2	5	1	0	0	0	2	0	10	False	False	True	True	True	Cosmological;Pharmaceutical;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
seeaiir	s/E/a/i/i/r	CIRCLE_SECTOR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
shdar	S/d/a/r	STAR	1	1	0	0	0	0	4	1	4	10	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
shes	S/e/s	OTHER	1	5	1	0	2	2	1	2	1	14	False	False	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
shokey	S/o/k/e/y	OTHER	1	1	1	0	0	1	2	0	0	5	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
shy	S/y	RADIAL_TEXT	1	1	69	5	9	1	7	3	4	99	False	True	True	True	True	Biological	LABEL_REUSED_ACROSS_SECTIONS
sosaiir	s/o/s/a/i/i/r	CIRCLE_SECTOR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
todaraiily	t/o/d/a/r/a/i/i/l/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
tol	t/o/l	OTHER	1	1	17	4	9	0	7	7	2	47	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
yfain	y/f/A	PLANET_MOON	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ykchdy	y/k/H/d/y	STAR	1	1	3	2	0	0	1	0	1	8	False	True	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
ykeeepol	y/k/E/e/p/o/l	RADIAL_TEXT	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ykeeody	y/k/E/o/d/y	CIRCLE_SECTOR	1	2	3	1	0	1	2	2	2	13	False	False	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ykees	y/k/E/s	CIRCLE_SECTOR	1	2	0	0	1	1	1	1	1	7	False	False	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ykeodar	y/k/e/o/d/a/r	STAR	1	1	1	0	0	0	0	0	0	2	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ypchy	y/p/H/y	RADIAL_TEXT	1	1	3	0	0	0	0	0	0	4	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
yshesas	y/S/e/s/a/s	RADIAL_TEXT	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ytchodly	y/t/H/o/d/l/y	OTHER	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ytchody	y/t/H/o/d/y	STAR	1	1	2	0	0	0	1	0	0	4	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
yteody	y/t/e/o/d/y	RADIAL_TEXT	1	3	3	0	0	1	2	2	3	14	False	False	True	True	False	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
ytoaiin	y/t/o/a/N	PLANET_MOON	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ytodal	y/t/o/d/a/l	OTHER	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ytokar	y/t/o/k/a/r	OTHER	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
