Corpus	Position	TokenA	TokenB	Operation	PositionClass	SourceGlyph	TargetGlyph
Voynich	1410	char	chaiin	SUBSTITUTION	END	r	N
Voynich	1413	cfhaiin	chaiin	SUBSTITUTION	BEGIN	F	H
Voynich	1435	kal	chal	SUBSTITUTION	BEGIN	k	H
Voynich	1445	sol	shol	SUBSTITUTION	BEGIN	s	S
Voynich	1466	chaiin	shaiin	SUBSTITUTION	BEGIN	H	S
Voynich	1469	dshol	shol	DELETION	BEGIN	d	
Voynich	1470	shol	dol	SUBSTITUTION	BEGIN	S	d
Voynich	1534	shol	kol	SUBSTITUTION	BEGIN	S	k
Voynich	1550	chor	cheor	INSERTION	MIDDLE		e
Voynich	1551	cheor	chear	SUBSTITUTION	END	o	a
Voynich	1600	chor	sor	SUBSTITUTION	BEGIN	H	s
Voynich	1621	chy	tchy	INSERTION	BEGIN		t
Voynich	1655	shol	cfhol	SUBSTITUTION	BEGIN	S	F
Voynich	1662	chol	chor	SUBSTITUTION	END	l	r
Voynich	1723	kchol	chol	DELETION	BEGIN	k	
Voynich	1782	dy	chy	SUBSTITUTION	BEGIN	d	H
Voynich	1802	daiin	dar	SUBSTITUTION	END	N	r
Voynich	1805	shor	chor	SUBSTITUTION	BEGIN	S	H
Voynich	1824	odaiin	daiin	DELETION	BEGIN	o	
Voynich	1828	paiin	daiin	SUBSTITUTION	BEGIN	p	d
Voynich	1878	chy	ky	SUBSTITUTION	BEGIN	H	k
Voynich	1909	chaiin	daiin	SUBSTITUTION	BEGIN	H	d
Voynich	1913	chy	kchy	INSERTION	BEGIN		k
Voynich	1921	c	h	SUBSTITUTION	MIDDLE	c	h
Voynich	1927	d	y	SUBSTITUTION	MIDDLE	d	y
Voynich	1932	d	s	SUBSTITUTION	MIDDLE	d	s
Voynich	1933	s	y	SUBSTITUTION	MIDDLE	s	y
Voynich	1945	cthy	dy	SUBSTITUTION	BEGIN	C	d
Voynich	1959	daiin	dam	SUBSTITUTION	END	N	m
Voynich	1966	kchy	tchy	SUBSTITUTION	BEGIN	k	t
Voynich	1987	dy	ddy	INSERTION	MIDDLE		d
Voynich	2007	dchol	chol	DELETION	BEGIN	d	
Voynich	2008	chol	dol	SUBSTITUTION	BEGIN	H	d
Voynich	2017	s	y	SUBSTITUTION	MIDDLE	s	y
Voynich	2019	s	y	SUBSTITUTION	MIDDLE	s	y
Voynich	2027	ykchy	kchy	DELETION	BEGIN	y	
Voynich	2034	shy	tshy	INSERTION	BEGIN		t
Voynich	2094	o	l	SUBSTITUTION	MIDDLE	o	l
Voynich	2095	l	s	SUBSTITUTION	MIDDLE	l	s
Voynich	2127	d	y	SUBSTITUTION	MIDDLE	d	y
Voynich	2187	sody	chody	SUBSTITUTION	BEGIN	s	H
Voynich	2194	ty	dy	SUBSTITUTION	BEGIN	t	d
Voynich	2218	chy	kchy	INSERTION	BEGIN		k
Voynich	2234	chy	cthy	SUBSTITUTION	BEGIN	H	C
Voynich	2248	ky	dy	SUBSTITUTION	BEGIN	k	d
Voynich	2327	cthy	dy	SUBSTITUTION	BEGIN	C	d
Voynich	2351	s	y	SUBSTITUTION	MIDDLE	s	y
Voynich	2358	okaiin	otaiin	SUBSTITUTION	MIDDLE	k	t
Voynich	2384	dor	dom	SUBSTITUTION	END	r	m
Voynich	2397	chor	or	DELETION	BEGIN	H	
Voynich	2398	or	oro	INSERTION	END		o
Voynich	2437	ol	oiin	SUBSTITUTION	END	l	N
Voynich	2448	sor	chor	SUBSTITUTION	BEGIN	s	H
Voynich	2461	chol	chor	SUBSTITUTION	END	l	r
Voynich	2490	tchor	chor	DELETION	BEGIN	t	
Voynich	2497	ty	ky	SUBSTITUTION	BEGIN	t	k
Voynich	2523	daly	dal	DELETION	END	y	
Voynich	2533	cthy	chy	SUBSTITUTION	BEGIN	C	H
Voynich	2534	chy	kchy	INSERTION	BEGIN		k
Voynich	2544	dl	dy	SUBSTITUTION	END	l	y
Voynich	2554	y	ky	INSERTION	BEGIN		k
Voynich	2563	chy	kchy	INSERTION	BEGIN		k
Voynich	2573	chor	chol	SUBSTITUTION	END	r	l
Voynich	2595	char	chor	SUBSTITUTION	MIDDLE	a	o
Voynich	2601	chol	chor	SUBSTITUTION	END	l	r
Voynich	2602	chor	cthor	SUBSTITUTION	BEGIN	H	C
Voynich	2607	chy	dy	SUBSTITUTION	BEGIN	H	d
Voynich	2661	chor	shor	SUBSTITUTION	BEGIN	H	S
Voynich	2662	shor	cphor	SUBSTITUTION	BEGIN	S	P
Voynich	2728	ychol	chol	DELETION	BEGIN	y	
Voynich	2744	os	s	DELETION	BEGIN	o	
Voynich	2768	oy	choy	INSERTION	BEGIN		H
Voynich	2776	chol	cthol	SUBSTITUTION	BEGIN	H	C
Voynich	2806	ol	chol	INSERTION	BEGIN		H
Voynich	2809	chr	or	SUBSTITUTION	BEGIN	H	o
Voynich	2817	ykeey	okeey	SUBSTITUTION	BEGIN	y	o
Voynich	2835	ctheey	cthy	DELETION	MIDDLE	E	
Voynich	2870	chor	cthor	SUBSTITUTION	BEGIN	H	C
Voynich	2887	dar	dal	SUBSTITUTION	END	r	l
Voynich	2892	sholdy	doldy	SUBSTITUTION	BEGIN	S	d
Voynich	2922	cthar	cthal	SUBSTITUTION	END	r	l
Voynich	2944	s	g	SUBSTITUTION	MIDDLE	s	g
Voynich	2953	qokay	qokchy	SUBSTITUTION	END	a	H
Voynich	2989	qotchy	qokchy	SUBSTITUTION	MIDDLE	t	k
Voynich	3031	otchy	tchy	DELETION	BEGIN	o	
Voynich	3049	or	chor	INSERTION	BEGIN		H
Voynich	3060	tchy	kchy	SUBSTITUTION	BEGIN	t	k
Voynich	3102	qotchy	qoteey	SUBSTITUTION	END	H	E
Voynich	3150	ytor	ytar	SUBSTITUTION	END	o	a
Voynich	3165	ey	cthey	INSERTION	BEGIN		C
Voynich	3203	chol	dol	SUBSTITUTION	BEGIN	H	d
Voynich	3204	dol	shol	SUBSTITUTION	BEGIN	d	S
Voynich	3213	qotchey	qokchey	SUBSTITUTION	MIDDLE	t	k
Voynich	3235	otchey	otchy	DELETION	END	e	
Voynich	3236	otchy	tchy	DELETION	BEGIN	o	
Voynich	3239	daiin	dar	SUBSTITUTION	END	N	r
Voynich	3258	cheol	chol	DELETION	MIDDLE	e	
Voynich	3259	chol	choiin	SUBSTITUTION	END	l	N
Voynich	3283	shol	shor	SUBSTITUTION	END	l	r
Voynich	3311	d	s	SUBSTITUTION	MIDDLE	d	s
Voynich	3354	o	l	SUBSTITUTION	MIDDLE	o	l
Voynich	3380	y	ky	INSERTION	BEGIN		k
Voynich	3382	chol	kol	SUBSTITUTION	BEGIN	H	k
Voynich	3385	chol	ol	DELETION	BEGIN	H	
Voynich	3414	chy	ky	SUBSTITUTION	BEGIN	H	k
Voynich	3421	shol	chol	SUBSTITUTION	BEGIN	S	H
Voynich	3422	chol	shol	SUBSTITUTION	BEGIN	H	S
Voynich	3434	chor	chol	SUBSTITUTION	END	r	l
Voynich	3448	qotchy	qokchy	SUBSTITUTION	MIDDLE	t	k
Voynich	3460	daiin	dal	SUBSTITUTION	END	N	l
Voynich	3479	sho	tsho	INSERTION	BEGIN		t
Voynich	3507	ol	oiin	SUBSTITUTION	END	l	N
Voynich	3524	cthol	ctholo	INSERTION	END		o
Voynich	3540	dar	daiin	SUBSTITUTION	END	r	N
Voynich	3600	okchy	kchy	DELETION	BEGIN	o	
Voynich	3603	daiin	ydaiin	INSERTION	BEGIN		y
Voynich	3606	dy	dain	SUBSTITUTION	END	y	A
Voynich	3649	ychor	chor	DELETION	BEGIN	y	
Voynich	3656	daiin	dam	SUBSTITUTION	END	N	m
Voynich	3660	chol	tchol	INSERTION	BEGIN		t
Voynich	3709	daiin	dam	SUBSTITUTION	END	N	m
Voynich	3717	kaiin	daiin	SUBSTITUTION	BEGIN	k	d
Voynich	3719	cth	g	SUBSTITUTION	MIDDLE	C	g
Voynich	3739	ol	dol	INSERTION	BEGIN		d
Voynich	3785	daiin	dal	SUBSTITUTION	END	N	l
Voynich	3822	o	l	SUBSTITUTION	MIDDLE	o	l
Voynich	3849	sho	shol	INSERTION	END		l
Voynich	3866	dal	dar	SUBSTITUTION	END	l	r
Voynich	3869	ar	or	SUBSTITUTION	BEGIN	a	o
Voynich	3886	oiin	ol	SUBSTITUTION	END	N	l
Voynich	3894	por	or	DELETION	BEGIN	p	
Voynich	3923	cthy	cthe	SUBSTITUTION	END	y	e
Voynich	3948	dol	dal	SUBSTITUTION	MIDDLE	o	a
Voynich	3963	qokchy	qotchy	SUBSTITUTION	MIDDLE	k	t
Voynich	3965	tol	tod	SUBSTITUTION	END	l	d
Voynich	3987	dal	dam	SUBSTITUTION	END	l	m
Voynich	3988	dam	dal	SUBSTITUTION	END	m	l
Voynich	4000	yol	kol	SUBSTITUTION	BEGIN	y	k
Voynich	4001	kol	chol	SUBSTITUTION	BEGIN	k	H
Voynich	4014	o	k	SUBSTITUTION	MIDDLE	o	k
Voynich	4015	k	o	SUBSTITUTION	MIDDLE	k	o
Voynich	4027	okchom	okcho	DELETION	END	m	
Voynich	4037	okaiin	odaiin	SUBSTITUTION	MIDDLE	k	d
Voynich	4056	ychol	chol	DELETION	BEGIN	y	
Voynich	4058	or	chor	INSERTION	BEGIN		H
Voynich	4077	cheol	chol	DELETION	MIDDLE	e	
Voynich	4080	sho	do	SUBSTITUTION	BEGIN	S	d
Voynich	4112	qotchy	qotshy	SUBSTITUTION	END	H	S
Voynich	4126	chan	chaiin	SUBSTITUTION	END	n	N
Voynich	4143	ky	shy	SUBSTITUTION	BEGIN	k	S
Voynich	4151	cthor	chor	SUBSTITUTION	BEGIN	C	H
Voynich	4195	oc	o	DELETION	END	c	
Voynich	4251	qokeedy	qokedy	SUBSTITUTION	MIDDLE	E	e
Voynich	4273	ok	ol	SUBSTITUTION	END	k	l
Voynich	4276	qokeedy	qokedy	SUBSTITUTION	MIDDLE	E	e
Voynich	4300	ypchedy	ypchdy	DELETION	MIDDLE	e	
Voynich	4360	chey	cheky	INSERTION	END		k
Voynich	4416	chor	char	SUBSTITUTION	MIDDLE	o	a
Voynich	4418	chy	dchy	INSERTION	BEGIN		d
Voynich	4441	kchey	chey	DELETION	BEGIN	k	
Voynich	4468	s	y	SUBSTITUTION	MIDDLE	s	y
Voynich	4469	y	chy	INSERTION	BEGIN		H
Voynich	4475	chees	chos	SUBSTITUTION	MIDDLE	E	o
Voynich	4481	chey	cthey	SUBSTITUTION	BEGIN	H	C
Voynich	4486	chof	cho	DELETION	END	f	
Voynich	4487	cho	sho	SUBSTITUTION	BEGIN	H	S
Voynich	4493	kchor	chor	DELETION	BEGIN	k	
Voynich	4500	dchy	dshy	SUBSTITUTION	MIDDLE	H	S
Voynich	4506	kchey	kchy	DELETION	END	e	
Voynich	4517	chl	chol	INSERTION	MIDDLE		o
Voynich	4572	chtol	otol	SUBSTITUTION	BEGIN	H	o
Voynich	4596	shockhy	shocthy	SUBSTITUTION	END	K	C
Voynich	4624	chy	dy	SUBSTITUTION	BEGIN	H	d
Voynich	4632	chor	chol	SUBSTITUTION	END	r	l
Voynich	4637	cheor	chor	DELETION	MIDDLE	e	
Voynich	4651	qotchey	qotshey	SUBSTITUTION	MIDDLE	H	S
Voynich	4688	qotchy	qoty	DELETION	END	H	
Voynich	4699	chy	ty	SUBSTITUTION	BEGIN	H	t
Voynich	4700	ty	dy	SUBSTITUTION	BEGIN	t	d
Voynich	4715	sheey	teey	SUBSTITUTION	BEGIN	S	t
Voynich	4730	choety	choty	DELETION	MIDDLE	e	
Voynich	4733	shor	chor	SUBSTITUTION	BEGIN	S	H
Voynich	4753	cthy	shy	SUBSTITUTION	BEGIN	C	S
Voynich	4784	shot	sho	DELETION	END	t	
Voynich	4791	chshy	shy	DELETION	BEGIN	H	
Voynich	4795	chaiin	shaiin	SUBSTITUTION	BEGIN	H	S
Voynich	4805	dy	shdy	INSERTION	BEGIN		S
Voynich	4839	s	y	SUBSTITUTION	MIDDLE	s	y
Voynich	4848	d	o	SUBSTITUTION	MIDDLE	d	o
Voynich	4857	shey	she	DELETION	END	y	
Voynich	4886	chor	cho	DELETION	END	r	
Voynich	4887	cho	ro	SUBSTITUTION	BEGIN	H	r
Voynich	4964	doiin	daiin	SUBSTITUTION	MIDDLE	o	a
Voynich	4987	kcho	tcho	SUBSTITUTION	BEGIN	k	t
Voynich	5036	r	ar	INSERTION	BEGIN		a
Voynich	5046	qokedy	qotedy	SUBSTITUTION	MIDDLE	k	t
Voynich	5063	cheol	cheod	SUBSTITUTION	END	l	d
Voynich	5075	okedy	qokedy	INSERTION	BEGIN		q
Voynich	5076	qokedy	qokeedy	SUBSTITUTION	MIDDLE	e	E
Voynich	5085	kchy	keey	SUBSTITUTION	MIDDLE	H	E
Voynich	5113	otedy	oteedy	SUBSTITUTION	MIDDLE	e	E
Voynich	5135	okedy	okey	DELETION	END	d	
Voynich	5185	o	r	SUBSTITUTION	MIDDLE	o	r
Voynich	5229	okor	okchor	INSERTION	MIDDLE		H
Voynich	5238	cthol	chol	SUBSTITUTION	BEGIN	C	H
Voynich	5239	chol	dol	SUBSTITUTION	BEGIN	H	d
Voynich	5249	qotchy	qokchy	SUBSTITUTION	MIDDLE	t	k
Voynich	5255	dol	ol	DELETION	BEGIN	d	
Voynich	5260	daiin	dam	SUBSTITUTION	END	N	m
Voynich	5293	sho	shy	SUBSTITUTION	END	o	y
Voynich	5295	dol	dchol	INSERTION	MIDDLE		H
Voynich	5312	dy	dain	SUBSTITUTION	END	y	A
Voynich	5324	or	chr	SUBSTITUTION	BEGIN	o	H
Voynich	5325	chr	chor	INSERTION	MIDDLE		o
Voynich	5326	chor	dor	SUBSTITUTION	BEGIN	H	d
Voynich	5371	daiin	cthaiin	SUBSTITUTION	BEGIN	d	C
Voynich	5372	cthaiin	daiin	SUBSTITUTION	BEGIN	C	d
Voynich	5376	chor	chol	SUBSTITUTION	END	r	l
Voynich	5399	okaldy	qokaldy	INSERTION	BEGIN		q
Voynich	5403	qotar	otar	DELETION	BEGIN	q	
Voynich	5437	okal	otal	SUBSTITUTION	MIDDLE	k	t
Voynich	5461	tar	ar	DELETION	BEGIN	t	
Voynich	5468	ar	aiin	SUBSTITUTION	END	r	N
Voynich	5478	ytam	otam	SUBSTITUTION	BEGIN	y	o
Voynich	5508	cthy	dy	SUBSTITUTION	BEGIN	C	d
Voynich	5509	dy	ty	SUBSTITUTION	BEGIN	d	t
Voynich	5510	ty	dy	SUBSTITUTION	BEGIN	t	d
Voynich	5534	dar	ar	DELETION	BEGIN	d	
Voynich	5551	chor	or	DELETION	BEGIN	H	
Voynich	5557	ar	aiin	SUBSTITUTION	END	r	N
Voynich	5563	ar	or	SUBSTITUTION	BEGIN	a	o
Voynich	5567	o	or	INSERTION	END		r
Voynich	5588	octhedy	otedy	SUBSTITUTION	BEGIN	C	t
Voynich	5602	dody	ody	DELETION	BEGIN	d	
Voynich	5627	chekey	chetey	SUBSTITUTION	MIDDLE	k	t
Voynich	5643	s	as	INSERTION	BEGIN		a
Voynich	5691	daiin	dam	SUBSTITUTION	END	N	m
Voynich	5704	or	ar	SUBSTITUTION	BEGIN	o	a
Voynich	5708	ol	al	SUBSTITUTION	BEGIN	o	a
Voynich	5713	chedy	chcthedy	INSERTION	BEGIN		C
Voynich	5752	or	ol	SUBSTITUTION	END	r	l
Voynich	5764	oldar	qoldar	INSERTION	BEGIN		q
Voynich	5787	lr	ar	SUBSTITUTION	BEGIN	l	a
Voynich	5791	chedy	chey	DELETION	END	d	
Voynich	5816	keedy	kchdy	SUBSTITUTION	MIDDLE	E	H
Voynich	5873	tcheey	scheey	SUBSTITUTION	BEGIN	t	s
Voynich	5879	char	chan	SUBSTITUTION	END	r	n
Voynich	5887	kaiin	daiin	SUBSTITUTION	BEGIN	k	d
Voynich	5895	aiin	chaiin	INSERTION	BEGIN		H
Voynich	5928	cthol	chol	SUBSTITUTION	BEGIN	C	H
Voynich	5951	choty	chyty	SUBSTITUTION	MIDDLE	o	y
Voynich	5965	tcho	tchor	INSERTION	END		r
Voynich	5967	shol	sho	DELETION	END	l	
Voynich	5968	sho	co	SUBSTITUTION	BEGIN	S	c
Voynich	6061	c	y	SUBSTITUTION	MIDDLE	c	y
Voynich	6062	y	chy	INSERTION	BEGIN		H
Voynich	6063	chy	dchy	INSERTION	BEGIN		d
Voynich	6071	s	o	SUBSTITUTION	MIDDLE	s	o
Voynich	6072	o	r	SUBSTITUTION	MIDDLE	o	r
Voynich	6074	chy	sy	SUBSTITUTION	BEGIN	H	s
Voynich	6083	an	dan	INSERTION	BEGIN		d
Voynich	6127	y	ky	INSERTION	BEGIN		k
Voynich	6128	ky	ty	SUBSTITUTION	BEGIN	k	t
Voynich	6129	ty	dy	SUBSTITUTION	BEGIN	t	d
Voynich	6139	daiin	dal	SUBSTITUTION	END	N	l
Voynich	6145	o	s	SUBSTITUTION	MIDDLE	o	s
Voynich	6212	shor	shol	SUBSTITUTION	END	r	l
Voynich	6229	shor	sheor	INSERTION	MIDDLE		e
Voynich	6243	chy	shy	SUBSTITUTION	BEGIN	H	S
Voynich	6287	dor	chor	SUBSTITUTION	BEGIN	d	H
Voynich	6290	daiiin	daiin	DELETION	END	i	
Voynich	6349	oly	oky	SUBSTITUTION	MIDDLE	l	k
Voynich	6358	okaiin	otaiin	SUBSTITUTION	MIDDLE	k	t
Voynich	6365	chckh	chy	SUBSTITUTION	END	K	y
Voynich	6381	ysho	sho	DELETION	BEGIN	y	
Voynich	6399	shey	key	SUBSTITUTION	BEGIN	S	k
Voynich	6435	keeey	key	DELETION	MIDDLE	E	
Voynich	6436	key	tey	SUBSTITUTION	BEGIN	k	t
Voynich	6438	daiin	daiiin	INSERTION	END		i
Voynich	6486	dar	ar	DELETION	BEGIN	d	
Voynich	6501	dchdy	chdy	DELETION	BEGIN	d	
Voynich	6519	chdy	chckhdy	INSERTION	MIDDLE		K
Voynich	6521	dar	ar	DELETION	BEGIN	d	
Voynich	6522	ar	al	SUBSTITUTION	END	r	l
Voynich	6555	ar	aiin	SUBSTITUTION	END	r	N
Voynich	6584	otedy	tedy	DELETION	BEGIN	o	
Voynich	6602	daiin	dar	SUBSTITUTION	END	N	r
Voynich	6638	ody	dy	DELETION	BEGIN	o	
Voynich	6661	o	d	SUBSTITUTION	MIDDLE	o	d
Voynich	6673	ckhol	ol	DELETION	BEGIN	K	
Voynich	6702	shek	chek	SUBSTITUTION	BEGIN	S	H
Voynich	6720	dar	ar	DELETION	BEGIN	d	
Voynich	6750	ockhedy	otedy	SUBSTITUTION	BEGIN	K	t
Voynich	6751	otedy	okedy	SUBSTITUTION	BEGIN	t	k
Voynich	6772	qokar	okar	DELETION	BEGIN	q	
Voynich	6799	okaiin	okar	SUBSTITUTION	END	N	r
Voynich	6804	lokar	qokar	SUBSTITUTION	BEGIN	l	q
Voynich	6805	qokar	okar	DELETION	BEGIN	q	
Voynich	6812	ar	or	SUBSTITUTION	BEGIN	a	o
Voynich	6815	tor	or	DELETION	BEGIN	t	
Voynich	6816	or	ar	SUBSTITUTION	BEGIN	o	a
Voynich	6876	okaiin	okam	SUBSTITUTION	END	N	m
Voynich	6898	pchody	pchdy	DELETION	MIDDLE	o	
Voynich	6915	chedy	kedy	SUBSTITUTION	BEGIN	H	k
Voynich	7025	shepy	shedy	SUBSTITUTION	END	p	d
Voynich	7031	okedy	chkedy	SUBSTITUTION	BEGIN	o	H
Voynich	7061	qokeedy	qokedy	SUBSTITUTION	MIDDLE	E	e
Voynich	7174	shor	shol	SUBSTITUTION	END	r	l
Voynich	7189	cthol	chol	SUBSTITUTION	BEGIN	C	H
Voynich	7190	chol	shol	SUBSTITUTION	BEGIN	H	S
Voynich	7203	chol	shol	SUBSTITUTION	BEGIN	H	S
Voynich	7211	shol	shot	SUBSTITUTION	END	l	t
Voynich	7212	shot	shol	SUBSTITUTION	END	t	l
Voynich	7224	daiin	dam	SUBSTITUTION	END	N	m
Voynich	7255	s	os	INSERTION	BEGIN		o
Voynich	7257	shol	chol	SUBSTITUTION	BEGIN	S	H
Voynich	7262	chol	shol	SUBSTITUTION	BEGIN	H	S
Voynich	7265	shol	chol	SUBSTITUTION	BEGIN	S	H
Voynich	7267	chol	shol	SUBSTITUTION	BEGIN	H	S
Voynich	7289	chol	chor	SUBSTITUTION	END	l	r
Voynich	7366	o	t	SUBSTITUTION	MIDDLE	o	t
Voynich	7373	chol	ol	DELETION	BEGIN	H	
Voynich	7389	chy	kchy	INSERTION	BEGIN		k
Voynich	7425	yty	oty	SUBSTITUTION	BEGIN	y	o
Voynich	7463	kchedy	chedy	DELETION	BEGIN	k	
Voynich	7482	chedy	cheody	INSERTION	MIDDLE		o
Voynich	7528	qokeedy	qokody	SUBSTITUTION	MIDDLE	E	o
Voynich	7533	oty	yty	SUBSTITUTION	BEGIN	o	y
Voynich	7576	tody	teedy	SUBSTITUTION	MIDDLE	o	E
Voynich	7580	chky	oky	SUBSTITUTION	BEGIN	H	o
Voynich	7616	chedy	tedy	SUBSTITUTION	BEGIN	H	t
Voynich	7626	chedy	chody	SUBSTITUTION	MIDDLE	e	o
Voynich	7655	chckhy	chdy	SUBSTITUTION	MIDDLE	K	d
Voynich	7672	tedy	ckhedy	SUBSTITUTION	BEGIN	t	K
Voynich	7714	y	ty	INSERTION	BEGIN		t
Voynich	7719	dchy	dy	DELETION	MIDDLE	H	
Voynich	7728	ykchey	ykchy	DELETION	END	e	
Voynich	7747	qotchy	otchy	DELETION	BEGIN	q	
Voynich	7767	qotchy	qokchy	SUBSTITUTION	MIDDLE	t	k
Voynich	7787	shol	tol	SUBSTITUTION	BEGIN	S	t
Voynich	7853	l	o	SUBSTITUTION	MIDDLE	l	o
Voynich	7863	cthal	kal	SUBSTITUTION	BEGIN	C	k
Voynich	7876	ctho	cthol	INSERTION	END		l
Voynich	7925	otchar	okchar	SUBSTITUTION	BEGIN	t	k
Voynich	7936	kar	dar	SUBSTITUTION	BEGIN	k	d
Voynich	7951	chain	dain	SUBSTITUTION	BEGIN	H	d
Voynich	7960	yky	oky	SUBSTITUTION	BEGIN	y	o
Voynich	7998	chy	ky	SUBSTITUTION	BEGIN	H	k
Voynich	8006	dail	dair	SUBSTITUTION	END	l	r
Voynich	8044	sy	sa	SUBSTITUTION	END	y	a
Voynich	8052	or	chor	INSERTION	BEGIN		H
Voynich	8113	ytedy	ytey	DELETION	END	d	
Voynich	8128	xol	shol	SUBSTITUTION	BEGIN	x	S
Voynich	8143	chy	chckhy	INSERTION	MIDDLE		K
Voynich	8145	shy	shdy	INSERTION	MIDDLE		d
