Corpus	Direction	SourceGlyph	TargetGlyph	Count
Voynich	directional	t	s	1
Voynich	directional	v	l	1
Voynich	directional	v	r	1
Voynich	directional	v	t	4
Voynich	directional	v	x	4
Voynich	directional	x	S	1
Voynich	directional	x	k	5
Voynich	directional	x	l	1
Voynich	directional	x	s	1
Voynich	directional	y	A	7
Voynich	directional	y	C	1
Voynich	directional	y	H	1
Voynich	directional	y	S	1
Voynich	directional	y	a	1
Voynich	directional	y	c	3
Voynich	directional	y	d	1
Voynich	directional	y	e	1
Voynich	directional	y	i	1
Voynich	directional	y	k	1
Voynich	directional	y	l	2
Voynich	directional	y	o	18
Voynich	directional	y	r	3
Voynich	directional	y	s	4
Voynich	directional	y	t	1
Voynich	symmetric	0	1	4
Voynich	symmetric	1	2	1
Voynich	symmetric	2	3	1
Voynich	symmetric	3	4	1
Voynich	symmetric	A	H	2
Voynich	symmetric	A	N	1
Voynich	symmetric	A	S	1
Voynich	symmetric	A	a	1
Voynich	symmetric	A	l	3
Voynich	symmetric	A	o	2
Voynich	symmetric	A	r	15
Voynich	symmetric	A	s	7
Voynich	symmetric	A	y	19
Voynich	symmetric	C	H	24
Voynich	symmetric	C	K	3
Voynich	symmetric	C	S	2
Voynich	symmetric	C	d	9
Voynich	symmetric	C	g	1
Voynich	symmetric	C	k	3
Voynich	symmetric	C	s	1
Voynich	symmetric	C	t	2
Voynich	symmetric	C	y	2
Voynich	symmetric	E	H	7
Voynich	symmetric	E	d	1
Voynich	symmetric	E	e	60
Voynich	symmetric	E	k	1
Voynich	symmetric	E	o	4
Voynich	symmetric	E	s	1
Voynich	symmetric	F	H	2
Voynich	symmetric	F	S	1
Voynich	symmetric	F	d	1
Voynich	symmetric	H	K	7
Voynich	symmetric	H	P	1
Voynich	symmetric	H	S	44
Voynich	symmetric	H	a	1
Voynich	symmetric	H	d	14
Voynich	symmetric	H	e	4
Voynich	symmetric	H	k	19
Voynich	symmetric	H	l	2
Voynich	symmetric	H	o	13
Voynich	symmetric	H	q	5
Voynich	symmetric	H	r	2
Voynich	symmetric	H	s	9
Voynich	symmetric	H	t	5
Voynich	symmetric	H	y	3
Voynich	symmetric	I	l	1
Voynich	symmetric	K	S	1
Voynich	symmetric	K	d	4
Voynich	symmetric	K	e	2
Voynich	symmetric	K	k	3
Voynich	symmetric	K	t	2
Voynich	symmetric	K	y	1
Voynich	symmetric	N	a	1
Voynich	symmetric	N	g	1
Voynich	symmetric	N	l	51
Voynich	symmetric	N	m	14
Voynich	symmetric	N	n	2
Voynich	symmetric	N	r	55
Voynich	symmetric	N	s	3
Voynich	symmetric	P	S	3
Voynich	symmetric	P	d	2
Voynich	symmetric	P	s	1
Voynich	symmetric	S	c	1
Voynich	symmetric	S	d	10
Voynich	symmetric	S	k	7
Voynich	symmetric	S	l	1
Voynich	symmetric	S	o	1
Voynich	symmetric	S	q	1
Voynich	symmetric	S	s	7
Voynich	symmetric	S	t	6
Voynich	symmetric	S	x	1
Voynich	symmetric	S	y	3
Voynich	symmetric	a	d	2
Voynich	symmetric	a	e	1
Voynich	symmetric	a	k	1
Voynich	symmetric	a	l	1
Voynich	symmetric	a	o	40
Voynich	symmetric	a	r	6
Voynich	symmetric	a	t	1
Voynich	symmetric	a	y	1
Voynich	symmetric	c	f	1
Voynich	symmetric	c	h	1
Voynich	symmetric	c	y	6
Voynich	symmetric	d	e	2
Voynich	symmetric	d	g	1
Voynich	symmetric	d	k	18
Voynich	symmetric	d	l	9
Voynich	symmetric	d	n	1
Voynich	symmetric	d	o	12
Voynich	symmetric	d	p	2
Voynich	symmetric	d	r	5
Voynich	symmetric	d	s	5
Voynich	symmetric	d	t	7
Voynich	symmetric	d	y	9
Voynich	symmetric	e	l	1
Voynich	symmetric	e	o	8
Voynich	symmetric	e	y	1
Voynich	symmetric	f	k	1
Voynich	symmetric	f	m	2
Voynich	symmetric	f	o	1
Voynich	symmetric	f	r	1
Voynich	symmetric	f	s	1
Voynich	symmetric	f	t	1
Voynich	symmetric	g	l	2
Voynich	symmetric	g	m	1
Voynich	symmetric	g	s	1
Voynich	symmetric	h	i	2
Voynich	symmetric	h	y	1
Voynich	symmetric	i	y	1
Voynich	symmetric	k	l	5
Voynich	symmetric	k	m	4
Voynich	symmetric	k	o	7
Voynich	symmetric	k	p	6
Voynich	symmetric	k	r	2
Voynich	symmetric	k	t	69
Voynich	symmetric	k	x	6
Voynich	symmetric	k	y	1
Voynich	symmetric	l	m	8
Voynich	symmetric	l	o	38
Voynich	symmetric	l	p	4
Voynich	symmetric	l	q	1
Voynich	symmetric	l	r	100
Voynich	symmetric	l	s	13
Voynich	symmetric	l	t	8
Voynich	symmetric	l	v	1
Voynich	symmetric	l	x	1
Voynich	symmetric	l	y	7
Voynich	symmetric	m	p	2
Voynich	symmetric	m	r	15
Voynich	symmetric	m	s	1
Voynich	symmetric	n	r	1
Voynich	symmetric	o	q	3
Voynich	symmetric	o	r	9
Voynich	symmetric	o	s	8
Voynich	symmetric	o	t	2
Voynich	symmetric	o	v	1
Voynich	symmetric	o	y	30
Voynich	symmetric	p	r	2
Voynich	symmetric	p	t	3
Voynich	symmetric	q	s	1
Voynich	symmetric	q	t	1
Voynich	symmetric	r	s	3
Voynich	symmetric	r	t	5
Voynich	symmetric	r	v	5
Voynich	symmetric	r	y	3
Voynich	symmetric	s	t	2
Voynich	symmetric	s	x	1
Voynich	symmetric	s	y	15
Voynich	symmetric	t	v	4
Voynich	symmetric	t	y	1
Voynich	symmetric	v	x	4
Doyle	directional	a	i	8
Doyle	directional	a	s	1
Doyle	directional	b	h	1
Doyle	directional	b	m	3
Doyle	directional	b	r	1
Doyle	directional	d	n	1
Doyle	directional	d	t	2
Doyle	directional	e	a	2
Doyle	directional	e	r	2
Doyle	directional	e	y	1
Doyle	directional	f	t	9
Doyle	directional	g	h	1
Doyle	directional	g	n	1
Doyle	directional	g	t	6
Doyle	directional	h	b	1
Doyle	directional	h	p	1
Doyle	directional	h	w	4
Doyle	directional	i	a	30
Doyle	directional	i	d	6
Doyle	directional	i	m	2
Doyle	directional	k	n	1
Doyle	directional	k	s	1
Doyle	directional	m	h	2
Doyle	directional	m	j	1
Doyle	directional	m	s	8
Doyle	directional	m	w	1
Doyle	directional	m	y	2
Doyle	directional	n	g	1
Doyle	directional	n	t	13
Doyle	directional	n	y	1
Doyle	directional	o	a	1
Doyle	directional	o	b	3
Doyle	directional	o	i	1
Doyle	directional	o	m	1
Doyle	directional	r	f	2
Doyle	directional	r	t	1
Doyle	directional	s	a	9
Doyle	directional	s	d	2
Doyle	directional	s	i	1
Doyle	directional	s	n	12
Doyle	directional	s	t	8
Doyle	directional	s	w	1
Doyle	directional	t	d	16
Doyle	directional	t	f	3
Doyle	directional	t	g	7
Doyle	directional	t	i	1
Doyle	directional	t	m	1
Doyle	directional	t	n	19
Doyle	directional	t	s	113
Doyle	directional	t	w	2
Doyle	directional	u	a	3
Doyle	directional	w	r	1
Doyle	directional	w	t	2
Doyle	directional	y	a	1
Doyle	symmetric	a	e	2
Doyle	symmetric	a	i	38
Doyle	symmetric	a	o	1
Doyle	symmetric	a	s	10
Doyle	symmetric	a	u	3
Doyle	symmetric	a	y	1
Doyle	symmetric	b	h	2
Doyle	symmetric	b	m	3
Doyle	symmetric	b	o	3
Doyle	symmetric	b	r	1
Doyle	symmetric	d	i	6
Doyle	symmetric	d	n	1
Doyle	symmetric	d	s	2
Doyle	symmetric	d	t	18
Doyle	symmetric	e	r	2
Doyle	symmetric	e	y	1
Doyle	symmetric	f	r	2
Doyle	symmetric	f	t	12
Doyle	symmetric	g	h	1
Doyle	symmetric	g	n	2
Doyle	symmetric	g	t	13
Doyle	symmetric	h	m	2
Doyle	symmetric	h	p	1
Doyle	symmetric	h	w	4
Doyle	symmetric	i	m	2
Doyle	symmetric	i	o	1
Doyle	symmetric	i	s	1
Doyle	symmetric	i	t	1
Doyle	symmetric	j	m	1
Doyle	symmetric	k	n	1
Doyle	symmetric	k	s	1
Doyle	symmetric	m	o	1
Doyle	symmetric	m	s	8
Doyle	symmetric	m	t	1
Doyle	symmetric	m	w	1
Doyle	symmetric	m	y	2
Doyle	symmetric	n	s	12
Doyle	symmetric	n	t	32
Doyle	symmetric	n	y	1
Doyle	symmetric	r	t	1
Doyle	symmetric	r	w	1
Doyle	symmetric	s	t	121
Doyle	symmetric	s	w	1
Doyle	symmetric	t	w	4
Longfellow	directional	e	y	1
Longfellow	directional	f	n	1
Longfellow	directional	g	t	2
Longfellow	directional	h	b	2
Longfellow	directional	i	a	6
Longfellow	directional	l	n	1
Longfellow	directional	m	h	1
Longfellow	directional	m	n	1
Longfellow	directional	n	t	5
Longfellow	directional	n	y	8
Longfellow	directional	o	a	3
Longfellow	directional	r	p	1
Longfellow	directional	s	n	8
Longfellow	directional	s	t	8
Longfellow	directional	t	f	1
Longfellow	directional	t	g	2
Longfellow	directional	t	n	5
Longfellow	directional	t	r	1
Longfellow	directional	t	s	11
Longfellow	symmetric	a	i	6
Longfellow	symmetric	a	o	3
Longfellow	symmetric	b	h	2
Longfellow	symmetric	e	y	1
Longfellow	symmetric	f	n	1
Longfellow	symmetric	f	t	1
Longfellow	symmetric	g	t	4
Longfellow	symmetric	h	m	1
Longfellow	symmetric	l	n	1
Longfellow	symmetric	m	n	1
Longfellow	symmetric	n	s	8
Longfellow	symmetric	n	t	10
Longfellow	symmetric	n	y	8
Longfellow	symmetric	p	r	1
Longfellow	symmetric	r	t	1
Longfellow	symmetric	s	t	19
Astafiev	directional	0	1	1
Astafiev	directional	0	2	10
Astafiev	directional	0	3	1
Astafiev	directional	0	5	110
Astafiev	directional	1	2	149
Astafiev	directional	1	3	1
Astafiev	directional	1	г	7
Astafiev	directional	1	л	35
Astafiev	directional	2	3	257
Astafiev	directional	2	4	11
Astafiev	directional	2	5	2
Astafiev	directional	2	8	1
Astafiev	directional	2	г	6
Astafiev	directional	2	л	80
Astafiev	directional	3	2	1
Astafiev	directional	3	4	143
Astafiev	directional	3	5	16
Astafiev	directional	3	г	1
Astafiev	directional	3	л	7
Astafiev	directional	4	5	54
Astafiev	directional	4	6	17
Astafiev	directional	4	г	1
Astafiev	directional	5	6	54
Astafiev	directional	5	7	14
Astafiev	directional	5	8	10
Astafiev	directional	5	г	12
Astafiev	directional	6	7	7
Astafiev	directional	6	8	23
Astafiev	directional	6	9	1
Astafiev	directional	6	в	1
Astafiev	directional	6	г	1
Astafiev	directional	6	л	1
Astafiev	directional	7	8	3
Astafiev	directional	7	9	1
Astafiev	directional	8	9	3
Astafiev	directional	8	г	1
Astafiev	directional	a	d	1
Astafiev	directional	d	е	2
Astafiev	directional	d	и	1
Astafiev	directional	а	в	8
Astafiev	directional	а	и	4
Astafiev	directional	а	с	3
Astafiev	directional	б	8	1
Astafiev	directional	в	1	5
Astafiev	directional	в	2	8
Astafiev	directional	в	3	3
Astafiev	directional	в	4	1
Astafiev	directional	в	d	1
Astafiev	directional	г	1	5
Astafiev	directional	г	2	2
Astafiev	directional	г	3	1
Astafiev	directional	г	4	1
Astafiev	directional	г	а	2
Astafiev	directional	г	в	1
Astafiev	directional	г	и	1
Astafiev	directional	е	к	1
Astafiev	directional	и	1	7
Astafiev	directional	и	2	5
Astafiev	directional	и	3	1
Astafiev	directional	и	4	2
Astafiev	directional	и	d	4
Astafiev	directional	и	а	1
Astafiev	directional	и	в	23
Astafiev	directional	и	с	2
Astafiev	directional	и	т	19
Astafiev	directional	и	у	5
Astafiev	directional	к	т	1
Astafiev	directional	м	е	2
Astafiev	directional	о	е	15
Astafiev	directional	с	1	1
Astafiev	directional	с	2	5
Astafiev	directional	с	3	1
Astafiev	directional	с	6	1
Astafiev	directional	с	в	2
Astafiev	directional	т	д	15
Astafiev	directional	т	е	3
Astafiev	directional	т	ж	1
Astafiev	directional	т	к	12
Astafiev	directional	т	п	4
Astafiev	directional	у	а	1
Astafiev	directional	х	з	1
Astafiev	directional	ы	у	4
Astafiev	directional	я	в	1
Astafiev	symmetric	0	1	1
Astafiev	symmetric	0	2	10
Astafiev	symmetric	0	3	1
Astafiev	symmetric	0	5	110
Astafiev	symmetric	1	2	149
Astafiev	symmetric	1	3	1
Astafiev	symmetric	1	в	5
Astafiev	symmetric	1	г	12
Astafiev	symmetric	1	и	7
Astafiev	symmetric	1	л	35
Astafiev	symmetric	1	с	1
Astafiev	symmetric	2	3	258
Astafiev	symmetric	2	4	11
Astafiev	symmetric	2	5	2
Astafiev	symmetric	2	8	1
Astafiev	symmetric	2	в	8
Astafiev	symmetric	2	г	8
Astafiev	symmetric	2	и	5
Astafiev	symmetric	2	л	80
Astafiev	symmetric	2	с	5
Astafiev	symmetric	3	4	143
Astafiev	symmetric	3	5	16
Astafiev	symmetric	3	в	3
Astafiev	symmetric	3	г	2
Astafiev	symmetric	3	и	1
Astafiev	symmetric	3	л	7
Astafiev	symmetric	3	с	1
Astafiev	symmetric	4	5	54
Astafiev	symmetric	4	6	17
Astafiev	symmetric	4	в	1
Astafiev	symmetric	4	г	2
Astafiev	symmetric	4	и	2
Astafiev	symmetric	5	6	54
Astafiev	symmetric	5	7	14
Astafiev	symmetric	5	8	10
Astafiev	symmetric	5	г	12
Astafiev	symmetric	6	7	7
Astafiev	symmetric	6	8	23
Astafiev	symmetric	6	9	1
Astafiev	symmetric	6	в	1
Astafiev	symmetric	6	г	1
Astafiev	symmetric	6	л	1
Astafiev	symmetric	6	с	1
Astafiev	symmetric	7	8	3
Astafiev	symmetric	7	9	1
Astafiev	symmetric	8	9	3
Astafiev	symmetric	8	б	1
Astafiev	symmetric	8	г	1
Astafiev	symmetric	a	d	1
Astafiev	symmetric	d	в	1
Astafiev	symmetric	d	е	2
Astafiev	symmetric	d	и	5
Astafiev	symmetric	а	в	8
Astafiev	symmetric	а	г	2
Astafiev	symmetric	а	и	5
Astafiev	symmetric	а	с	3
Astafiev	symmetric	а	у	1
Astafiev	symmetric	в	г	1
Astafiev	symmetric	в	и	23
Astafiev	symmetric	в	с	2
Astafiev	symmetric	в	я	1
Astafiev	symmetric	г	и	1
Astafiev	symmetric	д	т	15
Astafiev	symmetric	е	к	1
Astafiev	symmetric	е	м	2
Astafiev	symmetric	е	о	15
Astafiev	symmetric	е	т	3
Astafiev	symmetric	ж	т	1
Astafiev	symmetric	з	х	1
Astafiev	symmetric	и	с	2
Astafiev	symmetric	и	т	19
Astafiev	symmetric	и	у	5
Astafiev	symmetric	к	т	13
Astafiev	symmetric	п	т	4
Astafiev	symmetric	у	ы	4
