mechanism_id	scaling_policy_id	condition	corpus_scale_r0_mean	corpus_scale_delta_mean	task82_bounded_delta_mean	kd_stability_class
f12_horalogius_core	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
f12_horalogius_core	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
negative_randomized_convention	LITERAL_RESET_V1	R2_NO_CONVENTION	0.000000	-0.041792	-0.041969	PRESERVED
negative_randomized_convention	LITERAL_RESET_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_convention	LITERAL_RESET_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_convention	LITERAL_RESET_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_convention	LITERAL_RESET_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	0.000000	0.000000	0.000000	PRESERVED
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	0.000000	0.000000	0.000000	PRESERVED
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	0.000000	0.000000	0.000000	PRESERVED
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	0.000000	0.000000	0.000000	PRESERVED
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_path	LITERAL_RESET_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
negative_randomized_path	LITERAL_RESET_V1	R2_NO_CONVENTION	0.500000	0.489620	0.156357	PARTIALLY_PRESERVED
negative_randomized_path	LITERAL_RESET_V1	R3_NO_PATH_GEOMETRY	0.500000	0.000000	0.000000	PRESERVED
negative_randomized_path	LITERAL_RESET_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
negative_randomized_path	LITERAL_RESET_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
synthetic_ambiguous	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
synthetic_ambiguous	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
synthetic_cue_based	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
synthetic_cue_based	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
synthetic_cue_based	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
synthetic_cue_based	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
synthetic_cue_based	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_cue_based	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_cue_based	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_literal_storage	LITERAL_RESET_V1	R1_NO_CONTEXT	NA	NA	NA	NOT_APPLICABLE
synthetic_literal_storage	LITERAL_RESET_V1	R2_NO_CONVENTION	1.000000	0.900000	0.900000	PRESERVED
synthetic_literal_storage	LITERAL_RESET_V1	R3_NO_PATH_GEOMETRY	1.000000	0.500000	0.833333	PRESERVED
synthetic_literal_storage	LITERAL_RESET_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
synthetic_literal_storage	LITERAL_RESET_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
