mechanism_id	scaling_policy_id	corpus_scale	metric_id	n	range	stability
f01_speculum_core	LITERAL_RESET_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.023777	PARTIALLY_STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.018687	PARTIALLY_STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	cs7/edit-distance-x-structural-distance	3	0.029597	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.000031	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	EF1_ISOLATE_SHARE	3	0.000031	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.005579	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.009799	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.014696	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	cs7/edit-distance-x-structural-distance	3	0.022447	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.007812	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.015625	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.016366	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.003694	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	cs7/edit-distance-x-structural-distance	3	0.025047	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000248	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.023777	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.018687	PARTIALLY_STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	cs7/edit-distance-x-structural-distance	3	0.029925	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.003906	STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	EF1_ISOLATE_SHARE	3	0.015625	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.006356	STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.007427	STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	LARGE	cs7/edit-distance-x-structural-distance	3	0.032726	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.007812	STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.015625	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.024507	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.015413	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	cs7/edit-distance-x-structural-distance	3	0.035040	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.041394	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.028045	PARTIALLY_STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f08_serpens_core	LITERAL_RESET_V1	SMALL	cs7/edit-distance-x-structural-distance	3	0.028882	PARTIALLY_STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	cs7/edit-distance-x-structural-distance	3	0.031444	PARTIALLY_STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	cs7/edit-distance-x-structural-distance	3	0.069290	PARTIALLY_STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	cs7/edit-distance-x-structural-distance	3	0.019718	PARTIALLY_STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	cs7/edit-distance-x-structural-distance	3	0.068559	PARTIALLY_STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	cs7/edit-distance-x-structural-distance	3	0.033121	PARTIALLY_STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	cs7/edit-distance-x-structural-distance	3	0.002072	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	EF1_ISOLATE_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	cs7/edit-distance-x-structural-distance	3	0.038766	PARTIALLY_STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	cs7/edit-distance-x-structural-distance	3	0.044976	PARTIALLY_STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	cs6/family-diversity-x-line-length	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	cs7/edit-distance-x-structural-distance	3	0.043318	PARTIALLY_STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	EF1_ISOLATE_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	EF1_ISOLATE_SHARE	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	LP4_PREFIX_ATTACHMENT_NMI	3	0.000000	STABLE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	LP4_SUFFIX_ATTACHMENT_NMI	3	0.000000	STABLE
