mechanism_id	scaling_policy_id	corpus_scale	replicate	distinct_corpus_outputs	input_dependence
synthetic_cue_based	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_literal_storage	LITERAL_RESET_V1	LARGE	0	3	INPUT_SENSITIVE
synthetic_literal_storage	LITERAL_RESET_V1	LARGE	1	3	INPUT_SENSITIVE
synthetic_literal_storage	LITERAL_RESET_V1	MEDIUM	0	3	INPUT_SENSITIVE
synthetic_literal_storage	LITERAL_RESET_V1	MEDIUM	1	3	INPUT_SENSITIVE
synthetic_literal_storage	LITERAL_RESET_V1	SMALL	0	3	INPUT_SENSITIVE
synthetic_literal_storage	LITERAL_RESET_V1	SMALL	1	3	INPUT_SENSITIVE
