message	category	natural	condition	n_candidates_raw	n_candidates_lex	enumeration_capped	exact_blind_p	exact_lex_p	entropy_raw_bits	true_in_set
SPECVLVM	thematic_device_name	true	K3_ring_identity_unknown	20160	1	false	0.000050	1.000000	14.2992	true
SPECVLVM	thematic_device_name	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
SPECVLVM	thematic_device_name	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
SPECVLVM	thematic_device_name	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
SPECVLVM	thematic_device_name	true	K7_convention_unknown_compound	1854720	1854720	true	0.000001	0.000001	20.8228	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	K3_ring_identity_unknown	39916800	39916800	true	0.000000	0.000000	25.2505	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	K7_convention_unknown_compound	1836172800	1836172800	true	0.000000	0.000000	30.7741	true
CONSTANTINA	long_high_repeat_nt	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
CONSTANTINA	long_high_repeat_nt	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
CONSTANTINA	long_high_repeat_nt	true	K3_ring_identity_unknown	39916800	39916800	true	0.000000	0.000000	25.2505	true
CONSTANTINA	long_high_repeat_nt	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
CONSTANTINA	long_high_repeat_nt	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
CONSTANTINA	long_high_repeat_nt	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
CONSTANTINA	long_high_repeat_nt	true	K7_convention_unknown_compound	1836172800	1836172800	true	0.000000	0.000000	30.7741	true
ZQB	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
ZQB	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
ZQB	random_control	false	K3_ring_identity_unknown	6	6	false	0.166667	0.166667	2.5850	true
ZQB	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
ZQB	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
ZQB	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
ZQB	random_control	false	K7_convention_unknown_compound	138	138	false	0.007246	0.007246	7.1085	true
LSQE	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
LSQE	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
LSQE	random_control	false	K3_ring_identity_unknown	24	24	false	0.041667	0.041667	4.5850	true
LSQE	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
LSQE	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
LSQE	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
LSQE	random_control	false	K7_convention_unknown_compound	552	552	false	0.001812	0.001812	9.1085	true
PCPL	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
PCPL	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
PCPL	random_control	false	K3_ring_identity_unknown	12	12	false	0.083333	0.083333	3.5850	true
PCPL	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
PCPL	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
PCPL	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
PCPL	random_control	false	K7_convention_unknown_compound	276	276	false	0.003623	0.003623	8.1085	true
EHSCI	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
EHSCI	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
EHSCI	random_control	false	K3_ring_identity_unknown	120	120	false	0.008333	0.008333	6.9069	true
EHSCI	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
EHSCI	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
EHSCI	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
EHSCI	random_control	false	K7_convention_unknown_compound	2760	2760	false	0.000362	0.000362	11.4305	true
PDCTHH	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
PDCTHH	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
PDCTHH	random_control	false	K3_ring_identity_unknown	360	360	false	0.002778	0.002778	8.4919	true
PDCTHH	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
PDCTHH	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
PDCTHH	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
PDCTHH	random_control	false	K7_convention_unknown_compound	33120	33120	true	0.000030	0.000030	15.0154	true
QKCICV	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
QKCICV	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
QKCICV	random_control	false	K3_ring_identity_unknown	360	360	false	0.002778	0.002778	8.4919	true
QKCICV	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
QKCICV	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
QKCICV	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
QKCICV	random_control	false	K7_convention_unknown_compound	33120	33120	true	0.000030	0.000030	15.0154	true
RQGEAOZ	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
RQGEAOZ	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
RQGEAOZ	random_control	false	K3_ring_identity_unknown	5040	5040	false	0.000198	0.000198	12.2992	true
RQGEAOZ	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
RQGEAOZ	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
RQGEAOZ	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
RQGEAOZ	random_control	false	K7_convention_unknown_compound	231840	231840	true	0.000004	0.000004	17.8228	true
PFIGFVK	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
PFIGFVK	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
PFIGFVK	random_control	false	K3_ring_identity_unknown	2520	2520	false	0.000397	0.000397	11.2992	true
PFIGFVK	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
PFIGFVK	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
PFIGFVK	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
PFIGFVK	random_control	false	K7_convention_unknown_compound	231840	231840	true	0.000004	0.000004	17.8228	true
ETONXFER	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
ETONXFER	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
ETONXFER	random_control	false	K3_ring_identity_unknown	20160	20160	false	0.000050	0.000050	14.2992	true
ETONXFER	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
ETONXFER	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
ETONXFER	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
ETONXFER	random_control	false	K7_convention_unknown_compound	1854720	1854720	true	0.000001	0.000001	20.8228	true
EHPQHAFL	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
EHPQHAFL	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
EHPQHAFL	random_control	false	K3_ring_identity_unknown	20160	20160	false	0.000050	0.000050	14.2992	true
EHPQHAFL	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
EHPQHAFL	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
EHPQHAFL	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
EHPQHAFL	random_control	false	K7_convention_unknown_compound	1854720	1854720	true	0.000001	0.000001	20.8228	true
HKEXIEHAYLI	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
HKEXIEHAYLI	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
HKEXIEHAYLI	random_control	false	K3_ring_identity_unknown	39916800	39916800	true	0.000000	0.000000	25.2505	true
HKEXIEHAYLI	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
HKEXIEHAYLI	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
HKEXIEHAYLI	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
HKEXIEHAYLI	random_control	false	K7_convention_unknown_compound	1836172800	1836172800	true	0.000000	0.000000	30.7741	true
EQXAZRPNTRI	random_control	false	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
EQXAZRPNTRI	random_control	false	K2_length_unknown	12	12	false	0.083333	0.083333	3.5850	true
EQXAZRPNTRI	random_control	false	K3_ring_identity_unknown	39916800	39916800	true	0.000000	0.000000	25.2505	true
EQXAZRPNTRI	random_control	false	K4_read_radius_unknown	23	23	false	0.043478	0.043478	4.5236	true
EQXAZRPNTRI	random_control	false	K5_initial_orientation_unknown	23	23	false	0.043478	0.043478	4.5236	true
EQXAZRPNTRI	random_control	false	K6_traversal_direction_unknown	2	2	false	0.500000	0.500000	1.0000	true
EQXAZRPNTRI	random_control	false	K7_convention_unknown_compound	1836172800	1836172800	true	0.000000	0.000000	30.7741	true
