evidence_type	schema_id	status	allowed	required_fields	forbidden_fields	nullable_fields	dependency_rule	normative_source	notes
predictive_gate	urn:g1v2:predictive_gate:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_gate	urn:g1v2:predictive_gate:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_gate	urn:g1v2:predictive_gate:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_gate	urn:g1v2:predictive_gate:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_gate	urn:g1v2:predictive_gate:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_gate	urn:g1v2:predictive_gate:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_gate	urn:g1v2:predictive_gate:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_metric	urn:g1v2:predictive_metric:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_verdict	urn:g1v2:predictive_verdict:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
scientific_failure	urn:g1v2:scientific_failure:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
scientific_failure	urn:g1v2:scientific_failure:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
scientific_failure	urn:g1v2:scientific_failure:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
scientific_failure	urn:g1v2:scientific_failure:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
scientific_failure	urn:g1v2:scientific_failure:1	FIT_FAILURE	UNRESOLVED	reason_code;diagnostics_hash	ordinary adequacy outputs	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	registered failure but per-stage reachability missing/conflicting
scientific_failure	urn:g1v2:scientific_failure:1	NUMERICAL_FAILURE	UNRESOLVED	reason_code;diagnostics_hash	ordinary adequacy outputs	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	registered failure but per-stage reachability missing/conflicting
scientific_failure	urn:g1v2:scientific_failure:1	INDUCTION_CAP	UNRESOLVED	reason_code;diagnostics_hash	ordinary adequacy outputs	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	registered failure but per-stage reachability missing/conflicting
scientific_failure	urn:g1v2:scientific_failure:1	GENERATION_FAILURE	UNRESOLVED	reason_code;diagnostics_hash	ordinary adequacy outputs	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	registered failure but per-stage reachability missing/conflicting
scientific_failure	urn:g1v2:scientific_failure:1	PROTOCOL_VETO	UNRESOLVED	reason_code;diagnostics_hash	ordinary adequacy outputs	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	registered failure but per-stage reachability missing/conflicting
structural_family	urn:g1v2:structural_family:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_family	urn:g1v2:structural_family:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
