corpus_id	class	name	date_from	date_to	language_or_notation	source_url	license	transcription_type	physical_lines_available	page_structure_available	hierarchy_available	aligned_expansion_available	acquisition_status	notes
C07-ECOLM-DE	C07	Electronic Corpus of Lute Music German tablature subset	1500	1650	German lute tablature	https://www.doc.gold.ac.uk/isms/ecolm/	UNKNOWN; permission/terms required	TabCode diplomatic encoding	yes	varies	piece/source	not generally	BLOCKED_LICENSE	Acquire only if enough full-text encodings are accessible
C08-MENSURATION	C08	Historical accounting or mensuration records candidate	1400	1600	positional numerical records		UNKNOWN	diplomatic structured transcription required	preferred	preferred	record/field	no	BLOCKED_SOURCE_SELECTION	Random numbers are prohibited as sole corpus; content/domain sampling decision remains open
C08-SYNTH-CAL	C08	Deterministic positional-number fixture			positional decimal notation	local fixture	repository	generated fixture	yes	yes	yes	no	FIXTURE_ONLY	Validates adapter only and is not the production historical corpus
C09-HISTTABLE	C09	Historical astronomical/calendrical table candidate	1400	1600	tabular mathematical notation		UNKNOWN	diplomatic cell/row transcription required	yes	yes	table/row/column	no	BLOCKED_SOURCE_SELECTION	Layout-bearing source and scholarly transcription must be selected before production
C09-SYNTH-CAL	C09	Deterministic table fixture			formal table notation	local fixture	repository	generated fixture	yes	yes	table/row/column	no	FIXTURE_ONLY	Validates row/cell hierarchy only
C10-IID	C10	IID symbol calibration			synthetic IID	local generator	repository	deterministic seed-based generation	yes	yes	yes	no	FIXTURE_READY	Calibration control, never historical candidate
C10-MARKOV1	C10	First-order Markov calibration			synthetic first-order Markov	local generator	repository	deterministic seed-based generation	yes	yes	yes	no	PLANNED	Frozen transition matrix required in generator manifest
C10-MARKOV2	C10	Higher-order Markov calibration			synthetic second-order Markov	local generator	repository	deterministic seed-based generation	yes	yes	yes	no	PLANNED	Frozen tensor required in generator manifest
C10-CGRAMMAR	C10	C-GRAMMAR calibration			synthetic constrained grammar	local generator	repository	deterministic grammar generation	yes	yes	yes	no	PLANNED	Grammar definition and version must be frozen before generation
C10-TOKENSHUF	C10	Token-frequency preserving shuffle			synthetic null	local transform	repository	metamorphic transform	preserved	preserved	preserved	no	FIXTURE_READY	Seed 20260830; derived only from an independently registered source
C10-LINESHUF	C10	Line-preserving shuffle			synthetic null	local transform	repository	metamorphic transform	preserved	preserved	preserved	no	FIXTURE_READY	Preserves within-line units and records transform seed
