metric_id	metric_version	family	support_regime	checkpoint	value	output_type	comparability	provenance
S05_REPEATED_TRIGRAM_TYPES	generic-metrics-1.0	S		39380	187	DESCRIPTIVE_ONLY	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L01_LINE_TOKEN_COUNT_MEAN	generic-metrics-1.0	L		39380	7.31290622098	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L02_LINE_SYMBOL_COUNT_MEAN	generic-metrics-1.0	L		39380	36.1717734448	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L03_BOUNDARY_SPECIALIZATION	generic-metrics-1.0	L		39380	0.688622028142	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L04_POSITION_PROGRESSION	generic-metrics-1.0	L		39380	-0.0749907618179	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L05_LINE_ASYMMETRY	generic-metrics-1.0	L		39380	0.706469640225	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L06_SAME_LINE_COOCCURRENCE_DENSITY	generic-metrics-1.0	L	FREQ_GE_5	39380	0.102101048542	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	generic-metrics-1.0	L	FREQ_GE_5	39380	0.897898951458	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L06_SAME_LINE_COOCCURRENCE_DENSITY	generic-metrics-1.0	L	FREQ_GE_10	39380	0.230606441806	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	generic-metrics-1.0	L	FREQ_GE_10	39380	0.769393558194	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L06_SAME_LINE_COOCCURRENCE_DENSITY	generic-metrics-1.0	L	TOP_100	39380	0.90404040404	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	generic-metrics-1.0	L	TOP_100	39380	0.0959595959596	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L06_SAME_LINE_COOCCURRENCE_DENSITY	generic-metrics-1.0	L	TOP_250	39380	0.533526104418	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	generic-metrics-1.0	L	TOP_250	39380	0.466473895582	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L06_SAME_LINE_COOCCURRENCE_DENSITY	generic-metrics-1.0	L	MATCHED_VOCAB	39380	0.230606441806	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	generic-metrics-1.0	L	MATCHED_VOCAB	39380	0.769393558194	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LINE_COHERENCE	generic-metrics-1.0	D		39380	0.0082196498828	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LINE_EXCLUSIVITY	generic-metrics-1.0	D		39380	0.690562833576	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LINE_VARIANCE_SHARE	generic-metrics-1.0	D		39380	0.211417265334	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LINE_PROGRESSION	generic-metrics-1.0	D		39380	2.55558901486e-05	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_SECTION_COHERENCE	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_SECTION_EXCLUSIVITY	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_SECTION_VARIANCE_SHARE	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_SECTION_PROGRESSION	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_PAGE_COHERENCE	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_PAGE_EXCLUSIVITY	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_PAGE_VARIANCE_SHARE	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_PAGE_PROGRESSION	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LOCUS_COHERENCE	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LOCUS_EXCLUSIVITY	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LOCUS_VARIANCE_SHARE	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
D_LOCUS_PROGRESSION	generic-metrics-1.0	D		39380		SCALAR	NOT_COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
