task	title	experiment	code	report	commit	notes
21	token-relation-validate + replicated-local-structure-audit	N/A - pipeline infra	cmd/token-relation-validate, cmd/replicated-local-structure-audit	README.md	NOT VERIFIED IN THIS PASS
22	higher-order-sequence-validate	N/A - pipeline infra	cmd/higher-order-sequence-validate	README.md	NOT VERIFIED IN THIS PASS
23	positional-continuation-validate	N/A - pipeline infra	cmd/positional-continuation-validate	README.md	NOT VERIFIED IN THIS PASS
24	transition-network-validate	N/A - pipeline infra	cmd/transition-network-validate	README.md	NOT VERIFIED IN THIS PASS
25	opt-in Go profiling in CLI analyzers	N/A - infra, cross-cutting	internal/profiling	README.md (Профилирование section)	NOT VERIFIED IN THIS PASS
26	optimize memory/data representation hot path	N/A - infra, cross-cutting	various internal/* hot paths	docs/methods/PERFORMANCE_AUDIT.md	NOT VERIFIED IN THIS PASS
27	repository-wide performance and architecture refactoring	N/A - infra, cross-cutting	various	docs/methods/PERFORMANCE_REFACTOR_REPORT.md	NOT VERIFIED IN THIS PASS
28	pre-production algorithmic optimization of remaining dominant stages	N/A - infra, cross-cutting	internal/conditionalregime, internal/structuralprojection	docs/methods/PERFORMANCE_AUDIT.md, docs/methods/PERFORMANCE_REFACTOR_REPORT.md	NOT VERIFIED IN THIS PASS	per session memory: conditionalregime needed no fix (~42h prod estimate); structuralprojection got a scratch-reuse fix (~3h prod, -47% alloc)
29	dense rewrite of conditional-regime hot path	N/A - infra	internal/conditionalregime	docs/methods/PERFORMANCE_AUDIT.md (references profiles/conditionalregime.task29.*.pprof)	NOT VERIFIED IN THIS PASS
30	distributed execution feasibility audit	N/A - infra	internal/conditionalregime	docs/methods/DISTRIBUTED_EXECUTION_AUDIT.md	NOT VERIFIED IN THIS PASS
31	deterministic parallel execution for conditional-regime-analyze	N/A - infra	internal/conditionalregime	docs/methods/DISTRIBUTED_EXECUTION_IMPLEMENTATION.md	NOT VERIFIED IN THIS PASS
32	deterministic local multi-process executor	N/A - infra	internal/conditionalregime	docs/methods/DISTRIBUTED_EXECUTION_IMPLEMENTATION.md	NOT VERIFIED IN THIS PASS
33	deterministic remote distributed executor	N/A - infra	internal/conditionalregime (remote.go)	docs/methods/DISTRIBUTED_EXECUTION_IMPLEMENTATION.md	NOT VERIFIED IN THIS PASS
34	mTLS PKI and worker authentication	N/A - infra	internal/pki, cmd/conditional-regime-pki	docs/methods/DISTRIBUTED_EXECUTION_OPERATIONS.md	NOT VERIFIED IN THIS PASS	per session memory: inverted Task33 transport so coordinator listens, workers dial in (Go TLS ties serverAuth/SAN to the dialed side)
35	Ansible role for ephemeral distributed workers	N/A - infra	ansible/roles/voynich_worker	ansible/roles/voynich_worker/README.md	NOT VERIFIED IN THIS PASS	per session memory: SIGINT (not SIGTERM) for graceful stop; readiness = curl /v1/handshake
36	Orchestration and freeze of first full Voynich production run	experiments/voynich-v1	pipelines/pipeline-orchestrate	pipelines/pipeline-orchestrate/README.md	NOT VERIFIED IN THIS PASS	per session memory: froze experiments/voynich-v1 (27-stage run, 4h35m, 10 real hosts)
37	audit and remove hardcoded Voynich corpus-size assumptions	N/A - infra audit	corpus_size_audit_test.go	docs/methods/CORPUS_SIZE_AUDIT.md	NOT VERIFIED IN THIS PASS
38	extend pipeline-orchestrate for generic corpora	N/A - infra	pipelines/pipeline-orchestrate	docs/methods/GENERIC_CORPUS_ORCHESTRATION.md	NOT VERIFIED IN THIS PASS
39	audit conditional-regime-analyze applicability to generic corpora	N/A - infra audit	internal/conditionalregime	docs/methods/CONDITIONAL_REGIME_GENERIC_AUDIT.md (co-located: cmd/conditional-regime-analyze/)	NOT VERIFIED IN THIS PASS
40	distributed execution for structural-projection-analyze	N/A - infra	internal/structuralprojection	cmd/structural-projection-analyze/STRUCTURAL_PROJECTION_DISTRIBUTED_AUDIT.md	NOT VERIFIED IN THIS PASS
41	experiment isolation and stale-output contamination prevention	N/A - infra	pipelines/pipeline-orchestrate	docs/methods/EXPERIMENT_ISOLATION_AUDIT.md	NOT VERIFIED IN THIS PASS
42	normalization-compare distribution audit + persistent remote-worker reconnect	N/A - infra	internal/normalizationcompare	cmd/normalization-compare/NORMALIZATION_COMPARE_DISTRIBUTION_AUDIT.md	NOT VERIFIED IN THIS PASS
43	audit IVTFF dependency of stages 19-27; extend generic-corpus pipeline	N/A - infra audit	internal/genericsegmentation	docs/methods/GENERIC_STAGE_APPLICABILITY_AUDIT.md	NOT VERIFIED IN THIS PASS	per session memory: stages 19-22 stay NOT_APPLICABLE with real reasons, 23-27 generic-enabled via internal/genericsegmentation
44	distributed execution for generic stages 23-27	N/A - infra	internal/genericsegmentation, internal/conditionalregime	docs/methods/DISTRIBUTED_GENERIC_STAGES_AUDIT.md	b9ae58a, 5ac98d5	per session memory: committed+pushed, scaling study done
45	frozen experiment comparative analysis and structural fingerprinting	N/A - infra tool	cmd/experiment-compare	cmd/experiment-compare/EXPERIMENT_COMPARISON.md, docs/methods/FINGERPRINT_SCHEMA.md	NOT VERIFIED IN THIS PASS
46	deterministic historical cipher corpus transformer	N/A - tool, generates corpora used by later experiments	research/phase1/corpus-transform	research/phase1/corpus-transform/README.md, research/phase1/corpus-transform/TRANSFORMATION_METHODS.md	NOT VERIFIED IN THIS PASS	per session memory: transposition+homophonic cipher CLI, 16 corpora generated; line-policy defaults to preserve per audited finding
47	distributed execution for Stage 5 begin-end-analyze	N/A - infra	internal/beginendanalyze	cmd/begin-end-analyze/BEGIN_END_ANALYZE_DISTRIBUTED_AUDIT.md	NOT VERIFIED IN THIS PASS
48	codex_prepare and Pipeline Stage 0 corpus readiness validation	N/A - tool	cmd/codex_prepare	cmd/codex_prepare/README.md	NOT VERIFIED IN THIS PASS
49	vocabulary growth / Heaps'-law analysis	N/A - pipeline infra	cmd/vocabulary-growth-analyze	cmd/vocabulary-growth-analyze/VOCABULARY_GROWTH_ANALYSIS.md	NOT VERIFIED IN THIS PASS
50	scientific stage applicability and empty-result safety	N/A - infra audit	pipelines/pipeline-orchestrate	docs/methods/GENERIC_STAGE_APPLICABILITY_AUDIT.md	NOT VERIFIED IN THIS PASS
51	right-to-left / orientation corpus transformation	N/A - tool	cmd/codex_orientation	cmd/codex_orientation/ORIENTATION_TRANSFORMATION.md	NOT VERIFIED IN THIS PASS
52	Task45 hardening: complete scientific fingerprint, correct metrics	N/A - infra	cmd/experiment-compare	cmd/experiment-compare/COMPARISON_METRIC_AUDIT.md	NOT VERIFIED IN THIS PASS
53	scientific pipeline scalability audit and semantic-preserving optimization	N/A - infra audit	various	docs/methods/PIPELINE_SCALABILITY_AUDIT.md, docs/methods/PIPELINE_SCALABILITY_REFACTOR_REPORT.md	NOT VERIFIED IN THIS PASS
53-1	scalability audit follow-up	N/A - infra audit	various	docs/methods/PIPELINE_SCALABILITY_AUDIT.md	NOT VERIFIED IN THIS PASS
54	controlled inverse-transposition search and validation framework	experiments/inverse-transposition	research/phase1/inverse-transposition-search	research/phase1/inverse-transposition-search/README.md, research/phase1/inverse-transposition-search/INVERSE_TRANSPOSITION_TASK54_1_REPORT.md	NOT VERIFIED IN THIS PASS
54-1	inverse-transposition follow-up	experiments/inverse-transposition	research/phase1/inverse-transposition-search	research/phase1/inverse-transposition-search/INVERSE_TRANSPOSITION_TASK54_1_REPORT.md	NOT VERIFIED IN THIS PASS
54b	voynich-validation harness for inverse-transposition/homophony	experiments/voynich-token-*-reverse-v1	research/phase1/voynich-validation	tasks/task54b.txt	NOT VERIFIED IN THIS PASS
55	homophonic-cipher corpus generation (Doyle, frequency-band + uniform variants)	experiments/doyle__homophonic__* (frequency-v1, h002/h004/h006/h008)	research/phase1/corpus-transform	manifest only, no REPORT.md	4a11ddba588f01326096ce50e16d696e30886c29	PARTIAL: manifest itself rich (git_dirty, corpus_sha256, host, executor, go_version) but experiment dirs are NOT git-tracked at all - loss risk
56	homophone-model / cipher-method literature comparison	N/A - documentation only	N/A	docs/literature/ROZANOVA_TEMEREV_METHOD.md, docs/literature/FREQUENCY_HOMOPHONE_MODEL.md, docs/literature/OUR_PIPELINE_METRIC_INVENTORY.md	n/a	N/A verdict - documentation, not a computational experiment
57	blind homophone-class recovery + synthetic validation	experiments/inverse-homophony/synthetic-validation (Phase A only)	research/phase1/inverse-homophony	research/phase1/inverse-homophony/SYNTHETIC_VALIDATION_REPORT.md	9737c991613eb4fda6f18aec999a13a34225ca0f	PARTIAL: git_dirty=true; dir untracked in git (0 files); Phase B (canonical-Voynich application) has NO located output artifact despite voynich.go implementing it - UNKNOWN, not fabricated
58	Rozanova-Temerev method reproduction	experiments/rozanova-temerev-v1	research/phase1/rozanova-temerev	experiments/rozanova-temerev-v1/REPORT.md	ABSENT FROM MANIFEST	PARTIAL: seed(20260816), corpus+control sha256, source citation (arXiv:2608.17096v1) present; missing git_commit and dirty-status field; tracked in git
59	glyph-position distributional test	experiments/glyph-position-v1	research/phase1/glyph-position-analyze	experiments/glyph-position-v1/REPORT.md	a6904f0f87f352450cd70f9eabd6c8e6c11710f6	COMPLETE: corpus path+sha256, dirty:true, seed present, valid commit; tracked
60	token-repetition/adjacency test	experiments/token-repetition-v1	research/phase1/token-repetition-analyze	experiments/token-repetition-v1/REPORT.md, METHOD.md	ba88b2de62331a6638aacaa24112717ec48dd21b	COMPLETE: corpus_sha256, dirty:true, seed(20260823), valid commit; tracked
61	character-entropy test	experiments/character-entropy-v1	research/phase1/character-entropy-analyze	experiments/character-entropy-v1/REPORT.md, BOWERN_ENTROPY_METHOD.md	ABSENT	PARTIAL: seed(20260822), voynich_sha256 present; no git_commit/dirty; no FROZEN marker; tracked
62	token-formation test	experiments/token-formation-v1	research/phase1/token-formation-analyze	experiments/token-formation-v1/REPORT.md, TOKEN_FORMATION_DESIGN.md	ABSENT	PARTIAL: corpus_sha256, seed_start(62000); no git_commit/dirty; has generic DESIGN_FROZEN marker; tracked
63	token-transition test	experiments/token-transition-v1	research/phase1/token-transition-analyze	experiments/token-transition-v1/REPORT.md, TOKEN_TRANSITION_DESIGN.md, TRANSITION_MODEL.md	ABSENT	PARTIAL: corpus_sha256, seed_matched/seed_shuffle; no git_commit/dirty; two generic FROZEN markers; tracked
64	line-level regime test	experiments/line-regime-v1	research/phase1/line-regime-analyze	experiments/line-regime-v1/REPORT.md, LINE_REGIME_DESIGN.md, REGIME_MODEL.md	6cf53a6dd154161f14c04caa722201750dcaf2a6	COMPLETE: corpus_sha256, dirty:true, base_seed(64000), explicit Task58-63 upstream chain, two FROZEN markers, valid commit; tracked
65	local-regime topology test	experiments/local-regime-topology-v1	research/phase1/local-regime-topology-analyze	experiments/local-regime-topology-v1/REPORT.md, LOCAL_REGIME_TOPOLOGY_DESIGN.md	8e67ee09756dc58568c5f245df260fe199571bfb	COMPLETE: corpus_sha256, dirty:true, base_seed(65000), explicit Task64 reproduction check, valid commit; tracked
66	mechanism-space transformation-grid search	experiments/mechanism-space-v1	research/phase1/mechanism-space-analyze	experiments/mechanism-space-v1/REPORT.md, TASK66_DESIGN.md	ABSENT	PARTIAL/LEGACY_MISSING: no git_commit, no centralized corpus sha256 in top manifest; rigorous methodological freeze (heldout_locked_before_search=true, no_inverse_search=true) but per-mechanism seed/config_hash not centrally located despite manifest claim; tracked
67	recoverability / decoder analysis	experiments/recoverability-v1	research/phase1/recoverability-analyze	experiments/recoverability-v1/REPORT.md, CANDIDATE_SELECTION.md, DECODER_DESIGN.md	ABSENT AT MANIFEST LEVEL	PARTIAL: no top-level git_commit but per-row seeds present in data tables; content-hash chain-of-custody back to Task66 via FROZEN sentinels; tracked
68	focused literature audit (claims, contradictions, discriminators)	N/A - documentation only	N/A	docs/literature/* (15 files); frozen duplicate at root task68.tgz (untracked)	n/a	N/A verdict - documentation; task68.tgz confirmed byte-identical duplicate via tar -tzf, but is itself untracked/gitignored (corrects an earlier assumption that it was tracked like task69.tgz)
69	focused literature search (Task58-67 follow-up)	experiments/task69-literature	N/A - documentation only	experiments/task69-literature/TASK69_SYNTHESIS.md, RESEARCH_RECOMMENDATION.md, SEARCH_LOG.md	n/a	N/A verdict - documentation; task69.tgz confirmed git-tracked (commit efb9277), byte-for-byte duplicate of experiments/task69-literature/, co-located there by this task
claude_research01	pre-task research/orientation notes	N/A	N/A	tasks/claude_research01.txt	n/a	predates numbered tasks; not re-analyzed in this pass
61b	character-entropy follow-up/variant	experiments/character-entropy-v1 (possible)	research/phase1/character-entropy-analyze	NOT VERIFIED IN THIS PASS	NOT VERIFIED IN THIS PASS	tasks/task61b.txt exists alongside task61.txt; relationship not re-verified in this pass
70	repository reorganization and provenance audit	N/A - refactoring task, not new research	cmd/, pipelines/, research/phase1/, docs/, corpora/, scripts/ (this migration)	docs/audit/TASK70_REPORT.md	THIS BRANCH (task70-repo-reorg, uncommitted at time of writing)	this task itself; produced this file and the other 5 docs/audit/ deliverables
