current_path	category	used_by	scientific_dependency	proposed_path	action	notes
cluster-metadata-global	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class A, RequiresMetadata	cmd/cluster-metadata-global	MOVED	Stage 'cluster-metadata-global' in pipeline-orchestrate/stages.go; SourceDir updated to 'cluster-metadata-global'
conditional-regime-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate; ansible/roles/voynich_worker (mTLS deploy)	yes - Class A, RequiresMetadata	cmd/conditional-regime-analyze	MOVED	Stage 'conditional-regime-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'conditional-regime-analyze'
residual-diagnostic-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class A, RequiresMetadata	cmd/residual-diagnostic-analyze	MOVED	Stage 'residual-diagnostic-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'residual-diagnostic-analyze'
token-relation-validate	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class B/C, generic-applicable	cmd/token-relation-validate	MOVED	Stage 'token-relation-validate' in pipeline-orchestrate/stages.go; SourceDir updated to 'token-relation-validate'
replicated-local-structure-audit	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class B/C, generic-applicable	cmd/replicated-local-structure-audit	MOVED	Stage 'replicated-local-structure-audit' in pipeline-orchestrate/stages.go; SourceDir updated to 'replicated-local-structure-audit'
higher-order-sequence-validate	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class B, chain-gated	cmd/higher-order-sequence-validate	MOVED	Stage 'higher-order-sequence-validate' in pipeline-orchestrate/stages.go; SourceDir updated to 'higher-order-sequence-validate'
positional-continuation-validate	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class B, chain-gated	cmd/positional-continuation-validate	MOVED	Stage 'positional-continuation-validate' in pipeline-orchestrate/stages.go; SourceDir updated to 'positional-continuation-validate'
transition-network-validate	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes - Class B/C, generic-applicable	cmd/transition-network-validate	MOVED	Stage 'transition-network-validate' in pipeline-orchestrate/stages.go; SourceDir updated to 'transition-network-validate'
vocabulary-growth-analyze	ANALYSIS_PIPELINE (Stage1-28 CLI, REUSABLE_CLI)	pipeline-orchestrate	yes	cmd/vocabulary-growth-analyze	MOVED	Stage 'vocabulary-growth-analyze' in pipeline-orchestrate/stages.go; SourceDir updated to 'vocabulary-growth-analyze'
main_test.go (root)	TEST	go test ./...	no - unit test	cmd/voinich/main_test.go	MOVED	moved with main.go, tests its behavior
codex_orientation	REUSABLE_CLI	corpus-prep tooling; not invoked by pipeline-orchestrate	internal/orientation	cmd/codex_orientation	MOVED
codex_prepare	REUSABLE_CLI	corpus-prep tooling	internal/corpusprep	cmd/codex_prepare	MOVED
experiment-compare	REUSABLE_CLI	cross-experiment metric comparison, ad hoc	internal/experimentcompare	cmd/experiment-compare	MOVED
conditional-regime-pki	REUSABLE_CLI	Task34 offline CA admin tool, hand-run only	internal/pki	cmd/conditional-regime-pki	MOVED
pipeline-orchestrate	ANALYSIS_PIPELINE	Task36 orchestrator; builds+runs all 28 stages	internal/corpusprep, internal/orientation, internal/workdir	pipelines/pipeline-orchestrate	MOVED
independent/character-entropy-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task61 experiment CLI	internal/characterentropy, internal/evaglyph	research/phase1/character-entropy-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/glyph-position-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task59 experiment CLI	internal/evaglyph	research/phase1/glyph-position-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/line-regime-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task64 experiment CLI	internal/lineregime, internal/characterentropy, internal/evaglyph, internal/metadatavalidation, internal/tokentransition	research/phase1/line-regime-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/local-regime-topology-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task65 experiment CLI	internal/localregimetopology, internal/lineregime, internal/evaglyph, internal/metadatavalidation	research/phase1/local-regime-topology-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/mechanism-space-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task66 experiment CLI (multi-file)	internal/mechanismspace	research/phase1/mechanism-space-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/recoverability-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task67 experiment CLI (multi-file)	internal/mechanismspace, internal/tokenrepetition	research/phase1/recoverability-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/rozanova-temerev	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task58 experiment CLI	internal/evaglyph	research/phase1/rozanova-temerev	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/token-formation-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task62 experiment CLI	internal/tokenformation, internal/characterentropy, internal/evaglyph	research/phase1/token-formation-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/token-repetition-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task60 experiment CLI (multi-file)	internal/tokenrepetition, internal/evaglyph	research/phase1/token-repetition-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
independent/token-transition-analyze	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task63 experiment CLI	internal/tokentransition, internal/evaglyph	research/phase1/token-transition-analyze	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
corpus-transform	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task46 cipher-corpus generator; never invoked by pipeline-orchestrate	internal/corpustransform	research/phase1/corpus-transform	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
inverse-transposition-search	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task54 experiment CLI	internal/corpustransform, internal/inversetransposition	research/phase1/inverse-transposition-search	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
inverse-homophony	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task57 experiment CLI (multi-file)	internal/inversehomophony	research/phase1/inverse-homophony	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
voynich-validation	RESEARCH_EXPERIMENT (REUSABLE_CLI wrapper, experiment-specific)	Task54b validation harness	internal/corpustransform, internal/inversetransposition, internal/voynichvalidation	research/phase1/voynich-validation	MOVED	zero import-graph coupling with Stage1-28 code, verified before move
internal/beginendanalyze	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/begin-end-analyze	yes	internal/beginendanalyze	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/characterentropy	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/character-entropy-analyze, research/phase1/line-regime-analyze, research/phase1/token-formation-analyze	yes - Task61-coupled	internal/characterentropy	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/clustermetadataglobal	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/cluster-metadata-global	yes	internal/clustermetadataglobal	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/conditionalregime	REUSABLE_LIBRARY (experiment-coupled algorithm core)	9 Class A/B/C cmd/ stages incl. distributed executors	yes - Task21+28-40 distributed hub	internal/conditionalregime	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/corpusprep	REUSABLE_LIBRARY	cmd/codex_prepare, pipelines/pipeline-orchestrate	no - corpus canonicalization utility	internal/corpusprep	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/corpustransform	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/corpus-transform, research/phase1/inverse-transposition-search, research/phase1/voynich-validation	yes - Task46/54 cipher logic	internal/corpustransform	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/distancecontext	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/distance-context-analyze	yes	internal/distancecontext	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/evaglyph	REUSABLE_LIBRARY	8 research/phase1/* dirs (Task58/59/60/62/63/64/65/rozanova-temerev)	no - shared EVA parser, generic infra	internal/evaglyph	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/experimentcompare	REUSABLE_LIBRARY	cmd/experiment-compare	no - reporting utility	internal/experimentcompare	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/genericsegmentation	REUSABLE_LIBRARY	cmd/token-relation-validate + 4 other Class B/C stages	no - Task43 generic block-partition infra	internal/genericsegmentation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/globalregime	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/global-regime-analyze	yes	internal/globalregime	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/graphemic	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/structural-graphemic	yes	internal/graphemic	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/higherorderseq	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/higher-order-sequence-validate	yes	internal/higherorderseq	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/inversehomophony	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/inverse-homophony	yes - Task57	internal/inversehomophony	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/inversetransposition	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/inverse-transposition-search, research/phase1/voynich-validation	yes - Task54	internal/inversetransposition	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/lineregime	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/line-regime-analyze, research/phase1/local-regime-topology-analyze	yes - Task64-coupled	internal/lineregime	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/localregime	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/local-regime-analyze	yes	internal/localregime	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/localregimetopology	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/local-regime-topology-analyze	yes - Task65-coupled	internal/localregimetopology	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/mechanismspace	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/mechanism-space-analyze, research/phase1/recoverability-analyze	yes - Task66/67-coupled	internal/mechanismspace	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/metadatavalidation	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/metadata-validate; also read one-way by research/phase1/line-regime-analyze, research/phase1/local-regime-topology-analyze	yes - Class A	internal/metadatavalidation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/normalization	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/structural-normalize	yes	internal/normalization	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/normalizationcompare	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/normalization-compare	yes	internal/normalizationcompare	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/orientation	REUSABLE_LIBRARY	cmd/codex_orientation, pipelines/pipeline-orchestrate	no - deterministic orientation-variant utility	internal/orientation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/pairdecomposition	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/structural-pair-decompose	yes	internal/pairdecomposition	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/pki	REUSABLE_LIBRARY	cmd/conditional-regime-pki, cmd/conditional-regime-analyze (mTLS)	no - x509 helpers	internal/pki	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/positionalcontinuation	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/positional-continuation-validate	yes	internal/positionalcontinuation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/profilestability	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/structural-profile-stability, cmd/structural-analyze	yes	internal/profilestability	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/profiling	REUSABLE_LIBRARY	14 cmd/ stage CLIs (opt-in pprof/trace wiring)	no - never touches algorithms/statistics	internal/profiling	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/propertytrajectory	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/property-trajectory-analyze	yes	internal/propertytrajectory	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/replicatedlocalaudit	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/replicated-local-structure-audit	yes	internal/replicatedlocalaudit	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/residualdiagnostic	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/residual-diagnostic-analyze	yes	internal/residualdiagnostic	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/sequenceanalyze	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/sequence-analyze, cmd/vocabulary-growth-analyze	yes	internal/sequenceanalyze	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/softstructural	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/soft-structural-space	yes	internal/softstructural	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/structuralprojection	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/structural-projection-analyze	yes	internal/structuralprojection	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/structuralreliability	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/structural-reliability	yes	internal/structuralreliability	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/tokenformation	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/token-formation-analyze	yes - Task62	internal/tokenformation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/tokenrelationvalidation	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/token-relation-validate	yes	internal/tokenrelationvalidation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/tokenrepetition	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/token-repetition-analyze, research/phase1/token-transition-analyze, research/phase1/recoverability-analyze	yes - Task60-coupled	internal/tokenrepetition	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/tokentransition	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/token-transition-analyze, research/phase1/line-regime-analyze	yes - Task63-coupled	internal/tokentransition	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/transitionnetwork	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/transition-network-validate	yes	internal/transitionnetwork	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/validation	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/structural-validate	yes	internal/validation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/vocabularygrowth	REUSABLE_LIBRARY (experiment-coupled algorithm core)	cmd/vocabulary-growth-analyze	yes	internal/vocabularygrowth	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/voynichvalidation	REUSABLE_LIBRARY (experiment-coupled algorithm core)	research/phase1/voynich-validation	yes - Task54b	internal/voynichvalidation	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
internal/workdir	REUSABLE_LIBRARY	nearly every cmd/ stage + pipelines/pipeline-orchestrate	no - output-path contract only	internal/workdir	UNCHANGED	all 44 internal/ packages have >=1 importer, no dead code found
experiments/astafiev-1000-culinar-receipt-v1	EXPERIMENT_ARTIFACT	corpus-transform run	yes	experiments/astafiev-1000-culinar-receipt-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/astafiev-1000-culinar-receipt-v1-2	EXPERIMENT_ARTIFACT	corpus-transform run (rev 2)	yes	experiments/astafiev-1000-culinar-receipt-v1-2	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/astafiev-1000-culinar-receipt-v1-analysis.tar.gz	EXPERIMENT_ARTIFACT	frozen analysis snapshot	no	experiments/astafiev-1000-culinar-receipt-v1-analysis.tar.gz	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/astafiev-1000-culinar-receipt-v1-2-analysis.tar.gz	EXPERIMENT_ARTIFACT	frozen analysis snapshot	no	experiments/astafiev-1000-culinar-receipt-v1-2-analysis.tar.gz	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/character-entropy-v1	EXPERIMENT_ARTIFACT	Task61 experiment	yes	experiments/character-entropy-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; PARTIAL provenance (no git_commit)
experiments/doyle__homophonic__frequency-v1__h004__uniform__seed001	EXPERIMENT_ARTIFACT	Task55 homophonic run	yes	experiments/doyle__homophonic__frequency-v1__h004__uniform__seed001	UNCHANGED	canonical path preserved per Task70 §7; untracked (0 files) - loss risk
experiments/doyle__homophonic__frequency-v1__h006__uniform__seed001	EXPERIMENT_ARTIFACT	Task55 homophonic run	yes	experiments/doyle__homophonic__frequency-v1__h006__uniform__seed001	UNCHANGED	canonical path preserved per Task70 §7; untracked - loss risk
experiments/doyle__homophonic__frequency-v1__h008__uniform__seed001	EXPERIMENT_ARTIFACT	Task55 homophonic run	yes	experiments/doyle__homophonic__frequency-v1__h008__uniform__seed001	UNCHANGED	canonical path preserved per Task70 §7; untracked - loss risk
experiments/doyle__homophonic__h002__uniform__seed001-v1	EXPERIMENT_ARTIFACT	Task55 homophonic run	yes	experiments/doyle__homophonic__h002__uniform__seed001-v1	UNCHANGED	canonical path preserved per Task70 §7; untracked - loss risk
experiments/doyle__homophonic__h002__uniform__seed001-v1-analysis.tar.gz	EXPERIMENT_ARTIFACT	frozen analysis snapshot	no	experiments/doyle__homophonic__h002__uniform__seed001-v1-analysis.tar.gz	UNCHANGED	canonical path preserved per Task70 §7; untracked
experiments/doyle__homophonic__h004__uniform__seed001-v1	EXPERIMENT_ARTIFACT	Task55 homophonic run	yes	experiments/doyle__homophonic__h004__uniform__seed001-v1	UNCHANGED	canonical path preserved per Task70 §7; untracked - loss risk
experiments/doyle__homophonic__h004__uniform__seed001-v1-analysis.tar.gz	EXPERIMENT_ARTIFACT	frozen analysis snapshot	no	experiments/doyle__homophonic__h004__uniform__seed001-v1-analysis.tar.gz	UNCHANGED	canonical path preserved per Task70 §7; untracked
experiments/doyle__homophonic__h004__weighted__seed001.txt	EXPERIMENT_ARTIFACT	Task55 corpus output	yes	experiments/doyle__homophonic__h004__weighted__seed001.txt	UNCHANGED	canonical path preserved per Task70 §7; untracked
experiments/doyle__homophonic__h006__uniform__seed001	EXPERIMENT_ARTIFACT	Task55 homophonic run	yes	experiments/doyle__homophonic__h006__uniform__seed001	UNCHANGED	canonical path preserved per Task70 §7; untracked - loss risk
experiments/doyle__homophonic__h006__weighted__seed001.txt	EXPERIMENT_ARTIFACT	Task55 corpus output	yes	experiments/doyle__homophonic__h006__weighted__seed001.txt	UNCHANGED	canonical path preserved per Task70 §7; untracked
experiments/doyle__homophonic__h008__uniform__seed001	EXPERIMENT_ARTIFACT	Task55 homophonic run	yes	experiments/doyle__homophonic__h008__uniform__seed001	UNCHANGED	canonical path preserved per Task70 §7; untracked - loss risk
experiments/doyle__homophonic__h008__weighted__seed001.txt	EXPERIMENT_ARTIFACT	Task55 corpus output	yes	experiments/doyle__homophonic__h008__weighted__seed001.txt	UNCHANGED	canonical path preserved per Task70 §7; untracked
experiments/doyle-sign-of-four-v1	EXPERIMENT_ARTIFACT	comparative corpus run	yes	experiments/doyle-sign-of-four-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/doyle-sign-of-four-v1-2	EXPERIMENT_ARTIFACT	comparative corpus run (rev 2)	yes	experiments/doyle-sign-of-four-v1-2	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/doyle__transposition__w008__natural__seed001-v1	EXPERIMENT_ARTIFACT	Task46 transposition-cipher run	yes	experiments/doyle__transposition__w008__natural__seed001-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/doyle__transposition__w008__natural__seed001-v1-analysis.tar.gz	EXPERIMENT_ARTIFACT	frozen analysis snapshot	no	experiments/doyle__transposition__w008__natural__seed001-v1-analysis.tar.gz	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/glyph-position-v1	EXPERIMENT_ARTIFACT	Task59 experiment	yes	experiments/glyph-position-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; COMPLETE provenance
experiments/inverse-homophony	EXPERIMENT_ARTIFACT	Task57 experiment (Phase A synthetic-validation only)	yes	experiments/inverse-homophony	UNCHANGED	canonical path preserved per Task70 §7; untracked - loss risk; Phase B artifact missing entirely
experiments/inverse-transposition	EXPERIMENT_ARTIFACT	Task54 experiment	yes	experiments/inverse-transposition	UNCHANGED	canonical path preserved per Task70 §7; untracked
experiments/line-regime-v1	EXPERIMENT_ARTIFACT	Task64 experiment	yes	experiments/line-regime-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; COMPLETE provenance
experiments/local-regime-topology-v1	EXPERIMENT_ARTIFACT	Task65 experiment	yes	experiments/local-regime-topology-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; COMPLETE provenance
experiments/longfellow-song-of-hiawatha-v1	EXPERIMENT_ARTIFACT	comparative corpus run (Longfellow)	yes	experiments/longfellow-song-of-hiawatha-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/mechanism-space-v1	EXPERIMENT_ARTIFACT	Task66 experiment (multi-file)	yes	experiments/mechanism-space-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; PARTIAL/LEGACY_MISSING (no git_commit)
