job_id	stage	model_class	candidate_id	corpus	transcription	partition	status	failure_class
job-000032	CALIBRATION	M3	M3-002	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000033	CALIBRATION	M3	M3-003	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000034	CALIBRATION	M3	M3-004	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000035	CALIBRATION	M3	M3-005	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000036	CALIBRATION	M3	M3-006	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000037	CALIBRATION	M3	M3-007	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000038	CALIBRATION	M3	M3-008	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000039	CALIBRATION	M3	M3-009	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000040	CALIBRATION	M4	M4-001	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000041	CALIBRATION	M4	M4-002	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000042	CALIBRATION	M4	M4-003	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000043	CALIBRATION	M4	M4-004	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000044	CALIBRATION	M4	M4-005	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000045	CALIBRATION	M4	M4-006	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000046	CALIBRATION	M4	M4-007	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000047	CALIBRATION	M4	M4-008	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000048	CALIBRATION	M4	M4-009	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000049	CALIBRATION	M4	M4-010	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000050	CALIBRATION	M4	M4-011	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000051	CALIBRATION	M4	M4-012	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000052	CALIBRATION	M4	M4-013	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000053	CALIBRATION	M4	M4-014	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000054	CALIBRATION	M4	M4-015	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000055	CALIBRATION	M4	M4-016	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000056	CALIBRATION	M4	M4-017	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000057	CALIBRATION	M4	M4-018	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000058	CALIBRATION	M4	M4-019	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000059	CALIBRATION	M4	M4-020	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000060	CALIBRATION	M4	M4-021	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000061	CALIBRATION	M4	M4-022	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000062	CALIBRATION	M4	M4-023	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000063	CALIBRATION	M4	M4-024	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000064	CALIBRATION	M4	M4-025	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000065	CALIBRATION	M4	M4-026	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000066	CALIBRATION	M4	M4-027	MFC0	P01	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000067	CALIBRATION	M5	M5-001	MFC0	P01	CALIBRATION	OK	
job-000068	CALIBRATION	M5	M5-002	MFC0	P01	CALIBRATION	OK	
job-000069	CALIBRATION	M5	M5-003	MFC0	P01	CALIBRATION	OK	
job-000070	CALIBRATION	M5	M5-004	MFC0	P01	CALIBRATION	OK	
job-000071	CALIBRATION	M5	M5-005	MFC0	P01	CALIBRATION	OK	
job-000072	CALIBRATION	M5	M5-006	MFC0	P01	CALIBRATION	OK	
job-000073	CALIBRATION	M5	M5-007	MFC0	P01	CALIBRATION	OK	
job-000074	CALIBRATION	M5	M5-008	MFC0	P01	CALIBRATION	OK	
job-000075	CALIBRATION	M5	M5-009	MFC0	P01	CALIBRATION	OK	
job-000076	CALIBRATION	M5	M5-010	MFC0	P01	CALIBRATION	OK	
job-000077	CALIBRATION	M5	M5-011	MFC0	P01	CALIBRATION	OK	
job-000078	CALIBRATION	M5	M5-012	MFC0	P01	CALIBRATION	OK	
job-000079	CALIBRATION	M5	M5-013	MFC0	P01	CALIBRATION	OK	
job-000080	CALIBRATION	M5	M5-014	MFC0	P01	CALIBRATION	OK	
job-000081	CALIBRATION	M5	M5-015	MFC0	P01	CALIBRATION	OK	
job-000082	CALIBRATION	M5	M5-016	MFC0	P01	CALIBRATION	OK	
job-000083	CALIBRATION	M5	M5-017	MFC0	P01	CALIBRATION	OK	
job-000084	CALIBRATION	M5	M5-018	MFC0	P01	CALIBRATION	OK	
job-000085	CALIBRATION	M0	M0-001	MFC0	P02	CALIBRATION	OK	
job-000086	CALIBRATION	M0	M0-002	MFC0	P02	CALIBRATION	OK	
job-000087	CALIBRATION	M0	M0-003	MFC0	P02	CALIBRATION	OK	
job-000088	CALIBRATION	M1	M1-001	MFC0	P02	CALIBRATION	OK	
job-000089	CALIBRATION	M1	M1-002	MFC0	P02	CALIBRATION	OK	
job-000090	CALIBRATION	M1	M1-003	MFC0	P02	CALIBRATION	OK	
job-000091	CALIBRATION	M1	M1-004	MFC0	P02	CALIBRATION	OK	
job-000092	CALIBRATION	M1	M1-005	MFC0	P02	CALIBRATION	OK	
job-000093	CALIBRATION	M1	M1-006	MFC0	P02	CALIBRATION	OK	
job-000094	CALIBRATION	M1	M1-007	MFC0	P02	CALIBRATION	OK	
job-000095	CALIBRATION	M1	M1-008	MFC0	P02	CALIBRATION	OK	
job-000096	CALIBRATION	M1	M1-009	MFC0	P02	CALIBRATION	OK	
job-000097	CALIBRATION	M1	M1-010	MFC0	P02	CALIBRATION	OK	
job-000098	CALIBRATION	M1	M1-011	MFC0	P02	CALIBRATION	OK	
job-000099	CALIBRATION	M1	M1-012	MFC0	P02	CALIBRATION	OK	
job-000100	CALIBRATION	M1	M1-013	MFC0	P02	CALIBRATION	OK	
job-000101	CALIBRATION	M1	M1-014	MFC0	P02	CALIBRATION	OK	
job-000102	CALIBRATION	M1	M1-015	MFC0	P02	CALIBRATION	OK	
job-000103	CALIBRATION	M1	M1-016	MFC0	P02	CALIBRATION	OK	
job-000104	CALIBRATION	M1	M1-017	MFC0	P02	CALIBRATION	OK	
job-000105	CALIBRATION	M1	M1-018	MFC0	P02	CALIBRATION	OK	
job-000106	CALIBRATION	M2	M2-001	MFC0	P02	CALIBRATION	OK	
job-000107	CALIBRATION	M2	M2-002	MFC0	P02	CALIBRATION	OK	
job-000108	CALIBRATION	M2	M2-003	MFC0	P02	CALIBRATION	OK	
job-000109	CALIBRATION	M2	M2-004	MFC0	P02	CALIBRATION	OK	
job-000110	CALIBRATION	M2	M2-005	MFC0	P02	CALIBRATION	OK	
job-000111	CALIBRATION	M2	M2-006	MFC0	P02	CALIBRATION	OK	
job-000112	CALIBRATION	M2	M2-007	MFC0	P02	CALIBRATION	OK	
job-000113	CALIBRATION	M2	M2-008	MFC0	P02	CALIBRATION	OK	
job-000114	CALIBRATION	M2	M2-009	MFC0	P02	CALIBRATION	OK	
job-000115	CALIBRATION	M3	M3-001	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000116	CALIBRATION	M3	M3-002	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000117	CALIBRATION	M3	M3-003	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000118	CALIBRATION	M3	M3-004	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000119	CALIBRATION	M3	M3-005	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000120	CALIBRATION	M3	M3-006	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000121	CALIBRATION	M3	M3-007	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000122	CALIBRATION	M3	M3-008	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000123	CALIBRATION	M3	M3-009	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000124	CALIBRATION	M4	M4-001	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000125	CALIBRATION	M4	M4-002	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000126	CALIBRATION	M4	M4-003	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000127	CALIBRATION	M4	M4-004	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000128	CALIBRATION	M4	M4-005	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000129	CALIBRATION	M4	M4-006	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000130	CALIBRATION	M4	M4-007	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000131	CALIBRATION	M4	M4-008	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000132	CALIBRATION	M4	M4-009	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000133	CALIBRATION	M4	M4-010	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000134	CALIBRATION	M4	M4-011	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000135	CALIBRATION	M4	M4-012	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000136	CALIBRATION	M4	M4-013	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000137	CALIBRATION	M4	M4-014	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000138	CALIBRATION	M4	M4-015	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000139	CALIBRATION	M4	M4-016	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000140	CALIBRATION	M4	M4-017	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000141	CALIBRATION	M4	M4-018	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000142	CALIBRATION	M4	M4-019	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000143	CALIBRATION	M4	M4-020	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000144	CALIBRATION	M4	M4-021	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000145	CALIBRATION	M4	M4-022	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000146	CALIBRATION	M4	M4-023	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000147	CALIBRATION	M4	M4-024	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000148	CALIBRATION	M4	M4-025	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000149	CALIBRATION	M4	M4-026	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000150	CALIBRATION	M4	M4-027	MFC0	P02	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000151	CALIBRATION	M5	M5-001	MFC0	P02	CALIBRATION	OK	
job-000152	CALIBRATION	M5	M5-002	MFC0	P02	CALIBRATION	OK	
job-000153	CALIBRATION	M5	M5-003	MFC0	P02	CALIBRATION	OK	
job-000154	CALIBRATION	M5	M5-004	MFC0	P02	CALIBRATION	OK	
job-000155	CALIBRATION	M5	M5-005	MFC0	P02	CALIBRATION	OK	
job-000156	CALIBRATION	M5	M5-006	MFC0	P02	CALIBRATION	OK	
job-000157	CALIBRATION	M5	M5-007	MFC0	P02	CALIBRATION	OK	
job-000158	CALIBRATION	M5	M5-008	MFC0	P02	CALIBRATION	OK	
job-000159	CALIBRATION	M5	M5-009	MFC0	P02	CALIBRATION	OK	
job-000160	CALIBRATION	M5	M5-010	MFC0	P02	CALIBRATION	OK	
job-000161	CALIBRATION	M5	M5-011	MFC0	P02	CALIBRATION	OK	
job-000162	CALIBRATION	M5	M5-012	MFC0	P02	CALIBRATION	OK	
job-000163	CALIBRATION	M5	M5-013	MFC0	P02	CALIBRATION	OK	
job-000164	CALIBRATION	M5	M5-014	MFC0	P02	CALIBRATION	OK	
job-000165	CALIBRATION	M5	M5-015	MFC0	P02	CALIBRATION	OK	
job-000166	CALIBRATION	M5	M5-016	MFC0	P02	CALIBRATION	OK	
job-000167	CALIBRATION	M5	M5-017	MFC0	P02	CALIBRATION	OK	
job-000168	CALIBRATION	M5	M5-018	MFC0	P02	CALIBRATION	OK	
job-000169	CALIBRATION	M0	M0-001	MFC0	P03	CALIBRATION	OK	
job-000170	CALIBRATION	M0	M0-002	MFC0	P03	CALIBRATION	OK	
job-000171	CALIBRATION	M0	M0-003	MFC0	P03	CALIBRATION	OK	
job-000172	CALIBRATION	M1	M1-001	MFC0	P03	CALIBRATION	OK	
job-000173	CALIBRATION	M1	M1-002	MFC0	P03	CALIBRATION	OK	
job-000174	CALIBRATION	M1	M1-003	MFC0	P03	CALIBRATION	OK	
job-000175	CALIBRATION	M1	M1-004	MFC0	P03	CALIBRATION	OK	
job-000176	CALIBRATION	M1	M1-005	MFC0	P03	CALIBRATION	OK	
job-000177	CALIBRATION	M1	M1-006	MFC0	P03	CALIBRATION	OK	
job-000178	CALIBRATION	M1	M1-007	MFC0	P03	CALIBRATION	OK	
job-000179	CALIBRATION	M1	M1-008	MFC0	P03	CALIBRATION	OK	
job-000180	CALIBRATION	M1	M1-009	MFC0	P03	CALIBRATION	OK	
job-000181	CALIBRATION	M1	M1-010	MFC0	P03	CALIBRATION	OK	
job-000182	CALIBRATION	M1	M1-011	MFC0	P03	CALIBRATION	OK	
job-000183	CALIBRATION	M1	M1-012	MFC0	P03	CALIBRATION	OK	
job-000184	CALIBRATION	M1	M1-013	MFC0	P03	CALIBRATION	OK	
job-000185	CALIBRATION	M1	M1-014	MFC0	P03	CALIBRATION	OK	
job-000186	CALIBRATION	M1	M1-015	MFC0	P03	CALIBRATION	OK	
job-000187	CALIBRATION	M1	M1-016	MFC0	P03	CALIBRATION	OK	
job-000188	CALIBRATION	M1	M1-017	MFC0	P03	CALIBRATION	OK	
job-000189	CALIBRATION	M1	M1-018	MFC0	P03	CALIBRATION	OK	
job-000190	CALIBRATION	M2	M2-001	MFC0	P03	CALIBRATION	OK	
job-000191	CALIBRATION	M2	M2-002	MFC0	P03	CALIBRATION	OK	
job-000192	CALIBRATION	M2	M2-003	MFC0	P03	CALIBRATION	OK	
job-000193	CALIBRATION	M2	M2-004	MFC0	P03	CALIBRATION	OK	
job-000194	CALIBRATION	M2	M2-005	MFC0	P03	CALIBRATION	OK	
job-000195	CALIBRATION	M2	M2-006	MFC0	P03	CALIBRATION	OK	
job-000196	CALIBRATION	M2	M2-007	MFC0	P03	CALIBRATION	OK	
job-000197	CALIBRATION	M2	M2-008	MFC0	P03	CALIBRATION	OK	
job-000198	CALIBRATION	M2	M2-009	MFC0	P03	CALIBRATION	OK	
job-000199	CALIBRATION	M3	M3-001	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000200	CALIBRATION	M3	M3-002	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000201	CALIBRATION	M3	M3-003	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000202	CALIBRATION	M3	M3-004	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000203	CALIBRATION	M3	M3-005	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000204	CALIBRATION	M3	M3-006	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000205	CALIBRATION	M3	M3-007	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000206	CALIBRATION	M3	M3-008	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000207	CALIBRATION	M3	M3-009	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000208	CALIBRATION	M4	M4-001	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000209	CALIBRATION	M4	M4-002	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000210	CALIBRATION	M4	M4-003	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000211	CALIBRATION	M4	M4-004	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000212	CALIBRATION	M4	M4-005	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000213	CALIBRATION	M4	M4-006	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000214	CALIBRATION	M4	M4-007	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000215	CALIBRATION	M4	M4-008	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000216	CALIBRATION	M4	M4-009	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000217	CALIBRATION	M4	M4-010	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000218	CALIBRATION	M4	M4-011	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000219	CALIBRATION	M4	M4-012	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000220	CALIBRATION	M4	M4-013	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000221	CALIBRATION	M4	M4-014	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000222	CALIBRATION	M4	M4-015	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000223	CALIBRATION	M4	M4-016	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000224	CALIBRATION	M4	M4-017	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000225	CALIBRATION	M4	M4-018	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000226	CALIBRATION	M4	M4-019	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000227	CALIBRATION	M4	M4-020	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000228	CALIBRATION	M4	M4-021	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000229	CALIBRATION	M4	M4-022	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000230	CALIBRATION	M4	M4-023	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000231	CALIBRATION	M4	M4-024	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000232	CALIBRATION	M4	M4-025	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000233	CALIBRATION	M4	M4-026	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000234	CALIBRATION	M4	M4-027	MFC0	P03	CALIBRATION	FAILED	TRAINING_FAILED: induction operation cap exceeded
job-000235	CALIBRATION	M5	M5-001	MFC0	P03	CALIBRATION	OK	
job-000236	CALIBRATION	M5	M5-002	MFC0	P03	CALIBRATION	OK	
job-000237	CALIBRATION	M5	M5-003	MFC0	P03	CALIBRATION	OK	
job-000238	CALIBRATION	M5	M5-004	MFC0	P03	CALIBRATION	OK	
job-000239	CALIBRATION	M5	M5-005	MFC0	P03	CALIBRATION	OK	
job-000240	CALIBRATION	M5	M5-006	MFC0	P03	CALIBRATION	OK	
job-000241	CALIBRATION	M5	M5-007	MFC0	P03	CALIBRATION	OK	
job-000242	CALIBRATION	M5	M5-008	MFC0	P03	CALIBRATION	OK	
job-000243	CALIBRATION	M5	M5-009	MFC0	P03	CALIBRATION	OK	
job-000244	CALIBRATION	M5	M5-010	MFC0	P03	CALIBRATION	OK	
job-000245	CALIBRATION	M5	M5-011	MFC0	P03	CALIBRATION	OK	
job-000246	CALIBRATION	M5	M5-012	MFC0	P03	CALIBRATION	OK	
job-000247	CALIBRATION	M5	M5-013	MFC0	P03	CALIBRATION	OK	
job-000248	CALIBRATION	M5	M5-014	MFC0	P03	CALIBRATION	OK	
job-000249	CALIBRATION	M5	M5-015	MFC0	P03	CALIBRATION	OK	
job-000250	CALIBRATION	M5	M5-016	MFC0	P03	CALIBRATION	OK	
job-000251	CALIBRATION	M5	M5-017	MFC0	P03	CALIBRATION	OK	
job-000252	CALIBRATION	M5	M5-018	MFC0	P03	CALIBRATION	OK	
job-000253	CALIBRATION	M0	M0-001	MFC0	P04	CALIBRATION	OK	
job-000254	CALIBRATION	M0	M0-002	MFC0	P04	CALIBRATION	OK	
job-000255	CALIBRATION	M0	M0-003	MFC0	P04	CALIBRATION	OK	
job-000256	CALIBRATION	M1	M1-001	MFC0	P04	CALIBRATION	OK	
job-000257	CALIBRATION	M1	M1-002	MFC0	P04	CALIBRATION	OK	
job-000258	CALIBRATION	M1	M1-003	MFC0	P04	CALIBRATION	OK	
job-000259	CALIBRATION	M1	M1-004	MFC0	P04	CALIBRATION	OK	
job-000260	CALIBRATION	M1	M1-005	MFC0	P04	CALIBRATION	OK	
job-000261	CALIBRATION	M1	M1-006	MFC0	P04	CALIBRATION	OK	
job-000262	CALIBRATION	M1	M1-007	MFC0	P04	CALIBRATION	OK	
job-000263	CALIBRATION	M1	M1-008	MFC0	P04	CALIBRATION	OK	
job-000264	CALIBRATION	M1	M1-009	MFC0	P04	CALIBRATION	OK	
job-000265	CALIBRATION	M1	M1-010	MFC0	P04	CALIBRATION	OK	
job-000266	CALIBRATION	M1	M1-011	MFC0	P04	CALIBRATION	OK	
job-000267	CALIBRATION	M1	M1-012	MFC0	P04	CALIBRATION	OK	
job-000268	CALIBRATION	M1	M1-013	MFC0	P04	CALIBRATION	OK	
job-000269	CALIBRATION	M1	M1-014	MFC0	P04	CALIBRATION	OK	
job-000270	CALIBRATION	M1	M1-015	MFC0	P04	CALIBRATION	OK	
job-000271	CALIBRATION	M1	M1-016	MFC0	P04	CALIBRATION	OK	
job-000272	CALIBRATION	M1	M1-017	MFC0	P04	CALIBRATION	OK	
job-000273	CALIBRATION	M1	M1-018	MFC0	P04	CALIBRATION	OK	
job-000274	CALIBRATION	M2	M2-001	MFC0	P04	CALIBRATION	OK	
job-000275	CALIBRATION	M2	M2-002	MFC0	P04	CALIBRATION	OK	
job-000276	CALIBRATION	M2	M2-003	MFC0	P04	CALIBRATION	OK	
job-000277	CALIBRATION	M2	M2-004	MFC0	P04	CALIBRATION	OK	
job-000278	CALIBRATION	M2	M2-005	MFC0	P04	CALIBRATION	OK	
job-000279	CALIBRATION	M2	M2-006	MFC0	P04	CALIBRATION	OK	
