transcription	model_class	candidate_id	scale	metric	median_generated	cv
IT2a	M0	M0-003	1	LP1_RULE_SUPPORT_GINI	0.6928986305	0.006783888724
IT2a	M0	M0-003	1	LP4_PREFIX_ATTACHMENT_NMI	0.3700861558	0.009251991951
IT2a	M0	M0-003	1	LP4_SUFFIX_ATTACHMENT_NMI	0.3107255225	0.009865640884
IT2a	M0	M0-003	2	EF1_GIANT_COMPONENT_SHARE	0.8466412316	0.006088908848
IT2a	M0	M0-003	2	EF1_ISOLATE_SHARE	0.1380437511	0.03723769254
IT2a	M0	M0-003	2	EF2_GLOBAL_CLUSTERING	0.3050119165	0.01449940861
IT2a	M0	M0-003	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4193653459	0.03680169696
IT2a	M0	M0-003	2	LP1_RULE_SUPPORT_GINI	0.7332558718	0.00627387449
IT2a	M0	M0-003	2	LP4_PREFIX_ATTACHMENT_NMI	0.343164284	0.007442664874
IT2a	M0	M0-003	2	LP4_SUFFIX_ATTACHMENT_NMI	0.2920312361	0.007651908381
IT2a	M1	M1-009	0.5	EF1_GIANT_COMPONENT_SHARE	0.7511772585	0.01888743352
IT2a	M1	M1-009	0.5	EF1_ISOLATE_SHARE	0.2231153095	0.0525685702
IT2a	M1	M1-009	0.5	EF2_GLOBAL_CLUSTERING	0.3551764395	0.03775128411
IT2a	M1	M1-009	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.5823653854	0.02643588191
IT2a	M1	M1-009	0.5	LP1_RULE_SUPPORT_GINI	0.6291642711	0.009828041374
IT2a	M1	M1-009	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.4051053439	0.01151645213
IT2a	M1	M1-009	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3451661533	0.01814830499
IT2a	M1	M1-009	1	EF1_GIANT_COMPONENT_SHARE	0.755409449	0.0128588724
IT2a	M1	M1-009	1	EF1_ISOLATE_SHARE	0.2203477812	0.03704298766
IT2a	M1	M1-009	1	EF2_GLOBAL_CLUSTERING	0.3439561362	0.02508129635
IT2a	M1	M1-009	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6077075035	0.01602526713
IT2a	M1	M1-009	1	LP1_RULE_SUPPORT_GINI	0.6809416511	0.006822010203
IT2a	M1	M1-009	1	LP4_PREFIX_ATTACHMENT_NMI	0.3769535019	0.009416763647
IT2a	M1	M1-009	1	LP4_SUFFIX_ATTACHMENT_NMI	0.3218496234	0.01269667505
IT2a	M1	M1-009	2	EF1_GIANT_COMPONENT_SHARE	0.7634831423	0.01122468705
IT2a	M1	M1-009	2	EF1_ISOLATE_SHARE	0.2139184613	0.03412181282
IT2a	M1	M1-009	2	EF2_GLOBAL_CLUSTERING	0.324798416	0.01119099849
IT2a	M1	M1-009	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6296503747	0.01182227775
IT2a	M1	M1-009	2	LP1_RULE_SUPPORT_GINI	0.7258935575	0.00560464947
IT2a	M1	M1-009	2	LP4_PREFIX_ATTACHMENT_NMI	0.3533073239	0.00825702527
IT2a	M1	M1-009	2	LP4_SUFFIX_ATTACHMENT_NMI	0.3023822762	0.0100758778
IT2a	M2	M2-003	0.5	EF1_GIANT_COMPONENT_SHARE	0.7067886659	0.02029198319
IT2a	M2	M2-003	0.5	EF1_ISOLATE_SHARE	0.2709550804	0.03927275652
IT2a	M2	M2-003	0.5	EF2_GLOBAL_CLUSTERING	0.3560955368	0.03981476985
IT2a	M2	M2-003	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.5752563843	0.02624388819
IT2a	M2	M2-003	0.5	LP1_RULE_SUPPORT_GINI	0.6183902331	0.009070565944
IT2a	M2	M2-003	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.4167127555	0.01107945157
IT2a	M2	M2-003	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3525296658	0.02148827452
IT2a	M2	M2-003	1	EF1_GIANT_COMPONENT_SHARE	0.7074597324	0.01440777074
IT2a	M2	M2-003	1	EF1_ISOLATE_SHARE	0.2693484846	0.02839990164
IT2a	M2	M2-003	1	EF2_GLOBAL_CLUSTERING	0.3479782489	0.02649216089
IT2a	M2	M2-003	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.590255191	0.01532407923
IT2a	M2	M2-003	1	LP1_RULE_SUPPORT_GINI	0.6764600899	0.007949906077
IT2a	M2	M2-003	1	LP4_PREFIX_ATTACHMENT_NMI	0.3865292739	0.009117232901
IT2a	M2	M2-003	1	LP4_SUFFIX_ATTACHMENT_NMI	0.3285165687	0.01353944886
IT2a	M2	M2-003	2	EF1_GIANT_COMPONENT_SHARE	0.7145652594	0.008638037971
IT2a	M2	M2-003	2	EF1_ISOLATE_SHARE	0.2634044515	0.02188042219
IT2a	M2	M2-003	2	EF2_GLOBAL_CLUSTERING	0.3326732112	0.01571693908
IT2a	M2	M2-003	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.6054980658	0.01338278506
IT2a	M2	M2-003	2	LP1_RULE_SUPPORT_GINI	0.71984977	0.005102084644
IT2a	M2	M2-003	2	LP4_PREFIX_ATTACHMENT_NMI	0.3640154628	0.006942181856
IT2a	M2	M2-003	2	LP4_SUFFIX_ATTACHMENT_NMI	0.3069347085	0.009264731515
IT2a	M5	M5-001	0.5	EF1_GIANT_COMPONENT_SHARE	0.803379005	0.01843465919
IT2a	M5	M5-001	0.5	EF1_ISOLATE_SHARE	0.1691491945	0.06683242267
IT2a	M5	M5-001	0.5	EF2_GLOBAL_CLUSTERING	0.3447933522	0.02674736604
IT2a	M5	M5-001	0.5	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4993091488	0.03418160572
IT2a	M5	M5-001	0.5	LP1_RULE_SUPPORT_GINI	0.636349666	0.01020134031
IT2a	M5	M5-001	0.5	LP4_PREFIX_ATTACHMENT_NMI	0.401359164	0.01220988572
IT2a	M5	M5-001	0.5	LP4_SUFFIX_ATTACHMENT_NMI	0.3172663961	0.01882158206
IT2a	M5	M5-001	1	EF1_GIANT_COMPONENT_SHARE	0.8343978347	0.00993843149
IT2a	M5	M5-001	1	EF1_ISOLATE_SHARE	0.1470586504	0.04877115337
IT2a	M5	M5-001	1	EF2_GLOBAL_CLUSTERING	0.3350209134	0.02234997138
IT2a	M5	M5-001	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4922254033	0.02837026126
IT2a	M5	M5-001	1	LP1_RULE_SUPPORT_GINI	0.6895187324	0.006856614488
IT2a	M5	M5-001	1	LP4_PREFIX_ATTACHMENT_NMI	0.3695691956	0.009097363473
IT2a	M5	M5-001	1	LP4_SUFFIX_ATTACHMENT_NMI	0.2977874578	0.01153137225
IT2a	M5	M5-001	2	EF1_GIANT_COMPONENT_SHARE	0.8566459512	0.007922930594
IT2a	M5	M5-001	2	EF1_ISOLATE_SHARE	0.1313688567	0.0404452358
IT2a	M5	M5-001	2	EF2_GLOBAL_CLUSTERING	0.3257894296	0.01180712674
IT2a	M5	M5-001	2	EF3_DEGREE_FREQUENCY_SPEARMAN	0.4596027248	0.0331656247
IT2a	M5	M5-001	2	LP1_RULE_SUPPORT_GINI	0.7277124516	0.006612471435
IT2a	M5	M5-001	2	LP4_PREFIX_ATTACHMENT_NMI	0.3434745742	0.007041998015
IT2a	M5	M5-001	2	LP4_SUFFIX_ATTACHMENT_NMI	0.2826966818	0.007797434978
